zts1e	НосВилль
zts2e	Луг НосВилля
zts3e	Западные равнины
zts5e	Волшебная тропа
zts6e	Аванпост Фернон
zts8e	Западный Крем
zts9e	Восточный Крем
zts10e	Вершина горы Крем
zts12e	Каменный утес
zts15e	Заброшенная шахта
zts21e	Солнечные луга
zts22e	Храм Фернон
zts23e	Секрет. лаборатор.
zts24e	Убежище Фернон
zts25e	Башня Фернон
zts26e	Пещера НосЛагеря
zts27e	Глубокая пещера
zts28e	Туманная долина
zts29e	Утес вечерней зари
zts30e	Пещера духов
zts31e	Горная пещера
zts32e	Темница Шанера
zts33e	Еловый лес
zts34e	Окраина елового леса
zts35e	Шахта над рекой
zts36e	Подземный туннель
zts37e	Скалистый утес
zts38e	Кленовый лес
zts39e	Окраина кленового леса
zts40e	Лесные земли
zts41e	Сели-Луша
zts42e	Подземная тропинка
zts43e	Цитадель
zts44e	Биторен Тундра
zts45e	Каньон Шарес
zts46e	Порт Алвойс
zts47e	Рынок порта Алвойс
zts48e	Корабль
zts49e	Север. ледяная пустыня
zts50e	Лес Лортен
zts51e	Пляж Радикун
zts52e	Пляж Радикун
zts53e	Тропа к кур. ферме
zts54e	Западная шахта 1
zts55e	Западная шахта 2
zts56e	Вход к желе
zts57e	Северная шахта
zts58e	Вход к женьшеню
zts59e	Волшебная тропа
zts60e	Волшебная башня
zts61e	Храм Фернон 1
zts62e	Секрет. кур. ферма
zts63e	Тайная комната
zts64e	Храм Фернон 2-10
zts65e	Храм Фернон -1
zts66e	Восточный выход
zts67e	Северный выход
zts68e	Западный выход
zts69e	Храм Фернон -2
zts70e	Загадочные врата
zts71e	Извилистая тропа
zts72e	Врата скорби
zts73e	Убежище Фернон 1
zts74e	Спирал. лабиринт В
zts75e	Спирал. лабиринт З
zts76e	Убежище Фернон 2
zts77e	Убежище Фернон 3
zts78e	Убежище Фернон 4
zts79e	Спирал. лабиринт С
zts80e	Спирал. лабиринт Ю
zts81e	Западный Крем
zts82e	Восточный Крем
zts83e	Вершина горы Крем
zts84e	Горная пещера 1
zts85e	Горная пещера 2
zts86e	Горная пещера 3
zts87e	Красная зона
zts88e	Зеленая зона
zts89e	Синяя зона
zts90e	Холодный тоннель
zts91e	Горная пещера 4
zts92e	Горная пещера 5
zts93e	Горная пещера 6
zts94e	Тайная расщелина
zts95e	Лабиринт боли
zts96e	Туманная тропа
zts97e	Тропа к пещере паука
zts98e	Пустынная зона
zts99e	Желтая зона
zts100e	Цитадель Ангелов
zts101e	Цитадель Демонов
zts102e	Запад. ледяная страна
zts103e	Вост. ледяная страна
zts104e	Трон Моркоса
zts105e	Ущелье тьмы
zts106e	Пещера Кальвинас
zts107e	Порт Мортаз
zts108e	Окраина порта
zts109e	Окраина Нейла
zts110e	Лагерь Нейла
zts111e	Восточный лагерь
zts112e	Окраина разбойников
zts113e	Лагерь разбойн.
zts114e	Окраина Мелки
zts115e	Лагерь Мелки
zts116e	Лагерь Акамура
zts117e	Западный лагерь
zts118e	Окраина Керуса
zts119e	Лагерь Керуса
zts120e	Окраина Гартона
zts121e	Лагерь Гартона
zts122e	Путь к храму
zts123e	Храмовая площадь
zts124e	Затерянная пустыня
zts125e	Город Орлов
zts126e	Зона хаоса
zts127e	Окраина хаоса
zts128e	Двор разбойников
zts129e	Центр разбойников
zts130e	Дворик Астера
zts131e	Центр Астера
zts132e	Дворик Рашида
zts133e	Центр Рашида
zts134e	Тропа к алтарю
zts135e	Тайная тропа
zts136e	Убежище Фернон 3
zts137e	Убежище Фернон 5
zts138e	Святилище
zts139e	Алтарь святилища
zts210e	Северная пустыня
zts211e	Врата вулкана
zts212e	Пасть Кертоса
zts213e	Восточная тропа
zts214e	Западная тропа
zts215e	Когти Валакуса
zts216e	Крылья Феникса
zts217e	Левое крыло
zts218e	Правое крыло
zts219e	Улица Катола
zts220e	Пещера Кертоса
zts221e	Пещера Валакуса
zts222e	Площадь Гренигаса
zts16497e	Циллоан
zts16498e	Небесные врата 1
zts16499e	Небесные врата 2
zts16500e	Небесные врата 3
zts16501e	Небесные врата 4
zts16502e	Адские врата 1
zts16503e	Адские врата 2
zts16504e	Адские врата 3
zts16505e	Адские врата 4
zts16506e	Небесные руины 1
zts16507e	Небесные руины 2
zts16508e	Адские руины 1
zts16509e	Адские руины 2
zts16510e	Воля Анкеллоан 1
zts16511e	Воля Анкеллоан 2
zts16512e	Воля Анкеллоан 3
zts16513e	Воля Анкеллоан 4
zts16514e	Воля Анкеллоан 5
zts16515e	Воля Анкеллоан 6
zts16516e	Деревня Олорун
zts16517e	Мукраш
zts16518e	Северный пляж
zts16519e	Порт Моритиуса
zts16520e	Южный пляж
zts16521e	Лесная тропа
zts16522e	Лесной утес
zts16523e	Окр. Леса Духов
zts16524e	Лес Духов
zts16525e	Ферма Олорун
zts16526e	Логово Зверя
zts16527e	Загрязненный путь
zts16528e	Загрязненный лес
zts16529e	Святая Мария
