#=============================================================
	VNUM	1
	ICON	-1
	NAME	zts1e
	DESC	0	0	0	0	0
	SUBJ1	zts2e
	SUBJ2	zts3e
	SUBJ3	zts4e
	SUBJ4	zts5e
	SUBJ5	zts6e
	LIST1-1	zts7e
	LIST1-2	zts7e
	LIST2-1	zts8e
	LIST2-2	zts8e
	LIST3-1	zts9e
	LIST3-2	zts9e
	LIST4-1	zts10e
	LIST4-2	zts10e
	LIST5-1	zts11e
	LIST5-2	zts11e
	END
#=============================================================
	VNUM	2
	ICON	-1
	NAME	zts12e
	DESC	0	0	0	0	0
	SUBJ1	zts13e
	SUBJ2	zts14e
	SUBJ3	zts15e
	SUBJ4	zts16e
	SUBJ5	zts17e
	LIST1-1	zts18e
	LIST1-2	zts18e
	LIST2-1	zts19e
	LIST2-2	zts19e
	LIST3-1	zts20e
	LIST3-2	zts20e
	LIST4-1	zts21e
	LIST4-2	zts21e
	LIST5-1	zts22e
	LIST5-2	zts22e
	END
#=============================================================
	VNUM	3
	ICON	-1
	NAME	zts23e
	DESC	1	1	1	1	1
	SUBJ1	zts24e
	SUBJ2	zts25e
	SUBJ3	zts26e
	SUBJ4	zts27e
	SUBJ5	zts28e
	LIST1-1	zts29e
	LIST1-2	zts30e
	LIST2-1	zts31e
	LIST2-2	zts32e
	LIST3-1	zts33e
	LIST3-2	zts34e
	LIST4-1	zts35e
	LIST4-2	zts36e
	LIST5-1	zts37e
	LIST5-2	zts38e
	END
#=============================================================
	VNUM	4
	ICON	-1
	NAME	zts39e
	DESC	1	1	1	1	1
	SUBJ1	zts40e
	SUBJ2	zts41e
	SUBJ3	zts42e
	SUBJ4	zts43e
	SUBJ5	zts1613e
	LIST1-1	zts44e
	LIST1-2	zts45e
	LIST2-1	zts46e
	LIST2-2	zts47e
	LIST3-1	zts48e
	LIST3-2	zts49e
	LIST4-1	zts50e
	LIST4-2	zts51e
	LIST5-1	zts1614e
	LIST5-1	zts1614e
	END
#=============================================================
	VNUM	5
	ICON	-1
	NAME	zts52e
	DESC	1	1	2	1	1
	SUBJ1	zts53e
	SUBJ2	zts54e
	SUBJ3	zts55e
	SUBJ4	zts56e
	SUBJ5	zts57e
	LIST1-1	zts58e
	LIST1-2	zts59e
	LIST2-1	zts60e
	LIST2-2	zts61e
	LIST3-1	zts62e
	LIST3-2	zts63e
	LIST4-1	zts64e
	LIST4-2	zts65e
	LIST5-1	zts66e
	LIST5-2	zts67e
	END
#=============================================================
	VNUM	6
	ICON	-1
	NAME	zts68e
	DESC	0	0	0	0	1
	SUBJ1	zts69e
	SUBJ2	zts70e
	SUBJ3	zts71e
	SUBJ4	zts72e
	SUBJ5	zts73e
	LIST1-1	zts74e
	LIST1-2	zts74e
	LIST2-1	zts75e
	LIST2-2	zts75e
	LIST3-1	zts76e
	LIST3-2	zts76e
	LIST4-1	zts77e
	LIST4-2	zts77e
	LIST5-1	zts78e
	LIST5-2	zts79e
	END
#=============================================================
	VNUM	7
	ICON	-1
	NAME	zts80e
	DESC	1	1	1	1	1
	SUBJ1	zts81e
	SUBJ2	zts82e
	SUBJ3	zts83e
	SUBJ4	zts84e
	SUBJ5	zts85e
	LIST1-1	zts86e
	LIST1-2	zts87e
	LIST2-1	zts88e
	LIST2-2	zts89e
	LIST3-1	zts90e
	LIST3-2	zts91e
	LIST4-1	zts92e
	LIST4-2	zts93e
	LIST5-1	zts94e
	LIST5-2	zts95e
	END
#=============================================================
	VNUM	8
	ICON	-1
	NAME	zts96e
	DESC	2	1	1	1	1
	SUBJ1	zts97e
	SUBJ2	zts81e
	SUBJ3	zts82e
	SUBJ4	zts83e
	SUBJ5	zts84e
	LIST1-1	zts98e
	LIST1-2	zts99e
	LIST2-1	zts100e
	LIST2-2	zts101e
	LIST3-1	zts102e
	LIST3-2	zts103e
	LIST4-1	zts104e
	LIST4-2	zts105e
	LIST5-1	zts106e
	LIST5-2	zts107e
	END
#=============================================================
	VNUM	9
	ICON	-1
	NAME	zts108e
	DESC	1	1	1	1	1
	SUBJ1	zts109e
	SUBJ2	zts110e
	SUBJ3	zts111e
	SUBJ4	zts112e
	SUBJ5	zts113e
	LIST1-1	zts114e
	LIST1-2	zts115e
	LIST2-1	zts116e
	LIST2-2	zts117e
	LIST3-1	zts118e
	LIST3-2	zts119e
	LIST4-1	zts120e
	LIST4-2	zts121e
	LIST5-1	zts122e
	LIST5-2	zts123e
	END
#=============================================================
	VNUM	10
	ICON	-1
	NAME	zts124e
	DESC	1	1	1	1	1
	SUBJ1	zts125e
	SUBJ2	zts126e
	SUBJ3	zts127e
	SUBJ4	zts128e
	SUBJ5	zts1664e
	LIST1-1	zts129e
	LIST1-2	zts130e
	LIST2-1	zts131e
	LIST2-2	zts132e
	LIST3-1	zts133e
	LIST3-2	zts134e
	LIST4-1	zts135e
	LIST4-2	zts136e
	LIST5-1	zts1665e
	LIST5-2	zts1666e
	END
#=============================================================
	VNUM	11
	ICON	-1
	NAME	zts137e
	DESC	2	2	2	2	2
	SUBJ1	zts138e
	SUBJ2	zts139e
	SUBJ3	zts140e
	SUBJ4	zts141e
	SUBJ5	zts1617e
	LIST1-1	zts142e
	LIST1-2	zts143e
	LIST2-1	zts144e
	LIST2-2	zts145e
	LIST3-1	zts146e
	LIST3-2	zts147e
	LIST4-1	zts148e
	LIST4-2	zts149e
	LIST5-1	zts1618e
	LIST5-2	zts1618e
	END
#=============================================================
	VNUM	12
	ICON	-1
	NAME	zts150e
	DESC	2	2	2	2	1
	SUBJ1	zts151e
	SUBJ2	zts152e
	SUBJ3	zts153e
	SUBJ4	zts154e
	SUBJ5	zts1619e
	LIST1-1	zts155e
	LIST1-2	zts156e
	LIST2-1	zts157e
	LIST2-2	zts158e
	LIST3-1	zts159e
	LIST3-2	zts160e
	LIST4-1	zts161e
	LIST4-2	zts162e
	LIST5-1	zts1620e
	LIST5-2	zts1620e
	END
#=============================================================
	VNUM	13
	ICON	-1
	NAME	zts163e
	DESC	1	1	1	1	1
	SUBJ1	zts164e
	SUBJ2	zts165e
	SUBJ3	zts166e
	SUBJ4	zts167e
	SUBJ5	zts168e
	LIST1-1	zts169e
	LIST1-2	zts170e
	LIST2-1	zts171e
	LIST2-2	zts172e
	LIST3-1	zts173e
	LIST3-2	zts174e
	LIST4-1	zts175e
	LIST4-2	zts176e
	LIST5-1	zts177e
	LIST5-2	zts178e
	END
#=============================================================
	VNUM	14
	ICON	-1
	NAME	zts179e
	DESC	1	1	1	1	1
	SUBJ1	zts180e
	SUBJ2	zts181e
	SUBJ3	zts182e
	SUBJ4	zts183e
	SUBJ5	zts184e
	LIST1-1	zts185e
	LIST1-2	zts186e
	LIST2-1	zts187e
	LIST2-2	zts188e
	LIST3-1	zts189e
	LIST3-2	zts190e
	LIST4-1	zts191e
	LIST4-2	zts192e
	LIST5-1	zts193e
	LIST5-2	zts194e
	END
#=============================================================
	VNUM	15
	ICON	-1
	NAME	zts195e
	DESC	1	1	1	1	2
	SUBJ1	zts196e
	SUBJ2	zts197e
	SUBJ3	zts198e
	SUBJ4	zts199e
	SUBJ5	zts1667e
	LIST1-1	zts200e
	LIST1-2	zts201e
	LIST2-1	zts202e
	LIST2-2	zts203e
	LIST3-1	zts204e
	LIST3-2	zts205e
	LIST4-1	zts206e
	LIST4-2	zts207e
	LIST5-1	zts1668e
	LIST5-2	zts1669e
	END
#=============================================================
	VNUM	16
	ICON	-1
	NAME	zts208e
	DESC	1	1	0	0	1
	SUBJ1	zts209e
	SUBJ2	zts210e
	SUBJ3	zts211e
	SUBJ4	zts212e
	SUBJ5	zts1621e
	LIST1-1	zts213e
	LIST1-2	zts213e
	LIST2-1	zts214e
	LIST2-2	zts214e
