zts1e	Novı item
zts2e	[n]
zts3e	Døevìnı obušek
zts4e	První zbraò pro novì pøíchozí dobrodruhy do NosVille.[n][n]
zts5e	Døevìnı obušek
zts6e	Tìkı døevìnı obušek, kterı zpùsobuje vìtší poškození.[n][n]
zts7e	Døevìnı meè
zts8e	Døevìnı meè perfektní pro zaèínající dobrodruhy.[n][n]
zts9e	Døevìné kladivo
zts10e	Kladivo vyrobené ze skuteènì odolného døeva.[n][n]
zts11e	Tìké døevìné kladivo
zts12e	Tìké døevìné kladivo, které zpùsobuje dodateèné poškození.[n][n]
zts13e	Døevìnı meè zaèáteèníka
zts14e	Meè pro nezkušené dobrodruhy.[n][n]
zts15e	Meè dobrodruha
zts16e	Ocelovı meè pro dobrodruhy.[n][n]
zts17e	Døevìnı prak
zts18e	První sekundární zbraò pro èerstvé dobrodruhy v NosVille.[n][n]
zts19e	Tìkı døevìnı prak
zts20e	Tìkı døevìnı prak, kterı zpùsobuje vìtší poškození.[n][n]
zts21e	Døevìnı prak zaèáteèníka
zts22e	Prak pro nezkušené dobrodruhy.[n][n]
zts23e	Prak dobrodruha
zts24e	Prak vyrobenı z oceli pro dobrodruhy.[n][n]
zts25e	Obleèení
zts26e	Obleèení pro èerstvé dobrodruhy.[n][n]
zts27e	Tréninková uniforma
zts28e	Tento odìv se nosí pøi posilování.[n][n]
zts29e	Uniforma dobrodruha
zts30e	Oblíbené obleèení dobrodruha. Poskytuje ochranu proti vedlejším úèinkùm znovuoivení.[n][n]
zts31e	Tréninková uniforma
zts32e	Velice pohodlná tréninková uniforma.[n][n]
zts33e	Kabátová souprava dobrodruha
zts34e	Udruje dobrodruhy v teple, kdy pøespávají venku.[n][n]
zts35e	Teplá kabátová souprava
zts36e	Zakryje a ohøeje celé tìlo.[n]Poskytuje ochranu proti vedlejším úèinkùm znovuoivení.[n][n]
zts37e	Meè zaèáteèníka
zts38e	Dárek pro zaèínající šermíøe.[n]Nemùe bıt pouíváno dobrodruhy.[n][n]
zts39e	Krátkı meè
zts40e	Tento jednoruèní meè je oblíbenı mezi zaèínajícími šermíøi.[n][n]
zts41e	Meè bolesti
zts42e	Tento meè byl ukován z roztavenıch zbraní padlıch vojákù.[n]Zvyšuje šanci na kritickı zásah.[n]
zts43e	Krátkı meè
zts44e	Pouíván bìnımi šermíøi.[n][n]
zts45e	Bronzovı meè
zts46e	Meè s bronzovou dekorací, kterı zvyšuje šanci na kritické zásahy.[n][n]
zts47e	Šavle
zts48e	Tato èepel je oblíbenou volbou mezi šermíøi.[n][n]
zts49e	Širokı meè duší
zts50e	Tento meè byl vytren z rukou padlého vojáka. Jeho duše sídlí uvnitø.[n]Zvyšuje útoènou sílu ohnivého elementu.[n][n]
zts51e	Falchion
zts52e	Jednohranná zbraò s dlouhou rukojetí.[n]Je dostateèná lehká pro pouití jednou rukou.[n][n]
zts53e	Zlatá šavle
zts54e	Meè zdobenı zlatımi dekoracemi. Zvyšuje pravdìpodobnost zpùsobení kritického zásahu ohnivım elementem.[n][n]
zts55e	Širokı meè
zts56e	Meè s neobvykle širokou èepelí.[n][n]
zts57e	Dlouhı meè moci
zts58e	Temná síla zvyšuje poškození.[n][n]
zts59e	Širokı meè
zts60e	Normální širokı meè s pohodlnım uchopením.[n][n]
zts61e	Skyabona
zts62e	Záhadná síla chrání nositele tohoto meèe pøed útoky nepøátel.[n][n]
zts63e	Claymore
zts64e	Pouze ti nejstateènìjší šermíøi získají právo nosit tento meè.[n]Zvyšuje útoènou sílu vodního elementu.[n][n]
zts65e	Luk zaèáteèníka
zts66e	Dárek pro zaèínající lukostøelec.[n]Nemùe bıt pouíváno dobrodruhy.[n][n]
zts67e	Malı luk
zts68e	Malı luk vyrobenı ze døeva.[n][n]
zts69e	Luk rychlosti
zts70e	Tenkı a lehkı luk, kterı díky své rychlosti vıraznì zvyšuje míru zásahu.[n][n]
zts71e	Bambusovı luk
zts72e	Drsnı a pøipravenı luk vyrobenı z bambusu.[n][n]
zts73e	Kouzelnı luk
zts74e	Vylepšenı luk rychlosti.[n]Zvyšuje poškození a míru zásahu.[n][n]
zts75e	Dubovı luk
zts76e	Tento luk byl zámìrnì vyroben z dubu ke zvıšení jeho trvanlivosti.[n][n]
zts77e	Vìtrnı luk
