zts1e	NosVille
zts2e	NosVillské louky
zts3e	Prérie s doly
zts5e	Zaèarovaná stezka
zts6e	Fernonská základna
zts8e	Západní Krem
zts9e	Vıchodní Krem
zts10e	Vrchol Mt. Krem
zts12e	Kamenitı útes
zts15e	Uzavøenı dùl
zts21e	Sluneèné louky
zts22e	Fernonskı chrám
zts23e	Tajná laboratoø
zts24e	Fernonská skrıš
zts25e	Vì Fernon chrámu
zts26e	Jeskynì NosKempu
zts27e	Hluboká jeskynì
zts28e	Mlné údolí
zts29e	Èervánkovı útes
zts30e	Jeskynì duchù
zts31e	Horská jeskynì
zts32e	Shanera Dungeon
zts33e	Jedlovı les
zts34e	Okraj lesa jedlí
zts35e	Øíèní dùl
zts36e	Zemní tunel
zts37e	Skalnatı útes
zts38e	Javorovı les
zts39e	Okraj Lesa javorù
zts40e	Lesní podlaí
zts41e	Seli-Lusha
zts42e	Podzemní stezka
zts43e	Citadela
zts44e	Tundra Bitoren
zts45e	Rokle Shares
zts46e	Námìstí Port Alveu
zts47e	Trh Port Alveu
zts48e	Loï
zts49e	Severní pouš ledu
zts50e	Les Lorten
zts51e	Plá Radikun
zts52e	Plá Radikun
zts53e	Cesta kuøecí farmy
zts54e	Západní dùl 1
zts55e	Západní dùl 2
zts56e	Vstup elé
zts57e	Severní dùl
zts58e	enšen vstup
zts59e	Zaèarovaná stezka
zts60e	Kouzelná vì
zts61e	Fernonskı chrám 1
zts62e	Tajná kuøecí farma
zts63e	Tajná místnost
zts64e	Fernonskı chrám 2-10
zts65e	Fernonskı chrám -1
zts66e	Vıchodní vıchod
zts67e	Severní vıchod
zts68e	Západní vıchod
zts69e	Fernonskı chrám -2
zts70e	Záhadné brány
zts71e	Cikcak stezka
zts72e	Brána truchlení
zts73e	Fernonská skrıš 1
zts74e	Toèitı labyrint V
zts75e	Toèitı labyrint Z
zts76e	Fernonská skrıš 2
zts77e	Fernonská skrıš 3
zts78e	Fernonská skrıš 4
zts79e	Toèitı labyrint S
zts80e	Toèitı labyrint J
zts81e	Západní Krem
zts82e	Vıchodní Krem
zts83e	Vrchol Mt. Krem
zts84e	Horská jeskynì 1
zts85e	Horská jeskynì 2
zts86e	Horská jeskynì 3
zts87e	Èervená zóna
zts88e	Zelená zóna
zts89e	Modrá zóna
zts90e	Chladnı tunel
zts91e	Horská jeskynì 4
zts92e	Horská jeskynì 5
zts93e	Horská jeskynì 6
zts94e	Tajná skulina
zts95e	Labyrint bolesti
zts96e	Mlná stezka
zts97e	Cesta k pavoukovi
zts98e	Zpustošená oblast
zts99e	lutá zóna
zts100e	Citadela andìlù
zts101e	Citadela démonù
zts102e	Západ Ledové zemì
zts103e	Vıchod Ledové zemì
zts104e	Morcosùv trùn
zts105e	Propast temnoty
zts106e	Hnízdo Calvinas
zts107e	Port pouštì Mortaz
zts108e	Okolí portu
zts109e	Neilovo území
zts110e	Neilùv tábor
zts111e	Tábor kupcù vıchod
zts112e	Území lupièù
zts113e	Tábor lupièù
zts114e	Melkiho území
zts115e	Melkiho tábor
zts116e	Tábor Akamur
zts117e	Tábor kupcù západ
zts118e	Keruovo území
zts119e	Keruùv Tábor
zts120e	Gartonovo území
zts121e	Tábor Gartona
zts122e	Stezka ke chrámu
zts123e	Oblast chrámu
zts124e	Ztracená pouš
zts125e	Mìsto orlù pouštì
zts126e	Zóna chaosu
zts127e	Okolí chaosu
zts128e	Nádvoøí lupièù
zts129e	Centrum lupièù
zts130e	Nádvoøí Aster
zts131e	Centrum Aster
zts132e	Nádvoøí Rashid
zts133e	Centrum Rashid
zts134e	Cesta k oltáøi
zts135e	Tajná stezka
zts136e	Fernonská skrıš 3
zts137e	Fernonská skrıš 5
zts138e	Køišálová jeskynì
zts139e	Køišálovı oltáø
zts210e	Severní pouš
zts211e	Brána Vulkánu
zts212e	Èelisti Kertose
zts213e	Vıchodní cesta
zts214e	Západní cesta
zts215e	Drápy Valakuse
zts216e	Køídla Fénixe
zts217e	Levé køídlo
zts218e	Pravé køídlo
zts219e	Katolova ulice
zts220e	Jeskynì Kertose
zts221e	Jeskynì Valakuse
zts222e	Námìstí Grenigase
zts16497e	Cylloan
zts16498e	Nebeská brána 1
zts16499e	Nebeská brána 2
zts16500e	Nebeská brána 3
zts16501e	Nebeská brána 4
zts16502e	Pekelná brána 1
zts16503e	Pekelná brána 2
zts16504e	Pekelná brána 3
zts16505e	Pekelná brána 4
zts16506e	Nebeské ruiny 1
zts16507e	Nebeské ruiny 2
zts16508e	Pekelné ruiny 1
zts16509e	Pekelné ruiny 2
zts16510e	Vùle Ancelloan 1
zts16511e	Vùle Ancelloan 2
zts16512e	Vùle Ancelloan 3
zts16513e	Vùle Ancelloan 4
zts16514e	Vùle Ancelloan 5
zts16515e	Vùle Ancelloan 6
zts16516e	Vesnice Olorun
zts16517e	Mukrash
zts16518e	Severní plá
zts16519e	Port Moritius
zts16520e	Jiní plá
zts16521e	Lesní cesta
zts16522e	Lesní útes
zts16523e	Okraj Lesa duchù
zts16524e	Les duchù
zts16525e	Farma Olorun
zts16526e	Doupì bestie
zts16527e	Zneèištìná cesta
zts16528e	Zneèištìnı les
zts16529e	Saint Maria
zts16530e	Dragonveil
zts16531e	Jiní Stezka
zts16532e	Jezerní Rokle
zts16533e	Draèí Farma
zts16534e	Severní Stezka
zts16535e	Zamrzlé Jezero
zts16536e	Ledová Kobka
zts16537e	Cesta Roklí 1
zts16538e	Cesta Roklí 2
zts16539e	Cesta Roklí 3
zts16540e	Štìrková Rokle
zts16541e	Cesta Osudu
zts16542e	Draèí Doupì A.
zts16543e	Draèí Doupì
zts16544e	Draèí Hnízdo A.
