zts1e	Odpoèinek
zts2e	Zvednout
zts3e	Otevøít shop
zts4e	Naplánovat bitvu
zts5e	Kruh èasu
zts6e	Nespecifikovanı
zts7e	[Nízkı] Zesílenı útok
zts8e	Minimální a maximální poškození se pøi útocích zblízka zvyšuje o 3 (kadé), obrana v boji zblízka se zvyšuje o 2
zts9e	Zlepšuje útok a obranu v bojích zblízka
zts10e	(Støednì) zesílenı útok
zts11e	Minimální a maximální poškození pøi útocích zblízka zvıšené o 9 (kadı)
zts12e	(Vysoce) zesílenı útok
zts13e	[Mistr] Zesílenı útok
zts14e	[Nízké] tempo vıcviku
zts15e	Minimalizuje a maximalizuje poškození pøí útocích zdálky o 3 (kadı), obrana útoku zdálky zvıšena o 2, rychlost pøi útoku zblízka o 3 a útoku zdálky o 6, skrèení se pøi útocích zblízka zvıšeno o 2 a pøi útocích zdálky vylepšeno o 3.
zts16e	Zvyšuje míru zásahu a také vyhıbání a rychlost útokù zdálky a obranu zdálky.
zts17e	[Støednì] rychlostní vıcvik
zts18e	Minimální a maximální poškození pøi útocích zdálky zvıšena o 9 (kadé), obrana pøi boji zdálky zvıšena o 5, rychlost pøi útocích zblízka zvıšena o 9 a pøi útocích zdálky o 18, shıbání pøi útocích zblízka a pøi útocích zdálky zlepšena o 9 (kadé)
zts19e	Zvyšuje míru zásahu a také vyhıbání a rychlost útokù zdálky a obranu zdálky.
zts20e	[Vysoko] rychlostní vıcvik
zts21e	[Mistrovskı] rychlostní vıcvik
zts22e	[Nízké] zvıšení inteligence
zts23e	Zvyšuje magickou obranu o 2
zts24e	Zvyšuje obranu proti magickım útokùm
zts25e	[Støední] zvıšení inteligence
zts26e	Zvyšuje magickou obranu o 5
zts29e	[Zaèáteèník] Technika líhnutí
zts30e	[Støední] technika líhnutí
zts31e	[Pokroèilá] technika líhnì
zts32e	[Expertní] technika líhnì
zts33e	[Nízké] prodlouení ivota
zts34e	Zvıší HP dlouhodobì o 50
zts35e	[Støední] prodlouení ivota
zts36e	Zvyšuje dlouhodobì HP o 100
zts37e	[Vysoké] prodlouení ivota
zts38e	[Mistr] Prodlouení ivota
zts39e	[Nízkı] mentální trénink
zts40e	Zvyšuje dlouhodobì MP o 50
zts41e	[Støední] mentální trénink
zts42e	Zvyšuje dlouhodobì MP o 100
zts43e	[Vysokı] Mentální trénink
zts44e	[Mistr] Mentální trénink
zts45e	[Nízko] efektivní útoèná síla
zts46e	Minimální a maximální poškození bude zvıšeno pøi útoku zblízka a zdálky o 2 (kadé)
zts47e	[Støední] efektivní útoèná síla
zts48e	Minimální a maximální poškození pøi útocích zblízka a zdálky se zvyšuje o 4 (kadé)
zts51e	[Nízká] sebeobrana
zts52e	Zvyšuje obranu v boji zblízka a zdálky o 3
zts53e	[Støední] sebeobrana
zts54e	Zvyšuje obranu v boji zblízka, zdálky a magickou obranu o 5
zts57e	[Nízké] obnovení HP
zts58e	Zvyšuje obnovení HP o 20
zts59e	[Støední] obnovení HP
zts60e	Zvyšuje obnovení HP o 50
zts61e	[Vysoké] obnovení HP
zts62e	[Mistrovské] obnovení HP
zts63e	[Nízké] obnovení MP
zts64e	Zvyšuje obnovení MP o 20
zts65e	[Støední] obnovení MP
zts66e	Zvyšuje obnovení MP o 50
zts67e	[Vysoké] obnovení MP
zts68e	[Mistrovské] obnovení MP
zts70e	Pomalu obnovuje HP a MP
zts71e	[støední] pøírodní léèba
zts72e	[Mistrovské] pøírodní uzdravení
zts73e	[Zaèáteèník] Znalost zbraní
zts74e	[støední] Znalost zbraní
zts75e	[Pokroèilí] Znalost zbraní
zts76e	[Zaèáteèník] nauè se kritickı útok
zts77e	[støední] Nauè se kritickı útok
zts78e	[Pokroèilí] nauè se kritickı útok
zts79e	[Zaèáteèník] Rezistence proti jedu
zts80e	[støední] Rezistence proti jedu
zts81e	[støední] Rezistence proti jedu
zts82e	[Zaèáteèník] Rezistence proti nemocem
zts83e	[støední] Rezistence proti nemocem
zts84e	[Pokroèilí] Rezistence vùèi nemocem
zts85e	[Zaèáteèník] Rezistence proti magii
zts86e	[støední] Rezistence proti magii
zts87e	[Pokroèilí] Rezistence proti magii
zts88e	[Zaèáteèník] Všeobecná rezistence
zts89e	[støední] Všeobecná rezistence
zts90e	[Pokroèilí] Všeobecná rezistence
zts91e	[Zaèáteèník] Rezistence zdraví
zts92e	[støední] Rezistence zdraví
zts93e	[Pokroèilí] Rezistence zdraví
zts94e	[Zaèáteèník] Jóga
zts95e	[støední] Jóga
zts96e	[Pokroèilí] Jóga
zts97e	Úder zbraní
zts98e	Základní vıcvik dobrodruha
zts99e	Støela prakem
zts100e	Základní vıcvik pro dobrodruhy.
zts101e	Silná rána
zts102e	Díky silnému úderu zpùsobíš vìtší poškození.
zts103e	Kamenná cílová støela
zts104e	Pøesnım vıstøelem utrpí tvoji protivníci víc poškození.
zts105e	Toèitı úder
zts106e	Všichni soupeøi v okolí budou napadeni silnım rotujícím úderem.
zts107e	Nìkolikanásobnı úder
zts108e	Napadá útoèníky nìkolikanásobnımi údery.
zts109e	Bojovı vıkøik
zts110e	Zvyšuje útok a obranu
zts111e	Morální vıkøik
zts112e	Zvyšuje morálku
zts113e	Energickı úder
zts114e	Energie se kompletnì doplní, aby bylo u dalšího protivníka dosaeno silnìjšího útoku.
zts115e	Zachytit
zts116e	Energickı kolík
zts117e	Základní magickı vıcvik dobrodruhù
zts118e	Ultra super morální schopnost
zts119e	To je super klamající schopnost
zts120e	Administrátorská klamající schopnost 2
zts121e	Rána meèem
zts122e	Základní vıcvik bojovníkù s meèem
zts123e	Støelba z kuše
zts124e	Základní vıcvik bojovníkù s meèem
zts125e	Úder vzteku
zts126e	Existuje 2% monost se rozzuøit.
zts127e	Úder pomsty
zts128e	Napadne slabé místo protivníka.
zts129e	Energie meèe
zts130e	Energie meèe zpùsobí škodu okolo stojícím protivníkùm.
zts131e	Základní schopnost svìtla
zts132e	Útok hvìzd
zts133e	Pomocí silného úderu rukojeti meèe bude protivník v bezvìdomí.
zts134e	Zemská vlna
zts135e	Prudkı úder hromu na zemi, kterı zpùsobí vlnu šoku a všem okolo stojícím protivníkùm pøivodí škody.
zts136e	Základní schopnost ohnì
zts137e	Náraz vìtru
zts138e	Silnı náraz vìtru zpùsobí všem protivníkùm škody.
zts139e	Dvojitı útok
zts140e	Dvojitı útok meèem
zts141e	Dynamická støela
zts142e	Dynamické støílení z kuše zvyšuje útoènou sílu zdálky
zts143e	Zesmìšòovací støela
zts144e	Pøitahuje protivníkovu pozornost na tebe
zts145e	Dobití energie
zts146e	Dobíjí energii pro pøíští útok
zts147e	Krvavı spolek
zts148e	Odeètené HP bude pouito pro posílení následujících útokù
zts149e	Obrana
zts150e	Na urèitou dobu sniuje soupeøovu morálku
zts151e	Funguje pouze u protivníkù, jejich úroveò není o víc ne 3 stupnì vyšší ne tvoje
zts152e	Bouølivı útok
zts153e	Útoèí na protivníka velkou rychlostí
zts154e	Zastavit krvácení
zts155e	Zatavuje krvácení do úrovnì 3
zts156e	Pro pouití jsou zapotøebí bandáe
zts157e	Nové schopnosti
zts158e	Støílení lukem
zts159e	Základní vıcvik lukostøelcù.
zts160e	Bodnutí dıkou
zts161e	Základní vıcvik lukostøelcù.
zts162e	Cílená støela
zts163e	Zpùsobuje dodateèné poškození pøi útocích zdálky a zvyšuje míru zásahu.
zts164e	Intenzivní støela
zts165e	Protivník utrpí vìtší poškození díky silnému útoku zdálky.
zts166e	Pronikavá støela
zts167e	Provrtá protivníka a zpùsobí mu kritické poškození
zts168e	Zamìøení cíle
zts169e	Díky energickému útoku na nohy protivníka budou jeho nohy pomalejší
zts170e	Skákající støela
zts171e	Útok pøi skoku, kterı zpùsobí protivníkovi velké poškození, avšak ádné ztráty
zts172e	Razantní støela
zts173e	Tøi razantní po sobì jdoucí útoky na protivníka
zts174e	Déš šípù
zts175e	Spustí déš šípù na protivníka
zts176e	Smrtící bodnutí
zts177e	Další bodnutí dıkou, které protivníkovi zpùsobí smrtelná poranìní.
zts178e	Jedovatá dıka
zts179e	Spojí dıku se svaly ochromujícím jedem, kterı oslabí útoèné síly protivníka zblízka i z dálky.
zts180e	K pouití je zapotøebí jedovatıch rostlin.
zts181e	Bouøková rána
zts182e	Díky bouølivému bodnutí jednoduchou dıkou se stane protivník nepohyblivım.
zts183e	Smrtící støela
zts184e	Nabíjí energii pro následující útok zdálky
zts185e	Rychlost
zts186e	Zrychluje doèasnì postavu
zts187e	Sokolí oko
zts188e	Zvyšuje útoènou sílu a míru zásahu dobrodruhù a spoleèníkù.
zts189e	Rituál zbavující jedu
zts190e	Aby se prùvodci nebo pøátelé mohli zbavit jedu, je zapotøebí léèivıch rostlin.
zts191e	Jedovatı šíp
zts192e	Špice šípù budou na krátkou dobu otráveny
zts193e	Energickı kolík
zts194e	Základní vıcvik èarodìje
zts195e	Magická støela
zts196e	Základní vıcvik èarodìje
zts197e	Ohnivı kolík
zts198e	Magickı ohnivı útok
zts199e	Ledovı kolík
zts200e	Magickı vodní útok
zts201e	Magická raketa
zts202e	Støílí magickımi raketami, které u protivníka zpùsobují velké poškození
zts203e	Hod kamenem
zts204e	Nechá na protivníka seshora spadnout obrovskı kámen
zts205e	Ohnivı sloup
zts206e	Vytvoøí ohnivı sloup, kterım budou protivníci napadeni.
zts207e	Tornádo
zts208e	Okolní protivníci budou napadeni silnım tornádem
zts209e	Kouzelná støela
zts210e	Silná magická støela, která zesiluje útok kouzelné zbranì
zts211e	Explozivní kulka
zts212e	Protivník utrpí díky explozivní kulce velké poškození
zts213e	Obnovení magie
zts214e	Obnovuje magickou energii pro pøíští útoky, aby bylo zpùsobeno vyšší poškození.
zts215e	Ledovı štítek
zts216e	Vytvoøí štít, kterı sniuje poškození pøi útocích zdálky.
zts217e	Obnovení HP
zts218e	Uzdravuje krátkodobì HP jednoho èlena skupiny.
zts219e	Ochrana svìtla
zts220e	Vytváøí ochranu pøed stínovımi útoky pro všechny èleny skupiny
zts221e	Spánek
zts222e	Pøi pouití protivník usne a nemùe se hıbat nebo útoèit #13#10 Protivník se probudí, jakmile bude napadenı
zts223e	Absorpce HP
zts224e	Absorbuje protivníkovo HP a pøemìòuje ho ve vlastní MP
zts225e	Oslepnutí
