zts1e	Spezialangriff
zts2e	Angriff abbrechen
zts3e	Der Nahangriff ist unwirksam.
zts4e	Der Fernangriff ist unwirksam.
zts5e	Magie ist nicht erlaubt.
zts6e	Das Zielen ist unwirksam.
zts7e	Kein Angriff möglich
zts8e	Nahangriffe sind nicht erlaubt.
zts9e	Fernangriffe sind nicht erlaubt.
zts10e	Magische Angriffe sind nicht erlaubt.
zts11e	Der Angriff geht schief, wenn du dein Ziel verfehlst. (Nicht bei Magieangriffen)
zts12e	Spezielle Verteidigung
zts13e	Verteidigung unterbrechen
zts14e	Die Nahangriffsverteidigung ist unwirksam.
zts15e	Die Fernangriffsverteidigung ist unwirksam.
zts16e	Die Magieverteidigung ist unwirksam.
zts17e	Meiden unterbrechen
zts18e	Alle Verteidigungen sind außer Kraft gesetzt.
zts19e	Die Nahangriffsverteidigung ist außer Kraft gesetzt.
zts20e	Die Fernangriffsverteidigung ist außer Kraft gesetzt.
zts21e	Die Magieverteidigung ist außer Kraft gesetzt.
zts22e	Keine Verteidigung möglich
zts23e	Verändert die Angriffskraft.
zts24e	Verändert alle Angriffe.
zts25e	Verändert den Nahangriff.
zts26e	Verändert den Fernangriff.
zts27e	Verändert magische Angriffe.
zts28e	Verändert das Angriffslevel.
zts29e	Sämtliche Angriffe sind um %s erhöht.
zts30e	Sämtliche Angriffe sind um %s verringert.
zts31e	Der Nahangriff ist um %s erhöht.
zts32e	Nahangriff ist um %s verringert.
zts33e	Der Fernangriff ist um %s erhöht.
zts34e	Fernangriff ist um %s verringert.
zts35e	Die Magieangriffskraft ist um %s erhöht.
zts36e	Die Magieangriffskraft ist um %s verringert.
zts37e	Das Angriffslevel ist um %s erhöht.
zts38e	Das Angriffslevel ist um %s verringert.
zts39e	Verändert das Ziel.
zts40e	Verändert alle Ziele.
zts41e	Verändert das nahe Ziel.
zts42e	Verändert das ferne Ziel.
zts43e	Verändert die Konzentration.
zts44e	Die Hitrate bei allen Angriffen ist um %s erhöht.
zts45e	Die Hitrate bei allen Angriffen ist um %s verringert.
zts46e	Die Hitrate bei Nahangriffen ist um %s erhöht.
zts47e	Die Hitrate bei Nahangriffen ist um %s verringert.
zts48e	Die Hitrate bei Fernangriffen ist um %s erhöht.
zts49e	Die Hitrate bei Fernangriffen ist um %s verringert.
zts50e	Das Konzentrationsniveau ist während des Magieangriffs um %s erhöht.
zts51e	Das Konzentrationsniveau ist während des Magieangriffs um %s verringert.
zts52e	Verändert den kritischen Angriff.
zts53e	Verändert die Wahrscheinlichkeit, einen kritischen Treffer zu verursachen.
zts54e	Verändert den kritischen Angriffsschaden.
zts55e	Doppelter Schaden
zts56e	Verändert die kritische Angriffswahrscheinlichkeit des Gegners.
zts57e	Verändert den kritischen Angriffsschaden des Gegners.
zts58e	Die Wahrscheinlichkeit, einen kritischen Treffer zu verursachen, ist um %s%% erhöht.
zts59e	Die Wahrscheinlichkeit, einen kritischen Treffer zu verursachen, ist um %s%% verringert.
zts60e	Erhöht den Schaden durch kritische Treffer um %s%%.
zts61e	Wenn du kritische Treffer verursachst, reduziert sich der Schaden um %s%%.
