zts1e	Neuer Gegenstand
zts2e	[n]
zts3e	Holzstock
zts4e	Erste Waffe der in NosVille neu angekommenen Abenteurer.[n][n]
zts5e	Holzknüppel
zts6e	Ein harter Holzknüppel, der zusätzlichen Schaden verursacht.[n][n]
zts7e	Holzschwert
zts8e	Ein hölzernes Schwert, geeignet zur Ausbildung eines Abenteurers.[n][n]
zts9e	Holzhammer
zts10e	Ein Hammer aus besonders hartem Holz.[n][n]
zts11e	Schwerer Holzhammer
zts12e	Ein schwerer Holzhammer der zusätzlichen Schaden verursacht.[n][n]
zts13e	Holzschwert des Lehrlings
zts14e	Ein Schwert für unerfahrene Abenteurer.[n][n]
zts15e	Schwert des Abenteurers
zts16e	Ein stählernes Schwert für Abenteurer.[n][n]
zts17e	Holzschleuder
zts18e	Die erste Zweitwaffe neu in NosVille angekommener Abenteurer.[n][n]
zts19e	Schwere Holzschleuder
zts20e	Schwere Holzschleuder, die zusätzlichen Schaden verursacht.[n][n]
zts21e	Holzschleuder des Lehrlings
zts22e	Eine Schleuder für unerfahrene Abenteurer.[n][n]
zts23e	Schleuder des Abenteurers
zts24e	Eine Stahlschleuder für Abenteurer.[n][n]
zts25e	Kleidung
zts26e	Kleidung für Abenteurer-Neuankömmlinge.[n][n]
zts27e	Trainingsuniform
zts28e	Diese Uniform wird beim Training getragen.[n][n]
zts29e	Abenteurerkleidung
zts30e	Sehr beliebte Abenteurerkleidung. Sie schützt vor den Nachwirkungen der Wiederbelebung.[n][n]
zts31e	Trainingsrüstung
zts32e	Eine besonders bequeme Trainingsuniform.[n][n]
zts33e	Mantelset des Reisenden
zts34e	Hält Reisende warm, wenn sie im Freien schlafen.[n][n]
zts35e	Warmes Mantelset
zts36e	Umhüllt und wärmt.[n]Schützt vor den Nachwirkungen der Wiederbelebung.[n][n]
zts37e	Anfängerschwert
zts38e	Ein Geschenk für angehende Schwertkämpfer.[n]Abenteurer können diese Waffe nicht benutzen.[n][n]
zts39e	Kurzschwert
zts40e	Dieses Schwert ist unter angehenden Schwertkämpfern besonders beliebt.[n][n]
zts41e	Schwert des Leidens
zts42e	Dieses Schwert wurde aus den Waffen besiegter Soldaten geschmiedet.[n]Erhöht die Chance auf kritische Treffer.[n]
zts43e	Kurzes Schwert
zts44e	Wird von gewöhnlichen Schwertkämpfern benutzt.[n][n]
zts45e	Bronzenes Schwert
zts46e	Mit Bronze verziertes Schwert, dass die Chance auf kritische Treffer erhöht.[n][n]
zts47e	Säbel
zts48e	Unter den Schwertkämpfern ist dieser Säbel weit verbreitet.[n][n]
zts49e	Breitschwert des Geistes
zts50e	Dieses Schwert stammt von einem gefallenen Soldaten, dessen Geist noch immer im Inneren gefangen ist.[n]Erhöht die Angriffskraft des Feuerelements.[n][n]
zts51e	Falchion
zts52e	Einschneidige Hiebwaffe mit langem Griff.[n]Durch sein geringes Gewicht kann diese Waffe einhändig bedient werden.[n][n]
zts53e	Goldener Säbel
zts54e	Ein goldgeschmücktes Schwert, das die Chance auf kritische Treffer durch das Feuerelement erhöht.[n][n]
zts55e	Breitschwert
zts56e	Ein Schwert mit einer ungewöhnlich breiten Klinge.[n][n]
zts57e	Langschwert der Macht
zts58e	Eine dunkle Macht erhöht den Schaden.[n][n]
zts59e	Breitschwert
zts60e	Ein gewöhnliches Breitschwert mit einem angenehmen Griff.[n][n]
zts61e	Skyabona
zts62e	Eine mysteriöse Kraft beschützt den Träger dieses Schwertes vor gegnerischen Angriffen.[n][n]
zts63e	Claymore
zts64e	Nur die besten Schwertkämpfer erhalten dieses Schwert.[n]Erhöht die Angriffskraft des Wasserelements.[n][n]
zts65e	Anfängerbogen
zts66e	Ein Geschenk für angehende Bogenschützen.[n]Abenteurer können diese Waffe nicht benutzen.[n][n]
zts67e	Kleiner Bogen
zts68e	Ein kleiner Bogen aus Holz.[n][n]
zts69e	Bogen der Geschwindigkeit
zts70e	Ein dünner, leichter Bogen, dessen Geschwindigkeit die Hitrate deutlich erhöht.[n][n]
zts71e	Bambusbogen
zts72e	Das ist ein instabiler Bogen, der aus Bambus angefertigt wurde.[n][n]
zts73e	Magischer Bogen
zts74e	Ein verstärkter Bogen der Geschwindigkeit.[n]Erhöht den Schaden und die Hitrate.[n][n]
zts75e	Eichenbogen
zts76e	Um diesen Bogen robust zu gestalten, wurde er aus Eichenholz gefertigt.[n][n]
zts77e	Bogen des Windes
zts78e	Ein alter Gelehrter, der die Winde erforschte, verlieh diesem Bogen seine Form.[n]Nutze den Wind, um deine Angriffskraft zu verstärken.[n][n]
zts79e	Hornbogen
zts80e	Ein sehr beliebter Bogen mit einem Horn.[n][n]
zts81e	Lederbogen
zts82e	Ein mit Rindsleder verzierter Bogen.[n]Verursacht kritischen Schaden.[n][n]
zts83e	Jagdbogen
zts84e	Typischer Jagdbogen mit hoher Stabilität, der sich besonders zur Wildjagd eignet.[n][n]
zts85e	Bogen des Mutes
zts86e	Waffe für mutige Bogenschützen.[n]Durch das Hinzufügen des Feuerelements wird der Schaden erhöht.[n][n]
zts87e	Langbogen
zts88e	Unterscheidet sich durch seine Länge von herkömmlichen Bögen.[n][n]
zts89e	Bronzebogen
zts90e	Der Bogen des Mutes wurde mit Bronzeplatten versehen,[n]um die Verteidigungskraft zu erhöhen.[n][n]
zts91e	Bogen des Geistes
zts92e	Durch die Macht des Geistes verstärkter Bogen.[n]Erhöht sämtliche Elementarkräfte.[n][n]
zts93e	Anfängerzauberstab
zts94e	Ein Geschenk für angehende Magier.[n]Abenteurer können diese Waffe nicht benutzen.[n][n]
zts95e	Roter Perlenzauberstab
zts96e	Ein Zauberstab, dessen Spitze mit einer roten Perle verziert wurde.[n][n]
zts97e	Zauberstab des Geistes
zts98e	Die mysteriöse Macht der blauen Perle verleiht diesem Zauberstab zusätzliche magische Kräfte, um dein Mana zu erhöhen.[n][n]
zts99e	Rubinzauberstab
zts100e	Dieser Zauberstab ist wegen seiner Verzierung mit einem großen Rubin sehr beliebt unter den jungen Magiern.[n][n]
zts101e	Magischer Zauberstab
zts102e	Durch die Macht eines geheimnisvollen Puders erhält diese Waffe besondere Fähigkeiten, um magische Angriffe zu erleichtern.[n][n]
zts103e	Blauer Perlenzauberstab
zts104e	Ein Zauberstab, dessen Spitze mit einer blauen Perle verziert wurde.[n][n]
zts105e	Zauberstab des Lichts
zts106e	Ein mysteriöses Licht umgibt diese Waffe und verstärkt deinen Angriff, während es zusätzlich deine Regeneration verbessert.[n][n]
zts107e	Zauberrute mit Opal
zts108e	Diese Zauberrute ist mit Opalen geschmückt, um ein wundersames Aussehen zu erhalten.[n][n]
zts109e	Manaherstellender Zauberstab
zts110e	Erhöht deinen Manavorrat und deine Manaregeneration.[n][n]
zts111e	Korallenbesetzter Zauberstab
zts112e	Dieser Zauberstab wurde mit Korallen aus den Tiefen des Ozeans verziert.[n][n]
zts113e	Zauberstab der Ehre
zts114e	Nur ehrwürdigen Magiern ist es gestattet, diesen Zauberstab gegen die Mächte des Bösen einzusetzen.[n][n]
zts115e	Kristallzauberstab
zts116e	Der eisige Glanz der luxuriösen Kristalle, mit denen diese Waffe geschmückt wurde, flößt deinen Gegnern unheimliche Angst ein.[n][n]
zts117e	Zauberstab der Intelligenz
zts118e	Reinigt die Seele seines Besitzers mit der Macht der Elemente und erhöht somit deine Mana- und Lebenspunkte.[n][n]
zts119e	Zauberstab des Schattens
zts120e	Von dunklen Mächten besessen, kann dieser Zauberstab für deine Gegner schlimme Folgen haben.[n][n]
zts121e	Lederhandschuhe
zts122e	Diese Handschuhe aus weichem Leder erhöhen die Fernangriffskraft ihres Trägers.[n][n]
zts123e	Haltbare Handschuhe
zts124e	Verhindern, dass dir die Waffe wegrutscht. [n] Verbesserte Nahkampfstärke [n][n]
zts125e	Abenteurerschuhe
zts126e	Nur für Abenteurer.[n][n]
zts127e	Stöckelschuhe
zts128e	Hochwertig verarbeitet.[n][n]
zts129e	Lederschuhe
zts130e	Aus Leder gefertigte Schuhe.[n][n]
zts131e	Rollschuhe
zts132e	Können sehr schnell Gleiten [n] ursprünglich zum Tanzen benutzt [n][n]
zts133e	Schwert des Meisters
zts134e	Dieses Schwert wird von erfahrenen Abenteurern benutzt.[n][n]
zts135e	Schleuder des Meisters
zts136e	Erfahrene Abenteurer benutzen diese Waffe nach beenden ihrer Lehrlingszeit.[n][n]
zts137e	Anfängerarmbrust
zts138e	Eine Zweitwaffe für angehende Schwertkämpfer.[n][n]
zts139e	Armbrust aus Eichenholz
zts140e	Stabile Armbrust, die aus Eichenholz gefertigt wurde.[n][n]
zts141e	Feenarmbrust
zts142e	Armbrust der Wächter des Waldes, mit einer erhöhten Hitrate.[n][n]
zts143e	Dünne Handschuhe
zts144e	Unbrauchbar.[n][n]
zts145e	Gummihandschuhe
zts146e	Beschichtete Handschuhe.[n]Damit kann man selbst schwere Gegenstände mühelos tragen.[n][n]
zts147e	Stählerne Armbrust
zts148e	Eine schwere, aus Stahl gefertigte Armbrust. Erhöht die Angriffskraft.[n][n]
zts149e	Meisterliche Armbrust
zts150e	Diese luxuriöse und gut balancierte Armbrust ist das Meisterwerk eines sehr berühmten Schmiedes.[n][n]
zts151e	Armbrust der Schatten
zts152e	Eine gewöhnliche Armbrust mit einem komfortablen Griff, die von dunklen Mächten umgeben ist.[n][n]
zts153e	Buchenholzarmbrust
zts154e	Die sorgfältige Herstellung aus Buchenholz, macht ein schnelles Nachladen dieser Waffe zu jeder Zeit möglich.[n][n]
zts155e	Armbrust des Mutes
zts156e	Die Geister der edelmütigen Schwertkämpfer, die diese Waffe einst trugen, erhöhen die Moral seines Besitzers.[n][n]
zts157e	Anfängerdolch
zts158e	Eine Zweitwaffe für angehende Bogenschützen.[n][n]
zts159e	Dolch
zts160e	Unauffälliger Dolch, der aus Stahl gefertigt wurde.[n][n]
zts161e	Dolch der Qual
zts162e	In drastischen Situationen erhöht dieser Dolch die Wahrscheinlichkeit eines kritischen Treffers.[n][n]
zts163e	Edler Dolch
zts164e	Mit Schmuck verzierter Dolch, dessen Angriffskraft deutlich erhöht ist.[n][n]
zts165e	Meisterhafter Dolch
zts166e	Dieser luxuriöse und gut balancierte Dolch ist das Meisterwerk eines sehr berühmten Schmiedes.[n][n]
zts167e	Messingdolch
zts168e	Ein gewöhnlicher Dolch aus Messing.[n][n]
zts169e	Rubindolch
zts170e	Dieser mit Rubinen verzierte Dolch ist der Stolz eines jeden Bogenschützen.[n][n]
zts171e	Dolch des Geistes
zts172e	Mit der Macht des Geistes werden alle Elemente durch Verwendung dieses Dolches verbessert.[n][n]
zts173e	Anfängerzauberwaffe
zts174e	Eine Zweitwaffe für angehende Magier.[n][n]
zts175e	Kleine Zauberwaffe
zts176e	Eine kleine, nicht sehr leistungsstarke Waffe, die für Anfänger der Magie besonders geeignet ist.[n][n]
zts177e	Magische Zauberwaffe
zts178e	Diese Waffe wird von einer mächtigen weißen Magie umgeben und lässt der schwarzen Magie keine Möglichkeit sie zu zerstören.[n][n]
zts179e	Goldene Zauberwaffe
zts180e	Seine auffällige, goldene Verzierung zieht die Aufmerksamkeit aller Magier auf sich und ist daher sehr begehrt.[n][n]
zts181e	Meisterhafte Zauberwaffe
zts182e	Diese Waffe ist das Meisterwerk eines berühmten Schmiedes. Ihre hohe Stabilität und Angriffskraft setzen deinen Gegnern besonders starke Angriffe entgegen.[n][n]
zts183e	Messingzauberwaffe
zts184e	Eine schwere, aber widerstandsfähige Waffe aus Messing.[n][n]
zts185e	Edelmütige Zauberwaffe
zts186e	Edelmütige Magier wählen diese Waffe besonders gerne, weil sie magische Angriffe verstärkt.[n][n]
zts187e	Zauberwaffe des Schattens
zts188e	Diese mächtige Waffe fügt Gegnern verheerenden Schaden zu.[n][n]
zts189e	Rüstung für angehende Schwertkämpfer
zts190e	Gehört zur Grundausstattung eines Schwertkämpfers.[n][n]
zts191e	Gepolsterte Rüstung
zts192e	Eine gepolsterte Rüstung mit geringer Verteidigungskraft.[n][n]
zts193e	Steppstoffrüstung
zts194e	Mehrere Schichten gesteppte Baumwolle,[n]leicht und warm.[n][n]
zts195e	Lederrüstung
zts196e	Eine Rüstung aus gegerbtem Leder.[n][n]
zts197e	Rüstung der Ausdauer
zts198e	Erhöht Kraft und Ausdauer.[n][n]
zts199e	Bolzen-Lederrüstung
zts200e	Mit Metallstücken verstärkte Lederrüstung.[n]Ihre Verteidigungskraft ist nicht besonders ausgeprägt.[n][n]
zts201e	Verstärkte Lederrüstung
zts202e	Eine doppellagige Rüstung aus gegerbtem Leder.[n]Ein Federgewicht mit hoher Verteidigungskraft.[n][n]
zts203e	Schuppenrüstung
zts204e	Wurde zusammengesetzt aus Metallschuppen.[n][n]
zts205e	Rüstung der Moral
zts206e	Diese Rüstung stärkt deine Moral.[n][n]
zts207e	Plattenrüstung
zts208e	Eine mit Stahlplatten versehene Rüstung.[n][n]
zts209e	Goldene Nietenrüstung
zts210e	Eine prachtvoll verzierte Rüstung mit goldenen Nieten.[n]Sie ist zwar schwer, erhöht jedoch die Magieverteidigung erheblich.[n][n]
zts211e	Brigantine
zts212e	Hat dichter angeordnete Stahlplatten als die 'Plattenrüstung'
zts213e	Rüstung des Mutes
zts214e	Erhöht die Angriffskraft des Trägers.[n][n]
zts215e	Tunika für angehende Bogenschützen
zts216e	Gehört zur Grundausstattung eines Bogenschützen.[n][n]
zts217e	Lammledertunika
zts218e	Eine Tunika aus Lammleder.[n][n]
zts219e	Velourstunika
zts220e	Bequemes Kunst-Rauleder.[n]Erhöht die Wahrscheinlichkeit auf kritische Treffer für alle Waffen geringfügig.[n][n]
zts221e	Ziegenledertunika
zts222e	Eine Tunika aus Ziegenleder.[n][n]
zts223e	Tunika des Meidens
zts224e	So leicht und bequem fühlt sie sich an, als ob du überhaupt keine Rüstung trägst.[n]Dadurch bist du beweglicher und kannst Nahkampfangriffen besser ausweichen.[n][n]
zts225e	Kalbsfelltunika
zts226e	Eine Tunika aus Kalbsfell.[n][n]
zts227e	Wildledertunika
zts228e	Eine bequeme, warme Tunika aus weichem Rauleder.[n]Stellt HP und MP wieder her.[n][n]
zts229e	Rindsledertunika
zts230e	Eine Tunika aus Rindsleder.[n][n]
zts231e	Tunika des Adlerauges
zts232e	Die verbesserte Sehkraft erhöht deine Angriffskraft[n][n]
zts233e	Pekaritunika
zts234e	Eine Tunika aus Schweineleder.[n][n]
zts235e	Nubuktunika
zts236e	Weich angerautes Rindsleder.[n]Schützt dich im Nahkampf[n][n]
zts237e	Toskanatunika
zts238e	Mit weichen Pelz gefüttert[n][n]
zts239e	Geistertunika
zts240e	Diese Tunika wird von Geistern beschützt und hat eine hohe Verteidigungskraft.[n][n]
zts241e	Gewand für angehende Magier
zts242e	Gehört zur Grundausstattung eines Magiers.[n][n]
zts243e	Baumwollgewand
zts244e	Ein Gewand aus Baumwolle.[n][n]
zts245e	Magisches Baumwollgewand
zts246e	Umhüllt dich mit Magie.[n]Stellt HP wieder her.[n][n]
zts247e	Leinengewand
zts248e	Ein dünnes Gewand aus verwobenen Fasern.[n]Blockiert Fernangriffe.[n][n]
zts249e	Robe der Wiederherstellung
zts250e	Schärft den Verstand.[n]Stellt MP wieder her und blockiert Nahangriffe.[n][n]
zts251e	Tweedrobe
zts252e	Eine Robe aus robustem Garn,[n]die sich zur Nahangriffsverteidigung eignet und gegen Feuer resistent ist.[n][n]
zts253e	Verbessertes Leinengewand
zts254e	Das Leinengewand, bestehend aus Baumwolle und Leinenstoff, erhöht die Widerstandsfähigkeit.[n]Und es dämpft Nahkampftreffer ab.[n][n]
zts255e	Musselinrobe
zts256e	Eine leichte, warme, elastische Robe.[n][n]
zts257e	Robe der Elemente
zts258e	Erhöht sämtliche Elementresistenzen.[n][n]
zts259e	Seidengewand
zts260e	Ein luxuriöses Gewand aus Seide.[n][n]
zts261e	Karierte Robe
zts262e	Ihr ungewöhnliches Muster verstärkt magische Effekte.[n][n]
zts263e	Robe mit Fischgrätenmuster
zts264e	Das elegante Muster verleiht dem Träger ein intellektuelles Äußeres.[n][n]
zts265e	Gewand der Finsternis
zts266e	Stürzt deine Angreifer ins Verderben.[n][n]
zts267e	Mantel der alten Abenteurer
zts268e	Wird bevorzugt von alten Abenteurern getragen.[n][n]
zts269e	Kovoltmaske (Crew)
zts270e	Gladius
zts271e	Ein Kurzschwert für Gladiatoren.[n]Erhöht die Moral und die Wahrscheinlichkeit, kritischen Schaden zu verursachen.[n][n]
zts272e	Wallonisches Schwert
zts273e	Unauffälliges Schwert, das aus Stahl gefertigt wurde.[n][n]
zts274e	Wikingersäbel
zts275e	Ein von Dunkelenergie erfüllter Säbel für unerschrockene Krieger.[n][n]
zts276e	Entermesser
zts277e	Erhöht die Moral jener, die dieses Schwert verwenden.[n][n]
zts278e	Katzbalger
zts279e	Erhöht die Chance auf kritische Treffer und den Schaden.[n][n]
zts280e	Ritterschwert
zts281e	Eine Klinge für mutige Ritter, versehen mit der Energie eines mächtigen Lichtes.[n][n]
zts282e	Totschläger
zts283e	Seine dunklen Mächte fügen dem Gegner kritischen Schaden zu.[n][n]
zts284e	Bogen des Lebens
zts285e	Ein dünner Bogen, der kritischen Schaden verursachen kann.[n][n]
zts286e	Flammenbogen
zts287e	Ein Bogen mit dem Feuerelement.[n][n]
zts288e	Synthetischer Bogen
zts289e	Ein robuster, tödlicher Bogen.[n][n]
zts290e	Doppelbogen
zts291e	Durch den Angriff mit dem Lichtelement verursacht der Bogen zusätzlichen Schaden.[n][n]
zts292e	Wilder Bogen
zts293e	Ist von Dunkelenergie erfüllt und macht furchtlos.[n][n]
zts294e	Großer Bogen
zts295e	Durch die Macht des Wasserelements lässt dieser Bogen deine Gegner großen Schaden erleiden.[n]
zts296e	Belagerungsbogen
zts297e	Erhöhter kritischer Schaden durch Einbindung des Feuerelements.[n][n]
zts298e	Zauberstab des Lebens
zts299e	Haucht seinem Träger Lebensenergie ein.[n][n]
zts300e	Flammenzauberstab
zts301e	Erhöht das Feuerelement, verringert jedoch gleichzeitig das Wasserelement.[n][n]
zts302e	Eisige Zauberrute
zts303e	Die konzentrierte Energie des Wassers verwandelt diese Rute in eine mächtige Waffe.[n][n]
zts304e	Loons Zauberrute
zts305e	Diese Rute wurde mit einem Zauber belegt, um den Schaden zu erhöhen.[n][n]
zts306e	Zauberstab
zts307e	Dieser Zauberstab bezieht seine Kraft aus zwei unterschiedlichen Energiequellen, wodurch der MP-Verbrauch deutlich gesenkt wird.[n][n]
zts308e	Heiliger Zauberstab
