zts1e	NosVille
zts2e	NosVille-Wiesen
zts3e	Minenprärie
zts5e	Verzauberter Pfad
zts6e	Fernonvorposten
zts8e	Westlicher Krem
zts9e	Östlicher Krem
zts10e	Gipfel des Krem
zts12e	Steinklippe
zts15e	Stillgelegte Mine
zts21e	Sonnige Wiesen
zts22e	Fernontempel
zts23e	Geheimes Labor
zts24e	Fernongruft
zts25e	Fernontempelturm
zts26e	NosCamp-Höhle
zts27e	Tiefe Höhle
zts28e	Nebliges Tal
zts29e	Abendrotklippe
zts30e	Höhle der Geister
zts31e	Berghöhle
zts32e	Shanera Dungeon
zts33e	Tannenwald
zts34e	Tannenwaldrand
zts35e	Flussbergwerk
zts36e	Erdtunnel
zts37e	Felsenklippe
zts38e	Ahornwald
zts39e	Ahornwaldrand
zts40e	Waldgrund
zts41e	Seli-Lusha
zts42e	Untergrundpfad
zts43e	Zitadelle
zts44e	Bitoren-Tundra
zts45e	Shares Schlucht
zts46e	Port Alveus-Platz
zts47e	Port Alveus-Markt
zts48e	Schiff
zts49e	Nördliche Eiswüste
zts50e	Lortenwald
zts51e	Ozean des Radikun
zts52e	Ozean des Radikun
zts53e	Hühnerfarmpfad
zts54e	Westliche Mine 1
zts55e	Westliche Mine 2
zts56e	Jellyeingang
zts57e	Nördliche Mine
zts58e	Ginsengfarmeingang
zts59e	Verzauberter Pfad
zts60e	Zauberturm
zts61e	Fernontempel 1
zts62e	Geheime Hühnerfarm
zts63e	Geheimer Raum
zts64e	Fernontempel 2-10
zts65e	Fernontempel U1
zts66e	Östlicher Ausgang
zts67e	Nördlicher Ausgang
zts68e	Westlicher Ausgang
zts69e	Fernontempel U2
zts70e	Rätselhafte Pforte
zts71e	Zickzack-Pfad
zts72e	Tor d. Totenklage
zts73e	Fernongruft 1
zts74e	Spirallabyrinth O
zts75e	Spirallabyrinth W
zts76e	Fernongruft 2
zts77e	Fernongruft 3
zts78e	Fernongruft 4
zts79e	Spirallabyrinth N
zts80e	Spirallabyrinth S
zts81e	Westlicher Krem
zts82e	Östlicher Krem
zts83e	Gipfel des Krem
zts84e	Berghöhle 1
zts85e	Berghöhle 2
zts86e	Berghöhle 3
zts87e	Rote Zone
zts88e	Grüne Zone
zts89e	Blaue Zone
zts90e	Kalter Tunnel
zts91e	Berghöhle 4
zts92e	Berghöhle 5
zts93e	Berghöhle 6
zts94e	Geheimer Spalt
zts95e	Labyrinth der Qual
zts96e	Dunstiger Pfad
zts97e	Spinnenhöhlenpfad
zts98e	Verwüstete Zone
zts99e	Gelbe Zone
zts100e	Zitadelle der Engel
zts101e	Zitadelle der Dämonen
zts102e	Westl. Frostland
zts103e	Östl. Frostland
zts104e	Morcos' Thron
zts105e	Kluft d. Finsternis
zts106e	Calvinas' Nest
zts107e	Wüstenhafen Mortaz
zts108e	Hafenumgebung
zts109e	Neils Lagerumfeld
zts110e	Neils Lager
zts111e	Händlerlager Ost
zts112e	Räuberlagerumfeld
zts113e	Wüstenräuberlager
zts114e	Melkis Lagerumfeld
zts115e	Melkis Lager
zts116e	Akamurlager
zts117e	Händlerlager West
zts118e	Kerus Lagerumfeld
zts119e	Kerus Lager
zts120e	Gartons Lagerumfeld
zts121e	Gartons Lager
zts122e	Tempelpfad
zts123e	Tempelplatz
zts124e	Verlorene Wüste
zts125e	Wüstenadlerstadt
zts126e	Zone des Chaos
zts127e	Umfeld des Chaos
zts128e	Räuberinnenhof
zts129e	Räuberzentrum
zts130e	Asterinnenhof
zts131e	Asterzentrum
zts132e	Rashidinnenhof
zts133e	Rashidzentrum
zts134e	Pfad zum Altar
zts135e	Geheimpfad
zts136e	Fernongruft 3
zts137e	Fernongruft 5
zts138e	Kristallhöhle
zts139e	Kristallaltar
zts210e	Nordwüste
zts211e	Vulkanpforte
zts212e	Kertos' Fänge
zts213e	Ostpfad
zts214e	Westpfad
zts215e	Valakus' Klauen
zts216e	Phönixschwingen
zts217e	Linke Schwinge
zts218e	Rechte Schwinge
zts219e	Katols Straße
zts220e	Kertos' Höhle
zts221e	Valakus' Höhle
zts222e	Grenigasplatz
zts4900e	Braunes Buschi-Kostüm (unbegrenzt)
zts4903e	Brauner Buschi-Hut (unbegrenzt)
zts8620e	Wenn du das Kostüm anziehst, siehst du aus wie ein Buschi.[n][Effekt][n]Vermindert den Schaden um 80 % mit einer Wahrscheinlichkeit von 5 %.[n]Erhöht die Lichtresistenz um 2 %.[n]
zts8621e	Wenn du den Hut aufsetzt, siehst du aus wie ein Buschi.[n][Verteidigungseffekt][n]Erzeugt beim Gegner einen [Blackout] mit 3% Wahrscheinlichkeit.[n]Erhöht die Lichtresistenz um 2 %.[n]
zts16422e	Perle für Fortbewegungsmittel
zts16423e	In der Perle kannst du ein Fortbewegungsmittel aufbewahren.[n]Somit kannst du damit handeln.[n][Benutzen][n]Mit einem Doppelklick öffnest du das entsprechende Fenster.[n]Ziehe nun das Fortbewegungsmittel in den Slot,[n]klicke auf „Fortbewegungsmittel aufbewahren“ und es wird in die Perle gelegt.[n]Um es wieder herauszuholen, doppelklicke auf die Perle.[n][Achtung] Die Perle verschwindet, wenn du das Fortbewegungsmittel herausgenommen hast.[n]
zts16465e	Schwarzes Buschi-Kostüm (unbegrenzt)
zts16466e	Blaues Buschi-Kostüm (unbegrenzt)
zts16467e	Grünes Buschi-Kostüm (unbegrenzt)
zts16468e	Rotes Buschi-Kostüm (unbegrenzt)
