zts1e	Ausruhen
zts2e	Aufheben
zts3e	Shop öffnen
zts4e	Zur einer Schlacht anmelden
zts5e	Zeitkreis
zts6e	Unspezifiziert
zts7e	[Einfach] Verstärkter Angriff
zts8e	Erhöht die Körperkraft um 3.
zts9e	Verbessert den Angriff und die Verteidigung in Nahkämpfen.
zts10e	[Mittel] Verstärkter Angriff
zts11e	Erhöht die Körperkraft um 12.
zts12e	[Fortgeschritten] Verstärkter Angriff
zts13e	Meisterhafter Angriff
zts14e	[Einfach] Geschwindigkeitsausbildung
zts15e	Erhöht die Geschicklichkeit um 3.
zts16e	Erhöht die Hitrate und das Meiden sowie die Geschwindigkeit des Fernangriffs und der Fernangriffsverteidigung.
zts17e	[Mittel] Geschwindigkeitsausbildung
zts18e	Erhöht die Geschicklichkeit um 12.
zts19e	Erhöht die Hitrate und das Meiden sowie die Geschwindigkeit des Fernangriffs und der Fernangriffsverteidigung.
zts20e	[Fortgeschritten] Geschwindigkeitsausbildung
zts21e	[Hervorragend] Geschwindigkeitsausbildung
zts22e	[Einfach] Geistesverstärkung
zts23e	Erhöht die Geisteskraft um 4.
zts24e	Erhöht den Magieangriff und die Magieverteidigung.
zts25e	[Mittel] Geistesverstärkung
zts26e	Erhöht die Geisteskraft um 15.
zts29e	[Einfach] Bruttechnik
zts30e	[Mittel] Bruttechnik
zts31e	[Fortgeschritten] Bruttechnik
zts32e	[Hervorragend] Bruttechnik
zts33e	[Einfach] Lebensverlängerung
zts34e	Erhöht die HP dauerhaft um 50.
zts35e	[Mittel] Lebensverlängerung
zts36e	Erhöht die HP dauerhaft um 100.
zts37e	[Fortgeschritten] Lebensverlängerung
zts38e	[Hervorragend] Lebensverlängerung
zts39e	[Einfach] Mentales Training
zts40e	Erhöht die MP dauerhaft um 50.
zts41e	[Mittel] Mentales Training
zts42e	Erhöht die MP dauerhaft um 100.
zts43e	[Fortgeschritten] Mentales Training
zts44e	[Hervorragend] Mentales Training
zts45e	[Einfach] Effizienter Angriff
zts46e	Erhöht die Angriffskraft um 2.
zts47e	[Mittel] Effizienter Angriff
zts48e	Erhöht die Angriffskraft um 6.
zts51e	[Einfach] Selbstverteidigung
zts52e	Erhöht die Verteidigung um 3.
zts53e	[Mittel] Selbstverteidigung
zts54e	Erhöht die Verteidigung um 8.
zts57e	[Einfach] HP-Erholung
zts58e	Erhöht die HP-Erholung um 20.
zts59e	[Mittel] HP-Erholung
zts60e	Erhöht die HP-Erholung um 50.
zts61e	[Fortgeschritten] HP-Erholung
zts62e	[Hervorragend] HP-Erholung
zts63e	[Einfach] MP-Erholung
zts64e	Erhöht die MP-Erholung um 20.
zts65e	[Mittel] MP-Erholung
zts66e	Erhöht die MP-Erholung um 50.
zts67e	[Fortgeschritten] MP-Erholung
zts68e	[Hervorragend] MP-Erholung
zts70e	Erholt langsam die HP und MP.
