zts1e	Kleiner Fuchs
zts2e	Fuchs
zts3e	Großer Fuchs
zts4e	Müder Dusifuchs
zts5e	Dusifuchs
zts6e	Nervöser Dusifuchs
zts7e	Glücklicher Otofuchs
zts8e	Otofuchs
zts9e	Wütender Otofuchs
zts10e	Glückliches Wollie
zts11e	Wollie
zts12e	Wütendes Wollie
zts13e	Kleiner Mufflon
zts14e	Mufflon
zts15e	Großer Mufflon
zts16e	Müder Widder
zts17e	Widder
zts18e	Nervöser Widder
zts19e	Glückliches Mandra
zts20e	Mandra
zts21e	Wütendes Mandra
zts22e	Schwaches Grasmandra
zts23e	Grasmandra
zts24e	Starkes Grasmandra
zts25e	Kleiner Dander
zts26e	Dander
zts27e	Großer Dander
zts28e	Schwacher Giftdander
zts29e	Giftdander
zts30e	Starker Giftdander
zts31e	Schwaches Seedle
zts32e	Seedle
zts33e	Starkes Seedle
zts34e	Leichtes Feuerseedle
zts35e	Feuerseedle
zts36e	Schweres Feuerseedle
zts37e	Weiches Pii
zts38e	Pii
zts39e	Hartes Pii
zts40e	Kleines Wildpii
zts41e	Wildpii
zts42e	Großes Wildpii
zts43e	Faules Dornenpii
zts44e	Dornenpii
zts45e	Schnelles Dornenpii
zts46e	Weiche Pii-Schote
zts47e	Pii-Schote
zts48e	Harte Pii-Schote
zts49e	Kleine Wildpii-Schote
zts50e	Wildpii-Schote
zts51e	Große Wildpii-Schote
zts52e	Faule Dornenpii-Schote
zts53e	Dornenpii-Schote
zts54e	Schnelle Dornenpii-Schote
zts55e	Schwacher Vampie
zts56e	Vampie
zts57e	Starker Vampie
zts58e	Schwacher Feuervampie
zts59e	Feuervampie
zts60e	Starker Feuervampie
zts61e	Schwacher Teufelsvampie
zts62e	Teufelsvampie
zts63e	Starker Teufelsvampie
zts64e	Müder Walker
zts65e	Walker
zts66e	Nervöser Walker
zts67e	Müder Thornwalker
zts68e	Thornwalker
zts69e	Nervöser Thornwalker
zts70e	Müder Stonewalker
zts71e	Stonewalker
zts72e	Nervöser Stonewalker
zts73e	Kleiner Imp
zts74e	Imp
zts75e	Großer Imp
zts76e	Glücklicher Hornimp
zts77e	Hornimp
zts78e	Wütender Hornimp
zts79e	Kleiner Teufelsimp
zts80e	Großer Teufelsimp
zts81e	Teufelsimp
zts82e	Müdes rosa Jelly
zts83e	Rosa Jelly
zts84e	Nervöses rosa Jelly
zts85e	Müdes rotes Jelly
zts86e	Rotes Jelly
zts87e	Nervöses rotes Jelly
zts88e	Müdes dunkles Jelly
zts89e	Nervöses dunkles Jelly
zts90e	Dunkles Jelly
zts91e	Schwacher Gargs
zts92e	Gargs
zts93e	Starker Gargs
zts94e	Verrückter Gargs
zts95e	Wahnsinniger Gargs
zts96e	Psychotischer Gargs
zts97e	Glücklicher Hamster
zts98e	Hamster
zts99e	Wütender Hamster
zts100e	Schwacher Gifthamster
zts101e	Gifthamster
zts102e	Starker Gifthamster
zts103e	Kleiner Stahlhamster
zts104e	Stahlhamster
zts105e	Großer Stahlhamster
zts106e	Glücklicher Bergmann
zts107e	Bergmann
zts108e	Wütender Bergmann
zts109e	Schwacher Expy-Bergmann
zts110e	Expy-Bergmann
zts111e	Starker Expy-Bergmann
zts112e	Müder Ober-Bergmann
zts113e	Ober-Bergmann
zts114e	Nervöser Ober-Bergmann
zts115e	Schwertkampfschüler der Koaren
zts116e	Koarenschwertkämpfer
zts117e	Eliteschwertkämpfer der Koaren
zts118e	Schützenschüler der Koaren
zts119e	Koarenschütze
zts120e	Eliteschütze der Koaren
zts121e	Schüler der Koarenkrieger
zts122e	Koarenkrieger
zts123e	Elitekrieger der Koaren
zts124e	NotUse
zts125e	NotUse
zts126e	NotUse
zts127e	NotUse
zts128e	Brutaler Teufelsimp
zts129e	Mandra-Attrappe
zts130e	Brutaler Vampie
zts131e	Schwacher Walker
zts132e	Flamme
zts133e	Wütende Flamme
zts134e	Warepard
zts135e	Schattenwarepard
zts136e	Boing
zts137e	Harter Boing
zts138e	Kleiner Morgensternboing
zts139e	Morgensternboing
zts140e	Kleiner Mimic
zts141e	Mimic
zts142e	Großer Mimic
zts143e	Morgensternmimic
zts144e	Wütender Morgensternmimic
zts145e	Schwertkampfschüler der Kenkos
zts146e	Kenko Schwertkämpfer
zts147e	Eliteschwertkämpfer der Kenkos
zts148e	Speerkampfschüler der Kenkos
zts149e	Kenkospeerkämpfer
zts150e	Elitespeerkämpfer der Kenkos
zts151e	Räuberschüler der Kenkos
zts152e	Kenkoräuber
zts153e	Eliteräuber der Kenkos
zts154e	Lanetan
zts155e	Fernon-Dryade
zts156e	Braunes Buschi
zts157e	Gladiator Buschi
zts158e	Kammerjäger Buschi
zts159e	Krankes Buschi
zts160e	Starker Buschi-Trainer
zts161e	Riesiges Mandra
zts162e	Rasendes Mandra
zts163e	Soldatenspinne
zts164e	Slade
zts165e	Slade-Priester
zts166e	Versteinerter Slade
zts167e	Schwaches rotes Jelly
zts168e	Unsichtbares Jelly
zts169e	Schwaches rosa Jelly
zts170e	Schwaches dunkles Jelly
zts171e	Schwarzer Spinnenkönig
zts172e	Schwacher Stachelboing
zts173e	Starker Stachelboing
zts174e	Schwacher Ufoboing
zts175e	Starker Ufoboing
zts176e	Santa Buschi
zts177e	Wollet
zts178e	Neujahrsglücksschwein
zts179e	Kleine Erdechse
zts180e	Grüne Riesenerdechse
zts181e	Dicke Taube
zts182e	Schwacher Waschbärvogel
zts183e	Starker Waschbärvogel
zts184e	Steinhammer-Stumpf
zts185e	Stahlhammer-Stumpf
zts186e	Steinaxt-Stumpf
zts187e	Stahlaxt-Stumpf
zts188e	Starker Baumzombie
zts189e	Wütender Baumzombie
zts190e	Ahornseele
zts191e	Ahornteufel
zts192e	Zahnradboing A
zts193e	Zahnradboing B
zts194e	Wolf
zts195e	Brutaler Wolf
zts196e	Wolfslöwe
zts197e	Brutaler Wolfslöwe
zts198e	Schwein
zts199e	Starkes Schwein
zts200e	Bergschildkröte
zts201e	Felsschildkröte
zts202e	Wütender Bienenstock
zts203e	Gefährlicher Bienenstock
zts204e	Wütender Bienenschwarm
zts205e	Gefährlicher Bienenschwarm
zts206e	Wütende Bienenkönigin
zts207e	Gefährliche Bienenkönigin
zts208e	Schwache Spinne
zts209e	Spinne
zts210e	Starke Spinne
zts211e	Kleine Giftspinne
zts212e	Giftspinne
zts213e	Große Giftspinne
zts214e	Schwacher Spinnenkönig
zts215e	Spinnenkönig
zts216e	Starker Spinnenkönig
zts217e	Kleine Wespe
zts218e	Wespe
zts219e	Große Wespe
zts220e	Wiggy Wiggler
zts221e	Wiggler
zts222e	Wütender Wiggler
zts223e	Kleiner Wiggler
zts224e	Kranker Puster
zts225e	Puster
zts226e	Wütender Puster
zts227e	Schwacher Skelettkrieger
zts228e	Skelettkrieger
zts229e	Starker Skelettkrieger
zts230e	Schwacher Schädel
zts231e	Schwacher Lavagolem
zts232e	Lavagolem
zts233e	Starker Lavagolem
zts234e	Alter Nachtschatten
zts235e	Nachtschatten
zts236e	Uralter Nachtschatten
zts237e	Schwache Dunkelhexe
zts238e	Dunkelhexe
zts239e	Bluthexe
zts240e	Starke Bluthexe
zts241e	Schwache Todeshexe
zts242e	Todeshexe
zts243e	Hässlicher Speerkämpfer
zts244e	Grauenhafter Speerkämpfer
zts245e	Erboster Schädel
zts246e	Verfluchter Schädel
zts247e	Wütender Schädel
zts248e	Wütender Lavagolem
zts249e	Brutaler Lavagolem
zts250e	Trauriger Nachtschatten
zts251e	Melancholischer Nachtschatten
zts252e	Brutaler Puster
zts253e	Kukukeen
zts254e	Starke Dunkelhexe
zts255e	Starke Todeshexe
zts256e	Gewaltiger Kenko-Schläger
zts257e	Kraftloser Walker
zts258e	Dunkler Gargs
zts259e	Totenkopfbogenschütze
zts260e	Verhexter Totenkopfbogenschütze
zts261e	Totenkopfkrieger
zts262e	Verhexter Totenkopfkrieger
zts263e	Staubkönig
zts264e	Mächtiger Staubkönig
zts265e	Wütende Eisfee
zts266e	Brutale Eisfee
zts267e	Kleines rotes Jelly
zts268e	Kraftloser Staubkönig
zts269e	Cuby Mutter
zts270e	Cuby
zts271e	Ginseng
zts272e	Dark Castra
zts273e	Riesenslade
zts274e	NotUse
zts275e	Grauenhafter Dämon
zts276e	Schwarze Riesenspinne
zts277e	Ginsengpflänzchen
zts278e	Ginsengtopf
zts279e	Große Erdechse
zts280e	Langbeinige Spinne
zts281e	Unsichtbarer Staubkönig
