zts1e	Bester Service
zts2e	Medaille von Erenia
zts3e	[Haupteffekt][n]Jedes Inventar wird um 8 erweitert, insgesamt um 24.[n] Wenn es mit der Medaille des Abenteurers benutzt wird, erhöht es sich auf 36[n][Zusätzlicher Effekt]Die Schlachterfahrung wird um 15% erhöht.[n] Die Joberfahrung wird um 15% erhöht.[n]Die Erfahrungspunkte des Tieres und des Partners werden um 15% erhöht. (Wird um 30% erhöht, wenn es zusammen mit der Medaille das Abenteurers verwendet wird)[n]Goldgewinn um 20% erhöht.[n] Rufgewinn um 20% erhöht.
zts4e	Einfaches Abenteuer gefällig?
zts5e	Medaille des Abenteurers
zts6e	[Haupteffekt] [n] Jedes Inventar wird um 4 erweitert, im Ganzen um 12,[n] wenn es mit der Medaille von Erenia benutzt wird, um 36 erhöht[n] [Zusätzlicher Effekt] Die Schlachterfahrung wird um 15% erhöht.[n] Die Joberfahrung wird um 15% erhöht.[n] Die Erfahrungspunkte des Tiers und des Partners werden um 15% erhöht. (Wird um 30% erhöht, wenn es zusammen mit der Medaille von Erenia verwendet wird)
zts7e	Eine bessere Fee gefällig?
zts8e	Sellaim
zts9e	Feuerfee: Kann bis auf 70 wachsen.[n]Hat die gleichen Fähigkeiten wie die Feuerfee[n] Kann nicht gehandelt werden[n]
zts10e	Stärkeres Wasserelement
zts11e	Woondine
zts12e	Wassergeist ; Kann bis auf Level 70 wachsen.[n] Hat die gleichen Fähigkeiten wie die Wasserfee[n] Kann nicht gehandelt werden[n]
zts13e	Stärkeres Lichtelement
zts14e	Eperial
zts15e	Lichtgeist ; Kann bis auf Level 70 wachsen.[n] Hat die gleichen Fähigkeiten wie die Lichtfee[n] Kann nicht gehandelt werden[n]
zts16e	Zeigt dir die Macht der dunklen Seite
zts17e	Turik
zts18e	Schattengeist ; Kann bis auf 70 wachsen.[n] Hat die gleichen Fähigkeiten wie die Schattenfee[n] Kann nicht gehandelt werden[n]
zts19e	Schnelles Wachstum von nöten?
zts20e	Große Sellaim
zts21e	Feuergeist ; Kann bis auf Level 70 wachsen.[n] Hat die gleichen Fähigkeiten wie die Feuerfee[n] Kann nicht gehandelt werden[n]
zts22e	Sofort einsatzbereit!
zts23e	Große Woondine
zts24e	Wassergeist ; Kann bis auf Level 70 wachsen.[n]Ist bereits Level 40, muss also nicht von 1 an aufwachsen.[n] Hat die gleichen Fähigkeiten wie die Wasserfee[n] Kann nicht gehandelt werden[n]
zts25e	Zu ungeduldig?
zts26e	Große Eperial
zts27e	Lichtgeist ; Kann bis auf Level 70 wachsen.[n]Ist bereits 40, muss also nicht von 1 an aufwachsen.[n] Hat die gleichen Fähigkeiten wie die Lichtfee[n] Kann nicht gehandelt werden[n]
zts28e	Fürs sofortige loslegen!
zts29e	Große Turik
zts30e	Schattengeist: Kann bis auf Level 70 steigen.[n]Ist bereits auf Level 40.[n] Hat die gleichen Fähigkeiten wie eine Schattenfee[n]Kann nicht gehandelt werden.[n]
zts31e	Lagerfläche zu vermieten
zts32e	Riesiges Warenhaus (30 Tage)
zts33e	Erlaubt dir, 56 Plätze in deinem Miniland zu benutzen.[n]Der Countdown startet beim initialen Aufstellen.[n][Achtung][n]Das Warenhaus verschwindet, wenn die Zeit abläuft, also bereite ein neues Warenhaus vor.[n]Wenn das Warenhaus kleiner ist, können nicht alle Items übernommen werden, also sortiere deine Items.
zts34e	Gebe deinem Tier einen Spitznamen!
zts35e	Namensschild für Haustiere
zts36e	Gib deinem Tier einen Namen.[n]Verschwindet nach dem Gebrauch[n]
zts37e	Benenne dein Tier
zts38e	5 Namensschilder für NosMates
zts39e	Gib deinem Tier einen Namen.[n]Kaufe 1 Set mit 5 Namentags für dein Tier[n]
zts40e	Für ein edles Tier
zts41e	3 Portionen Edles Haustierfutter
zts42e	Die Loyalität des Tiers wird maximal.[n] Zusätzliche Level-Erhöhung um 1[n] Nur benutzbar, wenn das Level des Tiers 5 Level unter dem des Spielers ist[n] (Wenn der Spieler Level 50 ist, kann es bis auf Level 45 erhöht werden)[n]
zts43e	Achte auf deine Gesundheit
zts44e	Medizin für Partner
zts45e	Die Loyalität des Tiers wird maximal.[n] Zusätzliche Level-Erhöhung um 1[n] Nur benutzbar, wenn das Level des Tiers 5 Level unter dem des Spielers ist[n] (Wenn der Spieler Level 50 ist, kann es bis auf Level 45 erhöht werden)[n]
zts46e	Lass dein Tier nicht alleine
zts47e	Haustierperle
