zts1e	Teos Werkzeugladen
zts13e	Bis bald.
zts14e	Also, was würdest du gerne wissen?
zts15e	Wie kann ich meine Ausrüstung verbessern?
zts16e	Welche Vorteile bringt es mir, wenn ich meine Ausrüstung verbessere?
zts17e	Wie wechsle ich die Ausrüstung meines Partners?
zts18e	Er sieht genauso aus wie du. Seid ihr Zwillinge?
zts19e	Um deine Ausrüstung zu verbessern, benötigst du Cellapuder und Seelensteine.
zts20e	Nur Waffen und Kleidung können verstärkt werden. Diese Verstärkungen reichen von Level 1 bis 10. Die Menge des Cellapuders, das dafür benötigt wird, steigt mit dem Level.
zts21e	Ach ja, ich verlange dafür eine kleine Transaktionsgebühr. Das ist alles. Verstanden?
zts22e	Ähm ... Wie erhalte ich Cellapuder und Seelensteine?
zts23e	Du erhältst sie durch die Veredelung von Gillionsteinen.
zts24e	Diese Steine können überall gefunden und mit Seelensteinveredlern bearbeitet werden.
zts25e	Es ist etwas schwerer, an Seelensteine zu kommen. Aber Cellapuder auftreiben sollte kein Problem sein.
zts26e	Wenn du Glück hast, findest du vielleicht sogar einen vollkommenen Seelenstein.
zts27e	Danke, ich habe es verstanden.
zts28e	Durch das Verbessern von Waffen und Rüstung erhöhen sich dein Angriffs- und Verteidigungslevel.
zts29e	Aber ich sehe keine Veränderung, es ist lediglich ein + dazugekommen.
zts30e	Du wurdest hintergangen! Haha!! Nein, keine Panik! Ich habe nur Spaß gemacht. Du wirst dort keine Änderungen sehen.
zts31e	Im Kampf werden Angriff und Verteidigung durch dein Level und das deines Gegners bestimmt.
zts32e	Aber ... wie? (Ist das wahr?)
zts33e	Deine Verteidigung berechnet sich beispielsweise als Differenz zwischen dem gegnerischen Waffenlevel und deinem Rüstungslevel.
zts34e	Je größer diese Differenz ist, desto stärker wirst du. Also ist es ratsam, hochlevelige Ausrüstung zu besitzen.
zts35e	Ah! Jetzt hab ich es verstanden! Puh! (Es ist wahr!)
zts36e	Was möchtest du dir ansehen?
zts37e	Zeig mir bitte die Waffen.
zts38e	Zeig mir bitte die Rüstung.
zts39e	Zeig mir bitte die andere Ausrüstung.
zts40e	Bei der Partnerausrüstung handelt es sich um die Ausrüstung, die dein Partner verwenden kann.
zts41e	Um die Stärke deines Partners zu erhöhen, musst du ihm eine entsprechende Ausrüstung zusammenstellen.
zts42e	Es ist ganz einfach, die Ausrüstung für deinen Partner zu erstellen. Du musst mich nur danach fragen! Ich tausche deine Waffen oder Rüstungen gegen Ausrüstung für deinen Partner ein.
zts43e	Wenn du dich dafür entscheidest, wandle ich sie in Partnerausrüstung desselben Levels um. Dabei bleiben Nahkampfwaffen allerdings Nahkampfwaffen und umgekehrt.
zts44e	Wenn dein Partner zum Nahangriff ansetzt, wird er die Nahangriffswaffe und die entsprechende Rüstung anlegen.
zts45e	Bei einem Fernangriff wird er Fernangriffswaffen und die passende Rüstung verwenden.
zts46e	Für einen magischen Angriff wird dein Partner auf magische Waffen und die zugehörige Rüstung zurückgreifen.
zts47e	Wer? Der Kerl da drüben? Ja, das ist mein Zwillingsbruder.
zts48e	Im Gegensatz zu dir, sieht er nicht sehr fleißig aus.
zts49e	Ha! Nein, er ist ziemlich faul. Allerdings ist er auch recht leichtsinnig. Ich traue ihm nicht und würde ihm auch keinen Job geben.
zts50e	Ach, übrigens:
zts51e	Ich habe gehört, dass er etwas sehr Merkwürdiges mit der Ausrüstung gemacht hat. Lass dich durch sein seltsames Verhalten nicht täuschen.
zts52e	Ach, tatsächlich? Okay, ich werde deinen Rat befolgen.
zts53e	Teos Werkzeugladen
zts62e	Was kann ich beim Glücksspiel einsetzen?
zts64e	Wenn du Waffen oder Rüstungen hast, die keine besonderen Eigenschaften aufweisen, dann zeig sie mir!
zts65e	Ich werde mit meinen göttlichen Kräften einen seltenen Gegenstand für dich erschaffen.
zts66e	Wirklich? Bist du dir sicher? Warum wird es als Wette bezeichnet?
