zts1e	Buschi-Segen
zts3e	Katzen-Segen
zts5e	Segen des Lichts
zts7e	Segen der Schatten
zts9e	Segen des Wassers
zts11e	Segen des Feuers
zts13e	Krieger-Segen
zts15e	Magier-Segen
zts17e	Schützen-Segen
zts19e	Ninja-Segen
zts21e	Evolutions-Segen
zts23e	Regenbogen-Segen
zts25e	Roboter-Segen
zts27e	Piraten-Segen
zts29e	Grusel-Segen
zts31e	Eiskalter Segen
zts33e	Wolfs-Segen
zts35e	Jelly-Segen
zts37e	Himmelsturm-Segen
zts39e	Bestien-Segen
zts41e	Geister-Segen
zts43e	Wächter-Segen
zts45e	Geisterkönig-Segen
zts47e	Bestienkönig-Segen
zts49e	Blut d. Unsterbl.
zts51e	Sprengmeister
zts53e	Elektroschock
zts55e	Flink und anmutig
zts57e	Preis – 1.
zts58e	Preis – 2. u. 3.
zts59e	Preis – 4.-10.
zts60e	Preis – 11.-20.
zts61e	Preis – 21.-30.
