zts1e	Efectos Generales
zts2e	Efectos Mágicos
zts3e	Serie de Venenos
zts4e	Serie de Enfermedades
zts5e	Serie de Recargos
zts6e	Bien
zts7e	Neutral
zts8e	Mal
zts9e	Duración: %.1f segundos
zts10e	Cada %d segundos:
zts11e	Con la probabilidad de %d%%
zts12e	Efectos secundarios después de %.1f segundos
zts13e	Genera [%s] con una probabilidad de %d%% cuando es puesta en libertad
zts14e	(Nivel de Eficacia / %d)
zts15e	(Nivel de Eficacia *%d)
zts16e	Recargar
zts17e	La energía para el próximo ataque esta completamente cargada
zts18e	Hemorragia leve
zts19e	Recibe heridas leves
zts20e	Espina Venenosa
zts21e	Envenenado con una Espina Venenosa.
zts22e	Corazón Partido
zts23e	Te sientes muy afligido
zts24e	Enfado
zts25e	El ataque es apresurado con enfado
zts26e	Furia
zts27e	Se centra en los ataques y distribuye solamente daños mortales al oponente
zts28e	Rabia
zts29e	Ataca muy rápido mientras se concentra en la rapidez.
zts30e	Aturdimiento
zts31e	De momento estas aturdido. No puedes sentir nada a pesar de que estás siendo atacado, porque estás inconsciente.
zts32e	Desmoralización
zts33e	Desmoralizado a través del poder del oponente
zts34e	Pegamento
zts35e	Esta pegado al cuerpo e interrumpe el ataque
zts36e	Pegamento Pesado
zts37e	Esta pegado al cuerpo e interrumpe el movimiento
zts38e	Miedo
zts39e	Infunde miedo y descarta cualquier tipo de diversión del combate
zts40e	Grito de Combate
zts41e	Inspirado por la sed a combate, aumenta el poder de ataque
zts42e	Grito Moralizador
zts43e	Inspirado por un buen humor y un sentimiento seguro
zts44e	Murmullo de Borrachos
zts45e	Se siente atontado debido a una bebida alcohólica
zts46e	Modo PvP
zts47e	Se puede hacer un torneo amistoso de combate con otros jugadores en cualquier momento.
zts48e	Reduce el nivel de ataque
zts49e	Tú recibes una penalización en el combate porque le nivel de ataque ha sido rechazado.
zts50e	Juramento de Sangre
zts51e	Presta juramento a la sangre y se valiente
zts52e	Oprimido
zts53e	Completamente deprimido e incluso perdiendo la voluntad de luchar
zts54e	Pierna Herida
zts55e	Ha sido herido en la pierna y en las alas a causa de esto el movimiento se vuelto lento
zts56e	Hemorragia
zts57e	Ha sido herido ligeramente. Si no se sanas, esto se volverá serio
zts58e	Veneno Paralizador
zts59e	Paraliza los músculos
zts60e	Veneno Neutralizador de Defensa
zts61e	Siente dolores, incluso por ataques menores. Es herido levemente
zts62e	Veneno Mareador
zts63e	Se siente mareado a menudo
zts64e	Veneno Mortal
zts65e	Recibe un shock por unos pocos segundos y el cuerpo se mueve lentamente
zts66e	Es imposible moverse
zts67e	Ha sido herido gravemente y no se puede mover
zts68e	Helada
zts69e	El enemigo se ha congelado y no se puede mover.
zts70e	Velocidad
zts71e	Se mueve de prisa
zts72e	Disminuye el peso del cuerpo de tal forma que se pueda mover más rápido
zts73e	Ritual del Halcón
zts74e	Provee de una vista increíble y facilita ataques eficientes
zts75e	Escudo de Congelación
zts76e	El Escudo de congelación crea una coraza de hielo alrededor del cuerpo e interrumpe los ataques de larga distancia dirigidos a ti.
zts77e	Aura de Recuperación
zts78e	Ofrece energía abrigadora alrededor del cuerpo y provee de descanso
zts79e	Luz de Protección
zts80e	Distribuye alrededor del cuerpo una luz brillante, la cual le brinda protección
zts81e	Sueño
zts82e	Se duerme de inmediato pero se despierta cuando sufre daño.
zts83e	Ceguera
zts84e	Destruye la vista por unos pocos segundos
zts85e	Punta de Flecha Envenenada
zts86e	Coloca una sustancia tóxica en la punta de flecha para envenenar al enemigo
zts87e	Puñal Venenoso
zts88e	Coloca una sustancia tóxica en el puñal para envenenar al enemigo
zts89e	Hemorragia Seria
zts90e	Una herida seria que disminuye el nivel de HP
zts91e	Incapacidad
zts92e	Imposibilita el ataque o la defensa.
