zts1e	Objeto nuevo
zts2e	[n]
zts3e	Bastón de madera
zts4e	Primera arma de los aventureros recién llegados a NosVille.[n][n]
zts5e	Porra de madera
zts6e	Una porra de madera muy dura que causa daños adicionales.[n][n]
zts7e	Espada de madera
zts8e	Una espada de madera apropiada para el entrenamiento de los aventureros.[n][n]
zts9e	Martillo de madera
zts10e	Un martillo fabricado con madera muy dura[n][n]
zts11e	Martillo pesado de madera
zts12e	Un martillo de madera pesado que causa daños adicionales[n][n]
zts13e	Espada de madera del aprendiz
zts14e	Una espada para aventureros inexpertor.[n][n]
zts15e	Espada del aventurero
zts16e	Una espada de acero para aventureros.[n][n]
zts17e	Catapulta de madera
zts18e	La primera arma secundaria de los aventureros recién llegados a NosVille.[n][n]
zts19e	Catapulta de madera pesada
zts20e	Catapulta de madera pesada que provoca daños adicionales.[n][n]
zts21e	Catapulta de madera del aprendiz
zts22e	Catapulta para aventureros inexpertos.[n][n]
zts23e	Catapulta del aventurero
zts24e	Una catapulta de acero para aventureros.[n][n]
zts25e	Ropa
zts26e	Ropa para aventureros recién llegados.[n][n]
zts27e	Uniforme de entrenamiento
zts28e	Este uniforme se usa para entrenar.[n][n]
zts29e	Traje de aventurero
zts30e	Un traje de aventurero muy popular. Protege contra los efectos secundarios de la resucitación.[n][n]
zts31e	Armadura de entrenamiento
zts32e	Un uniforme de entrenamiento muy cómodo.[n][n]
zts33e	Set de abrigos del viajero
zts34e	Mantiene a los viajeros abrigados cuando duermen a la intemperie.[n][n]
zts35e	Set de abrigos cálidos
zts36e	Envuelve todo el cuerpo y abriga.[n]Protege de los efectos secundarios de la Resucitación.[n][n]
zts37e	Espada de principiante
zts38e	Un regalo para aprendices de espadachín.[n]Los aventureros no pueden utilizar esta arma.[n][n]
zts39e	Espada corta
zts40e	Esta espada es muy popular entre los espadachines principiantes.[n][n]
zts41e	Espada del sufrimiento
zts42e	Esta espada fue forjada con las armas de soldados derrotados.[n]Aumenta la probabilidad de impacto crítico.[n]
zts43e	Espada corta
zts44e	Una espada para espadachines comunes.[n][n]
zts45e	Espada de bronce
zts46e	Un espada adornada con bronce que aumenta la probabilidad de impacto crítico.[n][n]
zts47e	Sable
zts48e	Este sable es muy popular entre los espadachines.[n][n]
zts49e	Espada ancha del espíritu
zts50e	Esta espada perteneció a un soldado caído cuyo espíritu aún se encuentra atrapado en su interior.[n]Aumenta el poder de ataque del elemento fuego.[n][n]
zts51e	Falchion
zts52e	Un arma de un solo filo cortante y con un mango largo.[n]Debido a su peso liviano, esta arma puede ser manejada con una mano.[n][n]
zts53e	Sable de oro
zts54e	Una espada adornada con oro que aumenta la probabilidad de impacto crítico y aumenta el elemento fuego.[n][n]
zts55e	Espada ancha
zts56e	Una espada con un filo más ancho de lo normal.[n][n]
zts57e	Espada larga del poder
zts58e	Un poder oscuro aumenta los daños.[n][n]
zts59e	Espada ancha
zts60e	Una espada ancha común con una empuñadura agradable.[n][n]
zts61e	Skyabona
zts62e	Un poder misterioso protege al dueño de esta espada contra ataques de oponentes.[n][n]
zts63e	Claymore
zts64e	Solamente los mejores espadachines reciben esta espada [n] Aumenta el poder de ataque del elemento agua.[n][n]
zts65e	Arco de principiante
