zts1e	NosVille
zts2e	Prados de NosVille
zts3e	Pradera de Minas
zts4e	Prados Soleados
zts5e	Avanzadilla a Fernon
zts6e	Mina Oeste 1
zts7e	Mina Oeste 2
zts8e	Mina Norte
zts9e	Templo de Fernon 1
zts10e	Templo de Fernon -1
zts11e	Templo de Fernon -2
zts12e	Guarida Fernon 1
zts13e	Guarida Fernon 2
zts14e	Guarida Fernon 3
zts15e	Guarida Fernon 4
zts16e	Guarida Fernon 5
zts17e	Monte Krem Oeste
zts18e	Monte Krem Este
zts19e	Cima del Krem
zts20e	Cueva de Montaña 1
zts21e	Cueva de Montaña 2
zts22e	Cueva de Montaña 3
zts23e	Cueva de Montaña 4
zts24e	Cueva de Montaña 5
zts25e	Cueva de Montaña 6
zts26e	Calabozo Shanera -1
zts27e	Calabozo Shanera -2
zts28e	Calabozo Shanera -3
zts29e	Calabozo Shanera -4
zts30e	Sendero Escondido
zts31e	Sendero Húmedo
zts32e	Laboratorio Sec. 1
zts33e	Laboratorio Sec. 2
zts34e	Laboratorio Sec. 3
zts35e	Sendero Encantado
zts36e	Mina Cerrada
zts37e	Mina Cerrada 1
zts38e	Campo de Caballeros
zts39e	Templo de Fernon 2
zts40e	Templo de Fernon 3
zts41e	Templo de Fernon 4
zts42e	Templo de Fernon 5
zts43e	Templo de Fernon 6
zts44e	Templo de Fernon 7
zts45e	Templo de Fernon 8
zts46e	Templo de Fernon 9
zts47e	Templo de Fernon 10
zts48e	Habitación Secreta
zts49e	Salida Norte
zts50e	Salida Este
zts51e	Salida Oeste
zts52e	Puerta Misteriosa
zts53e	Torre Mágica 1
zts54e	Torre Mágica 2
zts55e	Torre Mágica 3
zts56e	Torre Mágica 4
zts57e	Torre Mágica 5
zts58e	Torre Mágica 6
zts59e	Torre Mágica 7
zts60e	Torre Mágica 8
zts61e	Acantilado 1
zts62e	Acantilado 2
zts63e	Acantilado 3
zts64e	Acantilado 4
zts65e	Camino en Zigzag
zts66e	Laberinto Espiral E
zts67e	Laberinto Espiral O
zts68e	Laberinto Espiral S
zts69e	Laberinto Espiral N
zts70e	Granja Secreta
zts71e	Plaza Mayor
zts72e	Batalla Instantánea
zts73e	Arena de Hielo
zts74e	Arena Individual
zts75e	Arena de la Familia
zts76e	Portal del Lamento
zts77e	Plz del Aventurero
zts78e	Sala del Lamento
zts79e	Entrada a Jelly
zts80e	Plaza Jelly
zts81e	Entrada a Ginseng
zts82e	Granja de Ginseng
zts83e	Senda Cueva Araña
zts84e	Cueva de Arañas
zts85e	Sendero al Altar
zts86e	Altar del Lamento
zts87e	Senda a la Granja
zts88e	Granja de Gallinas
zts89e	Incubadero
zts90e	Mini-mundo
zts91e	Mina de Héroes
zts92e	Meseta de Acción
zts93e	Meseta del Tiempo
zts94e	Meseta del Olvido
zts95e	Templo de Héroes
zts96e	Raíces de Fernon
zts97e	Mapa de la Misión
zts98e	Prado de Cometas
zts99e	Azotea Luna Llena
zts100e	Escondite Namaju
zts101e	Jardín Apacible
zts102e	Mundo Desconocido
zts103e	Cueva Profunda
zts104e	Cueva del Jefe
zts105e	Cueva en NosCamp
zts106e	Cueva del Puente
zts107e	Zona Roja
zts108e	Zona Azul
zts109e	Zona Verde
zts110e	Zona Amarilla
zts111e	Zona Devastada
zts112e	Peña del Atardecer
zts113e	Valle Nebuloso
zts114e	Cueva del Espíritu
zts115e	Laberinto del Dolor
zts116e	Grieta Secreta
zts117e	Festival Estacional
zts118e	Reino de la Muerte
zts119e	Bosque de Abetos
zts120e	Bosque de Arce
zts121e	Casa-Guardabosque
zts122e	Molino de Agua
zts123e	Almacén
zts124e	Cuarto del Gato
zts125e	Linde del Bosque
zts126e	Río de la Mina -1
zts127e	Río de la Mina -2
zts128e	Río de la Mina -3
zts129e	Túnel profundo -1
zts130e	Túnel profundo -2
zts131e	Túnel profundo -3
zts132e	Bosque profundo
zts133e	Senda Subterránea
zts134e	Túnel Frío
zts135e	Acantilado Rocoso
zts136e	Quebrada Rocosa
zts137e	Linde del Arce
zts138e	Seli Lusha
zts139e	Seli Lusha -1
zts140e	Seli Lusha -2
zts141e	Seli Lusha -3
zts142e	Seli Lusha -4
zts143e	Seli Lusha -5
zts144e	Camino nevado
zts145e	Prado de Grasslin
zts146e	Ciudadela
zts147e	Ciudad del Ángel
zts148e	Ciudad Demoníaca
zts149e	Tundra Bitoren
zts150e	Cañón de Shares
zts151e	Trono de Morcos
zts152e	Port Alveus Plaza
zts153e	Mercado Port Alveus
zts154e	Barco
zts155e	Gelilandia oeste
zts156e	Gelilandia Este
zts157e	Zona Nieve N
zts161e	Bosque de Lorten
zts162e	Grieta Tenebrosa
zts163e	Océano de Radikun
zts164e	Nido de Calvina
zts165e	Océano de Radikun
zts166e	Puerto Mortaz
zts167e	Entorno del Puerto
zts168e	Entorno de Neil
zts169e	Campamento de Neil
zts170e	Campo Comercial E
zts171e	Entorno de Melki
zts172e	Campo de Melki
zts173e	Campamento Akamur
zts174e	Campo Comercial O
zts175e	Entorno de Kerus
zts176e	Campamento de Kerus
zts177e	Entorno de Garton
zts178e	Sendero del Templo
zts179e	Plaza del Templo
zts180e	Campamento Garton
zts181e	Desierto Perdido
zts182e	Águila del Desierto
zts183e	Patio de Ladrones
zts184e	Centro de Ladrones
zts185e	Patio de Rashid
zts186e	Centro de Rashid
zts187e	Zona de Bandidos
zts188e	Campamento de los Ladrones del Desierto
zts189e	Templo de Aster
zts190e	Camp. Buscatesoros
zts191e	Cuartel Akamur
zts192e	Área del Caos
zts193e	Entorno del Caos
zts194e	Patio de Aster
zts195e	Centro de Aster
zts196e	Sendero Secreto
zts197e	Patio de Ladrones
zts198e	Centro de Ladrones
zts199e	Altar de Ladrones
zts200e	Escondite de Jack
zts201e	Pabellón de Bodas
zts202e	Cueva de Cristal
zts203e	Altar de Cristal
zts204e	Camino al Nido
zts205e	Incubadero
zts206e	Entorno del Nido
zts207e	Barco Pirata
zts208e	bajo la cubierta
zts209e	Cubierta de Proa
zts210e	Desierto Norte
zts211e	Puerta del Volcán
zts212e	Fauces de Kertos
zts213e	Camino Este
zts214e	Camino Oeste
zts215e	Garras de Valakus
zts216e	Alas de Fénix
zts217e	Ala Izquierda
zts218e	Ala Derecha
zts219e	Calle de Katol
zts220e	Templo de Grenigas
zts221e	Guarida de Valakus
zts222e	Cueva de Valakus
zts223e	Camino de Valakus
zts224e	Plaza de Grenigas
zts225e	Camino de Lava
zts226e	Camino del Fénix
zts227e	Cueva de Kertos
zts228e	Camino de Kertos
zts229e	Guarida de Kertos
zts230e	Camino a la Caverna
zts231e	Gruta acuática
zts233e	Tierra Desconocida
zts234e	Reino de Caligor
zts235e	Pueblohorror
zts236e	Camino Tenebroso
zts237e	Guarida del Zorro
zts238e	Casita de la Bruja
zts239e	Patio de Conejos
zts240e	Cylloan
zts241e	Puerta del Cielo 1
zts242e	Puerta del Cielo 2
zts243e	Puerta del Cielo 3
zts244e	Puerta del Cielo 4
zts245e	Puerta del Infierno 1
zts246e	Puerta del Infierno 2
zts247e	Puerta del Infierno 3
zts248e	Puerta del Infierno 4
zts249e	Ruinas Celestiales 1
zts250e	Ruinas Celestiales 2
zts251e	Ruinas Infernales 1
zts252e	Ruinas Infernales 2
zts253e	V. de Ancelloan 1
zts254e	V. de Ancelloan 2
zts255e	V. de Ancelloan 3
zts256e	V. de Ancelloan 4
zts257e	V. de Ancelloan 5
zts258e	V. de Ancelloan 6
zts259e	Dirigible – Cylloan
zts260e	Dirigible
zts261e	Plaza del Templo
zts262e	El camino a la Plaza del Templo
zts263e	Midgard
zts264e	Cámara del tesoro
zts265e	En Castillo Aria
zts266e	Tart Hapendam
zts267e	Oasis
zts268e	Yotun
zts269e	Torre Olvidada
zts270e	Torre Olvidada 1
zts271e	Torre Olvidada 2
zts272e	Torre Olvidada 3
zts273e	Torre Olvidada 4
zts274e	Torre Olvidada 5
zts275e	Torre Olvidada 6
zts276e	Torre Olvidada 7
zts277e	Entrada Cat. Ab.
zts278e	Entorno Cat. Ab.
zts279e	Catac. Abandonadas
zts280e	Banco Quarry
zts281e	Biblioteca de Cuarry
zts282e	Bosque Brumoso
zts283e	Caverna del Recuerdo
zts284e	Atajo
zts285e	Bosque Cerrado
zts286e	Camino de Cascada
zts287e	Tierra Oculta
zts288e	Frente de Templo
zts289e	Templo Místico
zts290e	Granja de Gallinas Ocupada
zts291e	Caverna del acantilado
zts292e	Cueva de los lobos
zts293e	Villa de Olorún
zts294e	El Mucrás
zts295e	Playa Norte
zts296e	Puerto de Moricio
zts297e	Playa Sur
zts298e	Vía del Bosque
zts299e	A. del Bosque
zts300e	Linde del Bosque
zts301e	Bosque Espíritus
zts302e	Granja de Olorun
zts303e	Cueva de Bestias
zts304e	Camino Corrupto
zts305e	Bosque Corrupto
zts306e	Trono de Belial
zts307e	Torre Celestial 1
zts308e	Torre Celestial 2
zts309e	Torre Celestial 3
zts310e	Torre Celestial 4
zts311e	Torre Celestial 5
zts312e	Bosque del Rey
zts313e	La Santa María
zts314e	Cueva del Rey
zts16530e	Interior de la TC
zts16531e	Cúspide de la TC
zts16532e	Reposo del Dragón
zts16533e	Sen. Celes. Este
zts16534e	Desfila. del Lago
zts16535e	Rancho del Dragón
zts16536e	Sen. Celes. Norte
zts16537e	Lago Helado
zts16538e	Calabozo de Hielo
zts16539e	Camino desfila. 1
zts16540e	Camino desfila. 2
zts16541e	Camino desfila. 3
zts16542e	Desfila. de Grava
zts16543e	Vía del Destino
zts16544e	Cueva Dragón An.
zts16545e	Cueva del Dragón
zts16546e	Nido Dragón An.
zts16547e	Rep. Dra. sitiado
zts16548e	Reino de los Vivos
zts16549e	Reino de los Vivos avanzado
