zts1e	NosVille
zts2e	Prados de NosVille
zts3e	Pradera de Minas
zts5e	Sendero Encantado
zts6e	Avanzadilla a Fernon
zts8e	Monte Krem Oeste
zts9e	Monte Krem Este
zts10e	Cima del Krem
zts12e	Acantilado
zts15e	Mina Cerrada
zts21e	Prados Soleados
zts22e	Templo de Fernon
zts23e	Laboratorio Secreto
zts24e	Guarida Fernon
zts25e	Torre de Fernon
zts26e	Cueva en NosCamp
zts27e	Cueva Profunda
zts28e	Valle Nebuloso
zts29e	Peña del Atardecer
zts30e	Cueva del Espíritu
zts31e	Cueva de Montaña
zts32e	Calabozo Shanera
zts33e	Bosque de Abetos
zts34e	Linde del Bosque
zts35e	Río de la Mina
zts36e	Túnel profundo
zts37e	Acantilado Rocoso
zts38e	Bosque de Arce
zts39e	Linde del Arce
zts40e	Bosque profundo
zts41e	Seli-Lusha
zts42e	Senda Subterránea
zts43e	Ciudadela
zts44e	Tundra Bitoren
zts45e	Cañón de Shares
zts46e	Port Alveus Plaza
zts47e	Mercado Port Alveus
zts48e	Barco
zts49e	Zona Nieve N
zts50e	Bosque de Lorten
zts51e	Océano de Radikun
zts52e	Océano de Radikun
zts53e	Senda a la Granja
zts54e	Mina Oeste 1
zts55e	Mina Oeste 2
zts56e	Entrada a Jelly
zts57e	Mina Norte
zts58e	Entrada a Ginseng
zts59e	Sendero encantado
zts60e	Torre Mágica
zts61e	Templo de Fernon 1
zts62e	Granja Secreta
zts63e	Habitación Secreta
zts64e	Templo de Fernon 2-10
zts65e	Templo de Fernon -1
zts66e	Salida Este
zts67e	Salida Norte
zts68e	Salida Oeste
zts69e	Templo de Fernon -2
zts70e	Puerta Misteriosa
zts71e	Camino en Zigzag
zts72e	Portal del Lamento
zts73e	Guarida Fernon 1
zts74e	Laberinto Espiral E
zts75e	Laberinto Espiral O
zts76e	Guarida Fernon 2
zts77e	Guarida Fernon 3
zts78e	Guarida Fernon 4
zts79e	Laberinto Espiral N
zts80e	Laberinto Espiral S
zts81e	Monte Krem Oeste
zts82e	Monte Krem Este
zts83e	Cima del Krem
zts84e	Cueva de Montaña 1
zts85e	Cueva de Montaña 2
zts86e	Cueva de Montaña 3
zts87e	Zona Roja
zts88e	Zona Verde
zts89e	Zona Azul
zts90e	Túnel Frío
zts91e	Cueva de Montaña 4
zts92e	Cueva de Montaña 5
zts93e	Cueva de Montaña 6
zts94e	Grieta Secreta
zts95e	Laberinto del Dolor
zts96e	Sendero Húmedo
zts97e	Senda Cueva Araña
zts98e	Zona Devastada
zts99e	Zona Amarilla
zts100e	Ciudad del Ángel
zts101e	Ciudad Demoníaca
zts102e	Gelilandia oeste
zts103e	Gelilandia Este
zts104e	Trono de Morcos
zts105e	Grieta Tenebrosa
zts106e	Nido de Calvina
zts107e	Puerto Mortaz
zts108e	Entorno del Puerto
zts109e	Entorno de Neil
zts110e	Campamento de Neil
zts111e	Campo Comercial E
zts112e	Zona de Bandidos
zts113e	Campamento de los Ladrones del Desierto
zts114e	Entorno de Melki
zts115e	Campo de Melki
zts116e	Campamento Akamur
zts117e	Campo Comercial O
zts118e	Entorno de Kerus
zts119e	Campamento de Keru
zts120e	Entorno de Garton
zts121e	Campamento Garton
zts122e	Sendero del Templo
zts123e	Plaza del Templo
zts124e	Desierto Perdido
zts125e	Águila del Desierto
zts126e	Área del Caos
zts127e	Entorno del Caos
zts128e	Patio de Ladrones
zts129e	Centro de Ladrones
zts130e	Patio de Aster
zts131e	Centro de Aster
zts132e	Patio de Rashid
zts133e	Centro de Rashid
zts134e	Sendero al Altar
zts135e	Sendero Secreto
zts136e	Guarida Fernon 3
zts137e	Guarida Fernon 5
zts138e	Cueva de Cristal
zts139e	Altar de Cristal
zts210e	Desierto Norte
zts211e	Puerta del Volcán
zts212e	Fauces de Kertos
zts213e	Camino Este
zts214e	Camino Oeste
zts215e	Garras de Valakus
zts216e	Alas de Fénix
zts217e	Ala Izquierda
zts218e	Ala Derecha
zts219e	Calle de Katol
zts220e	Cueva de Kertos
zts221e	Cueva de Valakus
zts222e	Plaza de Grenigas
zts16497e	Cylloan
zts16498e	P. del Cielo 1
zts16499e	P. del Cielo 2
zts16500e	P. del Cielo 3
zts16501e	P. del Cielo 4
zts16502e	P. del Infierno 1
zts16503e	P. del Infierno 2
zts16504e	P. del Infierno 3
zts16505e	P. del Infierno 4
zts16506e	R. Celestiales 1
zts16507e	R. Celestiales 2
zts16508e	R. Infernales 1
zts16509e	R. Infernales 2
zts16510e	V. de Ancelloan 1
zts16511e	V. de Ancelloan 2
zts16512e	V. de Ancelloan 3
zts16513e	V. de Ancelloan 4
zts16514e	V. de Ancelloan 5
zts16515e	V. de Ancelloan 6
zts16516e	Villa de Olorún
zts16517e	El Mucrás
zts16518e	Playa Norte
zts16519e	Puerto de Moricio
zts16520e	Playa Sur
zts16521e	Vía del Bosque
zts16522e	A. del Bosque
zts16523e	Linde del Bosque
zts16524e	Bosque Espíritus
zts16525e	Granja de Olorun
zts16526e	Cueva de Bestias
zts16527e	Camino Corrupto
zts16528e	Bosque Corrupto
zts16529e	La Santa María
zts16530e	Reposo del Dragón
zts16531e	Sen. Celes. Este
zts16532e	Desfila. del Lago
zts16533e	Rancho del Dragón
zts16534e	Sen. Celes. Norte
zts16535e	Lago Helado
zts16536e	Calabozo de Hielo
zts16537e	Camino desfila. 1
zts16538e	Camino desfila. 2
zts16539e	Camino desfila. 3
zts16540e	Desfila. de Grava
zts16541e	Vía del Destino
zts16542e	Cueva Dragón An.
zts16543e	Cueva del Dragón
zts16544e	Nido Dragón An.
