zts1e	Descansar
zts2e	Recoger
zts3e	Abrir tienda
zts4e	Preparar una batalla
zts5e	Espiral del tiempo
zts6e	no especificado
zts7e	[Bajo] Ataque Intensivo
zts8e	Los daños máximos y mínimos causado en los ataques a corta distancia aumentan en 3, la defensa en la lucha de corta distancia aumenta en 2.
zts9e	Mejora el ataque y la defensa en las luchas de corta distancia
zts10e	[Medio] Ataque Intensivo
zts11e	Los daños máximos y mínimos ocasionados por los ataques a corta distancia han aumentado hasta 9.
zts12e	[Alto] Ataque Intensivo
zts13e	[Maestro] Ataque Intensivo
zts14e	[Bajo] Formación de Rapidez
zts15e	Los daños mínimos y máximos en los ataques de larga distancia aumentan en 3, la defensa en la lucha a larga distancia aumenta en 2, la rapidez de los ataques de corta distancia aumenta en 3 y los ataques a larga distancia, en 6. La capacidad de agacharse en los ataques a corta distancia mejora en 2 y en los ataques a larga distancia, en 3.
zts16e	Aumenta el índice de acierto y la evasión, así como la velocidad de ataques a distancia y la defensa a distancia.
zts17e	[Medio] Formación de Rapidez
zts18e	Los daños mínimos y máximos en los ataques de larga distancia aumentan en 9, la defensa en la lucha a larga distancia aumenta en 5, la rapidez de los ataques de corta distancia aumenta en 9 y los ataques a larga distancia, en 18. La capacidad de agacharse en los ataques a corta y larga distancia mejora en 9.
zts19e	Aumenta el índice de acierto y la evasión, así como la velocidad de ataques a distancia y la defensa a distancia.
zts20e	[Alto] Formación de Rapidez
zts21e	[Maestro] Formación de Rapidez
zts22e	[Bajo] Aumento de Inteligencia
zts23e	Aumenta la defensa mágica en 2
zts24e	Aumenta la defensa contra los ataques mágicos
zts25e	[Medio] Aumento de Inteligencia
zts26e	Aumenta la defensa mágica en 5
zts29e	[Principiante] Técnica de crianza
zts30e	[medio] Técnica de crianza
zts31e	[Avanzado] Técnica de crianza
zts32e	[Expertos] Técnica de crianza
zts33e	[Bajo] Prolongación de Vida
zts34e	Aumento duradero de 50 HP
zts35e	[Medio] Prolongación de Vida
zts36e	Aumento duradero de 100 HP
zts37e	[Alto] Prolongación de Vida
zts38e	[Maestro] Prolongación de Vida
zts39e	[Bajo] Entrenamiento Mental
zts40e	Aumento duradero de 50 MP
zts41e	[Medio] Entrenamiento Mental
zts42e	Aumento duradero de 100 MP
zts43e	[Alto] Entrenamiento Mental
zts44e	[Maestro] Entrenamiento Mental
zts45e	[Bajo] Fuerza de Ataque efectivo
zts46e	Aumentan en 2 los daños mínimos y máximos en los ataques de corta y larga distancia
zts47e	[Medio] Fuerza de Ataque efectivo
zts48e	Aumentan en 4 los daños máximos y mínimos de los ataques a corta y larga distancia.
zts51e	[Bajo] Autodefensa
zts52e	Aumenta en 3 la defensa en la lucha a corta y larga distancia
zts53e	[Medio] Autodefensa
zts54e	Aumenta en 5 la defensa en la lucha mágica a corta y larga distancia
zts57e	[Bajo] Recuperación de HP
zts58e	Aumento de 20 en la Recuperación de HP
zts59e	[Medio] Recuperación de HP
zts60e	Aumento de 50 en la Recuperación de HP
zts61e	[Alto] Recuperación de HP
zts62e	[Maestro] Recuperación de HP
zts63e	[Bajo] Recuperación de MP
zts64e	Aumento de 20 en la Recuperación de MP
zts65e	[Medio] Recuperación de MP
zts66e	Aumento de 50 en la Recuperación de MP
zts67e	[Alto] Recuperación de MP
zts68e	[Maestro] Recuperación de MP
zts70e	Recupera despacio el nivel de HP y MP
zts71e	[medio] Cura natural
zts72e	[Profesional] Cura natural
zts73e	[Principante] Comprador de armas
zts74e	[medio] Comprador de armas
zts75e	[Avanzado] Comprador de armas
zts76e	[Principiante] Aprende ataque crítico
zts77e	[medio] Aprende ataque crítico
zts78e	[Avanzado] Aprende ataque crítico
zts79e	[Principiante] Resistencia al veneno
zts80e	[medio] Resistencia al veneno
zts81e	[medio] Resistencia al veneno
zts82e	[Principiante] Resistencia a las enfermedades
zts83e	[medio] Resistencia a las enfermedades
zts84e	[Avanzado] Resistencia a las enfermedades
zts85e	[Principiante] Resistencia a la magia
zts86e	[medio] Resistencia a la magia
zts87e	[Avanzado] Resistencia a la magia
zts88e	[Principiante] Resistencia a la magia
zts89e	[medio] Resistencia general
zts90e	[Avanzado] Resistencia general
zts91e	[Principiante] Resistencia de la salud
zts92e	[medio] Resistencia de la salud
zts93e	[Avanzado] Resistencia de la salud
zts94e	[Principiante] Yoga
zts95e	[medio] Yoga
zts96e	[Avanzado] Yoga
zts97e	Golpe con el arma
zts98e	Formación básica para aventureros
zts99e	Piedrazo
zts100e	Formación básica para los aventureros
zts101e	Golpe fuerte
zts102e	Mediante un golpe fuerte ocasionas grandes daños
zts103e	Piedrazo al objetivo
zts104e	Mediante un tiro preciso causarás más daños a tu oponente
zts105e	Golpe Girador
zts106e	Con un golpe girador fuerte atacarás a todos los oponentes que estén cerca de ti
zts107e	Golpe múltiple
zts108e	Ataca al oponente con varios golpes.
zts109e	Grito de guerra
zts110e	Aumenta el ataque y la defensa
zts111e	Grito moralizador
zts112e	Aumenta el nivel de moral
zts113e	Golpe de energía
zts114e	El nivel de energía se completará para atacar mejor al siguiente oponente
zts115e	Capturar
zts116e	Pernos energéticos
zts117e	Formación básica mágica para los aventureros
zts118e	Técnica ultra súper moralizadora
zts119e	Ésta es la técnica súper trampa
zts120e	Técnica Trampa 2 del administrador
zts121e	Cuchillada de espada
zts122e	Formación básica para espadachines
zts123e	Tiro de ballesta
zts124e	Formación básica para espadachines
zts125e	Golpe de furia
zts126e	Hay un 2% de probabilidades de enfurecerte
zts127e	Golpe de venganza
zts128e	Ataca el punto débil del oponente
zts129e	Energía de la espada
zts130e	La energía de la espada ocasiona daños a los oponentes que se encuentran a tu alrededor
zts131e	Técnica básica de la luz
zts132e	Ataque estelar
zts133e	Mediante un violento golpe con el mango de una espada tu oponente caerá inconsciente
zts134e	Temblor
zts135e	Un golpe estruendoso fuerte al suelo causa una ola de temblor que ocasiona daños a todos los oponentes que se encuentren a tu alrededor
zts136e	Técnica básica del feugo
zts137e	Ráfaga de viento
zts138e	Provocando una ráfaga de viento dañas a todos los oponentes
zts139e	Ataque doble
zts140e	Ataque de espada doble
zts141e	Tiro dinámico
zts142e	Un tiro de ballesta dinámico aumenta el ataque a larga distancia
zts143e	Tiro burlón
zts144e	Distrae la atención de tu oponente
zts145e	Recargo de energía
zts146e	Recarga energía para el siguiente ataque
zts147e	Pacto de sangre
zts148e	Los HP restados servirán para reforzar los siguientes ataques
zts149e	Defensa
zts150e	Baja el nivel de moral del oponente durante un tiempo limitado
zts151e	Funciona sólo con los oponentes que tienen una diferencia de 3 niveles respecto al tuyo
zts152e	Ataque fugaz
zts153e	Se lanza sobre el oponente con un ataque rápido
zts154e	Parar la hemorragia
zts155e	Cura todas las hemorragias hasta el nivel 3
zts156e	Se requieren vendas
zts157e	Nuevas capacidades y técnicas
zts158e	Tiro de arco
zts159e	Formación básica para arqueros
zts160e	Puñalada
zts161e	Formación básica para arqueros
zts162e	Tiro acierto seguro
zts163e	Ocasiona daños adicionales en los ataques a larga distancia y aumenta el índice de acierto.
zts164e	Tiro intenso
zts165e	El oponente sufre grandes daños mediante un fuerte ataque a larga distancia
zts166e	Tiro desgarrador
zts167e	Desgarra a los enemigos y les ocasiona daños críticos
zts168e	Captura del objetivo
zts169e	Mediante un ataque enérgico a las piernas del enemigo lograrás que camine más lento
zts170e	Salto
zts171e	Atacar mientras saltas causa daños al enemigo que tienes delante sin penalización
zts172e	Tiro Rápido
zts173e	Ocasiona tres ataques rápidos seguidos al oponente
zts174e	Lluvia de flechas
zts175e	Envía una lluvia de flechas sobre el oponente
zts176e	Puñalada mortal
zts177e	Las puñaladas adicionales causan heridas mortales al oponente
zts178e	Puñal venenoso
zts179e	Unta veneno para los músculos al puñal para debilitar la capacidad de ataque a corta y larga distancia del oponente
zts180e	Se requieren plantas venenosas
zts181e	Cuchillada fugaz
zts182e	Con una cuchillada fugaz con un puñal simple lograrás que el oponente quede inmovilizado
zts183e	Tiro mortal
zts184e	Recarga energía para el siguiente ataque
zts185e	Velocidad
zts186e	Acelera al personaje durante un rato
zts187e	Ojos de falcón
zts188e	Aumenta el poder de ataque y el índice de acierto del personaje propio y de sus acompañantes.
zts189e	Ritual de desintoxicación
zts190e	Para envenenar a acompañantes o amigos se necesitan plantas curativas
zts191e	Flecha venenosa
zts192e	Las puntas de las flechas quedarán envenenadas por un rato
zts193e	Pernos energéticos
zts194e	Formación básica para magos
zts195e	Tiro mágico
zts196e	Formación básica para mágicos
zts197e	Pernos de fuego
zts198e	Ataque mágico de fuego
zts199e	Pernos de hielo
zts200e	Ataque mágico del agua
zts201e	Cohetes mágicos
zts202e	Dispara cohetes mágicos que causan grandes daños al oponente
zts203e	Piedrazo
zts204e	Hace que la enorme piedra de arriba caiga sobre el oponente
zts205e	Columna de fuego
zts206e	Crea una columna de fuego mediante la cual atacas a los oponentes
zts207e	Tornado
zts208e	Los oponentes del tu alrededor serán atacados por un tornado
zts209e	Balas mágicas
zts210e	Balas mágicas fuertes que mejoran el ataque con el arma mágica
zts211e	Balas explosivas
zts212e	Causa gran daño al oponente mediante una bala explosiva
zts213e	Recuperar magia
zts214e	Recupera la energía mágica para los siguientes ataques para poder ocasionar daños más grandes
zts215e	Escudo helado
zts216e	Crea un escudo que disminuye los daños causados por los ataques a larga distancia
zts217e	Recuperación de HP
zts218e	Sana temporalmente el nivel de HP de un miembro del grupo
zts219e	Protección de la luz
zts220e	Crea una protección contra los ataques de las tinieblas para todos los integrantes del grupo
zts221e	Sueño
