zts1e	Zorro pequeño
zts2e	Zorro
zts3e	Zorro grande
zts4e	Zorro dusi cansado
zts5e	Zorro dusi
zts6e	Zorro dusi nervioso
zts7e	Zorro oto contento
zts8e	Zorro oto
zts9e	Zorro oto furioso
zts10e	Wollie feliz
zts11e	Wollie
zts12e	Wollie furiosa
zts13e	Muflón pequeño
zts14e	Muflón
zts15e	Muflón grande
zts16e	Carnero cansado
zts17e	Carnero
zts18e	Carnero nervioso
zts19e	Mandra feliz
zts20e	Mandra
zts21e	Mandra furiosa
zts22e	Mandrahierba débil
zts23e	Mandrahierba
zts24e	Mandrahierba fuerte
zts25e	Dánder pequeño
zts26e	Dánder
zts27e	Dánder grande
zts28e	Dánder tóxico débil
zts29e	Dánder tóxico
zts30e	Dánder tóxico fuerte
zts31e	Seedle débil
zts32e	Seedle
zts33e	Seedle fuerte
zts34e	Seedle de fuego ligero
zts35e	Seedle de fuego
zts36e	Seedle de fuego pesado
zts37e	Pii blando
zts38e	Pii
zts39e	Pii duro
zts40e	Pii salvaje pequeño
zts41e	Pii salvaje
zts42e	Pii salvaje grande
zts43e	Pii espinoso vago
zts44e	Pii espinoso
zts45e	Pii espinoso rápido
zts46e	Vaina de pii blanda
zts47e	Vaina de pii
zts48e	Vaina de pii duro
zts49e	Vaina de pii salvaje pequeña
zts50e	Vaina de pii salvaje
zts51e	Vaina de pii salvaje grande
zts52e	Vaina de pii espinoso vago
zts53e	Vaina de pii espinoso
zts54e	Vaina de pii espinoso rápido
zts55e	Vampi débil
zts56e	Vampi
zts57e	Vampi fuerte
zts58e	Vampi de fuego débil
zts59e	Vampi de fuego
zts60e	Vampi de fuego fuerte
zts61e	Vampi demoníaco débil
zts62e	Vampi demoníaco
zts63e	Vampi demoníaco fuerte
zts64e	Walker cansado
zts65e	Walker
zts66e	Walker nervioso
zts67e	Walker espinoso cansado
zts68e	Walker espinoso
zts69e	Walker espinoso nervioso
zts70e	Walker de piedra cansado
zts71e	Walker de piedra
zts72e	Walker de piedra nervioso
zts73e	Diablillo pequeño
zts74e	Diablillo
zts75e	Diablillo grande
zts76e	Diablillo cornudo feliz
zts77e	Diablillo cornudo
zts78e	Diablillo cornudo furioso
zts79e	Diablillo demoníaco pequeño
zts80e	Diablillo demoníaco grande
zts81e	Diablillo demoníaco
zts82e	Jelly rosa cansado
zts83e	Jelly rosa
zts84e	Jelly rosa nervioso
zts85e	Jelly rojo cansado
zts86e	Jelly rojo
zts87e	Jelly rojo nervioso
zts88e	Jelly oscuro cansado
zts89e	Jelly oscuro nervioso
zts90e	Jelly oscuro
zts91e	Gargs débil
zts92e	Gargs
zts93e	Gargs fuerte
zts94e	Gargs loco
zts95e	Gargs demente
zts96e	Gargs psicótico
zts97e	Hámster feliz
zts98e	Hámster
zts99e	Hámster furioso
zts100e	Hámster venenoso débil
zts101e	Hámster venenoso
zts102e	Hámster venenoso fuerte
zts103e	Hámster de acero pequeño
zts104e	Hámster de acero
zts105e	Hámster de acero grande
zts106e	Minero feliz
zts107e	Minero
zts108e	Minero furioso
zts109e	Minero expi débil
zts110e	Minero expi
zts111e	Minero expi fuerte
zts112e	Jefe de los mineros cansado
zts113e	Jefe de los mineros
zts114e	Jefe de los mineros nervioso
zts115e	Aprendiz de espadachín koareniano
zts116e	Espadachín koareniano
zts117e	Espadachín profesional koareniano
zts118e	Aprendiz de arquero koareniano
zts119e	Arquero koareniano
zts120e	Arquero profesional koareniano
zts121e	Aprendiz  de guerrero koareniano
zts122e	Guerrero koareniano
zts123e	Guerrero profesional koareniano
zts124e	No está en uso
zts125e	No está en uso
zts126e	No está en uso
zts127e	No está en uso
zts128e	Diablillo demoníaco feroz
zts129e	Mandra señuelo
zts130e	Vampi feroz
zts131e	Walker débil
zts132e	Llama
zts133e	Llama furiosa
zts134e	Barepardo
zts135e	Barepardo oscuro
zts136e	Boing
zts137e	Boing duro
zts138e	Boing pequeño del mangual
zts139e	Boing del mangual
zts140e	Mimic pequeño
zts141e	Mimic
zts142e	Mimic grande
zts143e	Mimic lucero del alba
zts144e	Mimic lucero del alba furioso
zts145e	Aprendiz de espadachín de los Kenkos
zts146e	Espadachín kenkoniano
zts147e	Espadachín profesional de los Kenkos
zts148e	Aprendiz de lancero de los Kenkos
zts149e	Lancero kenkoniano
zts150e	Lancero profesional de los Kenkos
zts151e	Aprendiz de ladrón de los Kenkos
zts152e	Ladrón kenkoniano
zts153e	Ladrón profesional de los Kenkos
zts154e	Lanetán
zts155e	Dríade de Fernon
zts156e	Ardilla marrón
zts157e	Ardilla gladiadora
zts158e	Ardilla fumigadora
zts159e	Ardilla enferma
zts160e	Ardilla guerrera
zts161e	Mandra enorme
zts162e	Mandra frenética
zts163e	Soldado araña
zts164e	Slade
zts165e	Sacerdote slade
zts166e	Slade petrificado
zts167e	Jelly rojo débil
zts168e	Jelly invisible
zts169e	Jelly rosa débil
zts170e	Jelly oscuro débil
zts171e	Rey de araña negro
zts172e	Boing espinoso débil
zts173e	Boing espinoso fuerte
zts174e	Boing ovni débil
zts175e	Boing ovni fuerte
zts176e	Ardilla Santa
zts177e	Wollet
zts178e	Cerdo de Año Nuevo
zts179e	Lagarto pequeño
zts180e	Lagarto verde gigante
zts181e	Paloma gorda
zts182e	Pajaromapache débil
zts183e	Pajaromapache fuerte
zts184e	Tronco martillopiedra
zts185e	Tronco martilloacero
zts186e	Tronco hachapiedra
zts187e	Tronco hachaacero
zts188e	Árbol zombi fuerte
zts189e	Árbol zombi furioso
zts190e	Alma de arce
zts191e	Diablo de arce
zts192e	Boing engranaje A
zts193e	Boing engranaje B
zts194e	Lobo
zts195e	Lobo feroz
zts196e	Lobo-león
zts197e	Lobo-león feroz
zts198e	Cerdo
zts199e	Cerdo fuerte
zts200e	Tortuga de montaña
zts201e	Tortuga rocosa
zts202e	Colmena furiosa
zts203e	Colmena peligrosa
zts204e	Enjambre de abejas furiosas
zts205e	Enjambre de abejas peligrosas
zts206e	Reina de las abejas furiosa
zts207e	Reina de las abejas peligrosa
zts208e	Araña débil
zts209e	Araña
zts210e	Araña fuerte
zts211e	Araña venenosa pequeña
zts212e	Araña venenosa
zts213e	Araña venenosa grande
zts214e	Rey araña débil
zts215e	Rey araña
zts216e	Rey araña fuerte
zts217e	Avispa pequeña
zts218e	Avispa
zts219e	Avispa grande
zts220e	Wiggler güigui
zts221e	Wiggler
zts222e	Wiggler furioso
zts223e	Wiggler pequeño
zts224e	Púster enfermo
zts225e	Púster
zts226e	Púster furioso
zts227e	Guerrero esqueleto débil
zts228e	Guerrero esqueleto
zts229e	Guerrero esqueleto fuerte
zts230e	Calavera débil
zts231e	Gólem de lava débil
zts232e	Gólem de lava
zts233e	Gólem de lava fuerte
zts234e	Sombra nocturna vieja
zts235e	Sombra nocturna
zts236e	Sombra nocturna ancestral
zts237e	Bruja oscura débil
zts238e	Bruja oscura
zts239e	Bruja de sangre
zts240e	Bruja de sangre fuerte
zts241e	Bruja mortífera débil
zts242e	Bruja mortífera
zts243e	Lancero abominable
zts244e	Lancero espantoso
zts245e	Calavera rabiosa
zts246e	Calavera maldita
zts247e	Calavera furiosa
zts248e	Gólem de lava furioso
zts249e	Gólem de lava feroz
zts250e	Sombra nocturna triste
zts251e	Sombra nocturna melancólica
zts252e	Púster feroz
zts253e	Kukukeen
zts254e	Bruja oscura fuerte
zts255e	Bruja mortífera fuerte
zts256e	Trillador profesional kenkoniano
zts257e	Walker sin fuerzas
zts258e	Gargs oscuro
zts259e	Arquero calavera
zts260e	Arquero calavera maldito
zts261e	Guerrero calavera
zts262e	Guerrero calavera maldito
zts263e	Rey polvareda
zts264e	Rey polvareda poderoso
zts265e	Hada de hielo furiosa
zts266e	Hada de hielo brutal
zts267e	Jelly rojo pequeño
zts268e	Rey polvareda débil
zts269e	Mamá cubi
zts270e	Cubi
zts271e	Ginseng
zts272e	Castra Oscuro
zts273e	Slade gigante
zts274e	NotUse
zts275e	Demonio espantoso
zts276e	Araña negra gigante
zts277e	Plantita ginseng
zts278e	Maceta ginseng
zts279e	Lagarto grande
zts280e	Araña patilarga
zts281e	Rey polvareda invisible
zts282e	Guardián zombi delgado
zts283e	Guardián zombi renqueante
zts284e	Guardián zombi deforme
zts285e	Guardián zombi repugnante
zts286e	Guardián zombi demacrado
zts287e	Mimi Mentor
zts288e	Teoman Topp
zts289e	Calvin Coach
zts290e	Soraya Style
zts291e	Eva Energy
zts292e	Malcolm Mix
zts293e	Malcolm asombrado
zts294e	Korrkoaren
zts295e	NotUse
zts296e	Diablillo espadachín
zts297e	Soldado de la guardia de NosVille
zts298e	Caballero de Lord Cuarry
zts299e	Arquero de la guardia de NosVille
zts300e	Korrkoaren exhausto
zts301e	Korrkoaren
zts302e	Kenel
zts303e	Trillador kenkoniano
zts304e	Bob
zts305e	Tom
zts306e	Kliff
zts307e	Princesa Carlota
zts308e	Princesa Catrisha
zts309e	Cenil
zts310e	Cenil
zts311e	Carven
zts312e	Teodor Topp
zts313e	Titus Trip
zts314e	Esluri
zts315e	Jefe de la mina
zts316e	Pollo
zts317e	Pollo grande
zts318e	Princesa Catrisha
zts319e	Guardián herido
zts320e	Capitán de la guardia de NosVille
zts321e	Caballero
zts322e	Capitán de los caballeros
zts323e	Pollo furioso
zts324e	Jefe brujo
zts325e	Radal
zts326e	Bruja espina de rosa
zts327e	Persona misteriosa
zts328e	Fantasma sonámbulo
zts329e	NotUse
zts330e	NotUse
zts331e	Lucía
zts332e	NotUse
zts333e	Mangual
zts334e	Roca cayente
zts335e	Araña pequeña
zts336e	Duende muerto
zts337e	Meteorito negro
zts338e	Pergamino de la iluminación
zts339e	Piedra de teletransporte
zts340e	Observador del laboratorio
zts341e	Entrenador de ardillas
zts342e	Cartel indicador pequeño
zts343e	Cartel indicador grande
zts344e	Portal time-space
zts345e	Nota de las hadas
zts346e	Gema del alma amarilla
zts347e	Gema del alma roja
zts348e	Gema del alma azul
zts349e	Gema del alma misteriosa
zts350e	Mandra aturdidora
zts351e	Mandra antibuff
zts352e	Ardilla fuerte
zts353e	Ardilla de fuego
zts354e	Ardilla de agua
zts355e	Ardilla de luz
zts356e	Ardilla de sombra
zts357e	Diablo del inframundo
zts358e	Estaca de entrenamiento
zts360e	Slade de fuego
zts361e	Sanguijuela
zts362e	Topo
zts363e	Guardián Sam
zts364e	Guardián Jim
zts365e	Jefe de la mina Mudog
zts366e	Jefe de la mina Krispo
zts368e	Jerico
zts369e	Comandante Ray Ramos
zts370e	General de los caballeros ramos
zts371e	Capitán de los caballeros ramos
zts372e	Espía koareniano
zts373e	Minero murmullador
zts374e	Rumbler
zts375e	Rey de los rumbler
zts376e	Glotzki erguido
zts377e	Espada hechizada
zts378e	Arco hechizado
zts379e	Mangual hechizado
zts380e	Hábito desgarrado
zts381e	Mosquito débil
zts382e	Escorpión oscuro
zts383e	Saltamontes de agua
zts384e	Mariposa de fuego
zts385e	Alma de árbol clara
zts386e	Alma de árbol oscura
zts387e	Alma de árbol fría
zts388e	Alma de árbol candente
zts389e	Alma atrapada
zts390e	Perro infernal
zts391e	Sirviente demoníaco
zts392e	Caballero Pinto
zts393e	Hierba olorosa
zts394e	Fuente profunda
zts395e	Piedra roja rota
zts396e	Tronco
zts397e	Árbol floreciente
zts398e	Estatua del duende
zts399e	Pentagrama
zts400e	Círculo de la oscuridad
zts401e	Arbusto sagrado
zts402e	Altar sagrado
zts403e	Rama mágica
zts404e	Nido de fisgón
zts405e	Tornillo del miedo (puerta 1)
zts406e	Tornillo del miedo (puerta 2)
zts407e	Tornillo del miedo (puerta 3)
zts408e	Troncos
zts409e	Donante de nivel 20
zts410e	Donante de nivel 21-1
zts411e	Donante de nivel 21-2
zts412e	Donante de nivel 21-3
zts413e	Donante de nivel 21-4
zts414e	Donante de nivel 21-5
zts415e	Donante de nivel 21-6
zts416e	Donante de nivel 22-1
zts417e	Donante de nivel 22-2
zts418e	Donante de nivel 22-3
zts419e	Trigo
zts420e	Mineral de hierro
zts421e	Donante de nivel 25-1
zts422e	Donante de nivel 25-2
zts423e	Donante de nivel 25-3
zts424e	Donante de nivel 25-4
zts425e	Donante de nivel 25-5
zts426e	Donante de nivel 25-6
zts427e	Donante de nivel 25-7
zts428e	Donante de nivel 25-8
zts429e	Donante de nivel 25-9
zts430e	Donante de nivel 25-10
zts431e	Pista rara
zts432e	Capitán Lamoss
zts434e	Eggy chicky
zts438e	Gallo de pelea
zts439e	Rey Pollo
zts440e	Fuente misteriosa
zts441e	Fuente secreta
zts442e	Huevo de ave
zts443e	Nido de oro
zts444e	Fuente mágica
zts445e	Fuente estrafalaria
zts446e	Guardián
zts447e	Chicky saltador
zts448e	Chicky bailador
zts449e	Chicky refunfuñón
zts450e	Glotzki volador
zts451e	Cuerpo del alma atrapada
zts452e	Donante de las vestiduras desgarradas
zts453e	Cartel de personas buscadas
zts454e	Jefe koareniano
zts455e	Colly
zts456e	Anni
zts457e	Doggo
zts458e	Gusano de tierra
zts459e	Terramonstruo
zts460e	Grillotopo grande
zts461e	Gigante nebuloso
zts462e	Alma de un guerrero
zts463e	Alma de un arquero
zts464e	Bestia
zts465e	Espía kenkoniano
zts466e	Torturador pellizcador
zts467e	Torturador enrollador
zts468e	Torturador latigador
zts469e	Diablesa
zts470e	Estatua mordedora de Shinebone
zts471e	Caseta de vigilancia destruida
zts472e	Suelo blando
zts473e	Suelo áspero
zts474e	Piedra brillante
zts475e	Escoba
zts476e	Empapelado sospechoso
zts477e	Estatua del horror
zts478e	Enanoninja saltador
zts479e	Enanoninja armado
zts480e	Enanoninja borracho
zts481e	Ninja
zts482e	Nonomau
zts483e	Fantasma enamorado
zts484e	Namaju
zts485e	Enanoninja triste
zts486e	Minijajamaru
zts487e	Princesa Sakura
zts488e	Namaju furioso
zts489e	Seedle feroz
zts490e	Dánder loco
zts491e	Pollo feroz
zts492e	Minero expi Yobby
zts493e	Jajamaru
zts494e	Fragmentos de meteorito
zts495e	Tumba grande
zts496e	Tumba pequeña
zts497e	Trampa de jajamaru
zts498e	Ramas de bambú
zts499e	Torturador de acero
zts500e	Namaju feroz
zts501e	Mosquito fuerte
zts502e	Olla de jajamaru
zts503e	Cristal de arco iris grande
zts504e	Cristal de arco iris mediano
zts505e	Cristal de arco iris pequeño
zts506e	Bestia maldita
zts507e	Gigante nebuloso maldito
zts508e	Diablesa maldita
zts509e	Bruja espina de rosa
zts510e	Bruja blanca fuerte
zts511e	Estatua de Shinebone
zts512e	Árbol frutal
zts513e	Marcador de puntos
zts514e	Piedra roja
zts515e	Estatua destruida de Shinebone
zts516e	Espía kenkoniano donante 1
zts517e	Espía kenkoniano donante 2
zts518e	Espía kenkoniano donante 3
zts519e	Espía kenkoniano donante 4
zts520e	Bruja espina de rosa blanca
zts521e	Guerrero esqueleto resucitado
zts522e	Halcón calavera
zts523e	Guerrero de la muerte
zts524e	Caballero infernal
zts525e	Demonio de fuego volador
zts526e	NPC nuevo
zts527e	Hada graslin
zts528e	Hada graslin
zts529e	Graslin gigante
zts530e	Dragón de fuego
zts531e	Dragón de huesos
zts532e	Graslin pequeño
zts533e	Planta de arroz
zts534e	Portal hacia el Reino de la Muerte
zts535e	Ardilla gladiadora
zts536e	Catrisha
zts537e	Carlota
zts538e	Jack Lumber
zts539e	Rody Windsinger
zts540e	Rudy Steward
zts541e	Eri Windspear
zts542e	Tropa de Erikiel
zts543e	Soty Bystander
zts544e	Khanty Darkstaker
zts545e	Rect Lat
zts546e	Recturus Lightelusion
zts547e	Almeja gigante
zts548e	Treekun
zts549e	Rey sanguijuela
zts550e	Gólem de fuego
zts551e	Basilisco
zts552e	Larva gigante
zts553e	NotUse
zts554e	Medusa grande
