zts1e	Bend. de ardillas
zts3e	Bendición de gatos
zts5e	Bend. de la luz
zts7e	Bend. de tinieblas
zts9e	Bendición del agua
zts11e	Bend. del fuego
zts13e	Bend. del guerrero
zts15e	Bendición de mago
zts17e	Bend. de arqueros
zts19e	Bend. de ninjas
zts21e	Bend. de evolución
zts23e	Bend. de arcoiris
zts25e	Bend. de robots
zts27e	Bend. de piratas
zts29e	Bend. del horror
zts31e	Bendición gélida
zts33e	Bendición del lobo
zts35e	Bendición de jelly
zts37e	Bend. de la TC
zts39e	Bend. de bestias
zts41e	Bend. de fantasmas
zts43e	Bend. de guardián
zts45e	Bend. del Rey E.
zts47e	Bend. del Rey B.
zts49e	Sangre del inm.
zts51e	Maestro dinamitero
zts53e	Electrochoque
zts55e	Ágil y agradable
