zts1e	Nouvel objet
zts2e	[n]
zts3e	Bâton de bois
zts4e	C'est la première arme qu'obtient l'Aventurier en arrivant à NosVille.[n][n]
zts5e	Gourdin en bois
zts6e	Ce solide gourdin en bois provoque encore plus de dégâts.[n][n]
zts7e	Épée en bois
zts8e	Cette épée en bois est idéale pour la formation des Aventuriers.[n][n]
zts9e	Marteau en bois
zts10e	Ce marteau est fait d'un bois particulièrement robuste.[n][n]
zts11e	Marteau en bois lourd
zts12e	Ce marteau en bois lourd inflige plus de dégâts.[n][n]
zts13e	Épée en bois d'apprenti
zts14e	Il s'agit de l'épée d'un apprenti Aventurier.[n][n]
zts15e	Épée d'Aventurier
zts16e	Il s'agit d'une épée fortifiée pour les Aventuriers.[n][n]
zts17e	Catapulte en bois
zts18e	C'est la première arme secondaire que reçoivent tous les Aventuriers arrivant à NosVille.[n][n]
zts19e	Catapulte en bois puissante
zts20e	Cette catapulte en bois puissante inflige plus de dégâts.[n][n]
zts21e	Catapulte en bois d'apprenti
zts22e	Il s'agit de la catapulte d'un apprenti Aventurier.[n][n]
zts23e	Catapulte d'Aventurier
zts24e	Cette catapulte en acier est faite pour les Aventuriers.[n][n]
zts25e	Vêtement
zts26e	Ces vêtements sont faits pour les Aventuriers novices.[n][n]
zts27e	Tenue d'entraînement
zts28e	Il s'agit de l'uniforme porté pendant l'entraînement.[n][n]
zts29e	Tenue d'Aventurier
zts30e	Cette tenue d'Aventurier est très prisée. Elle protège des effets secondaires que provoque une renaissance.[n][n]
zts31e	Armure d'entraînement
zts32e	Cet uniforme d'entraînement est très confortable.[n][n]
zts33e	Lot du manteau du voyageur
zts34e	Cet objet permet aux voyageurs de ne pas avoir froid quand ils dorment à la belle étoile.[n][n]
zts35e	Lot de manteau chaud
zts36e	Cet objet t'enveloppe de sa chaleur.[n]Tu ne subis aucun effet secondaire au moment de renaître.[n][n]
zts37e	Épée d'apprenti
zts38e	Il s'agit d'un cadeau pour les apprentis Épéistes.[n]Les Aventuriers ne peuvent pas utiliser cette arme.[n][n]
zts39e	Épée courte
zts40e	Cette épée est particulièrement appréciée des apprentis Épéistes.[n][n]
zts41e	Épée de peine
zts42e	Cette épée a été forgée à partir d'armes de soldats vaincus.[n]Elle augmente la probabilité de provoquer un coup critique.[n]
zts43e	Épée courte
zts44e	Cet objet est utilisé par les Épéistes.[n][n]
zts45e	Épée en bronze
zts46e	Cette épée décorée en bronze augmente la probabilité de provoquer un coup critique.[n][n]
zts47e	Sabre
zts48e	Ce sabre est très apprécié des Épéistes.[n][n]
zts49e	Épée large de l'esprit
zts50e	Cette épée retient prisonnier l'esprit du soldat à qui elle appartenait.[n]La force d'attaque de l'élément Feu augmente.[n][n]
zts51e	Fauchon
zts52e	Il s'agit d'une arme de taille à poignée longue.[n]Sa légèreté permet de s'en servir d'une seule main.[n][n]
zts53e	Sabre en or
zts54e	Cette épée sertie d'or augmente la probabilité de provoquer un coup critique à l'aide de l'élément Feu.[n][n]
zts55e	Épée large
zts56e	Cette épée a une lame beaucoup plus large que la normale.[n][n]
zts57e	Épée longue du pouvoir
zts58e	Un pouvoir obscur augmente les dégâts.[n][n]
zts59e	Épée large
zts60e	Cette épée extrêmement large a une prise en main très agréable.[n][n]
zts61e	Skyabona
zts62e	Une force mystérieuse protège des attaques le détenteur de cette épée.[n][n]
zts63e	Épée claymore
zts64e	Seuls les meilleurs Épéistes obtiennent cette épée.[n]La force d'attaque de l'élément Eau augmente.[n][n]
zts65e	Arc d'apprenti
zts66e	Il s'agit d'un cadeau pour les apprentis Archers.[n]Les Aventuriers ne peuvent pas utiliser cette arme.[n][n]
zts67e	Petit arc
zts68e	Il s'agit d'un petit arc en bois.[n][n]
zts69e	Arc de vitesse
zts70e	La vitesse de cet arc léger augmente considérablement la précision.[n][n]
zts71e	Arc en bambou
zts72e	Cet arc peu fiable a été fabriqué dans du bois de bambou.[n][n]
zts73e	Arc magique
zts74e	Cet arc a été béni par des forces magiques.[n]L'objet augmente les dégâts et la précision.[n][n]
zts75e	Arc en chêne
zts76e	Pour plus de robustesse, cet arc a été fabriqué en bois de chêne.[n][n]
