zts1e	Repos
zts2e	Ramasser
zts3e	Ouvrir le magasin
zts4e	Inscrire à une bataille
zts5e	Cercle de temps
zts6e	Non spécifié
zts7e	[Débutant] Attaque renforcée
zts8e	La force physique augmente de 3.
zts9e	L'attaque et la défense en combat rapproché augmentent.
zts10e	[Intermédiaire] Attaque renforcée
zts11e	La force physique augmente de 12.
zts12e	[Avancé] Attaque renforcée
zts13e	Attaque magistrale
zts14e	[Débutant] Cours de vitesse
zts15e	L'adresse augmente de 3.
zts16e	La précision, l'esquive, ainsi que les vitesses d'attaque et de défense à distance augmentent.
zts17e	[Intermédiaire] Cours de vitesse
zts18e	L'adresse augmente de 12.
zts19e	La précision, l'esquive, ainsi que les vitesses d'attaque et de défense à distance augmentent.
zts20e	[Avancé] Cours de vitesse
zts21e	[Expert] Cours de vitesse
zts22e	[Débutant] Renforcement spirituel
zts23e	La force de l'esprit augmente de 4.
zts24e	L'attaque magique et la défense magique augmentent.
zts25e	[Intermédiaire] Renforcement spirituel
zts26e	La force de l'esprit augmente de 15.
zts29e	[Débutant] Technique d'élevage
zts30e	[Intermédiaire] Technique d'élevage
zts31e	[Avancé] Technique d'élevage
zts32e	[Expert] Technique d'élevage
zts33e	[Débutant] Prolongement de vie
zts34e	Les HP augmentent durablement de 50.
zts35e	[Intermédiaire] Prolongement de vie
zts36e	Les HP augmentent durablement de 100.
zts37e	[Avancé] Prolongement de vie
zts38e	[Expert] Prolongement de vie
zts39e	[Débutant] Entraînement mental
zts40e	Les MP augmentent durablement de 50.
zts41e	[Intermédiaire] Entraînement mental
zts42e	Les MP augmentent durablement de 100.
zts43e	[Avancé] Entraînement mental
zts44e	[Expert] Entraînement mental
zts45e	[Débutant] Attaque efficace
zts46e	La force d'attaque augmente de 2.
zts47e	[Intermédiaire] Attaque efficace
zts48e	La force d'attaque augmente de 6.
zts51e	[Débutant] Autodéfense
zts52e	La défense augmente de 3.
zts53e	[Intermédiaire] Autodéfense
zts54e	La défense augmente de 8.
zts57e	[Débutant] Rétablissement de HP
zts58e	Le rétablissement de HP augmente de 20.
zts59e	[Intermédiaire] Rétablissement de HP
zts60e	Le rétablissement de HP augmente de 50.
zts61e	[Avancé] Rétablissement de HP
zts62e	[Expert] Rétablissement de HP
zts63e	[Débutant] Rétablissement de MP
zts64e	Le rétablissement de MP augmente de 20.
zts65e	[Intermédiaire] Rétablissement de MP
zts66e	Le rétablissement de MP augmente de 50.
zts67e	[Avancé] Rétablissement de MP
zts68e	[Expert] Rétablissement de MP
zts70e	Les HP et MP sont lentement rétablis.
zts71e	[Intermédiaire] Guérison naturelle
zts72e	[Avancé] Guérison naturelle
zts73e	[Débutant] Maîtrise des armes
zts74e	[Intermédiaire] Maîtrise des armes
zts75e	[Avancé] Maîtrise des armes
zts76e	[Débutant] Cours d'attaque
zts77e	[Intermédiaire] Cours d'attaque
zts78e	[Avancé] Cours d'attaque
zts79e	[Débutant] Résistance au poison
