zts1e	L'arbre de Fernon
zts2e	La résurrection de l'arbre de Fernon
zts3e	L'arrivée des démons
zts4e	La Couronne de glace
zts5e	L'épée en flammes
zts46e	Nécessaire
zts47e	Combinaison
zts63e	Magie
zts73e	Corps à corps
zts74e	Attaque à distance
zts97e	Restant
zts166e	Essaie de changer le niveau de rareté
zts208e	En cours d'apprentissage...
zts245e	Métier :
zts246e	Combat :
zts284e	Ancestral
zts291e	Attaque a longue portée
zts292e	Attaque magique
zts328e	Ratufu
zts532e	Veux-tu apprendre cette compétence ?
zts541e	Conclure la combinaison de résistances ?
zts542e	Procéder à la combinaison de résistances ?
zts545e	La somme des deux objets dépasse la possible portée de la combinaison (6)
zts657e	TimeCircle, produisez-le!
zts664e	Pas besoin de dire. Chercher d'attaquer au derrière?
zts2166e	http://nostale.fr/launcher/index
zts2381e	combinaison
zts2469e	Espace-Temps n°%d (%d/%d) complété<NEW_TYPE><0,1,2>
zts2473e	Obtient %d points de l'Espace-Temps(%d/%d)<NEW_TYPE><0,1,2>
zts2474e	Dialoguer avec [%s]<NEW_TYPE><0>
zts2475e	Recueillir %d de [%s] dans le Espace-Temps (%d/%d)<NEW_TYPE><1,0,2,3>
zts2505e	Pour accéder à la salle du Boss :
zts2553e	http://fr.shop.nostale.de/nosmall.php?server_index=%s&m_idPlayer=%s&user_id=%s&m_szName=%s&md5=%s
zts2584e	Candidature pour la Bataille du Cristal de l'Arc-en-Ciel (%s)<NEW_TYPE><0>
zts2680e	pour un temps limité.
zts2695e	Le Mini Jeu va être fermé car il n'y a pas eu d'activité pendant les 60 dernières secondes
zts2829e	Saignée Mineure: %s%%<NEW_TYPE><0>
zts2830e	Saignée: %s%%<NEW_TYPE><0>
zts2831e	Saignée Sérieuse : %s%%<NEW_TYPE><0>
zts2832e	Trou Noir: %s%%
zts2833e	Congelé : %s%%<NEW_TYPE><0>
zts2834e	Trou Noir Mortel : %s%%
zts2835e	Augmente les dégats sur les plantes: %s%%<NEW_TYPE><0>
zts2836e	Augmente les dégats sur les animaux: %s%%<NEW_TYPE><0>
zts2837e	Augmente les dégats sur les démons: %s%%<NEW_TYPE><0>
zts2838e	Augmente les dégats sur les zombies: %s%%<NEW_TYPE><0>
zts2839e	Augmente les dégats sur les petits animaux: %s%%<NEW_TYPE><0>
zts2840e	Augmente les dégâts sur les monstres géants: %s%%<NEW_TYPE><0>
zts2841e	Augmente les chances de faire un critique: %s%%<NEW_TYPE><0>
zts2842e	Augmente les dégats critiques : %s%%<NEW_TYPE><0>
zts2843e	L'incantation Ne peut être interrompue
zts2844e	Augmente l'élément de feu : %s%%<NEW_TYPE><0>
zts2845e	Augmente l'élément de l'eau : %s%%<NEW_TYPE><0>
zts2846e	Augmente l'élément de lumière : %s%%<NEW_TYPE><0>
zts2847e	Augmente l'élément d'obscurité : %s%%<NEW_TYPE><0>
zts2848e	Augmente tous les éléments : %s%%<NEW_TYPE><0>
zts2849e	Réduit la consommation de MP : %s%%<NEW_TYPE><0>
zts2853e	Augmente la défense de la SP de: %s <NEW_TYPE><0>
zts2854e	Augmente toutes les stats de la SP de: %s <NEW_TYPE><0>
zts2855e	Augmente les HP/MP de la SP de: %s%% <NEW_TYPE><0>
