zts1e	Petit renard
zts2e	Renard
zts3e	Grand renard
zts4e	Renard Dusi fatigué
zts5e	Renard Dusi
zts6e	Renard Dusi nerveux
zts7e	Renardoto heureux
zts8e	Renardoto
zts9e	Renardoto furieux
zts10e	Laineux heureux
zts11e	Laineux
zts12e	Laineux furieux
zts13e	Petit mouflon
zts14e	Mouflon
zts15e	Grand mouflon
zts16e	Bélier fatigué
zts17e	Bélier
zts18e	Bélier nerveux
zts19e	Mandragore heureuse
zts20e	Mandragore
zts21e	Mandragore furieuse
zts22e	Mandragore herbue faible
zts23e	Mandragore herbue
zts24e	Mandragore herbue forte
zts25e	Petit dander
zts26e	Dander
zts27e	Grand dander
zts28e	Dander toxique faible
zts29e	Dander toxique
zts30e	Dander toxique fort
zts31e	Seedle faible
zts32e	Seedle
zts33e	Seedle forte
zts34e	Seedle de feu légère
zts35e	Seedle de feu
zts36e	Seedle de feu lourde
zts37e	Pois mou
zts38e	Pois
zts39e	Pois dur
zts40e	Petit pois sauvage
zts41e	Pois sauvage
zts42e	Grand pois sauvage
zts43e	Pois épineux fainéant
zts44e	Pois épineux
zts45e	Pois épineux rapide
zts46e	Cosse de pois molle
zts47e	Cosse de pois
zts48e	Cosse de pois dure
zts49e	Petite cosse de pois sauvages
zts50e	Cosse de pois sauvages
zts51e	Grande cosse de pois sauvages
zts52e	Cosse de pois épineux fainéante
zts53e	Cosse de pois épineux
zts54e	Cosse de pois épineux rapide
zts55e	Vampie faible
zts56e	Vampie
zts57e	Vampie fort
zts58e	Vampie ardent faible
zts59e	Vampie ardent
zts60e	Vampie ardent fort
zts61e	Vampie diabolique faible
zts62e	Vampie diabolique
zts63e	Vampie diabolique fort
zts64e	Marcheur fatigué
zts65e	Marcheur
zts66e	Marcheur nerveux
zts67e	Marcheur à épines fatigué
zts68e	Marcheur à épines
zts69e	Marcheur à épines nerveux
zts70e	Marcheur de pierre fatigué
zts71e	Marcheur de pierre
zts72e	Marcheur de pierre nerveux
zts73e	Petit diablotin
zts74e	Diablotin
zts75e	Grand diablotin
zts76e	Diablotin cornu heureux
zts77e	Diablotin cornu
zts78e	Diablotin cornu furieux
zts79e	Petit diablotin satanique
zts80e	Grand diablotin satanique
zts81e	Diablotin satanique
zts82e	Jelly rose fatigué
zts83e	Jelly rose
zts84e	Jelly rose nerveux
zts85e	Jelly rouge fatigué
zts86e	Jelly rouge
zts87e	Jelly rouge nerveux
zts88e	Jelly obscur fatigué
zts89e	Jelly obscur nerveux
zts90e	Jelly obscur
zts91e	Gargs faible
zts92e	Gargs
zts93e	Gargs fort
zts94e	Gargs fou
zts95e	Gargs dingue
zts96e	Gargs psychotique
zts97e	Hamster heureux
zts98e	Hamster
zts99e	Hamster furieux
zts100e	Hamster toxique faible
zts101e	Hamster toxique
zts102e	Hamster toxique fort
zts103e	Petit hamster métallique
zts104e	Hamster métallique
zts105e	Grand hamster métallique
zts106e	Mineur heureux
zts107e	Mineur
zts108e	Mineur furieux
zts109e	Mineur expert faible
zts110e	Mineur expert
zts111e	Mineur expert fort
zts112e	Mineur en chef fatigué
zts113e	Mineur en chef
zts114e	Mineur en chef nerveux
zts115e	Épéiste koaren novice
zts116e	Épéiste koaren
zts117e	Épéiste koaren d'élite
zts118e	Tireur koaren novice
zts119e	Tireur koaren
zts120e	Tireur d'élite koaren
zts121e	Combattant koaren novice
zts122e	Combattant koaren
zts123e	Guerrier koaren d'élite
zts124e	NotUse
zts125e	NotUse
