zts1e	Béné. du Ratufu
zts3e	Béné. du chat
zts5e	Béné. de Lumière
zts7e	Béné. Obscurité
zts9e	Béné. de l'Eau
zts11e	Bénédiction du Feu
zts13e	Béné. du guerrier
zts15e	Béné. du mage
zts17e	Béné. de l'archer
zts19e	Béné. du ninja
zts21e	Béné. d'évoution
zts23e	Béné. arc-en-ciel
zts25e	Béné. du robot
zts27e	Béné. du pirate
zts29e	Béné. de cruauté
zts31e	Béné. glaciale
zts33e	Béné. du loup
zts35e	Béné. de jelly
zts37e	Béné. Tour céleste
zts39e	Béné. de la bête
zts41e	Béné. de l'esprit
zts43e	Béné. du gardien
zts45e	Béné. roi esprits
zts47e	Béné Roi des bêtes
zts49e	Sang d'imm.
zts51e	Artificier
zts53e	Électrochoc
zts55e	Agile et gracieux
zts57e	Prix : 1er
zts58e	Prix : 2e et 3e
zts59e	Prix : 4e au 10e
zts60e	Prix : 11e au 20e
zts61e	Prix : 21e au 30e
