zts1e	Attacco Speciale
zts2e	Impedisce l'Attacco
zts3e	Impedisce l'Attacco Ravvicinato
zts4e	Attacco a distanza disabilitato
zts5e	Non permette di lanciare incantesimi.
zts6e	Non permetti di esser selezionato come obiettivo.
zts7e	Non permette di attaccare.
zts8e	Non permette di effettuare attacchi ravvicinati.
zts9e	Non permette di effettuare Attacchi a Distanza.
zts10e	Non permette di lanciare Attacchi Magici.
zts11e	Permette di far fallire l'Attacco Nemico ad esclusione di quelli Magici.
zts12e	Difesa Speciale
zts13e	Disattiva la Difesa
zts14e	Disattiva la Difesa Fisica Ravvicinata.
zts15e	Disattiva Difesa Fisica Distante
zts16e	La difesa magica non ha alcun effetto.
zts17e	Disabilita Evasione.
zts18e	Permette di non ricevere effetti aggiuntivi sulla Difesa.
zts19e	Non permette di applicare effetti sulla Difesa Ravvicinata.
zts20e	Non permette di applicare effetti sulla Difesa Fisica Ravvicinata
zts21e	Permette di non applicare effetti sulla Difesa Magica.
zts22e	Non può essere evitato.
zts23e	Modifica l`Attacco.
zts24e	Modifica tutti gli Attacchi
zts25e	Modifica l'Attacco Ravvicinato
zts26e	Modifica l'Attacco a Distanza
zts27e	Modifica l'Attacco Magico
zts28e	Modifica il Livello d'Attacco
zts29e	Aumenta l'Attacco di %s.
zts30e	Diminuisce l'Attacco di %s.
zts31e	Aumenta l'attacco ravvicinato di un %s.
zts32e	Diminuisce l'Attacco Ravvicinato di %s.
zts33e	Aumenta l'attacco a distanza di %s.
zts34e	Diminuisce l'Attacco a Distanza di %s.
zts35e	Aumenta l'Attacco Magico di %s.
zts36e	Diminuisce l'Attacco Magico di %s.
zts37e	Aumenta il Livello d'Attacco di %s.
zts38e	Il Livello d'Attacco diminuisce di %s
zts39e	Cambia il Bersaglio
zts40e	Modifica i Bersagli
zts41e	Modifica il Bersaglio Vicino
zts42e	Modifica il bersaglio lontano
zts43e	Modifica l'obiettivo
zts44e	Aumenta l'HitRate di tutti gli attacchi del seguente valore: %s.
zts45e	Riduce l'HitRate di tutti gli attacchi del seguente valore: %s.
zts46e	Aumenta l'HitRate di tutti gli attacchi ravvicinati del seguente valore: %s.
zts47e	Riduce l'HitRate di tutti gli attacchi ravvicinati del seguente valore: %s.
zts48e	Aumenta l'HitRate di tutti gli attacchi a distanza del seguente valore: %s
zts49e	Riduce l'HitRate di tutti gli attacchi a distanza del seguente valore: %s
zts50e	Aumenta il livello dell'obiettivo di %s (negli attacchi magici).
zts51e	Diminuisce il Livello del bersaglio di %s (negli attacchi magici).
zts52e	Modifica l'Attacco Critico
zts53e	Modifica la Probabilità di un Attacco Critico
zts54e	Modifica il Danno dell'Attacco Critico
zts55e	Raddoppia il danno
zts56e	Modifica la probabilità di ricevere Attacchi Critici.
zts57e	Modifica il danno dell'Attacco Critico dell'Avversario.
zts58e	La probabilità di infliggere un colpo critico aumenta (+%s%%).
zts59e	Diminuisce la probabilità di ricevere Attacchi Critici del %s%%.
zts60e	Il danno critico aumenta del %s%%
zts61e	Quando sferri colpi critici, il danno diminuisce (-%s%%).
zts62e	Con una probabilità di un %s%%, aumenta il danno di un %s%%.
zts63e	Con una probabilità di un %s%%, diminuisce il danno fino a un %s%%.
zts64e	Aumenta la probabilità di ottenere un Colpo Critico del %s%%.
zts65e	Diminuisce la possibilità di ricevere un Colpo Critico del %s%%.
zts66e	Aumenta il Danno dei Colpi Critici del %s%%.
zts67e	Diminuisce il danno dei Colpi Critici del %s%%.
zts68e	Colpo Critico Speciale
zts69e	Provoca un Colpo Critico incondizionato
zts70e	Non può provocare un Colpo Critico Incondizionato
zts71e	Permette di ottenere sempre Colpi Critici.
zts72e	Permette di ottenere qualche volta Colpi Critici.
zts73e	Probabilità Regolare di Colpo Critico
zts74e	Permette di infliggere sempre un colpo critico.
zts75e	Permette di non infliggere mai un Colpo Critico
zts76e	Permette di ottenere sempre Colpi Critici.
zts77e	Non permette di ottenere Colpi Critici.
zts78e	Infligge Colpi Critici con una probabilità di un %s%%.
zts79e	Permette di ottenere un Colpo Critico con una probabilità di un %s%%.
zts80e	Modifica Elemento
zts81e	Modifica Energia Fuoco
zts82e	Modifica energia d'acqua
zts83e	Modifica Energia Luce
zts84e	Modifica Energia Oscurità
zts85e	Modifica di tutti gli elementi
zts86e	Aumenta l'energia fuoco di %s.
zts87e	Diminuisce l'Energia Fuoco di %s.
zts88e	L'energia d'acqua è aumentata di un %s.
zts89e	L'Energia d'acqua è diminuita di un %s.
zts90e	Aumenta l'Energia Luce di %s.
zts91e	Diminuisce l'Energia Luce di %s.
zts92e	Aumenta l'Energia Oscurità di %s.
zts93e	Diminuisce l'Energia Oscuritàdi %s.
zts94e	Aumenta l'Energia di tutti gli elementi di %s.
zts95e	Diminuisce l'Energia di tutti gli elementi di %s.
zts96e	Aumento Danno
zts97e	Aumento Probabilità
zts98e	%s%% di probabilità di incrementare la forza di attacco del seguente valore: %s%%.
zts99e	%s%% di probabilità di ridurre il danno del seguente valore: %s%%.
zts100e	Aumenta l'Energia del Fuoco di %s.
zts101e	Diminuisce l'Energia del Fuoco di %s.
zts102e	Aumenta l'Energia dell'Acqua di %s.
zts103e	Diminuisce l'elemento acqua di %s.
zts104e	Aumenta l'Energia della Luce di %s.
zts105e	Diminuisce l'Energia della Luce di %s.
zts106e	Aumenta l'Energia dell'Oscurità di %s.
zts107e	Diminuisce l'Energia dell'Oscurità di %s.
zts108e	Modifica la Difesa
zts109e	Modifica la Difesa
zts110e	Modifica Difesa Ravvicinata
zts111e	Modifica la Difesa Fisica Distante
zts112e	Modifica la difesa magica.
zts113e	Modifica il Livello della Difesa
zts114e	Aumenta la Difesa di %s.
zts115e	Diminuisce la Difesa di %s.
zts116e	Aumenta la Difesa Fisica Ravvicinata di %s.
zts117e	Diminuisce la Difesa Fisica Ravvicinata fino a %s.
zts118e	Aumenta la Difesa Fisica Distante di %s.
zts119e	Diminuisce la Difesa Nemica di %s.
zts120e	Aumenta la Difesa Magica di %s.
zts121e	Diminuisce la Difesa magica di %s.
zts122e	Aumenta il Livello della Difesa di %s.
zts123e	Diminuisce il Livello della Difesa di %s.
