zts1e	Nuovo item
zts2e	[n]
zts3e	Bastone di legno
zts4e	Prima arma per gli avventurieri novizi di NosVille.[n][n]
zts5e	Bastone di legno
zts6e	Un randello in legno che provoca danni extra.[n][n]
zts7e	Spada di legno
zts8e	Una spada in legno perfetta per il training degli avventurieri.[n][n]
zts9e	Martello di legno
zts10e	Un martello di legno particolarmente duro.[n][n]
zts11e	Martello di legno pesante
zts12e	Un pesante martello di legno che infligge dei danni extra.[n][n]
zts13e	Spada di legno dell'apprendista
zts14e	Una spada per avventurieri inesperti.[n][n]
zts15e	Spada dell'avventuriero
zts16e	Una spada d'acciaio per avventurieri.[n][n]
zts17e	Fionda in legno
zts18e	La prima arma secondaria per gli avventurieri appena arrivati a NosVille.[n][n]
zts19e	Fionda in legno pesante
zts20e	Fionda in legno pesante. Provoca danni extra.[n][n]
zts21e	Fionda in legno dell'apprendista
zts22e	Una fionda per avventurieri inesperti.[n][n]
zts23e	Fionda dell'avventuriero
zts24e	Una fionda d'acciaio per avventurieri.[n][n]
zts25e	Vestiti
zts26e	Abiti per nuovi avventurieri.[n][n]
zts27e	Uniforme da allenamento
zts28e	Un'uniforme da lavoro.[n][n]
zts29e	Abbigliamento dell'avventuriero
zts30e	Dei vestiti particolarmente amati dagli avventurieri. Protegge dagli effetti collaterali della rinascita.[n][n]
zts31e	Uniforme da allenamento
zts32e	Uniforme da allenamento particolarmente comode.[n][n]
zts33e	Mantello del viaggiatore
zts34e	Riscalda i viaggiatori che dormono all'addiaccio.[n][n]
zts35e	Set Mantello caldo
zts36e	Avvolge e riscalda.[n]Protegge dagli effetti collaterali della rinascita.[n][n]
zts37e	Spada per principianti
zts38e	Un regalo per spadaccini principianti.[n]Gli avventurieri non possono usare questa arma.[n][n]
zts39e	Spada corta
zts40e	Spada particolarmente amata dagli spadaccini principianti.[n][n]
zts41e	Spada della sofferenza
zts42e	Questa spada è stata realizzata con le armi dei soldati sconfitti.[n]Incrementa la probabilità di sferrare colpi critici.[n]
zts43e	Spada corta
zts44e	Oggetto tipico degli spadaccini ordinari.[n][n]
zts45e	Spada di bronzo
zts46e	Spada con ornamenti di bronzo. Incrementa la probabilità di sferrare colpi critici.[n][n]
zts47e	Sciabola
zts48e	Sciabola popolare fra gli spadaccini.[n][n]
zts49e	Spada larga dello spirito
zts50e	Questa spada apparteneva a un soldato deceduto il cui spirito si è insediato nell'arma.[n]Incrementa la forza di attacco dell'elemento fuoco.[n][n]
zts51e	Falcione
zts52e	Arma bianca tagliente con manico lungo.[n]Dato il suo peso leggero, si può utilizzare con una mano.[n][n]
zts53e	Sciabola d'oro
zts54e	Spada con decorazioni in oro che incrementa la probabilità di sferrare colpi critici tramite l'elemento fuoco.[n][n]
zts55e	Spada larga
zts56e	Una spada con la lama più ampia rispetto alla norma.[n][n]
zts57e	Spada lunga della potenza
zts58e	Un oscuro potere incrementa il danno.[n][n]
zts59e	Spada larga
zts60e	Spada comune a lama larga con impugnatura comoda.[n][n]
zts61e	Skyabona
zts62e	Una forza misteriosa protegge il proprietario di questa dagli attacchi nemici.[n][n]
zts63e	Claymore
zts64e	Solo i migliori spadaccini ricevono questa spada.[n]Incrementa la forza di attacco dell'elemento acqua.[n][n]
zts65e	Arco per principianti
zts66e	Un regalo per gli arcieri principianti.[n]Gli avventurieri non possono usare questa arma.[n][n]
zts67e	Arco piccolo
zts68e	Piccolo arco di legno.[n][n]
zts69e	Arco della velocità
zts70e	Un arco sottile, leggero e rapido che incrementa l'HitRate in modo incisivo.[n][n]
zts71e	Arco di bambù
zts72e	Arco instabile realizzato in bambù.[n][n]
zts73e	Arco magico
zts74e	Arco della velocità rafforzato.[n]Incrementa danno e HitRate.[n][n]
zts75e	Arco di legno di quercia
zts76e	Per realizzare questo arco robusto è stato scelto il legno di quercia.[n][n]
zts77e	Arco del vento
zts78e	Un vecchio erudito che studiava le correnti ha dato forma a questo arco.[n]Sfrutta il vento per rafforzare la tua forza di attacco.[n][n]
zts79e	Arco di corno
zts80e	Arco con corno. È particolarmente amato.[n][n]
zts81e	Arco con impugnatura in pelle
