zts1e	NosVille
zts2e	Prati di NosVille
zts3e	Prateria Miniere
zts4e	Prati Soleggiati
zts5e	Avamposto Fernon
zts6e	Miniera Ovest 1
zts7e	Miniera Ovest 2
zts8e	Miniera Nord
zts9e	Tempio Fernon 1
zts10e	Tempio Fernon -1
zts11e	Tempio Fernon -2
zts12e	Covo di Fernon 1
zts13e	Covo di Fernon 2
zts14e	Covo di Fernon 3
zts15e	Covo di Fernon 4
zts16e	Covo di Fernon 5
zts17e	Krem O
zts18e	Krem E
zts19e	Cima del Krem
zts20e	Grotta Montagna 1
zts21e	Grotta Montagna 2
zts22e	Grotta Montagna 3
zts23e	Grotta Montagna 4
zts24e	Grotta Montagna 5
zts25e	Grotta Montagna 6
zts26e	Dungeon Shanera -1
zts27e	Dungeon Shanera -2
zts28e	Dungeon Shanera -3
zts29e	Dungeon Shanera -4
zts30e	Sentiero Nascosto
zts31e	Sentiero Nebbioso
zts32e	Lab. Segreto 1
zts33e	Lab. Segreto 2
zts34e	Lab. Segreto 3
zts35e	Sentiero Incantato
zts36e	Miniera Chiusa
zts37e	Miniera Chiusa 1
zts38e	Campo Cavalieri
zts39e	Tempio Fernon 2
zts40e	Tempio Fernon 3
zts41e	Tempo Fernon 4
zts42e	Tempio Fernon 5
zts43e	Tempio Fernon 6
zts44e	Tempio Fernon 7
zts45e	Tempio Fernon 8
zts46e	Tempio Fernon 9
zts47e	Tempio Fernon 10
zts48e	Stanza Segreta
zts49e	Uscita N
zts50e	Uscita E
zts51e	Uscita O
zts52e	Portone Misterioso
zts53e	Torre Magica 1
zts54e	Torre Magica 2
zts55e	Torre Magica 3
zts56e	Torre Magica 4
zts57e	Torre Magica 5
zts58e	Torre Magica 6
zts59e	Torre Magica 7
zts60e	Torre Magica 8
zts61e	Scogliera Rocciosa1
zts62e	Scogliera Rocciosa2
zts63e	Scogliera Rocciosa3
zts64e	Scogliera Rocciosa4
zts65e	Sentiero Zigzag
zts66e	Labirinto Spirale E
zts67e	Labirinto Spirale O
zts68e	Labirinto Spirale S
zts69e	Labirinto Spirale N
zts70e	Az. Avicola Segreta
zts71e	Piazza Mercato
zts72e	Instant Combat
zts73e	Icebreaker
zts74e	Arena Individuale
zts75e	Arena Famiglia
zts76e	Porta Lamento
zts77e	Zona Avventura
zts78e	Sala Lamento
zts79e	Entrata a Jelly
zts80e	Piazza Jelly
zts81e	Entrata a Ginseng
zts82e	Fattoria Ginseng
zts83e	Via Grotta Ragni
zts84e	Grotta Ragni
zts85e	Sentiero Altare
zts86e	Altare Tormento
zts87e	Strada Az. Avicola
zts88e	Azienda Avicola
zts89e	Luogo di Cova
zts90e	Miniland
zts91e	Miniera Eroi
zts92e	Altopiano Reato
zts93e	Altopiano Tempo
zts94e	Altopiano Vuoto
zts95e	Tempio Eroi
zts96e	Radici di Fernon
zts97e	Mappa Missione
zts98e	Prato Comete
zts99e	Tetto Luna Piena
zts100e	Covo di Namaju
zts101e	Placido Giardino
zts102e	Mondo Straniero
zts103e	Grotta Profonda
zts104e	Grotta del Capo
zts105e	Grotta NosCamp
zts106e	Grotta del Ponte
zts107e	Zona Rossa
zts108e	Zona Blu
zts109e	Zona Verde
zts110e	Zona Gialla
zts111e	Zona Desolata
zts112e	Scoglio Tramonto
zts113e	Valle Nebbiosa
zts114e	Grotta Spiritata
zts115e	Labirinto Penoso
zts116e	Crepa Segreta
zts117e	Festa Stagionale
zts118e	Terra dei Morti
zts119e	Bosco di Abeti
zts120e	Bosco di Aceri
zts121e	Ufficio Forestale
zts122e	Mulino ad Acqua
zts123e	Magazzino
zts124e	Stanza dei Gatti
zts125e	Limite Bosco Abeti
zts126e	Miniera al Fiume -1
zts127e	Miniera al Fiume -2
zts128e	Miniera al Fiume -3
zts129e	Sotterraneo -1
zts130e	Sotterraneo -2
zts131e	Sotterraneo -3
zts132e	Terreno del Bosco
zts133e	Strada Sotterranea
zts134e	Tunnel Freddo
zts135e	Scogliera Rocciosa
zts136e	Gola delle Rocce
zts137e	Limite Bosco Aceri
zts138e	Seli-Lusha
zts139e	Seli-Lusha 1
zts140e	Seli-Lusha 2
zts141e	Seli-Lusha 3
zts142e	Seli-Lusha 4
zts143e	Seli-Lusha 5
zts144e	Strada Innevata
zts145e	Prato Grasslin
zts146e	Cittadella
zts147e	Cittadella Angeli
zts148e	Cittadella Demoni
zts149e	Tundra Bitoren
zts150e	Burrone di Shares
zts151e	Trono di Morco
zts152e	P.zza Porto Alveus
zts153e	Merc. Porto Alveus
zts154e	Nave
zts155e	Terra Ghiaccio O
zts156e	Terra Ghiaccio E
zts157e	Distesa Ghiaccio N
zts161e	Foresta di Lorten
zts162e	Crepa Oscurità
zts163e	Oceano Radikun
zts164e	Nido di Calvinas
zts165e	Oceano Radikun
zts166e	Porto Des. Mortaz
zts167e	Dintorni Porto
zts168e	Dintorni Campo Neil
zts169e	Campo Neil
zts170e	Campo Mercanti E
zts171e	Dintorni Campo Melki
zts172e	Campo Melki
zts173e	Campo Akamur
zts174e	Campo Mercanti O
zts175e	Dintorni Campo Keru
zts176e	Campo Keru
zts177e	Dintorni Campo Garton
zts178e	Sentiero Tempio
zts179e	Piazza del Tempio
zts180e	Campo Garton
zts181e	Deserto Perduto
zts182e	Desert Eagle City
zts183e	Cortile Banditi
zts184e	Centro Banditi
zts185e	Cortile Rashid
zts186e	Centro di Rashid
zts187e	Dintorni Campo Banditi
zts188e	Campo Banditi Deserto
zts189e	Tempio Astrale
zts190e	Campo Cerc. Tesoro
zts191e	Quartiere Akamur
zts192e	Area del Caos
zts193e	Dintorni del Caos
zts194e	Cortile Astrale
zts195e	Centro Astrale
zts196e	Sentiero Segreto
zts197e	Basamento Banditi
zts198e	Centro Banditi
