zts1e	NosVille
zts2e	Prati di NosVille
zts3e	Prateria Miniere
zts5e	Sentiero Incantato
zts6e	Avamposto Fernon
zts8e	Krem O
zts9e	Krem E
zts10e	Cima del Krem
zts12e	Scogliera Rocciosa
zts15e	Miniera Chiusa
zts21e	Prati Soleggiati
zts22e	Tempio Fernon
zts23e	Lab. Segreto
zts24e	Covo di Fernon
zts25e	Torre Fernon
zts26e	Grotta NosCamp
zts27e	Grotta Profonda
zts28e	Valle Nebbiosa
zts29e	Scoglio Tramonto
zts30e	Grotta Spiritata
zts31e	Grotta Montagna 7
zts32e	Dungeon Shanera
zts33e	Bosco di Abeti
zts34e	Limite Bosco Abeti
zts35e	Miniera al fiume
zts36e	Sotterraneo
zts37e	Scogliera Rocciosa
zts38e	Bosco di Aceri
zts39e	Limite Bosco Aceri
zts40e	Terreno del Bosco
zts41e	Seli-Lusha
zts42e	Strada Sotterranea
zts43e	Cittadella
zts44e	Tundra Bitoren
zts45e	Burrone di Shares
zts46e	P.zza Porto Alveus
zts47e	Merc. Porto Alveus
zts48e	Nave
zts49e	Distesa Ghiaccio N
zts50e	Foresta di Lorten
zts51e	Oceano Radikun
zts52e	Oceano Radikun
zts53e	Strada Az. Avicola
zts54e	Miniera Ovest 1
zts55e	Miniera Ovest 2
zts56e	Entrata a Jelly
zts57e	Miniera Nord
zts58e	Entrata a Ginseng
zts59e	Sentiero Incantato
zts60e	Torre Magica
zts61e	Tempio Fernon 1
zts62e	Az. Avicola Segreta
zts63e	Stanza Segreta
zts64e	Tempio Fernon 2-10
zts65e	Tempio Fernon -1
zts66e	Uscita E
zts67e	Uscita N
zts68e	Uscita O
zts69e	Tempio Fernon -2
zts70e	Portone Misterioso
zts71e	Sentiero Zigzag
zts72e	Porta Lamento
zts73e	Covo di Fernon 1
zts74e	Labirinto Spirale E
zts75e	Labirinto a Spirale O
zts76e	Covo di Fernon 2
zts77e	Covo di Fernon 3
zts78e	Covo di Fernon 4
zts79e	Labirinto Spirale N
zts80e	Labirinto Spirale S
zts81e	Krem O
zts82e	Krem E
zts83e	Cima del Krem
zts84e	Grotta Montagna 1
zts85e	Grotta Montagna 2
zts86e	Grotta Montagna 3
zts87e	Zona Rossa
zts88e	Zona Verde
zts89e	Zona Blu
zts90e	Grotta Fredda
zts91e	Grotta Montagna 4
zts92e	Grotta Montagna 5
zts93e	Grotta Montagna 6
zts94e	Crepa Segreta
zts95e	Labirinto Penoso
zts96e	Sentiero Nebbioso
zts97e	Via Grotta Ragni
zts98e	Zona Desolata
zts99e	Zona Gialla
zts100e	Cittadella Angeli
zts101e	Cittadella Demoni
zts102e	Terra Ghiaccio O
zts103e	Terra Ghiaccio E
zts104e	Trono di Morco
zts105e	Crepa Oscurità
zts106e	Nido di Calvinas
zts107e	Porto Des. Mortaz
zts108e	Dintorni Porto
zts109e	Dintorni Campo Neil
zts110e	Campo Neil
zts111e	Campo Mercanti E
zts112e	Dintorni Campo Banditi
zts113e	Campo Banditi Deserto
zts114e	Dintorni Campo Melki
zts115e	Campo Melki
zts116e	Campo Akamur
zts117e	Campo Mercanti E
zts118e	Dintorni Campo Keru
zts119e	Campo Keru
zts120e	Dintorni Campo Garton
zts121e	Campo Garton
zts122e	Sentiero Tempio
zts123e	Piazza Tempio
zts124e	Deserto Perduto
zts125e	Desert Eagle City
zts126e	Area del Caos
zts127e	Dintorni del Caos
zts128e	Cortile Banditi
zts129e	Centro Banditi
zts130e	Cortile Astrale
zts131e	Centro Astrale
zts132e	Cortile Rashid
zts133e	Centro di Rashid
zts134e	Sentiero Altare
zts135e	Sentiero Segreto
zts136e	Covo di Fernon 3
zts137e	Covo di Fernon 5
zts138e	Grotta Cristallo
zts139e	Altare Cristallo
zts210e	Deserto N
zts211e	Porta Vulcano
zts212e	Fauci di Kertos
zts213e	Sentiero E
zts214e	Sentiero O
zts215e	Artigli di Valakus
zts216e	Ali della Fenice
zts217e	Ala Sinistra
zts218e	Ala Destra
zts219e	Strada di Katol
zts220e	Grotta Kertos
zts221e	Grotta Valakus
zts222e	Piazza Greniga
zts16497e	Cylloan
zts16498e	PortoneParadiso 1
zts16499e	PortoneParadiso 2
zts16500e	PortoneParadiso 3
zts16501e	PortoneParadiso 4
zts16502e	PortoneInferno 1
zts16503e	PortoneInferno 2
zts16504e	PortoneInferno 3
zts16505e	PortoneInferno 4
zts16506e	RovineParadiso 1
zts16507e	RovineParadiso 2
zts16508e	RovineInferno 1
zts16509e	RovineInferno 2
zts16510e	Volontà di Anc. 1
zts16511e	Volontà di Anc. 2
zts16512e	Volontà di Anc. 3
zts16513e	Volontà di Anc. 4
zts16514e	Volontà di Anc. 5
zts16515e	Volontà di Anc. 6
zts16516e	Villaggio Olorun
zts16517e	Mukrash
zts16518e	Spiaggia Nord
zts16519e	Porto di Morizios
zts16520e	Spiaggia Sud
zts16521e	Strada del Bosco
zts16522e	Farag. Foresta
zts16523e	Limite For. Spet.
zts16524e	Foresta Spettrale
zts16525e	Villaggio Olorun
zts16526e	Caverna Bestia
zts16527e	Strada Infestata
zts16528e	Foresta Inquinata
zts16529e	La Santa Maria
zts16530e	Giaciglio Drago
zts16531e	Sent. Celeste E
zts16532e	Gola del Lago
zts16533e	Ranch dei Draghi
zts16534e	Sent. Celeste N
zts16535e	Lago di Ghiaccio
zts16536e	Prig. di Ghiaccio
zts16537e	Via del Baratro 1
zts16538e	Via del Baratro 2
zts16539e	Via del Baratro 3
zts16540e	Gola di Ghiaia
zts16541e	Sentiero del Fato
zts16542e	Archicav. Drago
zts16543e	Caverna del Drago
zts16544e	Archinido. Drago
