zts1e	Riposo
zts2e	Ritira
zts3e	Apri una Bottega
zts4e	Dichiara la Battaglia
zts5e	Circolo del tempo
zts6e	Non specificato
zts7e	[Principiante] Corso sulla Forza Fisica
zts8e	Aumenta di 3 la forza fisica
zts9e	La forza fisica incrementa per gli attacchi a corto raggio e difesa a corto raggio.
zts10e	[Intermedio] Attacco rafforzato
zts11e	L'energia fisica aumenta di 12
zts12e	[Avanzato] Corso di Forza Fisica
zts13e	[Maestro] Corso per la Forza Fisica
zts14e	[Principiante] Corso sulla velocità
zts15e	Aumenta la velocità fino a 3
zts16e	L'HitRate, la schivata e la velocità dell'attacco e della difesa a distanza aumentano.
zts17e	[Intermedio] Corso sulla velocità
zts18e	Aumenta la velocità di 12
zts19e	L'HitRate, la schivata e la velocità dell'attacco e della difesa a distanza aumentano.
zts20e	[Intermedio] Corso sulla velocità
zts21e	[Maestro] Corso sulla velocità
zts22e	[Semplice] Forza di spirito
zts23e	Aumenta l'intelligenza mentale di 4
zts24e	L'intelligenza mentale aumenta l'attacco e la difesa magica.
zts25e	[Intermedio] Forza di spirito
zts26e	L'Intelligenza Mentale aumentata di 15
zts29e	[Principiante] Tecniche d'allevamento
zts30e	[Intermedio] Tecniche d'allevamento
zts31e	[Avanzato] Tecniche d'allevamento
zts32e	[Esperto] Tecnica d'Allevamento
zts33e	[Principiante] Estensione della vita
zts34e	Aumenta gli HP di 50
zts35e	[Intermedio] Estensione della Vita
zts36e	Aumenta gli HP di 150
zts37e	[Avanzato] Estensione della vita
zts38e	[Maestro] Estensione della Vita
zts39e	[Principiante] Allenamento Mentale
zts40e	Aumenta gli MP di 50
zts41e	[Avanzato] Allenamento Mentale
zts42e	Aumenta gli MP di 150
zts43e	[Avanzato] Allenamento Mentale
zts44e	[Maestro] Allenamento Mentale
zts45e	[Principiante] Teoria di un attacco efficiente
zts46e	Aumenta tutti i tipi d'Attacco di 2.
zts47e	[Intermedio] Teoria di un Attacco Efficiente
zts48e	Aumenta tutti i tipi d'attacco di 6.
zts51e	[Principiante] Difesa Personale
zts52e	Aumenta tutta la difesa di 3.
zts53e	[Intermedio] Difesa Personale
zts54e	Aumenta di 8 tutta la Difesa.
zts57e	[Semplice] Recupero HP
zts58e	Aumenta il recupero HP di 20
zts59e	[Intermedio] Recupero HP
zts60e	Aumenta il recupero HP di 50
zts61e	[Avanzato] Recupero HP
zts62e	[Maestro] Recupero HP
zts63e	[Principiante] Recupero Meditazione
zts64e	Aumenta il recupero degli MP di 20
zts65e	[Intermedio] Recupero Meditazione
zts66e	Aumenta il Recupero degli MP di 50
zts67e	[Avanzato] Recupero Meditazione
zts68e	[Maestro] Recupero Meditazione
zts70e	Recupera lentamentene HP e MP in condizioni normali
zts71e	[Intermedio] Guarigione Naturale
zts72e	[Maestro] Guarigione Naturale
zts73e	[Principiante] Impugnatura delle armi
zts74e	[Intermedio] Impugnatura delle armi
zts75e	[Avanzato] Impugnatura delle armi
zts76e	[Principiante] Studio sugli Attacchi Mortali
zts77e	[Intermedio] Studio sugli Attacchi Mortali
zts78e	[Avanzato] Studio sugli Attacchi Mortali
zts79e	[Principiante] Resistenza a Venom
zts80e	[Intermedio] Resistenza a Venom
zts81e	[Avanzato] Resistenza a Venom
zts82e	[Principiante] Resistenza alla Malattia
zts83e	[Intermedio] Resistenza alle malattie
zts84e	[Avanzato] Resistenza alle malattie
zts85e	[Principiante] Resistenza alla Magia
zts86e	[Intermedio] Resistenza alla Magia
zts87e	[Avanzato] Resistenza alla Magia
zts88e	[Principiante] Resistenza Generale
zts89e	[Intermedio] Resistenza Generale
zts90e	[Avanzato] Resistenza Generale
zts91e	[Principiante] Resistenza robusta
zts92e	[Intermedio] Resistenza robusta
zts93e	[Avanzato] Resistenza robusta
zts94e	[Principiante] Yoga
zts95e	[Intermedio] Yoga
zts96e	[Avanzato] Yoga
zts97e	Ritmo
zts98e	Abilità d'attacco di base, per lanciare le tue armi
zts99e	Colpo di fionda
zts100e	Tiro con la Fionda
zts101e	Colpo potente
zts102e	Muove l'arma duramente per causare più danni
zts103e	Bersaglio da colpire
zts104e	Esegui tiri più precisi per causare danno maggiore
zts105e	Colpo rotante
zts106e	Ruota il corpo per attaccare i nemici vicini.
zts107e	Colpisci
zts108e	Attacca in modo avventato il nemico di fronte
zts109e	Colpo del combattimento
zts110e	Aumenta l'attacco e la difesa di tutti gli Avventurieri
zts111e	Colpo della morale
zts112e	Aumenta il livello del morale di tutti gli Avventurieri
zts113e	Ricarica Attacco
zts114e	Raccoglie l`energia per scagliare un attacco devastante al suo nemico.
zts115e	Cattura
zts116e	Saetta d'energia
zts117e	Magia di base disponibile per gli avventurieri
zts118e	Abilità Ultra Super Morale
zts119e	Questa è l'abilità del super inganno
zts120e	Abilità di Imbrogliare dell'amministratore 2
zts121e	Colpo di base
zts122e	Abilità di base degli spadaccini per affettare i nemici
zts123e	Tiro della Balestra
zts124e	Abilità di base per chi usa la balestra
zts125e	Colpo furioso
zts126e	Lancia un colpo molto potente con la possibilità del 2% di diventare "Adirato"
zts127e	Colpo preciso
zts128e	Mira il punto debole del nemico
zts129e	Energia della spada
zts130e	Usa l'energia della spada per causare danni ai nemici circostanti
zts131e	Ha di base l'elemento luce
zts132e	Colpo dell'impugnatura
zts133e	Attacca con l'impugnatura della spada per colpire i nemici
zts134e	Terremoto
zts135e	Colpisce la terra e crea delle onde che attaccano i nemici circostanti.
zts136e	Ha di base l'elemento Fuoco
zts137e	Soffio
zts138e	Maneggia la spada per attaccare tutti i nemici
zts139e	Attacco Doppio
zts140e	Maneggia due volte la spada per eseguire un attacco doppio
zts141e	Sparo dinamico
zts142e	Maneggia la balestra più velocemente rispetto al solito
zts143e	Deviatore
zts144e	Reindirizza l'attenzione del nemico su un'altra persona.
zts145e	Ricarica potenza
zts146e	Raccoglie l'energia per un attacco più forte sul prossimo bersaglio
zts147e	Punizione di Sangue
zts148e	Usa gli HP per aumentare la potenza d'attacco degli avventurieri per un periodo limitato
zts149e	Potere del ritorno
zts150e	Diminuisce lo stato d'animo dei nemici per un breve periodo.
zts151e	Non è possibile applicarlo ai nemici che hanno più di 3 livelli di te.
zts152e	Attacco Improvviso
zts153e	Salta sul bersaglio e per attaccarlo velocemente
zts154e	Ferma il sanguinamento
zts155e	Ferma il sanguinamento fino al livello 3
zts156e	Richiede una benda
zts157e	Nuove abilità
zts158e	Arcieri
zts159e	Abilità di base per gli arcieri
zts160e	Pugnalata
zts161e	Abilità di base per chi usa il pugnale
zts162e	Colpo complicato
zts163e	Causa danni extra negli attacchi a distanza e aumenta l'HitRate.
zts164e	Colpo concentrato
zts165e	Colpisce maggiormente i bersagli lontani
zts166e	Colpo pungente
zts167e	Penetra i nemici e causa danni critici
zts168e	Punta alle gambe
zts169e	Attacca le gambe dei nemici per rallentarli.
zts170e	Calcio volante
zts171e	Attacca mentre salta per causare danno al nemico di fonte senza penalità
zts172e	Colpo rapido
zts173e	Spara 3 frecce di seguito verso un obiettivo, per una serie di 3 attacchi
zts174e	Colpo alto
zts175e	Lancia una pioggia di frecce verso l'obiettivo
zts176e	Pugnalata corta
zts177e	Aggiunge un potere d'attacco extra al pugnale disponibile
zts178e	Pugnale intossicato
zts179e	Avvelena i muscoli del nemico per far diminuire la potenza dei colpi ravvicinati.
zts180e	Richiede l'erba intossicante
zts181e	Attacco rotante
zts182e	Usa il pugnale disponibile per fermare il movimento del nemico
zts183e	Morte caricata
zts184e	Raccoglie l'energia d'attacco a lunga portata per aggiungerla al prossimo attacco
zts185e	Furia
zts186e	Aumenta la velocità per breve tempo
zts187e	Rituale del Falco
zts188e	La forza di attacco e l'HitRate del proprio personaggio e degli accompagnatori aumentano.
zts189e	Metodo disintossicante
zts190e	Per disintossicare accompagnatori o amici serve l'Erba medica.
zts191e	Medicina sulla Freccia
zts192e	Aggiunge una medicina sulla punta della freccia e la usa per un breve periodo.
zts193e	Saetta d'energia
zts194e	Magia di base per il mago
zts195e	Pistola magica
zts196e	Attacca i nemici lontani utilizzando una pistola magica
zts197e	Saetta di fuoco
zts198e	Lancia proiettili infuocati grazie all'uso della magia
zts199e	Saetta di ghiaccio
zts200e	Lancia proiettili di ghiaccio utilizzando la magia
zts201e	Missile magico
zts202e	Spara missili magici che danneggiano i nemici
zts203e	Cubo di Pietra
zts204e	Lancia una pietra gigantesca per stordire i nemici
zts205e	Colonna di fuoco
zts206e	Crea una colonna di fuoco per danneggiare i nemici
zts207e	Vortice
zts208e	Crea un vortice che danneggia i nemici
zts209e	Proietti magici potenziati
zts210e	Proiettili magici potenziati che rendono la pistola magica ancora più forte.
zts211e	Proiettili magici esplosivi
zts212e	Spara proiettili esplosivi verso il nemico con la pistola magica
zts213e	Incantesimo
zts214e	Raccoglie la forza magica per scagliare un incantesimo.
zts215e	Scudo favoloso
zts216e	Crea uno scudo che diminuisce i danni provocati dagli attacchi a lunga portata
zts217e	Aura guaritrice
zts218e	Guarisce gli HP dei giocatori circostanti per un breve periodo
zts219e	Protezione di Luce
zts220e	Crea una protezione che riduce il danno per tutti i giocatori vicini
zts221e	Dormi
zts222e	Addormenta il bersaglio e gli impedisce di attaccare o di muoversi. Si sveglierà quando verrà attaccato
zts223e	Fogna Rossa
zts224e	Ruba gli MP del tuo bersaglio
zts225e	Accecamento
zts226e	Rende cieco il bersaglio per pochi secondi
zts227e	Teletrasporto
zts228e	Teletrasportati in una zona ad una certa distanza
zts229e	Severità aggiunta
zts230e	Aggiunge l'elemento di fuoco e rafforza gli attacchi
zts231e	Colpo potenziato
zts232e	Aumenta la forza d'attacco e l'HitRate del colpo inferto con l'arma.
zts233e	Rafforza il tiro della fionda
zts234e	Aumenta la potenza d'attacco verso più bersagli
zts235e	Aumenta la potenza d'attacco
zts236e	Aumenta la forza d'attacco a distanza dei colpi
zts237e	Aggiunge un colpo truccato alla forza d'attacco
zts238e	Insanguina l'avversario
zts239e	Aggiunge l'elemento fuoco al tuo attacco ma causa una leggera perdita di sangue
zts240e	Aggiungi un attacco magico
zts241e	Aumenta la forza d'attacco della Saetta d'Energia, aggiunge anche l'elemento Acqua
zts242e	Potenziamento dei colpi
zts243e	Aumenta la potenza d'attacco degli attacchi ravvicinati
zts244e	Potenziamento dei Colpi
zts245e	Colpo specializzato per le piante di alto livello
zts246e	Aumenta la potenza degli attacchi ravvicinati per attaccare le piante di alto livello
zts247e	Potenziamento della Balestra
zts248e	Aumenta la potenza d'attacco a lungo raggio dei colpi della balestra
zts249e	Colpo specializzato per i servi del Diavolo
zts250e	Danno Estremo
zts251e	Lavora con gli elementi del Fuoco per aumentare la probabilità di causare un danno doppio.
zts252e	Causa danni enormi combinati con un colpo mortale
zts253e	Converte il Colpo della Rabbia nell'elemento di fuoco
zts254e	Potenziamento del Colpo della Rabbia
zts255e	Incrementa la forza dell'attacco ravvicinato e l'HitRate del Colpo furioso.
zts256e	Colpo furioso impeccabile
zts257e	Aumenta la potenza degli attacchi a breve portata
zts258e	Bersaglio importante
zts259e	Aumenta la probabilità di sferrare colpi critici del Colpo preciso.
zts260e	Debolezza dei Kovolt
zts261e	Elemento dell'acqua aggiunto che si concentra sulla debolezza del Kovolt per causare danni mortali.
zts262e	Converte il Colpo Preciso nell'elemento d'Acqua
zts263e	Potenzia l'Energia della Spada.
zts264e	Rafforza l'Energia della Spada per aumentare la potenza degli attacchi ravvicinati.
zts265e	Aumenta il raggio d'attacco
zts266e	Aumenta il raggio d'attacco della spada
zts267e	Colpo perfetto
zts268e	Ti concentri per scagliare un attacco per far perdere i sensi al nemico
zts269e	Potenzia il Terremoto
zts270e	Aumenta la potenza d'attacco del Terremoto
zts271e	Terremoto catastrofico
zts272e	Potenzia il Soffio
zts273e	Aggiunge l'elemento dell'acqua al Soffio causando la perdita di coscienza
zts274e	Converte il Soffio nell'elemento dell'acqua
