zts1e	Servizio migliore
zts2e	Medaglia di Erenia
zts3e	[Effetto principale][n]Ogni capacità di equipaggiamenti, la capacità dell'inventario maggiore e minore aumenterà di 8 , in totale 24 , [n] usando la medaglia dell'Avventuriero, aumenterà di 36[n][Effetto aggiuntivo] L'esperienza di battaglia aumenterà del 15%. [n] L'esperienza di lavoro aumenterà del 15%. [n] I punti esperienza del compagno e dell'animale aumenteranno del 15%. (Aumenteranno del 30% se hai usato la medaglia dell'Avventuriero.) L'acquisizione dell'oro aumenta del 20%. [n] L'acquisizione della reputazione aumenta del 20%.
zts4e	Vuoi un'avventura facile?
zts5e	Medaglia dell'Avventuriero
zts6e	[Effetto Principale][n] La dimensione dell'equipaggiamento, l'inventario maggiore e minore aumenterà rispettivamente di 4, in totale 12. [n] (Se hai usato la medaglia di Erenia , aumenterà di 36) [n] [Effetto Aggiuntivo] L'esperienza della battaglia aumenterà del 15%. L'esperienza del lavoro aumenterà del 15%. [n] I punti esperienza del compagno e dell'animale aumenteranno del 15%. [n] (Se hai usato la Medaglia di Erenia, aumenteranno del 30%)
zts7e	Supera il limite dell'abilità della Fata!!!!
zts8e	Sellaim
zts9e	Fata del Fuoco ; Può crescere fino a 70.[n] Ha le stesse abilità della fata di fuoco.[n]Quest'oggetto non può essere commerciato tra i giocatori [n]
zts10e	Elemento dell'acqua più forte
zts11e	Woondine, lo Spirito dell'Acqua
zts12e	Spirito dell'acqua ; Può crescere fino a 70.[n] Ha la stessa abilità della fata dell'acqua.[n]Questo oggetto non può essere commerciato tra gli utenti[n]
zts13e	L'elemento di luce più forte
zts14e	Eperial
zts15e	Spirito della luce ; Può crescere fino a 70.[n]Ha le stesse abilità della fata della luce-[n]L'oggetto non può essere commerciato tra gli utenti[n]
zts16e	Mostrerà tutta la potenza dell'oscurità
zts17e	Turik, lo spirito dell'Oscurità
zts18e	Spirito dell'Oscurità ; Può crescere a 70.[n] ha la stessa abilità della fata oscura.[n] Questo oggetto non può essere commerciato tra i giocatori.[n]
zts19e	Crescita veloce per l'uso?
zts20e	Sellaim grande
zts21e	Spirito del fuoco ; Può crescere fino a 70.[n]  E' già a 40, quindi non devi aumentarlo partendo da 1.[n]Ha la stesse abilità della fata di fuoco.[n] Quest'oggetto non può essere commerciato tra gli utenti[n]
zts22e	Puoi usarlo immediatamente!
zts23e	Woondine grande
zts24e	Spirito dell'Acqua ; Può crescere fino a 70.[n]Se è già 40, non dovrà iniziare da 1.[n] Ha le stesse abilità della fata d'acqua.[n] Quest'oggetto non può essere commerciato tra i giocatori[n]
zts25e	Sei troppo impaziente per aspettare?
zts26e	Eperial grande
zts27e	Spirito dell'acqua ; Può crescere fino a 70.[n] Se sei già a 40, non hai bisogno di portarlo da 1..[n]Questo oggetto non può essere commerciato tra gli utenti[n]
zts28e	Per un' azione immediata!
zts29e	Turik grande
zts30e	Spirito dell'Oscurità ; Può crescere fino a 70.[n] E' già a 40, quindi non c'è biasogno di partire da 1.[n]Ha le stesse abilità della fata dell'oscurità.[n] Non è possibile commerciare quest'oggetto tra i giocatori[n]
zts31e	Aspetto Grande di 56
zts32e	Deposito Maggiore (30 g)
zts33e	Ti premette di utilizzare 56 spazi nella tua Miniland.[n]Il conto alla rovescia inizia dal momento in cui si usa.[n][Attenzione][n]Il deposito scomparirà dopo il periodo di utilizzo, quindi preparane un altro.[n]Se il nuovo deposito è più piccolo, non sarà possibile trasferire tutti gli item: ti consigliamo pertanto di organizzarti.
zts34e	Dai un nickname grazioso al mio animale!
zts35e	Targhetta per NosMate
zts36e	Dai un nome al tuo animale.[n]Scompare dopo un uso.[n]
zts37e	Nome del tuo animale
zts38e	5 Targhette per NosMate
zts39e	Dai un nome al tuo animale.[n]Compra 1 di 5 etichette.[n]
zts40e	Al tuo animale prezioso
zts41e	3 Cibi pregiati per animali
zts42e	La lealtà dell'animale diventa massima.[n]Un livello aggiuntivo migliora di 1.[n] E' disponibile solo nei casi in cui il livello dell'animale è 5 livelli più bassi del giocatori [n] (Se il giocatore è al Lv. 50, potrà essere migliorato fino al Lv. 45)[n]
zts43e	Prenditi cura della guarigione
zts44e	Medicina per il Compagno
