zts1e	Negozio degli attrezzi di Teo
zts13e	A presto.
zts14e	Dimmi, quindi, cosa vorresti sapere?
zts15e	Come posso migliorare il mio equipaggiamento?
zts16e	Che vantaggi porta migliorare l'equipaggiamento?
zts17e	Come faccio a cambiare l'equipaggiamento del mio compagno?
zts18e	Ti assomiglia davvero tanto. Siete gemelli?
zts19e	Per migliorare il tuo equipaggiamento, ti servono la Polvere del sottosuolo e le Pietre dell'anima.
zts20e	Si possono rafforzare solo le armi e l'abbigliamento. Esistono dieci livelli di rafforzamento, da 1 a 10. La quantità di Polvere del sottosuolo necessaria incrementa in base al livello.
zts21e	Ah, giusto: bisogna corrispondere anche una piccola tassa di transazione. E questo è tutto. Capito?
zts22e	Ehm... Come posso ottenere la Polvere del sottosuolo e le Pietre dell'anima?
zts23e	Si ottengono dalla raffinazione delle Pietre Gillion.
zts24e	Queste pietre si possono trovare ovunque e si possono rimaneggiare con il Raffinatore delle pietre dell'anima.
zts25e	Non è semplice procurarsi le Pietre dell'anima. Mentre trovare la Polvere del sottosuolo non dovrebbe creare problemi.
zts26e	Se la fortuna ci assiste, puoi trovare una Pietra dell'anima completa.
zts27e	Grazie, ho capito.
zts28e	Il livello di attacco e di difesa incrementano quando migliori le armi o l'armatura.
zts29e	Ma io non ho visto alcun cambiamento. È stato giusto inserito il segno +.
zts30e	Ti hanno raggirato! Ahah! Ehi, niente panico! Stavo solo scherzando. Lì non vedrai alcuna modifica.
zts31e	In battaglia, il tuo livello e quello del tuo avversario definiscono i valori di attacco e difesa.
zts32e	Ma... come? (Davvero?!)
zts33e	Per esempio, la tua difesa si calcola sulla differenza tra il livello dell'arma del tuo avversario e il livello della tua armatura.
zts34e	Maggiore è la differenza e maggiore è la tua forza. Quindi, è opportuno utilizzare un equipaggiamento di alto livello.
zts35e	Ah! Ora ho capito! Uff!! (È vero!)
zts36e	Cosa vuoi vedere?
zts37e	Mostrami le armi.
zts38e	Fammi vedere l'armatura.
zts39e	Fammi vedere il resto dell'equipaggiamento.
zts40e	L'Equipaggiamento compagno costituisce l'attrezzatura che può usare il tuo compagno.
zts41e	Per incrementare la forza del tuo compagno, devi trovare una combinazione adeguata degli elementi del suo equipaggiamento.
zts42e	È semplice creare l'equipaggiamento per il tuo compagno. Devo solamente chiedermi delle informazioni. Se mi consegni le tue armi o le tue armature, ti darò in cambio l'equipaggiamento per il tuo compagno.
zts43e	Se decidi di farlo, convertirò il tutto in Equipaggiamento compagno avente il tuo stesso livello. Le armi da corpo a corpo restano comunque tali e viceversa.
zts44e	Se il tuo compagno esegue un attacco ravvicinato, si serve dell'arma per il corpo a corpo e della corrispettiva armatura.
zts45e	Se invece effettua un attacco a lunga distanza, utilizzerà l'arma per gli attacchi a distanza la corrispettiva armatura.
zts46e	Di conseguenza, se sferra un attacco magico, il compagno userà un'arma magica e la corrispettiva armatura.
zts47e	Chi? Quel tipo lì? Esatto, quello è il mio gemello.
zts48e	A differenza di te, non pare molto... ehm... zelante.
zts49e	Ah! No, è particolarmente pigro. Inoltre, è pure piuttosto sconsiderato. Non mi fido di lui e non gli assegnerei neppure un incarico.
zts50e	Ah, a proposito:
zts51e	Ho sentito che ha fatto qualcosa di strano con l'equipaggiamento. Non lasciarti ingannare dal suo comportamento.
zts52e	Oh, davvero? Ok, terrò a mente il tuo consiglio.
zts53e	Negozio degli attrezzi di Teo
zts62e	Cosa posso scomettere?
zts64e	Se possiedi delle armi o delle armature prive di caratteristiche particolari, fammici dare uno sguardo!
zts65e	Con i miei poteri divini, ti potrò creare un oggetto raro.
zts66e	Davvero? Sicuro? Per quale motivo si chiama "scommessa"?
