zts1e	Bened. Opossum
zts3e	Benedizione felina
zts5e	Benedizione Luce
zts7e	Bened. Oscurità
zts9e	Benedizione Acqua
zts11e	Benedizione Fuoco
zts13e	Bened. Guerriero
zts15e	Benedizione Mago
zts17e	Bened. Arciere
zts19e	Benedizione Ninja
zts21e	Bened. Evoluzione
zts23e	Bened. Arcobaleno
zts25e	Benedizione Robot
zts27e	Benedizione Pirata
zts29e	Bened. terrific.
zts31e	Bened. gelida
zts33e	Benedizione Lupo
zts35e	Benedizione Jelly
zts37e	Bened. Torre Cielo
zts39e	Benedizione Bestie
zts41e	Bened. Fantasmi
zts43e	Bened. Guardiano
zts45e	Bened. Re Spettro
zts47e	Bened. Re Bestia
zts49e	Sangue immortale
zts51e	Maestro ordigni
zts53e	Elettroshock
zts55e	Lesto e letale
zts57e	Premio – 1°
zts58e	Premio – 2° e 3°
zts59e	Premio – 4°-10°
zts60e	Premio – 11°-20°
zts61e	Premio – 21°-30°
