zts1e	Atak specjalny
zts2e	Przerwanie ataku
zts3e	Nieskuteczny atak krótkodystansowy.
zts4e	Nieskuteczny atak d³ugodystansowy.
zts5e	Nie mo¿na u¿ywaæ magii.
zts6e	Celowanie wy³¹czone.
zts7e	Nie mo¿na atakowaæ
zts8e	Ataki krótkodystansowe s¹ zakazane.
zts9e	Ataki d³ugodystansowe s¹ niemo¿liwe.
zts10e	Ataki magiczne s¹ zakazane.
zts11e	Ataki krótkodystansowe i d³ugodystansowe zawsze chybiaj¹. (Nie dotyczy ataków magicznych.)
zts12e	Specjalna obrona
zts13e	Przerwij obronê
zts14e	Obrona ataków krótkodystansowych zosta³a dezaktywowana.
zts15e	Obrona ataków d³ugodystansowych zosta³a dezaktywowana.
zts16e	Obrona magiczna nie dzia³a.
zts17e	Przerwij unik
zts18e	Wszystkie obrony zosta³y dezaktywowane.
zts19e	Obrona ataków krótkodystansowych zosta³a dezaktywowana.
zts20e	Obrona ataków d³ugodystansowych zosta³a dezaktywowana.
zts21e	Obrona magiczna zosta³a dezaktywowana.
zts22e	Brak mo¿liwoœci obrony
zts23e	Zmiana si³y ataku.
zts24e	Zmiana wszystkich ataków.
zts25e	Zmiana ataku krótkodystansowego.
zts26e	Zmiana ataku d³ugodystansowego.
zts27e	Zmiana magicznych ataków.
zts28e	Zmiana poziomu ataku.
zts29e	Wszystkie si³y ataku zostaj¹ zwiêkszone o %s.
zts30e	Wszystkie ataki zostaj¹ zmniejszone o %s.
zts31e	Atak krótkodystansowy zostaje zwiêkszony o %s.
zts32e	Atak krótkodystansowy zostaje zmniejszony o %s.
zts33e	Atak d³ugodystansowy zostaje zwiêkszony o %s.
zts34e	Atak d³ugodystansowy zostaje zmniejszony o %s.
zts35e	Si³a ataków magicznych zostaje zwiêkszona o %s.
zts36e	Si³a magicznych ataków skierowanych w twoj¹ stronê zostaje zmniejszona o %s.
zts37e	Poziom ataku zostaje zwiêkszony o %s.
zts38e	Poziom ataku zostaje zmniejszony o %s.
zts39e	Zmiana celu.
zts40e	Zmienia wszystkie cele.
zts41e	Zmiana bliskiego celu.
zts42e	Zmienia daleki cel.
zts43e	Zmienia koncentracjê.
zts44e	Celnoœæ wszystkich ataków zostaje zwiêkszona o %s.
zts45e	Celnoœæ wszystkich ataków zostaje zmniejszona o %s.
zts46e	Celnoœæ wszystkich ataków krótkodystansowych zostaje zwiêkszona o %s.
zts47e	Celnoœæ wszystkich ataków krótkodystansowych zostaje zmniejszona o %s.
zts48e	Celnoœæ wszystkich ataków d³ugodystansowych zostaje zwiêkszona o %s.
zts49e	Celnoœæ wszystkich ataków d³ugodystansowych zostaje zmniejszona o %s.
zts50e	Poziom skupienia podczas magicznego ataku zostaje zwiêkszony o %s.
zts51e	Poziom skupienia podczas magicznego ataku zostaje zmniejszony o %s.
zts52e	Zmiana krytycznego ataku.
zts53e	Zmienia prawdopodobieñstwo zadania trafienia krytycznego.
zts54e	Zmiana obra¿eñ od ataku krytycznego.
zts55e	Podwójne obra¿enia
zts56e	Zmiana prawdopodobieñstwa krytycznego ataku przeciwnika.
zts57e	Zmienia krytyczne obra¿enia od ataku przeciwnika.
zts58e	Prawdopodobieñstwo zadania ciosu krytycznego zostaje zwiêkszone o %s%%.
zts59e	Prawdopodobieñstwo zadania ciosu krytycznego zostaje zmniejszone o %s%%.
zts60e	Zwiêksza obra¿enia na skutek ciosu krytycznego o %s%%.
zts61e	Jeœli zadasz cios krytyczny, zmniejsz¹ siê obra¿enia o %s%%.
zts62e	Zwiêksza obra¿enia z prawdopodobieñstwem %s%% o %s%%.
zts63e	Obra¿enia od ataku zostaj¹ zmniejszone z prawdopodobieñstwem %s%% o %s%%.
zts64e	Prawdopodobieñstwo otrzymania ciosu krytycznego zostaje zwiêkszone o %s%%.
zts65e	Prawdopodobieñstwo otrzymania ciosu krytycznego zostaje zmniejszone o %s%%.
zts66e	Obra¿enia od ciosu krytycznego zostaj¹ zwiêkszone o %s%%.
zts67e	Obra¿enia od ciosu krytycznego zostaj¹ zmniejszone o %s%%.
zts68e	Specjalny krytyczny atak
zts69e	Przypuszcza krytyczny atak.
zts70e	Nie mo¿na przypuœciæ bezwarunkowego ataku krytycznego.
zts71e	Zawsze otrzymuje ciosy krytyczny.
zts72e	Czasami otrzymuje trafienie krytyczne.
zts73e	Regularna szansa na trafienie krytyczne.
zts74e	Zawsze zadaje cios krytyczny.
zts75e	Nigdy nie zadaje ciosu krytycznego.
zts76e	Zawsze otrzymuje cios krytyczny.
zts77e	Nigdy nie otrzymuje ciosu krytycznego.
zts78e	Zawsze zadaje cios krytyczny z prawdopodobieñstwem %s%%.
zts79e	Otrzymuje cios krytyczny z prawdopodobieñstwem %s%%.
zts80e	Zmiana ¿ywio³u.
zts81e	Zmiana ¿ywio³u ognia.
zts82e	Zmiana ¿ywio³u wody.
zts83e	Zmiana ¿ywio³u œwiat³a.
zts84e	Zmiana ¿ywio³u mroku.
zts85e	Zmiana wszystkich ¿ywio³ów.
zts86e	¯ywio³ ognia zostaje zwiêkszony o %s.
zts87e	¯ywio³ ognia zosta³ zmniejszony o %s.
zts88e	¯ywio³ wody zostaje zwiêkszony o %s.
zts89e	¯ywio³ wody zostaje zmniejszony o %s.
zts90e	¯ywio³ œwiat³a zostaje zwiêkszony o %s.
zts91e	¯ywio³ œwiat³a zostaje zmniejszony o %s.
zts92e	¯ywio³ mroku zostaje zwiêkszony o %s.
zts93e	¯ywio³ mroku zostaje zmniejszony o %s.
zts94e	Wszystkie ¿ywio³y zostaj¹ zwiêkszone o %s.
zts95e	Wszystkie ¿ywio³y zostaj¹ zmniejszone o %s.
zts96e	Zwiêksza obra¿enia.
zts97e	Zwiêksza prawdopodobieñstwo.
zts98e	Z prawdopodobieñstwem %s%% zwiêksza si³ê ataku o %s%%.
zts99e	Zmniejsza obra¿enia z prawdopodobieñstwem %s%% o %s%%.
zts100e	¯ywio³ ognia zostaje zwiêkszony o %s.
zts101e	¯ywio³ ognia zostaje zmniejszony o %s.
zts102e	¯ywio³ wody zostaje zwiêkszony o %s.
zts103e	¯ywio³ wody zostaje zmniejszony o %s.
zts104e	¯ywio³ œwiat³a zostaje zwiêkszony o %s.
zts105e	¯ywio³ œwiat³a zostaje zmniejszony o %s.
zts106e	¯ywio³ mroku zostaje zwiêkszony o %s.
zts107e	¯ywio³ mroku zostaje zmniejszony o %s.
zts108e	Zmiana si³y obrony.
zts109e	Zmiana wszystkich si³ obrony.
zts110e	Zmiana obrony ataków krótkodystansowych.
zts111e	Zmiana obrony ataków d³ugodystansowych.
zts112e	Zmiana obrony magicznej.
zts113e	Zmiana poziomu obrony.
zts114e	Wszystkie obrony zostaj¹ zwiêkszone o %s.
zts115e	Wszystkie obrony zostaj¹ zmniejszone o %s.
zts116e	Obrona ataków krótkodystansowych zostaje zwiêkszona o %s.
zts117e	Obrona ataków krótkodystansowych zostaje zmniejszona o %s.
zts118e	Obrona ataków d³ugodystansowych zostaje zwiêkszona o %s.
zts119e	Obrona ataków d³ugodystansowych zostaje zmniejszona o %s.
zts120e	Obrona magiczna zostaje zwiêkszona o %s.
zts121e	Obrona magiczna zostaje zmniejszona o %s.
