zts1e	Nowy przedmiot
zts2e	[n]
zts3e	Drewniany Kij
zts4e	Pierwsza broñ poszukiwaczy przygód, którzy dopiero co przybyli do NosVille.[n][n]
zts5e	Drewniana Pa³ka
zts6e	Silna, drewniana pa³ka, zadaj¹ca spore obra¿enia.[n][n]
zts7e	Drewniany Miecz
zts8e	Drewniany miecz przeznaczony do treningu poszukiwaczy przygód.[n][n]
zts9e	Drewniany M³otek
zts10e	M³ot wykonany z twardego drewna.[n][n]
zts11e	Ciê¿ki Drewniany M³ot
zts12e	Ciê¿ki, drewniany m³ot, zadaj¹cy spore obra¿enia.[n][n]
zts13e	Treningowy Drewniany Miecz
zts14e	Miecz dla niedoœwiadczonych poszukiwaczy przygód.[n][n]
zts15e	Miecz Poszukiwacza Przygód
zts16e	Miecz ze stali dla poszukiwaczy przygód.[n][n]
zts17e	Drewniana Katapulta
zts18e	Pierwsza broñ drugorzêdna nowych poszukiwaczy przygód w NosVille.[n][n]
zts19e	Mocna Katapulta
zts20e	Ciê¿ka drewniana katapulta, zadaj¹ca dodatkowe obra¿enia.[n][n]
zts21e	Drewniana Katapulta Ucznia
zts22e	Katapulta dla niedoœwiadczonego poszukiwacza przygód[n][n]
zts23e	Katapulta Poszukiwacza Przygód
zts24e	Stalowa katapulta dla poszukiwaczy przygód.[n][n]
zts25e	Ubranie
zts26e	Ubranie dla poszukiwaczy przygód, którzy dopiero co przybyli do NosVille.[n][n]
zts27e	Strój Treningowy
zts28e	Strój zaprojektowany do treningu.[n][n]
zts29e	Strój Poszukiwacza Przygód
zts30e	Bardzo popularne ubranie poszukiwaczy przygód. Niskie prawdopodobieñstwo skutków ubocznych wskrzeszenia.[n][n]
zts31e	Ubranie Treningowe
zts32e	Wyj¹tkowo wygodny strój treningowy.[n][n]
zts33e	P³aszcz Podró¿nika
zts34e	Ogrzewa poszukiwaczy przygód, gdy nocuj¹ pod go³ym niebem.[n][n]
zts35e	Ciep³y P³aszcz
zts36e	Otula ca³e cia³o i zapewnia ciep³o.[n]Niskie prawdopodobieñstwo skutków ubocznych wskrzeszenia.[n][n]
zts37e	Miecz Nowicjusza
zts38e	Prezent dla pocz¹tkuj¹cych wojowników.[n]Poszukiwacze przygód nie mog¹ u¿ywaæ tej broni.[n][n]
zts39e	Têpy Miecz
zts40e	Miecz ten jest bardzo popularny wœród pocz¹tkuj¹cych wojowników.[n][n]
zts41e	Miecz Cierpienia
zts42e	Miecz ten zosta³ wykuty z broni pokonanych ¿o³nierzy.[n]Zwiêksza szansê na zadanie ciosu krytycznego.[n]
zts43e	Krótki Miecz
zts44e	U¿ywany przez zwyczajnych wojowników.[n][n]
zts45e	Miecz z Br¹zu
zts46e	Miecz pokryty br¹zem, który zwiêksza szansê na zadanie ciosu krytycznego.[n][n]
zts47e	Szabla
zts48e	Szabla ta jest bardzo popularna wœród wojowników.[n][n]
zts49e	Szeroki Miecz Ducha
zts50e	Miecz ten nale¿y do poleg³ego ¿o³nierza, którego duch wci¹¿ uwiêziony jest w jego wnêtrzu.[n]Zwiêksza si³ê ataku ¿ywio³u ognia.[n][n]
zts51e	Falchion
zts52e	Broñ sieczna z d³ugim uchwytem,[n]wystarczaj¹co lekka do u¿ycia jedn¹ rêk¹.[n][n]
zts53e	Z³ota Szabla
