zts1e	Odpoczynek
zts2e	Podnoszenie
zts3e	Otwórz sklep
zts4e	Zg³oszenie do bitwy
zts5e	Kr¹g czasu
zts6e	Niesprecyzowane
zts7e	[Podstawowy] Wzmocnienie ataku
zts8e	Zwiêksza si³ê fizyczn¹ o 3.
zts9e	Ulepsza atak i obronê w walce wrêcz.
zts10e	[Œredni] Wzmocniony atak
zts11e	Zwiêksza si³ê fizyczn¹ o 12.
zts12e	[Zaawansowany] Wzmocniony atak
zts13e	Mistrzowski atak
zts14e	[Pocz¹tkuj¹cy] Nauka szybkoœci
zts15e	Zwiêksza tempo o 3.
zts16e	Zwiêksza celnoœæ i unik, a tak¿e prêdkoœæ ataku d³ugodystansowego i obrony d³ugodystansowej.
zts17e	[Œredni] Nauka szybkoœci
zts18e	Zwiêksza tempo o 12.
zts19e	Zwiêksza celnoœæ i unik, a tak¿e prêdkoœæ ataku d³ugodystansowego i obrony d³ugodystansowej.
zts20e	[Zaawansowany] Nauka szybkoœci
zts21e	[Mistrz] Nauka szybkoœci
zts22e	[Pocz¹tkuj¹cy] Wzmocnienie bystroœci
zts23e	Zwiêksza bystroœæ o 4.
zts24e	Zwiêksza obronê i atak magiczny.
zts25e	[Œredni] Wzmocnienie bystroœci
zts26e	Zwiêksza bystroœæ o 15.
zts29e	[Pocz¹tkuj¹cy] Technika wylêgu
zts30e	[Œredni] Technika wylêgu
zts31e	[Zaawansowany] Technika wylêgu
zts32e	[Mistrz] Technika wylêgu
zts33e	[Pocz¹tkuj¹cy] Przed³u¿enie ¿ycia
zts34e	Na sta³e zwiêksza P¯ o 50.
zts35e	[Œredni] Przed³u¿enie ¿ycia
zts36e	Na sta³e zwiêksza P¯ o 100.
zts37e	[Zaawansowany] Przed³u¿enie ¿ycia
zts38e	[Mistrz] Przed³u¿enie ¿ycia
zts39e	[Pocz¹tkuj¹cy] Trening umys³owy
zts40e	Na sta³e zwiêksza PM o 50.
zts41e	[Œredni] Trening umys³owy
zts42e	Na sta³e zwiêksza PM o 100.
zts43e	[Zaawansowany] Trening umys³owy
zts44e	[Mistrz] Trening umys³owy
zts45e	[Pocz¹tkuj¹cy] Efektywny atak
zts46e	Zwiêksza si³ê ataku o 2.
zts47e	[Œredni] Skuteczny atak
zts48e	Zwiêksza si³ê ataku o 6.
zts51e	[Pocz¹tkuj¹cy] Samoobrona
zts52e	Zwiêksza obronê o 3.
zts53e	[Œrednia] Samoobrona
zts54e	Zwiêksza obronê o 8.
zts57e	[Pocz¹tkuj¹cy] Regeneracja P¯
zts58e	Zwiêksza odnowê P¯ o 20.
zts59e	[Œredni] Regeneracja P¯
zts60e	Zwiêksza odnowê P¯ o 50.
zts61e	[Zaawansowany] Regeneracja P¯
zts62e	[Mistrz] Regeneracja P¯
zts63e	[Pocz¹tkuj¹cy] Regeneracja PM
zts64e	Zwiêksza regeneracjê PM o 20.
zts65e	[Œredni] Regeneracja PM
zts66e	Zwiêksza regeneracjê PM o 50.
zts67e	[Zaawansowany] Regeneracja PM
zts68e	[Mistrz] Regeneracja PM
zts70e	Powoli przywraca P¯ i PM.
zts71e	[Œredni] Naturalna Regeneracja
zts72e	[Zaawansowany] Naturalna Regeneracja
zts73e	[Pocz¹tkuj¹cy] Sztuka pos³ugiwania siê broni¹
zts74e	[Œredni] Sztuka pos³ugiwania siê broni¹
zts75e	[Zaawansowany] Sztuka pos³ugiwania siê broni¹
zts76e	[Pocz¹tkuj¹cy] Trening szturmowy
zts77e	[Œredni] Trening szturmowy
zts78e	[Zaawansowany] Trening szturmowy
zts79e	[Pocz¹tkuj¹cy] Odpornoœæ na truciznê
