zts1e	Ma³y Lis
zts2e	Lis
zts3e	Du¿y Lis
zts4e	Zmêczony Lis Dusi
zts5e	Lis Dusi
zts6e	Nerwowy Lis Dusi
zts7e	Szczêœliwy Lis Oto
zts8e	Lis Oto
zts9e	Rozgniewany Lis Oto
zts10e	Szczêœliwa Owieczka
zts11e	Owieczka
zts12e	Rozgniewana Owieczka
zts13e	Ma³y Muflon
zts14e	Muflon
zts15e	Du¿y Muflon
zts16e	Zmêczony Baran
zts17e	Baran
zts18e	Nerwowy Baran
zts19e	Szczêœliwa Mandra
zts20e	Mandra
zts21e	Wœciek³a Mandra
zts22e	S³aba Trawiasta Mandra
zts23e	Trawiasta Mandra
zts24e	Silna Trawiasta Mandra
zts25e	Ma³y Z³oœnik
zts26e	Z³oœnik
zts27e	Du¿y Z³oœnik
zts28e	S³aby Jadowity Z³oœnik
zts29e	Jadowity Z³oœnik
zts30e	Silny Jadowity Z³oœnik
zts31e	S³aby Ziarniak
zts32e	Ziarniak
zts33e	Silny Ziarniak
zts34e	Lekki Ognisty Ziarniak
zts35e	Ognisty Ziarniak
zts36e	Ciê¿ki Ognisty Ziarniak
zts37e	Miêkki Groszek
zts38e	Groszek
zts39e	Twardy Groszek
zts40e	Ma³y Dziki Groszek
zts41e	Dziki Groszek
zts42e	Du¿y Dziki Groszek
zts43e	Leniwy Ciernisty Groszek
zts44e	Ciernisty Groszek
zts45e	Szybki Ciernisty Groszek
zts46e	Miêkki Str¹czek Groszku
zts47e	Str¹czek Groszku
zts48e	Twardy Str¹czek Groszku
zts49e	Ma³y Dziki Str¹czek Groszku
zts50e	Dziki Str¹czek Groszku
zts51e	Du¿y Dziki Str¹czek Groszku
zts52e	Leniwy Ciernisty Str¹czek Groszku
zts53e	Ciernisty Str¹czek Groszku
zts54e	Szybki Ciernisty Str¹czek Groszku
zts55e	S³aby Wampirek
zts56e	Wampirek
zts57e	Silny Wampirek
zts58e	S³aby Ognisty Wampirek
zts59e	Ognisty Wampirek
zts60e	Silny Ognisty Wampirek
zts61e	S³aby Diabelski Wampirek
zts62e	Diabelski Wampirek
zts63e	Silny Diabelski Wampirek
