zts1e	Najlepsza obs³uga
zts2e	Medal Erenii
zts3e	[Efekt g³ówny ] [n] Ka¿dy ekwipunek zostanie o 8 zwiêkszony, w ca³oœci o 24,[n] jeœli bêdzie u¿yty z medalem poszukiwacza przygód, to wtedy bêdzie zwiêkszony o 36 [n] [Efekt dodatkowy] Doœwiadczenie w bitwie zostanie zwiêkszone o 15%.[n] Doœwiadczenie pracy zostanie zwiêkszone o 15%.[n] Punkty doœwiadczenia zwierzaka i przyjaciela zostan¹ zwiêkszone o 15%. (Zostan¹ zwiêkszone o 30%, jeœli  bêdzie u¿yty razem z medalem poszukiwacza przygód) Wygrana w z³ocie  zwiêkszona o 20%.[n] Reputacja zwiêkszona o 20%.
zts4e	Masz ochotê na ³atwe wyzwanie?
zts5e	Medal poszukiwacza przygód
zts6e	[Efekt g³ówny] [n] Wszystkie schowki zostan¹ rozszerzone o 4, w sumie o 12,[n] je¿eli zostanie u¿yty medal Erenii, o 36[n] [Dodatkowy efekt] Doœwiadczenie w walce zostanie zwiêkszone o 15%.[n] Doœwiadczenie w zawodzie zostanie zwiêkszone o 15%.[n] Punkty doœwiadczenia zwierzêcia i partnera zostan¹ zwiêkszone o 15%. (Zostan¹ zwiêkszone o 30%, je¿eli zostanie zastosowany jednoczeœnie medal Erenii)
zts7e	Spodoba³a siê lepsza wró¿ka?
zts8e	Sellaim
zts9e	Duch ognia; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka ognia[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts10e	Silniejszy element wody
zts11e	Woondine, wró¿ka wody
zts12e	Duch wody; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka wody[n] Nie mo¿na go sprzedaæ[n]
zts13e	Silniejszy element œwiat³a
zts14e	Eperial, wró¿ka œwiat³a
zts15e	Duch œwiat³a; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka œwiat³a[n] Nie mo¿na go sprzedaæ[n]
zts16e	Poka¿e Ci si³ê mroku
zts17e	Turik, wró¿ka mroku
zts18e	Duch mroku; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka mroku[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
zts19e	Potrzebujesz szybkiego wzrostu?
zts20e	Du¿a Sellaim
zts21e	Duch ognia; Mo¿e rozwin¹æ siê do 70.[n] Posiada takie same umiejêtnoœci jak wró¿ka ognia[n] Tego przedmiotu nie mo¿na daæ innej osobie.[n]
