zts1e	Sklep z narzêdziami Teo
zts13e	Do zobaczenia.
zts14e	A wiêc, co chcia³byœ wiedzieæ?
zts15e	Jak mogê ulepszyæ swoje wyposa¿enie?
zts16e	Jaka jest g³ówna zaleta ulepszenia mojego sprzêtu?
zts17e	Jak zmieniæ wyposa¿enie mojego partnera?
zts18e	Wygl¹da tak samo jak ty. Jesteœcie bliŸniêtami?
zts19e	Aby ulepszyæ wyposa¿enie, potrzebujesz proszku Cella i kamieni dusz.
zts20e	Wzmacniaæ mo¿na tylko broñ i ubranie. Wzmocnienie to obejmuje poziomy od 1 do 10. Wymagana iloœæ proszku Cella roœnie wraz z poziomem.
zts21e	Ach tak, dodatkowo pobieram za to niewielk¹ op³atê manipulacyjn¹. To wszystko. Rozumiesz?
zts22e	Ehm... Jak mam zdobyæ proszek Cella i kamienie duszy ?
zts23e	Otrzymasz je poprzez rafinacjê kamieni Gillion.
zts24e	Te kamienie mog¹ zostaæ znalezione wszêdzie i mog¹ byæ rafinowane za pomoc¹ Uszlachetniaczy Kamieni Duszy.
zts25e	Trochê trudno zdobyæ kamienie duszy. Jednak z proszkiem Cella nie powinno byæ problemu.
zts26e	Przy odrobinie szczêœcia mo¿esz nawet znaleŸæ doskona³y kamieñ duszy.
zts27e	Dziêkujê, teraz rozumiem.
zts28e	Poziom si³y twojego ataku i obrony zwiêksza siê po ulepszeniu broni i pancerza.
zts29e	Nie widzê jednak ¿adnych zmian, tylko znak + siê pojawi³.
zts30e	Oszuka³em ciê! Haha! Spokojnie, bez paniki! Tylko ¿artowa³em. Nie zobaczysz tam ¿adnych zmian.
zts31e	Podczas walki, poziom ataku i obrony zale¿eæ bêdzie od poziomu twojego oraz przeciwnika.
zts32e	Ale... jak? (Czy to prawda?)
zts33e	Na przyk³ad twoj¹ obronê wylicza siê na podstawie ró¿nicy miêdzy poziomem broni przeciwnika, a poziomem twojego pancerza.
zts34e	Im wiêksza ta ró¿nica, tym jesteœ silniejszy. Tak wiêc wskazane jest, aby posiadaæ wysoki poziom wyposa¿enia.
zts35e	Ach! Teraz rozumiem! Uff! (To prawda!)
zts36e	Co chcesz obejrzeæ?
zts37e	Poka¿ mi broñ.
zts38e	Poka¿ mi swój pancerz.
zts39e	Poka¿ mi inne wyposa¿enie.
zts40e	Wyposa¿enie partnera to pancerz, który mo¿e za³o¿yæ twój partner.
zts41e	Aby zwiêkszyæ si³ê swojego partnera, musisz skompletowaæ dla niego odpowiednie wyposa¿enie.
zts42e	Skompletowanie wyposa¿enia dla partnera jest bardzo ³atwe. Musisz mnie tylko o to poprosiæ! Wymieniê twoj¹ broñ lub zbrojê na wyposa¿enie dla twojego partnera.
zts43e	Jeœli tak zrobisz, przemieniê to w ekwipunek partnera o tym samym poziomie. Ale bronie krótkozasiêgowe pozostan¹ krótkozasiêgowymi i vice versa.
zts44e	Jeœli twój partner dokonuje ataku krótkodystansowego, u¿yje broni krótkodystansowej i tego samego typu pancerza.
zts45e	Podczas ataku d³ugodystansowego u¿ywa broni d³ugodystansowej i odpowiedniego pancerza.
zts46e	Podczas magicznego ataku twój partner u¿yje magicznej broni i odpowiedniego pancerza.
zts47e	Kto? Ten koleœ tam? Tak, to mój brat bliŸniak.
zts48e	W przeciwieñstwie do ciebie wygl¹da na lenia.
zts49e	Ha! Nie, jest doœæ leniwy. A do tego bardzo lekkomyœlny. Nie ufam mu i nie da³bym mu ¿adnej pracy.
zts50e	A tak na marginesie:
zts51e	S³ysza³em, ¿e robi³ coœ bardzo dziwnego z wyposa¿eniem. Niech nie zmyli ciê jego dziwne zachowanie.
zts52e	Ach, naprawdê? OK, pod¹¿ê za twoj¹ rad¹.
zts53e	Sklep z narzêdziami Teo
zts62e	Co jest przedmiotem zak³adu?
zts64e	Jeœli masz jak¹œ broñ lub pancerze, które nie maj¹ ¿adnych szczególnych w³aœciwoœci, poka¿ mi je!
zts65e	Z moimi boskimi mocami stworzê dla ciebie unikalny przedmiot.
