zts1e	B³og. Krzakogonów
zts3e	Kocie B³og.
zts5e	B³og. Œwiat³a
zts7e	B³og. Mroku
zts9e	B³og. Wody
zts11e	B³og. Ognia
zts13e	B³og. Wojowników
zts15e	B³og. Magów
zts17e	B³og. Strzelców
zts19e	B³og. Ninja
zts21e	B³og. Ewolucji
zts23e	B³og. Têczy
zts25e	B³og. Robotów
zts27e	B³og. Piratów
zts29e	Upiorne B³og.
zts31e	Lodowate B³og.
zts33e	B³og. Wilków
zts35e	B³og. Galaretek
zts37e	B³og. Wie¿y Nieba
zts39e	B³og. Bestii
zts41e	B³og. Duchów
zts43e	B³og. Stra¿ników
zts45e	B³og. Króla Duchów
zts47e	B³og. Króla Bestii
zts49e	Krew Nieœmiertel.
zts51e	Strza³owy
zts53e	Elektrowstrz¹s
zts55e	Zwinny i odwa¿ny
zts57e	Nagroda – 1.
zts58e	Nagroda – 2. i 3.
zts59e	Nagroda – 4.-10.
zts60e	Nagroda – 11.-20.
zts61e	Nagroda – 21.-30.
