zts1e	Специальные Атаки
zts2e	Отключить Атаку
zts3e	Атака в Ближнем Бою недействительна
zts4e	Атака в Дальнем Бою отключена
zts5e	Магия отключена
zts6e	Отключает Наведение Цели
zts7e	Атака невозможна
zts8e	Атаки ближнем боем не разрешены.
zts9e	Атаки с дистанции не разрешены.
zts10e	Магические атаки запрещены
zts11e	Атака не удалась, так как ты промахнулся по цели (не при магических атаках)
zts12e	Специальная защита
zts13e	Отключить защиту
zts14e	Отключить защиту в ближнем бою
zts15e	Отключить защиту в дальнем бБою
zts16e	Защита от магии отключена
zts17e	Отключить уклонение
zts18e	Не все силы защиты могут быть применены
zts19e	Сила защиты в ближнем бою не может быть применена
zts20e	Сила Защиты в Дальнем Бою не может быть применена
zts21e	Сила Защиты от Магии не может быть применена
zts22e	Защита невозможна
zts23e	Модифицирует Силу Атаки
zts24e	Модифицирует все Атаки
zts25e	Модифицирует Атаку в Ближнем Бою
zts26e	Модифицирует Атаку в Дальнем Бою
zts27e	Модифицирует Магическую Атаку
zts28e	Модифицирует Уровень Атаки
zts29e	Сила всех атак повышена на %s
zts30e	Сила всех атак понижена на %s
zts31e	Сила атаки в ближнем бою повышена на %s
zts32e	Сила Атаки в Ближнем Бою понижена на %s
zts33e	Сила атаки в дальнем бою повышена на %s
zts34e	Сила атаки в дальнем бою понижена на %s
zts35e	Сила магической атаки повышена на %s
zts36e	Магическая Сила Атаки понижена на %s
zts37e	Уровень атаки повышен на %s
zts38e	Уровень Атаки понижен на %s
zts39e	Меняет Цель
zts40e	Меняет все Цели
zts41e	Меняет ближнюю Цель
zts42e	Меняет дальнюю Цель
zts43e	Изменить Фокусировку
zts44e	Точность всех атак повышена на %s.
zts45e	Точность всех атак понижена на %s.
zts46e	Точность атак в ближнем бою повышена на %s.
zts47e	Точность атак в ближнем бою понижена на %s.
zts48e	Точность атак в дальнем бою повышена на %s.
zts49e	Точность атак в дальнем бою понижена на %s.
zts50e	Концентрация повышается на %s во время магических атак
zts51e	Концентрация понижается на %s во время магических атак
zts52e	Изменение критического урона
zts53e	Модифицирует вероятность Фатальной Атаки
zts54e	Изменяет урон от критической атаки.
zts55e	Удвоенный Урон
zts56e	Меняет противнику вероятность критической атаки.
zts57e	Меняет противнику урон от критической атаки.
zts58e	Вероятность нанесения критического урона повышена на %s%%
zts59e	Уменьшение вероятности нанесения критического удара на %s%%
zts60e	Повышает критический урон на %s%%
zts61e	Повышает урон на %s%%, понижая шанс нанесения критических ударов
zts62e	Урон повышается на %s%% с вероятностью %s%%
zts63e	Во время атаки с вероятностью в %s%% урон уменьшится на %s%%.
zts64e	Вероятность получения Фатального Ранения повышается на %s%%
zts65e	Вероятность нанесения критических ударов понижена на %s%%
zts66e	Смертельный Урон увеличен на %s%%.
zts67e	Смертельный урон уменьшен на %s%%
zts68e	Особенно Фатальная Атака
zts69e	Позволяет наносить гарантированную критическую атаку.
zts70e	Не позволяет наносить гарантированную критическую атаку.
zts71e	Постоянное получение критического урона
zts72e	Периодическое получение критического урона
zts73e	Регулярная вероятность Фатальной Атаки
zts74e	Постоянное нанесение критического урона
zts75e	Невозможность нанесения критического урона
zts76e	Постоянное получение критического урона
zts77e	Защита от критического урона
zts78e	Вызывает смертельное попадание с вероятностью в  %s%%
zts79e	Получает фатальную атаку с вероятностью в  %s%%.
zts80e	Изменять элемент
zts81e	Меняет элемент огня.
zts82e	Изменять Энергию Воды.
zts83e	Изменять Энергию Света
zts84e	Меняет элемент тьмы.
zts85e	Измени все имеющие Элементы.
zts86e	Сила элемента огня повышена на %s
zts87e	Сила элемента огня понижена на %s
zts88e	Сила элемента воды повышена на %s
zts89e	Сила элемента воды понижена на %s
