zts1e	Основные эффекты
zts2e	Магический эффект
zts3e	Набор ядов
zts4e	Серия болезней
zts5e	Серия зарядки
zts6e	Положит.
zts7e	Нейтральный
zts8e	Негатив.
zts9e	Длительность %.1 секунды
zts10e	Каждые %d секунды
zts11e	С вероятностью в %d%%
zts12e	Побочные эффекты через %.1f сек
zts13e	Накладывает %s с вероятностью %d%%.
zts14e	(Уровень персонажа / %d)
zts15e	(Уровень персонажа * %d)
zts16e	Зарядка
zts17e	Энергия для следующей атаки полностью заряжена.
zts18e	Слабое кровотечение
zts19e	Ты получаешь легкое ранение.
zts20e	Ядовитая колючка
zts21e	Отравлен ядовитой колючкой.
zts22e	Любовная тоска
zts23e	Ты чувствуешь себя очень грустно.
zts24e	Гнев
zts25e	Атака, подстегнутая гневом
zts26e	Ярость
zts27e	Фокусируется на нападении и наносит только критический урон сопернику.
zts28e	Безумие
zts29e	Концентрируется на нападении и выполняет быстрые атаки.
zts30e	Отключка
zts31e	Накладывает Отключку Пока ты находишься без сознания, ты не можешь защищаться от атак
zts32e	Деморализация
zts33e	Деморализован силой противника
zts34e	Клей
zts35e	Прилипает к телу и прерывает атаку.
zts36e	Густой клей
zts37e	Приклеивается к телу и прерывает движение.
zts38e	Страх
zts39e	Вызывает настоящий страх и лишает бой какого-либо удовольствия
zts40e	Боевой клич
zts41e	Сила атаки увеличивается благодаря вдохновению жаждой битвы.
zts42e	Крик повышения морали
zts43e	Ты вдохновляешься благодаря прекрасному настроению и уверенности.
zts44e	Пьяное бормотание
zts45e	Одурманен алкогольным напитком
zts46e	Режим PvP
zts47e	Можно в любое время провести дружеский турнир с другими игроками.
zts48e	Уровень атаки понижен.
zts49e	Ты получаешь штраф при атаке, так как уровень нападения понижен.
zts50e	Присяга кровью
zts51e	Поклянись кровью и стань мужественным.
zts52e	Подавление
zts53e	Потеря воли к борьбе из-за подавленности.
zts54e	Раненая нога
zts55e	Ранены ноги или крылья, скорость движений замедляется.
zts56e	Кровотечение
zts57e	Легкое ранение, которое может привести к серьезным последствиям.
zts58e	Парализующий яд
zts59e	Парализует мускулатуру
zts60e	Нейтрализующий защиту яд
zts61e	Ощущает боль даже от небольших атак и легко получает ранения
zts62e	Вызывающий головокружение яд
zts63e	Часто чувствует головокружение.
zts64e	Смертельный яд
zts65e	Получает шок на несколько секунд и тело двигается медленнее.
zts66e	Прерывание движения
zts67e	Невозможно двигаться из-за серьезного ранения.
zts68e	Мороз
zts69e	Противник заморожен и не может двигаться.
zts70e	Спешка
zts71e	Двигается быстро
zts72e	Уменьшает вес тела, для того чтобы быстрее передвигаться.
zts73e	Ритуал ястреба
zts74e	Дают возможность для невероятного обзора и позоляет совершать эффективные атаки.
zts75e	Щит Мороза
