zts1e	Новый предмет
zts2e	[n]
zts3e	Деревянная палка
zts4e	Первое оружие, которое получает новоприбывший в НосВилль искатель приключений.[n][n]
zts5e	Деревянная дубинка
zts6e	Твердая деревянная дубина, наносящая серьезный урон.[n][n]
zts7e	Деревянный меч
zts8e	Тренировочный деревянный меч искателей приключений.[n][n]
zts9e	Деревянный молоток
zts10e	Сделан из твердых пород дерева.
zts11e	Тяжелый деревянный молоток
zts12e	Тяжелый деревянный молоток, наносящий дополнительный урон.[n][n]
zts13e	Деревянный меч ученика
zts14e	Меч, который используется неопытными искателями приключений.[n][n]
zts15e	Меч искателя приключений
zts16e	Стальной меч искателей приключений.[n][n]
zts17e	Деревянная рогатка
zts18e	Первое вторичное оружие для новоприбывших искателей приключений НосВилля.[n][n]
zts19e	Тяжелая деревянная рогатка
zts20e	Тяжелая деревянная рогатка, которая способна наносить больший урон, чем обычная.[n][n]
zts21e	Деревянная рогатка ученика
zts22e	Рогатка для неопытных учеников искателей приключений
zts23e	Стальная рогатка
zts24e	Стальная катапульта искателей приключений.[n][n]
zts25e	Одежда
zts26e	Одежда новоприбывших искателей приключений.[n][n]
zts27e	Тренировочная форма
zts28e	Форма, сделанная специально для тренировок искателей приключений.
zts29e	Униформа искателя приключений
zts30e	Очень популярная броня среди искателей приключений. Она защищает от последствий воскрешения.[n][n]
zts31e	Тренировочная форма
zts32e	Очень эластичная и удобная.
zts33e	Плащ искателя приключений
zts34e	Согревает искателя приключений, когда миссии уводят его далеко от дома.[n][n]
zts35e	Теплый плащ
zts36e	Сохраняет тело в тепле.[n]Дает защиту от побочных эффектов возрождения.[n][n]
zts37e	Меч неопытного воина
zts38e	Подарок от Мими Ментора всем ученикам искусства боя на мечах.[n] Искатели приключений не могут использовать это оружие.[n][n]
zts39e	Короткий меч
zts40e	Одноручный меч. Для новичков.[n][n]
zts41e	Меч страдания
zts42e	Этот меч был выкован из расплавленных мечей побежденных солдат.[n]Он повышает вероятность нанесения критического урона.[n]
zts43e	Длинный меч
zts44e	Обычный меч для воина.
zts45e	Бронзовый меч
zts46e	Покрытый бронзовыми узорами меч, повышающий шанс нанесения критического урона.[n][n]
zts47e	Сабля
zts48e	Меч среднего качества.[n] Но мечникам нравится.[n][n]
zts49e	Палаш Красного Духа
zts50e	Этот меч поглотил душу воина, который погиб, сражаясь им.[n]Повышает силу атаки элементом огня.[n][n]
zts51e	Фальшион
zts52e	Меч с длинным лезвием, достаточно легок для одной руки.[n][n]
zts53e	Длинный меч, украшеный золотом
zts54e	Покрытый золотыми узорами меч. Он повышает шанс нанесения критического урона с помощью элемента огня.[n][n]
zts55e	Палаш
zts56e	Этот меч имеет более широкое лезвие, чем обычные мечи.
zts57e	Длинный меч Силы
zts58e	Бьет очень сильно, но медленно.[n][n]
zts59e	Палаш
zts60e	Обычный широкий меч с удобной рукояткой.
zts61e	Скайабона
zts62e	Таинственная сила защищает владельца этого меча от нападений противников.
zts63e	Клеймор
zts64e	Только лучшие воины получают этот меч.[n] Содержит элемент воды.[n][n]
zts65e	Лук неопытного игрока
zts66e	Подарок Мими Ментор всем лучникам-ученикам.[n] Искатели приключений  не могут использовать это оружие.[n][n]
zts67e	Маленький лук
zts68e	Маленький лук, сделанный из дерева.[n][n]
zts69e	Лук скорости
zts70e	Тонкий и очень легкий лук, серьезно повышающий твою точность.[n][n]
zts71e	Лук из бамбука
zts72e	Наспех сделанный из бамбука лук.[n][n]
zts73e	Улучшеный лук
zts74e	Улучшенный Лук скорости.[n]Повышает урон и точность.[n][n]
zts75e	Дубовый лук
zts76e	Этот лук был сделан из дуба для повышения его долговечности.[n][n]
zts77e	Лук ветра
zts78e	Сделан давным-давно школяром, изучающим стихию ветра.[n] Использует ветер для сильнейших атак.[n][n]
zts79e	Короткий лук с роговыми накладками
zts80e	Очень популярный лук, украшенный роговыми накладками.
zts81e	Лук с обтянутой кожей рукояткой
zts82e	Рукоять "Лука Ветра" обмотана бьчьей кожей для удобного хвата.[n] Повышает критический урон.[n][n]
zts83e	Лук для охоты
zts84e	Обычный охотничий лук высокой прочности.[n] Хорош для охоты на дичь [n][n]
zts85e	Лук отваги
zts86e	Оружие бесстрашных лучников.[n]Повышает урон, добавляя элемент огня.[n][n]
zts87e	Длинный лук
zts88e	Отличается от обычных луков своей длиной.
zts89e	Бронзовый лук
zts90e	Повышенная прочность и защита благодаря бронзовым пластинкам..
zts91e	Лук духа
zts92e	Могущество духа, который спрятан в этом луке, улучшает значительно все элементы.
zts93e	Волшебная палочка новичка
zts94e	Подарок от Мими Ментор всем ученикам, которые хотят стать волшебниками.[n] Искатели приключений не могут использовать это оружие.[n][n]
zts95e	Волшебная палочка с красной жемчужиной
zts96e	Простая волшебная палочка, навершие которой украшено большой красной жемчужиной.
zts97e	Волшебная палочка духа
zts98e	Таинственная сила синих жемчужин,[n] которыми украшена палочка, увеличивает магическую мощь.[n][n]
zts99e	Волшебная палочка с рубином
zts100e	Эта волшебная палочка очень популярна среди молодых магов из-за большого рубина, украшающего ее.[n][n]
zts101e	Волшебная палочка
zts102e	Загадочный порошок, который наделяет оружие особыми свойствами, благодаря чему нанесение магических атак становится еще более простым.[n][n]
zts103e	Волшебная палочка с голубой жемчужиной
zts104e	Волшебная палочка, украшенная синей жемчужиной.[n][n]
zts105e	Волшебная палочка света
zts106e	Таинственный свет, окружающий это оружие, усиливает атаку и [n] ускоряет восстановление сил. [n][n]
zts107e	Опаловый жезл
zts108e	Эта палочка украшена опалами для придания ей привлекательного вида.[n][n]
zts109e	Волшебная палочка Маны
zts110e	Повышает запас ОМ и восстановление ОМ.[n][n]
zts111e	Коралловая волшебная палочка
zts112e	Украшена кораллами, добытыми из глубин океана.
zts113e	Волшебная палочка чести
