zts1e	Отдых
zts2e	Поднятие предмета
zts3e	Открытие магазина
zts4e	Планирование битвы
zts5e	Временная спираль
zts6e	Не определен
zts7e	[Эксперт] Физическая сила
zts8e	Повышает физическую силу на 3.
zts9e	Улучшает атаку и оборону в ближних боях.
zts10e	[Средний уровень] Усиленная атака
zts11e	Повышает физическую силу на 12.
zts12e	[Продвинутый] Физическая сила
zts13e	[Магистр] Усиленная атака
zts14e	[Начальный] Скорость
zts15e	Повышает ловкость на 3.
zts16e	Повышает точность, уклонение, скорость атаки в дальнем бою и защиту в дальнем бою.
zts17e	[Средний уровень] Курс по скорости
zts18e	Повышает ловкость на 12.
zts19e	Повышает точность, уклонение, скорость атаки в дальнем бою и защиту в дальнем бою.
zts20e	[Продвинутый] Скорость
zts21e	[Эксперт] Скорость
zts22e	[Начальный] Интеллект
zts23e	Повышает интеллект на 4.
zts24e	Увеличивает защиту против магических атак
zts25e	[Средний] Интеллект
zts26e	Повышает интеллект на 15.
zts29e	[Начальный] Техника разведения
zts30e	[Средний уровень] Техника выращивания
zts31e	[Продвинутый уровень] Техника выращивания
zts32e	[Эксперт] Техника разведения
zts33e	[Начальный] Продление жизни
zts34e	Навсегда повышает ОЗ на 50
zts35e	[Средний уровень] Продление жизни
zts36e	Навсегда повышает ОЗ на 100
zts37e	[Продвинутый] Продление жизни
zts38e	[Мастер] Продление жизни
zts39e	[Начальный] Тренировка ума
zts40e	Повышает количество ОМ максимум на 50
zts41e	[Средний уровень] Тренировка ума
zts42e	Повышает количество ОМ максимум на 100
zts43e	[Продвинутый] Тренировка ума
zts44e	[Эксперт] Тренировка ума
zts45e	[Начальный] Эффективная атака
zts46e	Минимальный и максимальный ущерб в ближнем и дальнем боях увеличен на 2
zts47e	[Средний уровень] Эффективная сила атаки
zts48e	Минимальный и максимальный ущерб в ближнем и дальнем боях увеличен на 4
zts51e	[Начальный] Самозащита
zts52e	Повышает оборону в ближнем и дальнем боях на 3
zts53e	[Средний уровень] Самозащита
zts54e	Повышает атаку в ближнем, дальнем и магическом боях на 5
zts57e	[Начальный] Восстановление ОЗ
zts58e	Повышает скорость восстановления ОЗ на 20
