zts1e	Маленькая^лиса
zts2e	Лиса
zts3e	Большая^лиса
zts4e	Усталая лиса дузи
zts5e	Лиса дузи
zts6e	Нервная^лиса^дузи
zts7e	Счастливая лиса Ото
zts8e	Лиса Ото
zts9e	Свирепая лиса Ото
zts10e	Счастливая овечка
zts11e	Овечка
zts12e	Сердитая овечка
zts13e	Малый^муфлон
zts14e	Муфлон
zts15e	Большой^муфлон
zts16e	Усталый^баран
zts17e	Баран
zts18e	Нервный^баран
zts19e	Счастливая мандра
zts20e	Мандра
zts21e	Свирепая мандра
zts22e	Слабая травяная мандра
zts23e	Травяная мандра
zts24e	Сильная травяная мандра
zts25e	Маленький^дандер
zts26e	Дандер
zts27e	Большой дандер
zts28e	Слабый ядовитый дандер
zts29e	Ядовитый дандер
zts30e	Сильный ядовитый дандер
zts31e	Слабый сидль
zts32e	Сидль
zts33e	Сильный сидль
zts34e	Светлый огненный сидль
zts35e	Огненный сидль
zts36e	Тяжелый огненный сидль
zts37e	Мягкий горох
zts38e	Горох
zts39e	Твердый горох
zts40e	Мелкий дикий горох
zts41e	Дикий горох
zts42e	Крупный дикий горох
zts43e	Гнилой шипастый горох
zts44e	Шипастый горох
zts45e	Шустрый шипастый горох
zts46e	Мягкий стручок
zts47e	Стручок
zts48e	Твердый стручок
zts49e	Мелкий дикий стручок
zts50e	Дикий стручок
zts51e	Крупный^дикий^стручок
zts52e	Гнилой шипастый стручок
zts53e	Шипастый стручок
zts54e	Шустрый шипастый стручок
zts55e	Слабый вампир
zts56e	Вампир
zts57e	Сильный вампир
zts58e	Слабый огненный вампир
zts59e	Огненный вампир
zts60e	Сильный огненный вампир
zts61e	Слабый демонический вампир
zts62e	Демонический вампир
zts63e	Сильный демонический вампир
zts64e	Усталый ходок
zts65e	Ходок
zts66e	Нервный ходок
zts67e	Усталый шипастый ходок
zts68e	Шипастый ходок
zts69e	Нервный шипастый ходок
zts70e	Усталый каменный ходок
zts71e	Каменный ходок
zts72e	Нервный каменный ходок
zts73e	Бесенок
zts74e	Бес
zts75e	Большой бес
zts76e	Счастливый рогатый бес
zts77e	Рогатый бес
zts78e	Свирепый рогатый бес
zts79e	Демонический бесенок
zts80e	Большой демонический бес
zts81e	Демонический бес
zts82e	Усталое розовое желе
zts83e	Розовое^желе
zts84e	Нервное^розовое^желе
zts85e	Усталое^красное^желе
zts86e	Красное^желе
zts87e	Прыгающее^красное^желе
zts88e	Усталое^темное^желе
zts89e	Нервное^темное^желе
zts90e	Темное желе
zts91e	Слабый Гаргс
zts92e	Гаргс
zts93e	Сильный Гаргс
zts94e	Безумный Гаргс
zts95e	Безумный Гаргс
zts96e	Сумасшедший Гаргс
zts97e	Счастливый хомяк
zts98e	Хомяк
zts99e	Злой хомяк
zts100e	Слабый ядовитый хомяк
zts101e	Ядовитый хомяк
zts102e	Сильный^ядовитый^хомяк
zts103e	Малый^стальной^хомяк
zts104e	Стальной хомяк
zts105e	Большой^стальной^хомяк
zts106e	Счастливый шахтер
zts107e	Шахтер
zts108e	Злой шахтер
zts109e	Слабый опытный шахтер
zts110e	Опытный шахтер
zts111e	Сильный опытный шахтер
zts112e	Усталый главный шахтер
zts113e	Главный шахтер
zts114e	Нервный главный шахтер
zts115e	Новобранец мечник Коарен
zts116e	Мечник Коарен
zts117e	Элитный мечник Коарен
zts118e	Новобранец лучник Коарен
zts119e	Лучник Коарен
zts120e	Элитный лучник Коарен
zts121e	Новобранец воин Коарен
zts122e	Воин Коарен
zts123e	Элитный воин Коарен
zts124e	Не используется
zts125e	Не используется
zts126e	Не используется
zts127e	Не используется
zts128e	Жестокий демонический бес
zts129e	Искусственная мандра
zts130e	Жестокий вампир
zts131e	Слабый ходок
zts132e	Огонек
zts133e	Сердитый огонек
zts134e	Веппард
zts135e	Темный веппард
zts136e	Боинг
zts137e	Прочный боинг
zts138e	Малый моргенштерн-боинг
zts139e	Моргенштерн-боинг
zts140e	Малый^мимик
zts141e	Мимик
zts142e	Большой мимик
zts143e	Моргенштерн-мимик
zts144e	Свирепый моргенштерн-мимик
zts145e	Неопытный мечник кенко
zts146e	Мечник Кенко
zts147e	Умелый мечник кенко
zts148e	Неопытный копьеносец кенко
zts149e	Копьеносец Кенко
zts150e	Умелый копьеносец кенко
zts151e	Неопытный мародер кенко
zts152e	Мародер Кенко
zts153e	Умелый мародер кенко
zts154e	Ланетан
zts155e	Дриада Фернон
zts156e	Коричневый^Пышнохвост
zts157e	Гладиатор^Пышнохвост
zts158e	Разрушитель^Пышнохвост
zts159e	Больной^Пышнохвост
zts160e	Сильный тренер пышнохвост
zts161e	Гигантская мандра
zts162e	Стремительная мандра
zts163e	Паук-солдат
zts164e	Слейд
zts165e	Слейд-жрец
zts166e	Окаменелый слейд
zts167e	Слабое красное желе
zts168e	Невидимое желе
zts169e	Слабое розовое желе
zts170e	Слабое темное желе
zts171e	Черный король пауков
zts172e	Слабый шипастый боинг
zts173e	Сильный шипастый боинг
zts174e	Слабый НЛО-боинг
zts175e	Сильный НЛО-боинг
zts176e	Санта^Пышнохвост
zts177e	Воллет
zts178e	Новогодняя свинка
zts179e	Маленькая ящерица
zts180e	Огромная зеленая ящерица
zts181e	Толстый голубь
zts182e	Слабый летучий енот
zts183e	Сильный летучий енот
zts184e	Пень с каменным молотом
zts185e	Пень со стальным молотом
zts186e	Пень с каменным топором
zts187e	Пень со стальным топором
zts188e	Сильное дерево-зомби
zts189e	Свирепое дерево-зомби
zts190e	Кленовая душа
zts191e	Кленовый дьявол
zts192e	Боинг-шестерня А
zts193e	Боинг-шестерня Б
zts194e	Волк
zts195e	Жестокий волк
zts196e	Волколев
zts197e	Жестокий волколев
zts198e	Свинья
zts199e	Сильная^свинья
zts200e	Горная черепаха
zts201e	Скальная черепаха
zts202e	Свирепый улей
zts203e	Опасный улей
zts204e	Свирепый рой
zts205e	Опасный рой
zts206e	Злая королева пчел
zts207e	Опасная королева пчел
zts208e	Слабый паук
zts209e	Паук
zts210e	Сильный паук
zts211e	Малый ядовитый паук
zts212e	Ядовитый паук
zts213e	Большой ядовитый паук
zts214e	Слабый король пауков
zts215e	Король пауков
zts216e	Сильный король пауков
zts217e	Малая оса
zts218e	Оса
zts219e	Большая^оса
zts220e	Странная личинка комара
zts221e	Личинка комара
zts222e	Злая личинка комара
zts223e	Малая личинка комара
zts224e	Больной плеватель
zts225e	Плеватель
zts226e	Свирепый плеватель
zts227e	Слабый костяной воин
zts228e	Костяной воин
zts229e	Сильный костяной воин
zts230e	Слабый череп
zts231e	Слабый лавовый голем
zts232e	Лавовый голем
zts233e	Сильный лавовый голем
zts234e	Старая ночная тень
zts235e	Ночная тень
zts236e	Древняя ночная тень
zts237e	Слабая темная ведьма
zts238e	Темная ведьма
zts239e	Кровавая ведьма
zts240e	Сильная кровавая ведьма
zts241e	Слабая черная ведьма
zts242e	Черная ведьма
zts243e	Мерзкий копьеносец
zts244e	Жуткий копьеносец
zts245e	Яростный череп
