zts1e	Лучший Сервис
zts2e	Медаль Эрениа
zts3e	[Основной эффект][n]Вместимость каждого отдела инвентаря увеличится на 8 ячеек, а всего вместимость[n]инвентаря увеличится на 24 ячейки. При использовании медали путешествия - на 36 ячеек.[n][Дополнительный эффект] Количество очков получаемого опыта повышается на 15%. [n] Количество получаемого рабочего опыта повышается на 15%. [n] Количество получаемого опыта твоим питомцем и партнером повышается на 15%. (При использовании медали Приключения повысится до 30%.) Количество получаемого золота повышается на 20%. [n] Количество получаемой репутации повышается на 20%.
zts4e	Хочешь легкого приключения?
zts5e	Медаль Искателя Приключений
zts6e	[Основной эффект][n]Вместимость каждого отдела инвентаря увеличится на 4 ячеек, а всего вместимость инвентаря увеличится на 12 ячейки. [n](При использовании медали Эрении - на 36 ячеек)[n][Дополнительный эффект] Количество очков получаемого боевого опыта повышается на 15%. Количество очков получаемого рабочего опыта повышается на 15%. [n]Количество очков получаемого опыта твоим питомцем и партнером повышаются на 15%. [n](При использовании медали Эрении повышаются на 30%)
zts7e	Хочешь получить более хорошую Фею?
zts8e	Селлаим
zts9e	Огненная фея; может дорасти до 70 уровня.[n]Обладает такими же навыками, как у огненной феи.[n]Этот предмет нельзя передать другому игроку.[n]
zts10e	Более сильный Элемент Воды
zts11e	Ундина
zts12e	Дух Воды; Может рости до 70. Имеет те же способности, что и Фея Воды. Не может быть предметом торговли.
zts13e	Сильный Элемент Света
zts14e	Эпериал - дух Света
zts15e	Дух Света; Может рости до 70. Имеет те же самые способности, что и Фея Света. Не может быть предметом торговли.
zts16e	Покажет тебе силу Тьмы
zts17e	Турик, дух Тьмы
zts18e	Дух Тьмы; Может рости до 70. Имеет те же способности, что Фея Тьмы. Не может быть предметом торговли.
zts19e	Быстрый рост Очков?
zts20e	Большой Селлаим
zts21e	Дух Огня; Может рости до 70. Имеет те же способности, что и Фея Огня. Не может быть предметом торговли.
zts22e	Сразу же в полной готовности!
zts23e	Взрослая Ундина
zts24e	Дух Воды; Можкт рости до 70. Имеет уже 40 уровень и не должен поэтому расти с первого уровня. Имеет те же способности, что и Фея Воды. Не может быть предметом торговли между игроками.
zts25e	Слишком нетерпеливый?
zts26e	Взрослый Эпериал
zts27e	Дух Света; Может расти до 70. Находится уже на 40-ом уровне, поэтому не должен начинать расти с первого уровня. Имеет те же способности, что и Фея Света. Не может быть предметом торговли между игроками.
zts28e	Для моментального начала!
zts29e	Взрослый Турик
zts30e	Дух  Тьмы; Может расти до 70. Находится уже на 40-ом уровне, поэтому не должен расти с первого уровня. Имеет те же способности, чтои Фея Тьмы. Не может быть предметом торга между игроками.
zts31e	Снять в аренду площади для хранения товаров.
zts32e	Огромный склад (30 дней)
zts33e	Дает тебе склад с 56 ячейками, который можно поставить в мини-стране.[n]Время действия предмета отсчитывается с момента первого использования.[n][Внимание][n]Склад пропадет, как только выйдет время его действия, так что не забудь поставить вовремя новый.[n]Если новый склад будет меньше, не забудь достать лишние предметы заранее.
