zts1e	Магазин инструментов Тео (использование)
zts13e	Назад
zts14e	Итак, что ты хотел узнать?
zts15e	Как я могу улучшить мою амуницию?
zts16e	Какое главное преимущество улучшения моего снаряжения?
zts17e	Как поменять обмундирование моего партнера?
zts18e	Он выглядит так же как и ты. Кто он, твой близнец?
zts19e	Для того, чтобы улучшить твою амуницию, тебе нужен порошёк Целла, а также камень души.
zts20e	Улучшать можно только оружие и броню. Максимальный уровень улучшения - 10. Количество порошка селла, которое требуется для каждого улучшения, увеличивается с каждым уровнем.
zts21e	И я требую за сделку небольшой налог, об этом идёт речь, ты это понимаешь?
zts22e	Мм... а как мне получить порошок Селла и Камень души?
zts23e	Из камней Джиллион. Их получают через переработку камней Джиллион.
zts24e	Эти камни можно найти повсюду. В первоначальном виде они не очень полезны, их нужно облагораживать.
zts25e	После облагораживания добывается порошок селла и появляется шанс на получение камня души.
zts26e	Если тебе повезет, ты возможно найдешь прекрасный Камень Душ.
zts27e	Спасибо, я теперь понимаю.
zts28e	Твои сила атаки и сила защиты увеличиваются в улучшением оружия и обмундирования.
zts29e	Но я не вижу никаких изменений в моей атаке/защите, только то, что стоит значок+.
zts30e	Тебя обманули. Хаха!! Не паникуй. Я пошутил. Никакие изменения там не показываются.
zts31e	Всё же, если ты действительно ведёшь бой, влияние нападения и защиты зависят от твоего уровня и уровня твоего противника.
zts32e	Но как? (Это правда?!)
zts33e	На пример, уровень твоей защиты высчитывается как разница между уровнем оружия твоего соперника и уровнем твоего щита.
zts34e	Если разница станет больше, то и энергия соответсвенно. Поэтому, мой тебе совет, владей экипировкой с высоким уровнем.
zts35e	А! Теперь я понимаю! Ух! (Это правда!)
zts36e	Что ты хочешь посмотреть?
zts37e	Покажи мне оружие.
zts38e	Покажи мне одежду.
zts39e	Покажи мне другое снаряжение
zts40e	Партнерское снаряжение - это снаряжение, которое может носить твой партнер.
zts41e	Чтобы сделать своего партнера сильнее, тебе нужно дать ему хорошую экипировку.
zts42e	Делать экипировку для партнеров очень просто! Принеси мне свою броню и оружие, и я обменяю тебе их на те, которые подойдут им.
zts43e	Если ты сделаешь это, то я преобразую это в партнерское снаряжение такого же уровня. Но оружие ближнего боя остается оружием ближнего боя, и наоборот.
zts44e	Если твой партнер выполняет атаку с близкой дистанции, то он использует оружие ближнего боя и такие же доспехи.
zts45e	И если он будет атаковать с дистанции, то он будет использовать оружие для дальнего боя и доспехи.
zts46e	Если он будет делать магическую атаку, то он будет использовать магическое оружие и доспехи.
zts47e	Кто? Этот парень? Это мой брат-близнец.
zts48e	Выглядит так, как будто он только бездельничал...
zts49e	Этот тип постоянно болтается без дела. Он такой легкомысленный. Я ему не доверяю и не поручил бы ему ничего.
zts50e	кстати:
zts51e	Я слышал, как он делал что-то очень странное с материалом. Смотри, чтоб он тебя таким поведением не обманул.
zts52e	Ты серьезно? Хорошо, я последую твоему совету.
zts53e	Магазин пари Тео (использовать)
zts62e	Какую ставку я могу сделать в азартной игре?
zts64e	Если у тебя есть какое-то оружие или одежда, которая не имеет каких-то особенных свойств, тогда покажи их мне!
zts65e	Я создам твой редкий предмет своей божественной силой.
zts66e	На самом деле? Ты уверен? Но почему это называется "сделка"?
zts67e	Ах, это потому что я иногда делаю ошибки. По этой причине я не могу дать гарантию на предмет.
zts68e	На самом деле? Как это возможно?
zts69e	Нет, не много. Даже если уровень редкости отрицательный (-), всё получится.
zts70e	Что, если уровень редкости высокий?
zts71e	Ну, я не совсем уверен в этом.
zts72e	Я уверен, что если я коснусь предмета и он не исчезнет, то активируется уровень редкости от 1 до 7.
zts74e	Инфо НосЛагеря
zts101e	Конец диалога
zts102e	Что ты хочешь знать?
zts104e	При прохождения камня Пространства-Времени в чем разница между Миссией и Игрой на рекорд?
zts119e	На самом деле, разница только в одном. Когда ты начинаешь миссию, тебе начисляются очки, количество которых зависит от твоих действий.
zts120e	Если ты начинаешь рекордную миссию, то ты хочешь побить рекорд количества Очков, которые получил когда-либо искатель приключений.
zts121e	Для чего служит попытка установить новый рекорд? Получаешь ли что-нибуль при этом испытании?
zts122e	Если тебе удастся побить существующий рекорд, твоё имя будет увековечено на камне времени и пространства. Как следствие, все игроки будут тебя уважать. Это единственное, что ты можешь получить по окончании рекордной миссии.
zts123e	Ходят слухи, что, когда-то в будущем Лорд Куарри даст большую награду игрокам с наивысшими результатами. Также для путешественника важна репутация, так?
zts124e	А разве тогда не все захотят проходить миссию на рекорд и пытаться увековечить свое имя в пространственно-временном камне?
zts125e	Миссии на рекорд выполняются не задаром. За них необходимо заплатить. Если нет уверенности в том, что сможешь побить рекорд, то это будет только пустая трата денег.
zts126e	Помни, тебе нужно соблюдать осторожность при попытке побить рекорд.
zts127e	Тебе не обязательно участвовать в Битве за Рекорд.
zts128e	Да, конечно! Почему ты ведешь себя как трус? Если ты настоящий Путешественник, то принимай вызов! Это задание для храброго Путешественника!
zts129e	Хорошо, я понял. Я подумаю об этом.
zts130e	Желаю тебе отличных приключений!
zts131e	Какую профессию ты хочешь изучить?
zts132e	Я хочу быть мечником. Я хочу стать мастером ближнего боя.
zts133e	Лучник. Я хочу быстро и метко стрелять.
zts134e	Маг. Я хочу завладеть полем битвы при помощи магических сил.
zts135e	Если ты поменяешь свою профессию, то ты не сможешь носить больше амуницию, которая сделана для искателей приключений.
zts136e	Прежде чем мы продолжим, мы дадим тебе новое снаряжение, которое соответствует твоей профессии. Это тебе подойдет?
zts137e	Насколько хорошее новое снаряжение?
zts138e	Это снаряжение хорошее и поможет тебе в дальнейшем.
zts139e	Хорошо, я понял.
zts140e	Лорд Куарри больше не поддерживает нас финансово, как раньше...
zts141e	Ты хочешь поменять свою профессию?
zts142e	Да, я хочу сейчас поменять профессию.
zts143e	Нет, я позже вернусь.
zts156e	Семья - это сообщество, которое ты можешь создать вместе с другими игроками Ностейла. Раздели с членами семьи свои радости и заботы. Поддерживайте друг друга всегда... Это то, что является основой счастливой семьи!
zts157e	Чем я могу тебе помочь?
zts158e	Я хочу основать семью.
zts159e	Я хочу расторгнуть свой брак.
zts160e	Что нужно сделать чтобы создать семью?
zts161e	Какие команды помогают управлять семьей?
zts162e	Большое спасибо за твою помощь. Мы скоро снова увидимся!
zts163e	Чтобы создать свою семью, тебе нужно собрать группу из трех искателей приключений, успешно получивших профессию и завершивших акт 1-1.
zts164e	Эти три игрока должны быть в одной и той же группе, и один должен со мной поговорить, чтобы основать семью и оплатить стоимость. Основание семьи стоит 200.000 золота.
zts165e	После этого он должен только ввести название семьи. Человек, который ко мне обратиться и заплатит налог, станет главой семьи. Два других путешественника из группы будут представителями семьи.
zts166e	Я должен извиниться, Меню Семьи еще не до конца разработано. Поэтому некоторые функции не могут быть пока использованы.
zts167e	Потерпите, пожалуйста. Мы прилагаем все свои усилия, чтобы вам помочь.
zts168e	Ясно.
zts169e	Чтобы написать сообщение в семейном чате, ты должен только поставить : перед сообщением. Например: :Твое сообщение
zts170e	Ты можешь использовать команды, прописывая их в окне чата. Перед тем как напечатать команду поставь символ: %
zts171e	Если вы хотите добавить нового члена в вашу семью, глава семьи или его заместители должны ввести [%Пригласить] и следом имя добавляемого игрока.
