zts1e	Тренировка новых искателей приключений
zts2e	Исследуй пространственно-временной камень за мостом!
zts3e	Поймай курицу за мостом!
zts4e	Исследуй пространственно-временной камень 5 уровня, находящийся на лугах Носвилля!
zts5e	Поговори с Малкольмом Миксом из ассоциации алхимиков!
zts6e	Исследуй пространственно-временной камень 8 уровня, находящийся на лугах Носвилля!
zts7e	Поговори с Теоманом Топпом из магазина экипировки
zts8e	Исследуй пространственно-временной камень 10 уровня, находящийся на лугах НосВилля!
zts9e	Поговори с Сорайей Стиль из модного магазина
zts10e	Исследуй пространственно-временной камень 12 уровня на лугах НосВилля!
zts11e	Обучение начинающих искателей приключений
zts12e	Сразись с дандерами!
zts13e	Уничтожь слабых сидлей!
zts14e	Уничтожь больших дандеров!
zts15e	Сразись с сидлями!
zts16e	Сразись с сильными сидлями!
zts17e	Сразись со счастливыми овечками!
zts18e	Сразись с мягким горохом!
zts19e	Сразись со счастливыми хомяками!
zts20e	Сразись с горошком!
zts21e	Сразись со стручками!
zts22e	Сразись с овечками!
zts23e	Сразись с хомяками!
zts24e	Сразись с твердым горохом!
zts25e	Сразись со слабыми ядовитыми дандерами!
zts26e	Сразись со светлыми огненными сидлями!
zts27e	Сразись со злыми хомяками!
zts28e	Защити НосВилль!
zts29e	Сразись с маленькими лисицами!
zts30e	Сразись со счастливыми мандрами!
zts31e	Сразись с ядовитыми дандерами!
zts32e	Сразись с огненными сидлями!
zts33e	Сразись с мандрами!
zts34e	Сразись с сердитыми овечками!
zts35e	Сразись с сильными ядовитыми дандерами!
zts36e	Сразись с лисами!
zts37e	Сразись с тяжелыми огненными сидлями!
zts38e	Сразись с большими лисами!
zts39e	Сразись со свирепыми мандрами!
zts40e	Сразись с мелким диким горохом!
zts41e	Сразись со слабым ядовитым хомяком!
zts42e	Сразись с малыми муфлонами!
zts43e	Сразись с лисами дузи!
zts44e	Сразись с диким горохом!
zts45e	Сразись с муфлонами!
zts46e	Сразись с ядовитым хомяком!
zts47e	Сразись с нервными лисами дузи!
zts48e	Сразись со слабой травяной мандрой!
zts49e	Сразись с большими муфлонами!
zts50e	Сразись с крупным диким горохом!
zts51e	Сразись с баранами!
zts52e	Сразись с травяными мандрами!
zts53e	Сразись с нервными баранами!
zts54e	Сразись с сильными травяными мандрами!
zts55e	Очисти храм!
zts56e	Сразись со свирепыми моргенштерн-мимиками!
zts57e	Сразись с малыми моргенштерн-боингами!
zts58e	Сразись со стальными хомяками!
zts59e	Сразись с розовым желе!
zts60e	Расправься с бесами!
zts61e	Сразись с демоническими вампирами!
zts62e	Расправься с моргенштерн боингами!
zts63e	Сразись со счастливыми рогатыми бесами!
zts64e	Сразись с усталыми каменными ходоками!
zts65e	Сразись с нервными шипованными ходками!
zts66e	Сразись с лисами Ото!
zts67e	Сразись с большим стальным хомяком!
zts68e	Сразись с прыгающими красными студнями!
zts69e	Сразись с рогатыми бесами!
zts70e	Сразись с большими бесами!
zts71e	Сразись с сильными демоническими вампирами!
zts72e	Сразись с разъяренными лисами Ото!
zts73e	Сразись с сердитыми огоньками!
zts74e	Сразись с темным желе!
zts75e	Сразись с каменными ходоками!
zts76e	Сразись с демоническими бесенками!
