zts1e	Благ. пышнохвоста
zts3e	Благословение кота
zts5e	Благослов. света
zts7e	Благословение тьмы
zts9e	Благословение воды
zts11e	Благословение огня
zts13e	Благослов. воина
zts15e	Благословение мага
zts17e	Благослов. лучника
zts19e	Благослов. ниндзя
zts21e	Благосл. эволюции
zts23e	Радужное благ.
zts25e	Благослов. робота
zts27e	Благослов. пирата
zts29e	Жуткое благослов.
zts31e	Ледяное благослов.
zts33e	Благослов. волка
zts35e	Благословение желе
zts37e	Благ. элементов
zts39e	Благослов. Зверя
zts41e	Благословение духа
zts43e	Благослов. стража
zts45e	Благ. Короля Духов
zts47e	Благ. Короля Звер.
zts49e	Кровь бессмертного
zts51e	Бомбардировщик
zts53e	Электрический шок
zts55e	Быстрый и ловкий
zts57e	Приз - 1 место
zts58e	Приз - 2-3 места
zts59e	Приз - 4-10 места
zts60e	Приз - 11-20 места
zts61e	Приз - 21-30 места
