zts1e	Özel saldýrý
zts2e	Saldýrýyý iptal et
zts3e	Yakýn mesafe saldýrýyý etkisiz hale getirdi
zts4e	Uzak mesafe saldýrý etkisiz hale getirildi
zts5e	Büyüye izin verilmiyor
zts6e	Hedefleme kapatýldý
zts7e	Saldýrý mümkün deðil
zts8e	Yakýn mesafe saldýrýlarýna izin verilmiyor
zts9e	Uzak mesafe saldýrýya izin verilmiyor
zts10e	Büyü saldýrýlarýna izin verilmiyor
zts11e	Saldýrýn, hedefini ýskaladýðýn için, boþa gitti (Büyü Saldýrýlarý hariç)
zts12e	Özel savunma
zts13e	Savunmayý etkisiz hale getir
zts14e	Yakýn mesafe savunmasýný etkisiz hale getir
zts15e	Uzak mesafe savunmasýný etkisiz hale getir
zts16e	Büyü savunmasý etkisiz halde
zts17e	Savuþturmayý  kapat
zts18e	Her bir savunma gücü kullanýlamaz
zts19e	Yakýn savunma gücü kullanýlamýyor.
zts20e	Uzak mesafe savunma gücü kullanýlamýyor
zts21e	Büyülü savunma gücü uygulanamýyor
zts22e	Savunma yapmak mümkün deðil
zts23e	Saldýrý gücünü deðiþtirir
zts24e	Bütün saldýrýlarý deðiþtirir
zts25e	Yakýn mesafe saldýrýlarý deðiþtirir
zts26e	Uzak mesafe saldýrýyý deðiþtirir
zts27e	Büyü saldýrýlarýný deðiþtirir
zts28e	Saldýrý seviyesini deðiþtirir
zts29e	Bütün saldýrýlar %s yükseldi
zts30e	Bütün saldýrýlar %s azaltýlýr
zts31e	Yakýn mesafe saldýrý %s yükseldi
zts32e	Yakýn mesafe saldýrý %s azaldý
zts33e	Uzak mesafe saldýrý %s yükseldi
zts34e	Uzak mesafe saldýrý %s azaldý
zts35e	Büyü saldýrýsý %s yükseldi
zts36e	Büyü saldýrýsý %s azaldý
zts37e	Saldýrý seviyesi %s yükseldi
zts38e	Saldýrý seviyesi %s azaldý
zts39e	Hedefi deðiþtirir
zts40e	Bütün hedefleri deðiþtirir
zts41e	Yakýn hedefi deðiþtirir
zts42e	Uzak hedefi deðiþtirir
zts43e	Odaklanmayý deðiþtir
zts44e	Bütün saldýrýlar için isabet oraný %s yükseldi.
zts45e	Bütün saldýrýlar için isabet oraný %s düþtü.
zts46e	Yakýn saldýrýlar için isabet oraný %s yükseldi.
zts47e	Yakýn saldýrýlar için isabet oraný %s düþtü.
zts48e	Uzak saldýrý için isabet oraný %s yükseldi.
zts49e	Uzak saldýrý için isabet oraný %s düþtü.
zts50e	Odak seviyesi büyü saldýrýsý esnasýnda %s yükseldi
zts51e	Odak seviyesi büyü saldýrýsý esnasýnda %s azalýr
zts52e	Ölümcül saldýrýyý deðiþtirir
zts53e	Ölümcül saldýrý olasýlýðýný deðiþtirir
zts54e	Ölümcül saldýrýlarýn hasarýný deðiþtirir
zts55e	Ýki misli hasar
zts56e	Rakibin ölümcül saldýrý olasýlýðýný deðiþtirir
zts57e	Rakibin  ölümcül saldýrý ile verdiði hasarý deðiþtir
zts58e	Kritik isabete yol açma olasýlýðý %%%s arttý.
zts59e	Ölümcül isabete yol açma olasýlýðýý %s%% yükseldi
zts60e	Kritik isabet hasarý %s%% yükseldi.
zts61e	Kritik isabete yol açarsan, hasar %%%s azalýr.
zts62e	Hasar %s%% oraný ile %s%% kadar artar
zts63e	Saldýrý halinde %s%% oraný ile hasar %s%% kadar azalýr
zts64e	Ölümcül bir saldýrý almanýn olasýlýðý %s%% yükseldi
zts65e	Ölümcül saldýrý almanýn olasýlýðý %s%% azaldý
zts66e	Kritik hasar %s%% yükseldi
zts67e	Kritik hasar %s%% azaldý
zts68e	Özel ölümcül saldýrý
zts69e	Koþulsuz ölümcül saldýrý ver
zts70e	Koþulsuz ölümcül saldýrý baþlatamýyor
zts71e	Her zaman ölümcül saldýrý almak
zts72e	Bazen ölümcül saldýrý almak
zts73e	Ölümcül saldýrýnýn herzamanki olasýlýðý
zts74e	Her zaman ölümcül saldýrý yapmak
zts75e	Asla  ölümcül saldýrý yapamamak
zts76e	Her zaman ölümcül saldýrý almak
zts77e	Asla ölümcül saldýrý almamak
zts78e	%s%% olasýlýðý ile kritik hasar verir
zts79e	Her zaman %s%% ihtimali ile ölümcül saldýrý almak
zts80e	Element deðiþtir
zts81e	Ateþ enerjisinii deðiþtir
zts82e	Su enerjisi deðiþtir
zts83e	Iþýk enerjisi deðiþtir
zts84e	Karanlýk enerji enerjisini deðiþtir
zts85e	Bütün bilinen elementleri deðiþtir
zts86e	Ateþ enerjisi %s yükseldi
zts87e	Ateþ enerjisi %s azaldý
zts88e	Su enerjisi %s yükseldi.
zts89e	Su enerjisi %s azaldý.
zts90e	Iþýk enerjisi %s yükseldi
zts91e	Iþýk enerjisi %s azaldý
zts92e	Karanlýk enerji enerjisi %s yükseldi
zts93e	Karanlýk enerji enerjisi %s azaldý
zts94e	Bütün elementler %s yükseldi
zts95e	Bütün elementler %s azaldý
zts96e	Hasarý yükseltir
zts97e	Olasýlýðý yükseltir
zts98e	Saldýrý gücünü %%%s olasýlýkla %%%s yükseltir.
zts99e	%%%s olasýlýkla hasarý %%%s düþürür.
zts100e	Ateþ gücü %s yükseldi
zts101e	Ateþ gücü %s azaldý
zts102e	Su gücü %s yükseldi
zts103e	Su gücü %s azaldý
zts104e	Iþýk gücü %s yükseldi
zts105e	Iþýk gücü %s azaldý
zts106e	Karanlýk enerji  %s yükseldi
zts107e	Karanlýk enerji %s azaldý
zts108e	Savunma Gücünü Deðiþtir
zts109e	Bütün Savunma Gücünü Deðiþtir
zts110e	Yakýn mesafe savunma deðerini deðiþtirir
zts111e	Uzak  mesafe savunmasýný deðiþtirir
zts112e	Sihir savunma gücünü deðiþtirir
zts113e	Savunma seviyesini deðiþtirir
zts114e	Bütün savunma gücü %s yükseldi
zts115e	Bütün Savunma Gücü %s azaldý
zts116e	Yakýn mesafe savunma %s yükseldi
zts117e	Yakýn mesafe savunma %s azaldý
zts118e	Uzak Mesafe Savunma Gücü %s yükseldi
zts119e	Uzak Mesafe Savunmasý %s azaldý
zts120e	Büyü savunmasý %s yükseldi
zts121e	Büyü savunmasý %s azaldý
zts122e	Savunma seviyesi %s yükseldi
zts123e	Savunma seviyesi %s azaldý
zts124e	Savuþturma  ve savunma gücü % deðiþti
zts125e	Bütün savuþturmalarý deðiþtirir
zts126e	Yakýn mesafe  savuþturmayý deðiþtirir
zts127e	Uzak mesafe savuþturmayý deðiþtirir
zts128e	Savunma gücünü % deðiþtirir
zts129e	Savuþturma  %s yükseldi
zts130e	Savuþturma %s azaldý
zts131e	Yakýn mesafe  saldýrýlardan savuþturma %s yükseldi
zts132e	Yakýn mesafe saldýrýlarý savuþturma %s düþtü
zts133e	Uzak mesafeli saldýrýlarý savuþturma %s yükseldi
zts134e	Uzak mesafeli saldýrýlar savuþturma  %s azaldý
zts135e	Savunma %s%% yükseldi
zts136e	Savunma %s%% azaldý
zts137e	Bloðu deðiþtir
zts138e	Bütün bloklarý deðiþtir
zts139e	Yakýn mesafe bloðunu deðiþtir
zts140e	Uzak mesafe bloðunu deðiþtir
zts141e	Büyü bloðunu deðiþtir
zts142e	Tüm saldýrýlarýn hasarý %%%s ihtimalle %%%s yükselir.
zts143e	Tüm saldýrýlarýn hasarý %%%s ihtimalle %%%s düþer.
zts144e	Yakýn mesafe saldýrýlarýnýn hasarlarý  %s%% oranýnda    %s%% artýþ hýzýyla yükseldi
zts145e	Yakýn mesafe saldýrýlarýnýn hasarlarý %s%% oranýnda %s%% kadar azaldý.
zts146e	Uzak mesafe saldýrýlarýnýn hasarý  %s%% deðerine %s%% artýþ hýzý ile yükseldi.
zts147e	Uzak mesafe saldýrýlarýnýn hasarý %s%% oranýnda %s%% kadar azaldý.
zts148e	Büyü saldýrýsý hasarý  %s%%  oranýna %s%%  artýþ hýzý ile yükseldi
zts149e	Büyü saldýrýsýnýn hasarý, %s%% bir olasýlýkla %s%% oranýnda azaldý
zts150e	Emilim deðiþtirildi
zts151e	Bütün emilimler deðiþtirildi
zts152e	Yakýn  mesafe emilim deðiþtirildi
zts153e	Uzak  mesafe emilim deðiþtirildi
zts154e	Büyü emilimi deðiþtirildi
zts155e	(+%s) seviyesi altndaki bütün saldýrýlarýn hasarlarý %s%% oranýnda arttýrýldý
zts156e	(+%s) seviyesi altýndaki bütün saldýrýlarýn hasarlarý %s%% oranýnda azaltýldý
zts157e	(+%s)  seviyesi altýndaki bütün kýsa mesafe saldýrýlarýnýn hasarý %s%% oranýnda yükseldi
zts158e	(+%s)  seviyesi altýndaki bütün yakýn mesafe saldýrýlarýnýn hasarlarý %s%% oranýnda azaltýldý
zts159e	(+%s) seviyesinin altýndaki bütün uzak mesafe saldýrýlarýnýn hasarlarý %s%% oranýnda arttýrýldý
zts160e	(+%s) seviyesinin altýndaki uzak mesafe saldýrýlarýnýn hasarý %s%% oranýnda azaldý
zts161e	(+%s) seviyesinin altýndaki büyü saldýrýlarýnýn hasarlarý %s%% oranýnda azaldý
zts162e	(+%s)  seviyesinin altýndaki bütün büyü saldýrýlarýnýn hasarlarý %s%% oranýnda azaldý
zts163e	Elementlere karþý dirençlerin deðiþimi
zts164e	Bütün dirençleri deðiþtir
zts165e	Ateþ direncini deðiþtir
zts166e	Su direncini deðiþtir
zts167e	Iþýk direncini deðiþtir
zts168e	Karanlýk enerji direncini deðiþtir
zts169e	Bütün elementlere karþý savunman %s yükseldi
zts170e	Tüm elementlere karþý direnç %s azalýr.
zts171e	Ateþ direncin %s yükseldi
zts172e	Ateþ direnci %s azaldý
zts173e	Su direnci %s yükseldi
zts174e	Su direnci %s azaldý
zts175e	Iþýk direnci %s yükseldi
zts176e	Iþýk direnci %s azaldý
zts177e	Karanlýk enerji direncin %s yükseldi
zts178e	Karanlýk enerji  direncin %s azaldý
zts179e	Rakibinin direncini deðiþtir
zts180e	Rakibin bütün dirençlerini deðiþtir
zts181e	Rakibin ateþ direncini deðiþtir
zts182e	Rakibin su direncini deðiþtir
zts183e	Rakibin ýþýk direncini deðiþtir
zts184e	Rakibin karanlýk enerji direncini deðiþtir
zts185e	Rakibin bütün elementlere karþý dirençlerini %s arttýrýr
zts186e	Rakibin bütün elementlere karþý dirençlerini %s azaltýr
zts187e	Rakibin ateþ direncini % arttýrýr
zts188e	Düþmanýn ateþe karþý direncini %s  azaltýr
zts189e	Rakibin su direncini %s arttýrýr
zts190e	Rakibin su direncini %s azaltýr
zts191e	Rakibin ýþýk direncini %s kadar arttýrýr
zts192e	Rakibin ýþýk direncini %s kadar azaltýr
zts193e	Düþmanýn karanlýk enerji direncini %s yükseltir
zts194e	Düþmanýn karanlýk enerji  direncini %s oranýnda azaltýr
zts195e	Hasarý deðiþtir
zts196e	Bütün hasarý deðiþtir
zts197e	Yakýn mesafe hasarýný deðiþtir
zts198e	Uzak mesafe hasarýný deðiþtir
zts199e	Büyü hasarýný deðiþtir
zts200e	Tüm saldýrýlardan alýnan hasar %%%s artýrýldý.
zts201e	Alýnan hasar %%%s düþer.
zts202e	Yakýn mesafe saldýrýlarýnda verilen hasar %s%% oranýnda yükseldi
zts203e	Yakýn mesafe saldýrýlarýnda verilen hasar %s%% oranýnda azaldý
zts204e	Uzak mesafe hasarlarý %s%% yükseldi
zts205e	Uzak mesafe saldýrý hasarý %s%% azaldý
zts206e	Büyü saldýrýsý hasarý %s%% yükseldi
zts207e	Büyü saldýrýsý hasarý  %s%% azaldý
zts208e	Kayýtsýz odaklanmayý savuþtur ve uzak mesafe
zts209e	Odaklanmayý deðiþtir %
zts210e	Kayýtsýz savuþturmayý % deðiþtir
zts211e	Uzak mesafaler için penaltý yok.
zts212e	Mesafe ne kadar uzaksa hasar o kadar fazla
zts213e	%s%% isabet oraný
zts214e	Hedefi %s%% oraný ile her zaman savuþturma
zts215e	Çok yakýndan yapýlan uzak saldýrýda ceza yok
zts216e	Rakibe olan mesafe büyüdükçe, saldýrý gücü uzak saldýrý gücü aralýksýz artar.
zts217e	Moral deðerini deðiþtirir
zts218e	Moral deðerini deðiþtirir
zts219e	Ýki katý moral deðeri verir
zts220e	Morale etkisi yok
zts221e	Soðuma süresini deðiþtir
zts222e	Morali kaale almaz
zts223e	Moral %s yükseldi
zts224e	Moral %s azaldý
zts225e	Moral deðeri iki katý yükseldi
zts226e	Moral deðeri iki katý azaldý
zts227e	Moral deðerine etkisi yok
zts228e	Yeniden kullaným süresi %s%% yükseldi
zts229e	Etki eden becerilerin soðuma süresini %%%s düþürür.
zts230e	Saldýrý esnasýnda rakibin moral deðerini dikkate alma
zts231e	Kullaným
zts232e	Zaman deðiþimi kullanýmý
zts233e	Büyü enerjisi kullanýmýný deðiþtirir
zts234e	Büyü enerjisi hýzýný deðiþtirir
zts235e	Kullaným baþarýsýz
zts236e	Kullanýmý iptal et
zts237e	Kullaným süresi %s%% yükseldi
zts238e	Kullaným süresi %s%% azaldý
zts239e	Büyü enerjisi  ihtiyacý %s%% yükseldi
zts240e	Büyü enerjisi ihtiyacý %s%% azaldý
zts241e	Tempo %s%% yükseldi
zts242e	Tempo %s%% azaldý
zts243e	Yetenek kullanýmý sýrasýnda hata (büyü içinde geçerli)
zts244e	Kullanýmý iptal et
zts245e	Hareket etmek
zts246e	Hareket etmeyi iptal et
zts247e	Hareket etme hýzýný deðiþtir
zts248e	Hareket etme hýzý deðerini deðiþtirir
zts249e	Hareket etme hýzýný yükseltir/azaltýr
zts250e	Hareket etmek mümkün deðil
zts251e	Tempo %s%% yükseldi
zts252e	Tempo %s%% azaldý
zts253e	Hareket etme hýzý %s azaldý
zts254e	Tempo %s yükseldi
zts255e	Tempo %s azaldý
zts256e	Yansýma
zts257e	%as YP deðerini verilen hasar kadar deðiþtir
zts258e	%as BP deðerini verilen hasar kadar deðiþtir
zts259e	YP deðeri alýnan hasar kadar %as  deðiþir
zts260e	BP deðeri alýnan hasar kadar %as deðiþir
zts261e	YP  verilen hasarýn %s%% deðeri kadar yükseldi
zts262e	YP verilen hasarýn %s%% deðeri kadar azaldý
zts263e	BP verilen hasarýn  %s%%  oranýnda yükseldi.
zts264e	BP verilen hasarýn  %s%%  oranýnda azaldý
zts265e	Rakibin YP si  aldýðým hasarýn %s%% deðeri kadar yükseldi.
zts266e	Rakibin YP si aldýðým hasarýn %s%% deðeri kadar azaldý.
