zts1e	Genel efektler
zts2e	Büyülü efektler
zts3e	Zehir serisi
zts4e	Hastalýk serisi
zts5e	Yeniden dolum serisi
zts6e	Ýyi
zts7e	Tarafsýz
zts8e	Kötü
zts9e	Süre : %1f saniye
zts10e	Her %d saniyede,
zts11e	%d%% olasýlýðý ile
zts12e	%.1f saniye sonra yan etkiler
zts13e	Serbest býrakýldýðýnda  %d%% ihtimal  ile [%s] oluþturur.
zts14e	(Kullanýcý seviyesi/ %d)
zts15e	(Kullanýcý seviyesi* %d)
zts16e	Doldurmak
zts17e	Bir sonraki saldýrý için gerekli enerji tamamen doldu.
zts18e	Az kanama
zts19e	Hafif  bir þekilde yaralanýldý
zts20e	Zehir-Diken
zts21e	Zehir-Diken tarafýndan zehirlenmiþ
zts22e	Aþk ýstýrabý
zts23e	Kendini derin bir þekilde hüzünlü hissediyorsun
zts24e	Öfke
zts25e	Saldýrý öfke tarafýndan yönlendiriliyor
zts26e	Gazap
zts27e	Saldýrýlar üzerine odaklanýr ve rakibe sadece ölümcül hasarlar verir.
zts28e	Cinnet
zts29e	Hýz üzerine konsantre iken çok hýzlý saldýrýyor.
zts30e	Baygýnlýk
zts31e	Þimdilik baygýnlýk.Saldýrýya raðmen bilinçsiz olduðun için hiçbir þey hissedemiyorsun.
zts32e	Moral bozulmasý
zts33e	Rakibin gücü karþýsýnda moral bozulmasý
zts34e	Zamk
zts35e	Vücudu deler  ve saldýrýyý durdurur.
zts36e	Aðýr zamk
zts37e	Vücuda yapýþýr ve hareket etmeyi engeller.
zts38e	Korku
zts39e	Ciddi bir korkuya yol açar ve dövüþün bütün eðlencesini kaçýrýr.
zts40e	Savaþ çýðlýðý
zts41e	Savaþmaya olan ihtiyacýn verdiði ilham ile saldýrý gücü yükselir.
zts42e	Moral çaðrýsý
zts43e	Güven duygusu ve yüksek moralle ilham alarak
zts44e	Sarhoþ homurtu
zts45e	Alkollü bir içecek yüzünden kendini sersemlemiþ hissediyor
zts46e	PvP-Durumu
zts47e	Herhangi bir zamanda diðer oyuncular ile dostane bir karþýlaþma yapýlabilir.
zts48e	Saldýrý seviyesi aþaðý
zts49e	Saldýrý seviyen geri çevrildiðinden saldýrýda ceza alýyorsun
zts50e	Kan laneti
zts51e	Kan üzerine yemin et ve cesaretlen
zts52e	Bastýrýlmýþ
zts53e	Tamamen depresyonda  ve   savaþma  iradesini kaybetmek üzere.
zts54e	Yaralanmýþ Bacak
zts55e	Ayaklarýndan veya kanatlarýndan yaralý, bu yüzden  hareketleri yavaþlar.
zts56e	Kanama
zts57e	Hafif bir þekilde yaralandý.Ýyileþtirilmez ise ciddi bir durum haline dönüþebilir.
zts58e	Paralize eden zehir
zts59e	Kaslarý paralize eder
zts60e	Savunmayý etkisizleþtiren zehir
zts61e	Acý hissediyor, çok zayýf saldýrýlarda bile kolayca yaralanýr.
zts62e	Sersemletici zehir
zts63e	Çok sýk sersemlemiþ hisseder.
zts64e	Ölümcül zehir
zts65e	Bir kaç saniyeliðine þok olur ve vücut yavaþ hareket etmeye baþlar.
zts66e	Hareket etmek imkansýz
zts67e	Çok aðýr yaralý ve artýk hareket edemiyor
zts68e	Ayaz
zts69e	Rakip dondurulur ve hareket edemez hale gelir.
zts70e	Acele
zts71e	Acele hareket eder
zts72e	Vücut aðýrlýðýný azaltýr ,bu sayede hýzlý hareket edilebilir.
zts73e	Þahin ayini
zts74e	Ýnanýlmaz bir görüþ açýsý verir ,bu sayede efektif saldýrýlarý mümkün kýlar
zts75e	Dondurucu kalkan
zts76e	Dondurucu kalkan bedenini buzla kaplayarak uzaktan gelen saldýrýlarý engeller.
zts77e	Dinlendirici aura
zts78e	Vücut etrafýnda sýcak bir enerji yayýlýr ve dinlendirir.
zts79e	Koruyucunun ýþýðý
zts80e	Vücut etrafýna koruyucu hafif bir ýþýk yayýlýr
zts81e	Uyku
zts82e	Hemen derin bir uykuya dalar ancak hasar alýndýðýnda uyanýr.
zts83e	Körlük
zts84e	Bir kaç saniyeliðine görüþ alanýný etkisiz kýlar
zts85e	Zehirli ok ucu
zts86e	Düþmaný zehirlemek için ok ucuna zehirli bir madde ekler
zts87e	Zehirli hançer
zts88e	Düþmanlarý zehirlemek için hançer üzerine zehirli bir madde ekler
zts89e	Ciddi kanama
zts90e	YP deðerini azaltan ciddi bir yaralanma
zts91e	Yetersizlik
zts92e	Saldýrý ve savunmayý engeller.
zts93e	Yeniden canlandýrmanýn yan etkileri
zts94e	Geliþtirilmiþ saldýrý gücü
zts95e	Geliþtirilmiþ savunma
zts96e	Geliþtirilmiþ yakýn mesafe  savunma
zts97e	Geliþtirilmiþ uzak mesafe savunma
zts98e	Büyü savunmasýný güçlendirir.
zts99e	Sýnýrsýz büyü enerjisi
zts100e	Güçlü enerji
zts101e	Hareketlenmeyi geliþtir.
zts102e	Yenilmezliðin kalkaný
zts103e	Fokurdayan Zehir
zts104e	Saldýrýyý etkisiz kýlar.Zehir etkisiz hale getirilene kadar uyuþmuþ olabilir.
zts105e	Küçük-el
