zts1e	Yeni nesne
zts2e	[n]
zts3e	Tahta Sopa
zts4e	NosVille'e yeni gelen maceracýlarýn ilk silahý.[n][n]
zts5e	Tahta Sopa
zts6e	Fazladan hasar veren, sert bir tahta sopa.[n][n]
zts7e	Tahta Kýlýç
zts8e	Bir Maceracýyý eðitmeye uygun bir tahta kýlýç.[n][n]
zts9e	Tokmak
zts10e	Çok sert tahtadan yapýlmýþ bir çekiç.[n][n]
zts11e	Aðýr tahta çekiç
zts12e	Ekstradan hasar veren aðýr tahta çekiç.[n][n]
zts13e	Çýraðýn tahta kýlýcý
zts14e	Tecrübesiz Maceracýlar için kýlýç.[n][n]
zts15e	Maceracýlarýn kýlýcý
zts16e	Maceracýlar için çelikten yapýlmýþ bir kýlýç.[n][n]
zts17e	Tahta sapan
zts18e	NosVille'ye yeni gelen maceracýlarýn ilk ikincil silahý.[n][n]
zts19e	Aðýr tahta sapan
zts20e	Ekstradan hasar veren aðýr tahta sapan.[n][n]
zts21e	Çýraðýn tahta sapaný
zts22e	Tecrübesiz maceracýlarýn sapaný.[n][n]
zts23e	Maceracý sapaný
zts24e	Maceracýlar için çelikten üretilmiþ sapan.[n][n]
zts25e	Kýyafet
zts26e	NosVille'e yeni gelen maceracýlar için kýyafet.[n][n]
zts27e	Ýdman üniformasý
zts28e	Bu üniforma eðitimde giyilir.[n][n]
zts29e	Maceracý kýyafeti
zts30e	Çok sevilen bir maceracý kýyafeti. Yeniden canlanmanýn yan etkilerinden korur.[n][n]
zts31e	Eðitim zýrhý
zts32e	Çok rahat bir antrenman kýyafeti[n][n]
zts33e	Gezginin pelerin seti
zts34e	Açýk havada uyuyan gezginleri sýcak tutar.[n][n]
zts35e	Sýcak Manto Seti
zts36e	Vücudu sarmalar ve sýcak tutar.[n]Yeniden canlanmanýn yan etkilerinden korur.[n][n]
zts37e	Acemi Kýlýcý
zts38e	Acemi Kýlýç Savaþçýlarý için bir hediye.[n]Maceracýlar bu silahý kullanamaz.[n][n]
zts39e	Kýsa Kýlýç
zts40e	Bu kýlýç acemi Kýlýç Savaþçýlarý arasýnda çok popüler.[n][n]
zts41e	Izdýrap Kýlýcý
zts42e	Bu kýlýç, yenilen askerlerin silahlarýndan dövüldü.[n]Kritik isabet þansýný yükseltir.[n]
zts43e	Kýsa Kýlýç
zts44e	Sýradan Kýlýç Savaþçýlarý tarafýndan kullanýlýr.[n][n]
zts45e	Bronz Kýlýç
zts46e	Bronz iþlemeli kýlýç, kritik isabet þansýný artýrýr.[n][n]
zts47e	Pala
zts48e	Bu pala Kýlýç Savaþçýlarý arasýnda çok yaygýn.[n][n]
zts49e	Ruhun Geniþ Kýlýcý
zts50e	Bu kýlýç, ruhu hala kýlýcýn içinde hapsolan, ölmüþ bir askere ait.[n]Ateþ elementinin saldýrý gücünü artýrýr.[n][n]
zts51e	Falchion
zts52e	Uzun saplý, tek aðýzlý, keskin silah.[n]Düþük aðýrlýðý sayesinde bu silah tek elle kullanýlabilir.[n][n]
zts53e	Altýn Pala
zts54e	Ateþ elementiyle kritik isabet þansýný artýran, altýn iþlemeli bir kýlýç.[n][n]
zts55e	Geniþ Kýlýç
zts56e	Sýradýþý geniþlikte bir aðzý olan bir kýlýç.[n][n]
zts57e	Kudretin Uzun Kýlýcý
zts58e	Karanlýk bir güç hasarý artýrýr.[n][n]
zts59e	Geniþ Kýlýç
zts60e	Tutuþu rahat, sýradan geniþ kýlýç.[n][n]
zts61e	Skyabona
zts62e	Gizemli bir güç bu kýlýcý taþýyan kiþiyi rakip saldýrýlarýndan korur.[n][n]
zts63e	Claymore
zts64e	Yalnýzca en iyi Kýlýç Savaþçýlarý bu kýlýcý elde eder.[n]Su elementinin saldýrý gücünü artýrýr.[n][n]
zts65e	Acemi Yayý
zts66e	Acemi Okçular için bir hediye.[n]Maceracýlar bu silahý kullanamaz.[n][n]
zts67e	Küçük Yay
zts68e	Küçük, ahþap bir yay.[n][n]
zts69e	Hýz Yayý
zts70e	Hýzý sayesinde isabet oranýný önemli ölçüde artýran, ince, hafif bir yay.[n][n]
zts71e	Bambu Yay
zts72e	Bu, bambudan yapýlan, saðlam olmayan bir yay.[n][n]
zts73e	Büyülü Yay
zts74e	Takviyeli bir hýz yayý.[n]Hasarý ve isabet oranýný artýrýr.[n][n]
zts75e	Meþe Yay
zts76e	Bu yay saðlam olmasý için meþe aðacýndan yapýldý.[n][n]
zts77e	Rüzgar Yayý
zts78e	Rüzgarlarý araþtýran yaþlý bir bilge bu yaya biçimini verdi.[n]Saldýrý gücünü artýrmak için rüzgardan yararlan.[n][n]
zts79e	Boynuz Yay
zts80e	Boynuzla süslü, çok popüler bir yay.[n][n]
zts81e	Deri Yay
zts82e	Dana derisiyle süslenmiþ bir yay.[n]Kritik hasar verir.[n][n]
zts83e	Av Yayý
zts84e	Özellikle vahþi hayvan avýna uygun, çok saðlam, tipik av yayý.[n][n]
zts85e	Cesaret Yayý
zts86e	Cesur Okçularýn silahý.[n]Ateþ elementi eklenerek verilen hasar artýrýlýr.[n][n]
zts87e	Uzun Yay
zts88e	Uzunluðuyla sýradan yaylardan ayrýlýyor.[n][n]
zts89e	Bronz Yay
zts90e	Cesaret yayýna, savunma gücünü artýrmak için[n]bronz bir levha takýldý.[n][n]
zts91e	Ruh Yayý
zts92e	Ruhun kudretiyle güçlendirilmiþ yay.[n]Bütün elementer güçleri artýrýr.[n][n]
zts93e	Acemi Sihirli Deðneði
zts94e	Acemi Büyücüler için bir hediye.[n]Maceracýlar bu silahý kullanamaz.[n][n]
zts95e	Kýrmýzý Ýnci Sihirli Deðnek
zts96e	Ucu kýrmýzý bir inciyle süslenmiþ bir sihirli deðnek.[n][n]
zts97e	Ruhun Sihirli Deðneði
zts98e	Mavi incinin gizemli kudreti, bu sihirli deðneðe büyü enerjini artýrmak için fazladan büyü gücü veriyor.[n][n]
zts99e	Yakut Sihirli Deðnek
zts100e	Bu sihirli deðnek büyük yakutlu süslemesi nedeniyle genç büyücüler arasýnda çok sevilir.[n][n]
zts101e	Sihirli deðnek
zts102e	Bu silah gizemli tozun gücü sayesinde büyülü saldýrýlar gerçekleþtirmek için özel yetenekler alýr.[n][n]
zts103e	Mavi inci sihirli deðneði
zts104e	Mavi cam boncuklar ile dekore edilmiþ bir sihirli deðnek.[n][n]
zts105e	Iþýðýn sihirli deðneði
zts106e	Gizemli bir ýþýk silahýn etrafýný sarýyor ve saldýrýný güçlendirirken dayanýklýlýðý geliþtiriyor.[n][n]
zts107e	Opal sihirli çubuk
zts108e	Bu sihirli çubuk muhteþem bir görünüm kazanmasý için opal taþlarla süslenmiþtir.[n][n]
zts109e	Büyü enerjisi sihirli deðneði
zts110e	Büyü puaný stokunu ve büyü puaný yenilemesini arttýrýr.[n][n]
zts111e	Mercanlý sihirli deðnek
zts112e	Okyanusun derinliklerinden gelen mercanlarla süslenmiþ bir sihirli deðnek.[n][n]
zts113e	Onurun sihirli deðneði
zts114e	Bu sihirli deðneði sadece þerefli Büyücü'ler kötü güçlere karþý kullanabilir.[n][n]
zts115e	Kristal sihirli deðneði
zts116e	Lüks kristallerle süslenmiþ olan bu silahýn buz gibi pýrýltýsý rakipleri korkutur.[n][n]
zts117e	Zekanýn sihirli deðneði
zts118e	Sahibinin ruhunu elementlerin gücü ile arýndýrýr, bu sayede büyü enerjisi ve yaþam puaný yükselir.[n][n]
zts119e	Gölgenin sihirli deðneði
zts120e	Karanlýk güçlerle dolu olan bu sihirli deðnek rakip için kötü sonuçlara yol açabilir.[n][n]
zts121e	Deri eldiven
zts122e	Yumuþak deriden yapýlmýþ bu eldivenler sahibinin uzak saldýrý gücünü artýrýr.[n][n]
zts123e	Dayanýklý eldiven
zts124e	Silahýnýn elinden kayýp gitmesini engeller. [n] Yükseltilmiþ yakýn mesafe dövüþ gücü [n][n]
zts125e	Maceracý ayakkabýlarý
zts126e	Sadece Maceracýlar için.[n][n]
zts127e	Topuklu ayakkabý
zts128e	Kaliteli iþlenmiþ.[n][n]
zts129e	Deri ayakkabý
zts130e	Deriden üretilen ayakkabýlar.[n][n]
zts131e	Paten
zts132e	Çok hýzlý kayabilirler [n] aslýnda dans etmede kullanýlýrlar. [n][n]
zts133e	Ustanýn kýlýcý
zts134e	Bu kýlýç tecrübeli maceracýlar tarafýndan kullanýlýr [n][n]
zts135e	Ustanýn sapaný
zts136e	Tecrübeli maceracýlar bu silahý çýraklýk dönemi bittikten sonra kullanmaya baþlar.[n][n]
zts137e	Acemi arbaleti
zts138e	Geleceðin kýlýç savaþçýlarý için ikincil silah.[n][n]
zts139e	Meþe odunundan arbalet
zts140e	Meþe odunundan yapýlmýþ olan saðlam bir arbalet.[n][n]
zts141e	Peri arbaleti
zts142e	Yüksek isabet oraný ile orman muhafýzlarýnýn arbaleti.[n][n]
zts143e	Ýnce eldivenler
zts144e	Kullanýlamaz.[n][n]
zts145e	Lastik eldivenler
zts146e	Katmanlý eldivenler.[n]Bununla aðýr nesneleri kolayca taþýyabilirsin.[n][n]
zts147e	Çelik arbalet
zts148e	Çelikten yapýlmýþ aðýr arbalet Saldýrý gücünü artýrýr.[n][n]
zts149e	Þaheser arbalet
zts150e	Lüks ve iyi dengelenmiþ bu arbalet ünlü bir demircinin þaheseri.[n][n]
zts151e	Gölge arbaleti
zts152e	Konfortlu bir sapa sahip karanlýk güçlerle çevrelenmiþ sýradan bir arbalet.[n][n]
zts153e	Gürgen aðacýndan arbalet
zts154e	Gürgen aðacýndan özenle hazýrlanan bu silah her an hýzlýca doldurulabilir.[n][n]
zts155e	Mertlik arbaleti
zts156e	Bir zamanlar bu silahý taþýyan asil Kýlýç Savaþçýlarýn ruhlarý sahiplerinin moralini yükseltir.[n][n]
zts157e	Acemi hançeri
zts158e	Geleceðin okçularý için ikincil silah.[n][n]
zts159e	Hançer
zts160e	Çelikten üretilmiþ dikkat çekici olmayan bir hançer.[n][n]
zts161e	Azap hançeri
zts162e	Bu hançer zor zamanlarda kritik hasar isabetlerinin olasýlýðýný arttýrýr.[n][n]
zts163e	Asil hançer
zts164e	Saldýrý gücü oldukça yüksek olan mücevher ile süslenmiþ hançer.[n][n]
zts165e	Þaheser hançer
zts166e	Lüks ve iyi dengelenmiþ bu hançer ünlü bir demircinin þaheseri.[n][n]
zts167e	Pirinç alaþýmlý kama
zts168e	Pirinç karýþýmdan üretilmiþ normal bir hançer.[n][n]
zts169e	Yakut hançer
zts170e	Kýrmýzý yakutlar ile süslenmiþ olan bu hançer her okçunun gururu.[n][n]
zts171e	Ruh hançeri
zts172e	Bu hançerin kullanýmýyla bütün elementler ruhlarýn gücüyle güçlenir.[n][n]
zts173e	Acemi sihirli silahý
zts174e	Büyücü öðrencileri için ikincil silah.[n][n]
zts175e	Küçük büyülü silah
zts176e	Küçük ve pek etkili olmayan bu silah büyüye yeni giriþ yapanlar için çok uygundur.[n][n]
zts177e	Sihirli büyülü silah
zts178e	Bu silah güçlü beyaz bir büyüyle çevrilidir ve kara büyüye onu imha etme imkaný vermez.[n][n]
zts179e	Altýn büyülü silah
zts180e	Göze çarpan altýn süslemeleri tüm Büyücü'lerin dikkatini üzerinde toplar ve bu nedenle çok beðenilir.[n][n]
zts181e	Þaheser büyülü silah
