zts1e	Dinlenme
zts2e	Topla
zts3e	Dükkaný aç
zts4e	Savaþ planla
zts5e	Zaman Spirali
zts6e	Belirlenmemiþ
zts7e	[Düþük] Güçlendirilmiþ saldýrý
zts8e	Yakýn mesafe saldýrýlarda minimum ve maksimum hasar  deðerleri 3 arttý, yakýn mesafe savunmasý ise 2 arttý
zts9e	Yakýn dövüþte saldýrýyý ve savunmayý geliþtirir
zts10e	[Orta] Güçlendirilmiþ saldýrý
zts11e	Minimum ve maksimal zararlarýn her biri, yakýn mesafe saldýrýlarda 9'a çýkarýldý.
zts12e	[Yüksek] Güçlendirilmiþ saldýrý
zts13e	[Usta] Güçlendirilmiþ saldýrý
zts14e	[Düþük] Hýz eðitimi
zts15e	Uzak mesafe saldýrýlarda minimum ve maksimum zararlar her ikiside 3'e yükseldi, uzak mesafe savunmasi 2'ye yükseldi, yakýn mesafe saldýrýlarda 3'e ve uzak mesafe saldýrýlarda 6'ya yükseldi, Eðilmek: yakýn mesafe saldýrýlarda 2 ve uzak mesafe saldýrýlarda 3 geliþtirildi.
zts16e	Ýsabet oranýný ile kaçýnmayý artýrýr, uzak saldýrýsýnýn hýzý ile uzak saldýrý savunmasýnýn hýzýný yükseltir.
zts17e	[Orta] Hýz eðitimi
zts18e	Uzak mesafe saldýrýlarda minimum ve maksimum hasarlar 9 yükseltilir, uzak mesafe  savunmasý 5 yükselir, yakýn mesafe saldýrýlarda hýz   9 yükselir ve uzak mesafe saldýrýlarda hýz 18 yükselir, Eðilmek: yakýn mesafe saldýrýlarda 2 ve uzak mesafe saldýrýlarda 9 geliþtirilir.
zts19e	Ýsabet oranýný ile kaçýnmayý artýrýr, uzak saldýrýsýnýn hýzý ile uzak saldýrý savunmasýnýn hýzýný yükseltir.
zts20e	[Yüksek] Hýz eðitimi
zts21e	[Usta] Hýz eðitimi
zts22e	[Düþük] Akýl geliþtirmesi
zts23e	Büyü savunmasýný 2 arttýrýr.
zts24e	Büyülü saldýrýlarda savunmayý yükseltir
zts25e	[Orta] Akýl geliþtirmesi
zts26e	Büyülü savunmayý 5 arttýrýr.
zts29e	[Acemi] Kuluçka tekniði
zts30e	[Orta] Kuluçka tekniði
zts31e	[Ýleri Düzeyde] Kuluçka tekniði
zts32e	[Uzman] Kuluçka tekniði
zts33e	[Düþük] Yaþam süresini uzatma
zts34e	YP'yi devamlý olarak 50'ye yükseltir
zts35e	[Orta] Yaþam süresini uzatma
zts36e	YP'yi kalýcý olarak 100 yükseltir
zts37e	[Yüksek] Yaþam süresini uzatma
zts38e	[Usta] Yaþam süresini uzatma
zts39e	[Düþük] Akýl Eðitimi
zts40e	BP'yi kalýcý olarak 50 yükseltir
zts41e	[Orta] Akýl Eðitimi
zts42e	BP'yi kalýcý olarak 100 yükselt
zts43e	[Yüksek] Akýl Eðitimi
zts44e	[Orta] Akýl Eðitimi
zts45e	[Düþük] Efektif saldýrý gücü
