zts1e	Küçük Tilki
zts2e	Tilki
zts3e	Büyük Tilki
zts4e	Yorgun Dusi Tilki
zts5e	Dusi Tilki
zts6e	Sinirli Dusi Tilkisi
zts7e	Mutlu Ototilki
zts8e	Ototilki
zts9e	Kýzgýn Ototilki
zts10e	Mutlu Kuzucuk
zts11e	Kuzucuk
zts12e	Kýzgýn Kuzucuk
zts13e	Küçük Muflon
zts14e	Muflon
zts15e	Büyük Muflon
zts16e	Yorgun Koç
zts17e	Koç
zts18e	Sinirli Koç
zts19e	Mutlu Mandra
zts20e	Mandra
zts21e	Kýzgýn Mandra
zts22e	Zayýf Çimen Mandrasý
zts23e	Çimen Mandra
zts24e	Güçlü Çimen Mandra
zts25e	Küçük Dander
zts26e	Dander
zts27e	Büyük Dander
zts28e	Zayýf Zehirli Dander
zts29e	Zehirli Dander
zts30e	Güçlü Zehirli Dander
zts31e	Zayýf Tohumcuk
zts32e	Tohumcuk
zts33e	Güçlü Tohumcuk
zts34e	Hafif Ateþ Tohumcuk
zts35e	Ateþ Tohumcuk
zts36e	Aðýr Ateþ Tohumcuk
zts37e	Yumuþak Pi
zts38e	Pi
zts39e	Sert Pi
zts40e	Küçük Yabani Pi
zts41e	Yabani Pi
zts42e	Büyük Yabani Pi
zts43e	Tembel Dikenli Pi
zts44e	Dikenli Pi
zts45e	Hýzlý Dikenli Pi
zts46e	Yumuþak Bezelye Kabuðu Pi
zts47e	Bezelye Kabuðu Pi
zts48e	Sert Bezelye Kabuðu Pi
zts49e	Küçük Yabani Bezelye Kabuðu Pi
zts50e	Yabani Bezelye Kabuðu Pi
zts51e	Büyük Yabani Bezelye Kabuðu Pi
zts52e	Tembel Dikenli Bezelye Kabuðu
zts53e	Dikenli Bezelye Kabuðu Pi
zts54e	Hýzlý Dikenli Bezelye Kabuðu Pi
zts55e	Zayýf Vampircik
zts56e	Vampircik
zts57e	Güçlü Vampircik
zts58e	Zayýf Ateþ Vampircik
zts59e	Ateþ Vampircik
zts60e	Güçlü Ateþ Vampircik
zts61e	Zayýf Þeytan Vampircik
zts62e	Þeytan Vampircik
zts63e	Güçlü Þeytan Vampircik
zts64e	Yorgun Yürüyüþçü
zts65e	Yürüyüþçü
zts66e	Sinirli Yürüyüþçü
zts67e	Yorgun Ýðneli Yürüyüþçü
zts68e	Ýðneli Yürüyüþçü
zts69e	Sinirli Ýðneli Yürüyüþçü
zts70e	Yorgun Taþ Yürüyüþçüsü
zts71e	Taþ Yürüyüþçüsü
