zts1e	En iyi servis
zts2e	Erenia'nýn madalyonu
zts3e	[Ana etkisi][n]Bütün envanterler 8 arttýrýlýr,toplamda 24,[n]maceracý madalyonu ile birlikte kullanýlýrsa  36 arttýrýlýr[n][Ekstra efekt]Savaþ tecrübesi %15 yükseltilir.[n]Meslek tecrübesi %15 yükseltilir.[n]Hayvanýn ve partnerin tecrübe puanlarý %15 yükseltilir.(Maceracý madalyonu ile birlikte kullanýlýrsa %30 yükseltilir)Altýn kazanýmý %20 yükseltilir.[n]Ýtibar kazanýmý %20 arttýrýlýr.
zts4e	Basit bir macera mý istiyorsun?
zts5e	Maceracý madalyonu
zts6e	[Ana efekt][n]Tüm envanterler 4 yükselir,toplamda 12,[n]Erenia madalyonu ile kullanýldýðýnda 36 yükseltilir.[n][Ekstra efekt]Savaþ tecrübesi %15 yükselir.[n]Meslek tecrübesi %15 yükselir[n]Partnerin ve hayvanýn tecrübe puanlarý %15 yükselir.(Erenia madalyonu ile kullanýldýðýnda %30 yükselir)
zts7e	Daha iyi bir peri ister misin?
zts8e	Sellaim
zts9e	Ateþ perisi; Seviye 70'e kadar büyüyebilir.[n]Ateþ perisi ile ayný yeteneklere sahiptir.[n] Deðiþ tokuþ yapýlamaz.[n]
zts10e	Güçlü su elementi
zts11e	Woondine
zts12e	Su ruhu;70'e kadar yükselebilir.[n]Su perisi ile ayný özelliklere sahiptir.[n]Deðiþ tokuþu yapýlamaz[n]
zts13e	Güçlü ýþýk elementi
zts14e	Eperial
zts15e	Iþýk ruhu; 70'e kadar büyüyebilir.[n]Iþýk perisi ile ayný yeteneklere sahiptir.[n]Deðiþ tokuþ edilemez[n]
zts16e	Karanlýk tarafýn gücünü gösterir
zts17e	Turik
zts18e	Gölge ruhu; Seviye 70'e kadar büyüyebilir.[n]Karanlýk enerji perisi ile ayný özelliklere sahiptir[n]Deðiþ tokuþ yapýlamaz.[n]
zts19e	Hýzlý büyümeye ihtiyacýn var mý?
zts20e	Büyük Sellaim
zts21e	Ateþ ruhu; Seviye 70'e kadar büyüyebilir.[n]Ateþ perisi ile ayný özelliklere sahiptir.[n]Deðiþ tokuþ yapýlamaz[n]
zts22e	Anýnda kullanýma hazýr!
zts23e	Büyük Woondine
zts24e	Su ruhu; Seviye 70'e kadar büyüyebilir[n]Þu anda seviye 40'da,yani seviye 1'den itibaren yetiþtirilmesine gerek yok.[n]Su perisi ile ayný yeteneklere sahip[n]Deðiþ tokuþ yapýlamaz[n]
zts25e	Çok sabýrsýz?
zts26e	Büyük Eperial
zts27e	Iþýk ruhu; Seviye 70'e kadar büyüyebilir[n]Þu anda seviye 40'da,yani seviye 1'den itibaren yetiþtirilmesine gerek yok.[n]Iþýk perisi ile ayný yeteneklere sahip[n]Deðiþ tokuþ yapýlamaz[n]
zts28e	Hemen kullaným için!
zts29e	Büyük Turik
zts30e	Gölge ruhu; Seviye 70 e kadar büyüyebilir[n]Zaten seviye 40 þuan,yani 1'den itibaren yetiþtirilmesine gerek yok.[n]Karanlýk enerji perisi ile ayný yeteneklere sahip.[n]Deðiþ tokuþ yapýlamaz[n]
zts31e	Kiralik depo alaný
zts32e	Ekstra büyük depo (30 gün)
zts33e	Mini Ülke içerisinde 56 yer kullanmaný saðlar.[n]Ýlk koyduðun andan sonra geri sayým baþlar.[n][Dikkat][n]Süre dolduðunda depo kaybolur, yani yeni bir depo hazýrla.[n]Eðer depo küçük ise bütün eþyalar sýðamayacaðý için eþyalarýný düzenle.
zts34e	Hayvanýna takma ad ver!
zts35e	Adverme tasmasý
zts36e	Hayvanýna isim ver.[n]Kullaným sonrasý kaybolur[n]
zts37e	Hayvanýný isimlendir
zts38e	5 Adverme tasmasý
zts39e	Hayvanýna bir isim ver.[n]Hayvanýn için 1 set 5 isim verme þeridi satýn al[n]
zts40e	Asil bir hayvan için
zts41e	3 en iyi NosMate mamasý
zts42e	Hayvanýn sadakati maksimum olur.[n]Ekstradan 1 seviye yükseltilir[n]Sadece hayvanýn seviyesi oyuncunun seviyesinin 5 seviye altýnda ise kullanýlabilir[n](Mesela oyuncu seviye 50 ise,hayvan seviye 45 e kadar çýkartýlabilir)[n]
zts43e	Saðlýðýna dikkat et
zts44e	Partnerin ilacý
zts45e	Hayvanýn sadakati maksimum olur.[n]Ekstradan 1 seviye yükseltilir[n]Sadece hayvanýn seviyesi oyuncunun seviyesinin 5 seviye altýnda ise kullanýlabilir[n](Mesela oyuncu seviye 50 ise,hayvan seviye 45 e kadar çýkartýlabilir)[n]
zts46e	Hayvanýný yalnýz býrakma
zts47e	Hayvaný koruma incisi
zts48e	NosMate'ni inci içerisinde envanterine veya deponda saklayabilirsin.[n]Diðer oyuncular ile deðiþ tokuþ yapýlabilir[n][Dikkat][n]Hayvanýn deðerleri ayný kalýr ama ismi silinir.[n]Eðer NosMate'nin seviyesi senin seviyenden yüksekse Mini Ülke içerisinde serbest býrakýlabilir ancak misyonlara götürülemez.[n]
zts49e	Hayvanýný deðiþ tokuþ et
zts50e	Hayvan saklama incisi
zts51e	Bu nesneyle NosMate'ni inci içerisinde envanterine veya deponda saklayabilirsin.[n]Ýnciye yerleþtirilmiþ olan NosMate'ler diðer oyuncular ile deðiþ tokuþ yapýlabilir[n][Kullanýmý][n]NosMate'ni seç ve inciye çift týkla.[n][Dikkat][n]Hayvanýn deðerleri ayný kalýr ama ismi silinir.[n]Eðer NosMate'nin seviyesi senin seviyenden yüksekse Mini Ülke içerisinde serbest býrakýlabilir ancak misyonlara götürülemez.[n]
zts52e	Hadi kartlarý deðiþelim!
zts53e	Uzmanlýk Kartý Tutacaðý
zts54e	Uzm. kartýný tutabilir.[n]Diðer oyuncular ile deðiþ tokuþ yapmana müsaade eder.[n]Seviye ve tecrübe ayný kalýr.[n]
zts55e	Uzmanlýk paketi ekstra
zts56e	Ufak uzmanlýk doldurucu
zts57e	Tüm YP tekrar restore edilir.[n]Uzm. puanlarý ekstradan 30.000 yükselir.[n]
zts58e	Orta boy uzmanlýk doldurucu
zts59e	Tüm YP tekrar doldurulur.[n]Uzmanlýk puanlarý ekstradan 70.000 yükselir.[n]
zts60e	Lüks uzmanlýk paketi
zts61e	Büyük uzmanlýk doldurucu
zts62e	Tüm YP/BP tekrar doldurulur ve bütün kötü efekt etkileri silinir.[n]Uzmanlýk puanlarý ekstra olarak 180.000 yükselir.[n]
zts63e	Bahsi daha güvenli yap!
zts64e	Tanrý kutsamasý týlsýmý
zts65e	3 kere kullanýlabilir[n]Bahis esnasýnda baþarý olasýlýðýný %10 yükseltir ve silahý baþarýsýzlýk halinde yok olmaktan korur[n]Silahlar ve zýrhlar için kullanýlabilir[n]
zts66e	Sinir sahibi olmadan güvenle bahis oynayýn!
zts67e	Tanrý korumasý týlsýmý
zts68e	Noel Baba
zts69e	Teçhizatýn tekrar kullanýmý
zts70e	Güçlendirme týlsýmý
zts71e	3 kere kullanýlabilir.[n]Teçhizatý geliþtirebilir,sabitlenmiþ seviye olsa bile.[n]Silahlar ve teçhizat için kullanýlabilir[n]
zts72e	Tam doldurun bir kere,lütfen!
zts73e	99 büyük tam iksir
zts74e	99 büyük tam iksir satýn al[n]
zts78e	Bu iksir sadece burada var!!
zts79e	70 Cylloan kaynak suyu
zts80e	3.000 YP/BP doldurur
zts84e	Seni özlüyorum!
zts85e	10 arkadaþlýk kanatlarý
zts86e	Arkadaþýn olarak kayýtlý olan herkese ýþýnlanabilirsin.[n]Sadece arkadaþýn normal bir alanda bulunurken kullanýlabilir.[n]Iþýnlanmak için messenger(arkadaþ listesi) içindeki  'Hareket et'  tuþuna bas.[n]
zts87e	Kendini ve partnerini dekore et!!
zts88e	Saç stili jölesi A,çok karizmatik görünüyorsun!!
zts89e	Bir kýlýç-savaþçýsý örneði.[n]Okçu ve büyücüler  için baþka örnekler var[n][n]Ye~~Diðerlerinden farklý görünmeliyim.Ayný saç stili mi?Hayýr,teþekkürler~~Ben özelim,saç stilimde öyle.Saçlarým ahenkle dalgalansýn.Saçlarýmýn ahengi ile sanatçýlara taþ çýkartayým.[n]Maceracýlar kullanamaz.
zts90e	Okçu jölesi A,Seni seviyorum aþkým!
zts91e	Bir Okçu örneði.[n]Kýlýç Savaþçýsý ve Büyücü için baþka örnekler de var.[n][n]Diðerlerinden farklý görünmeliyim. Ayný saç stili mi? Hayýr, teþekkürler! Ben özelim, saç stilim de öyle. Saçlarým ahenkle dalgalansýn. Saçlarýmýn ahengi ile sanatçýlara taþ çýkartayým.[n]Maceracýlar kullanamaz.
zts92e	Büyücü jölesi A,Sen en iyisin!
zts93e	Bir büyücü örneði.[n]Okuçular ve kýlýç-savaþçýlarý için baþka örneklerde var[n][n]Ye~~Diðerlerinden farklý görünmeliyim.Ayný saç stili mi?Hayýr,teþekkürler~~Ben özelim,saç stilimde öyle.Saçlarým ahenkle dalgalansýn.Saçlarýmýn ahengi ile sanatçýlara taþ çýkartayým.[n]Maceracýlar kullanamaz.
zts94e	Sen müthiþ görünüþlü dostum
zts95e	Kýlýç-savaþçýsý, jöle B
zts96e	Bir kýlýç-savaþçýsý örneði.[n]Okçu için baþka örneklerde var[n][n]Ye~~Diðerlerinden farklý görünmeliyim.Ayný saç stili mi?Hayýr,teþekkürler~~Ben özelim,saç stilimde öyle.Saçlarým ahenkle dalgalansýn.Saçlarýmýn ahengi ile sanatçýlara taþ çýkartayým.[n]Maceracýlar kullanamaz.
zts97e	Okçu, jöle B!
zts98e	Büyücü,Jöle B!
zts99e	Yeni saç rengi
zts100e	Kýrmýzý saç boyasý
zts101e	Saçý kýrmýzýya boyar[n]
zts102e	Saç rengini deðiþtir!
zts103e	Yeþil saç boyasý
zts104e	Saçlarý yeþile boyar [n]
zts105e	Bunu nerede yaptýrdýn ?
zts106e	Beyaz saç boyasý
zts107e	Saçý beyaza boyar[n]
zts108e	Saç renklerinde devrim!
zts109e	Mavi saç boyasý
zts110e	Saçý maviye boyar[n]
zts111e	Sana çok yakýþýyor!
zts112e	Siyah saç boyasý
zts113e	Saçý siyaha boyar[n]
zts114e	Sen kimsin?
zts115e	Kendini takdim etme
zts116e	Diðerlerine gösterebileceðin bir kendini takdim oluþtur.[n](Sað tuþa bastýðýnda gösterilecek)[n]60 harfe kadar kullan[n]
zts117e	Herkese gösterilir
zts118e	12 hoparlör
zts119e	Sunucu üzerindeki herkese senin cümlelerini iletebilir.[n]Mesajýn konuþma penceresinde gösterilir.[n][Kullanýmý][n]Hoparlöre çift týkla ve mesajýný yaz.
zts120e	Önemli kelimeleri herkes görmeli
zts121e	Konuþma balonu
zts122e	Mesaj oluþturulduktan sonra 30 dakika boyunca kalýr.[n]Ancak metin artýk deðiþtirilemez ve oyundan çýkýlmasý durumunda kaybolur.[n][Kullanýmý][n]Konuþma balonuna çift týkla ve buraya mesajý gir.[n]Kapatmak için pencereye '$close' yaz.[n]Pencereyi kapatmadan önce yeni bir mesaj yazdýðýnda önceki mesaj kaybolur.
zts123e	Her zaman bir baþkasý mý olmak istemiþtin?
zts124e	Bob için kýyafet
zts125e	Bob bu kýyafeti taþýdýðýnda hýzý 2 artar.[n]Partnerini incisi içerisinde saklama yoksa kýyafet kaybolur.[n]
zts126e	Kýlýk mý deðiþtirmek istiyorsun?
zts127e	Tom için kýyafet
zts128e	Tom bu kýyafeti taþýdýðýnda hýzý 2 artar.[n]Partnerini inci içerisinde saklama yoksa kýyafet kaybolur.[n]
zts129e	Tarihi bir ailenin köpeði.
zts130e	Kliff için kýyafet
zts131e	Kliff bu kýyafeti giydiðinde hýzý 2 artar.[n]Partnerini inci içerisinde saklama yoksa kýyafet kaybolur.[n]
zts132e	Temel Uzm. puanlarýný 30 gün boyunca yükseltir
zts133e	Uzman madalyasý
zts134e	Günde en azýndan 1 saat uzman olanlara iyi haber.[n][n]Günlük uzm. puanlarý 10.000 + 30.000 olacak.[n]Yani toplamda 40.000 puan(Tamamen kullanýlmazlarsa 10% tasarruf edilecek). 30 gün boyunca 40.000 puan sahibi olmanýn mutluluðunu yaþa.
zts135e	Gizli partner organizasyonunun hediyesi
zts136e	Arkadaþlýk madalyonu
zts137e	Gizli partner organizasyonu madalyonu[n]Kullanýldýðýnda savaþ ve meslek tecrübesi %5 yükselir.[n]Eðer madalyona sahip kiþiler ile grup oluþturursan,[n]%5 daha yükselim eklenir.[n]10 gün boyunca kullanýlabilir.
zts138e	Yeterli olacaðýný sanmýþtým.
zts139e	99 güç tohumu
zts140e	99 güç tohumu satýn al[n]
zts141e	Ýtibarým ayaklar altýnda!?
zts142e	3 asalet iksiri
zts143e	Asalet tekrar 100 e getirilir
zts144e	Geliþtirme ve bahisleri daha güvenli hale getirir!
zts145e	Teçhizat koruyucu parþömen
zts146e	Anýnda güçlendirebilir veya bahis oynayabilir.[n]Güçlendirme veya bahis baþarýsýzlýk ile bile sonuçlansa eþya kaybolmaz.[n]Bahis esnasýnda eðer o anki az bulunurluk seviyesinden daha az bir seviye gelirse,[n]o anki seviye korunur.[n]Anýnda güçlendirme veya bahis için bir pencere açýlýr.[n][n]Normalde silahlar veya teçhizat için kullanýlýr[n]Bahis veya güçlendirme için farketmeksizin hangisi olursa olsun bir adet harcanýr.[n][n]
zts147e	Sabit seviyeyi serbest býrakma parþömeni
zts148e	Sabitlenmiþ seviyeli teçhizatýn geliþtirilmesine imkan verir.[n]Parþömene iki kere týkla ve sonra eþyaya,[n]sabitlenmiþ seviye serbest býrakýlacak.[n]Normalde silahlar ve teçhizat için kullanýlýr.[n]
zts149e	5 teçhizat koruyucu parþömen
zts150e	5 serbest býrakma parþömeni
zts151e	Yeni moda!
zts152e	Kedi þapkasý
zts153e	Elementlere karþý direnç 1 yükseltilir[n]Bütün element güçleri 10 yükselir.[n]
zts154e	Özel seçim savunmasý?
zts155e	Eþek þapkasý
zts156e	Belirli bir olasýlýk ile Mandralarýn çýðlýklarýna karþý korur[n]YP maksimum 100 yükselir[n]BP maksimum 50 yükselir.[n]
zts157e	Güzel görünmeni saðlar
zts158e	Kovboy þapkasý
zts159e	'Kritik vuruþ' olasýlýðý %2 yükselir[n]Kritik vuruþta hasar %10 yükselir.[n]Kritik isabet ile vurulma ihtimalin %1 azalýr.[n]
zts160e	Çok tatlý
zts161e	Maymun þapkasý
zts162e	Özel efektlerden düþük olasýlýk ile korur[n]Svy.2 kötü efektlerden %10 ihtimal ile korur.
zts163e	Seni daha güçlü gösterir!
zts164e	Antilop þapkasý
zts165e	Maksimum YP 200 yükselir.[n]Maksimum BP 200 yükselir.[n]
zts166e	Çok ilginç mis koku ile !
zts167e	Sabah sefasý þapkasý
zts168e	Kritik isabet alma olasýlýðý %2 düþer.[n]Kritik isabet alýndýðýnda hasar %20 azalýr.
zts169e	Penguen kadar güçlü?
zts170e	Penguen þapkasý
zts171e	Bütün savunma 15 yükselir.[n]Bütün saldýrý 15 yükselir.[n]
zts172e	Eski moda stili göster
zts173e	Beyfendinin þapkasý
zts174e	Büyü saldýrýlarýnýn hasarýný %8 olasýlýk ile %4 azaltýr.[n]Uzak mesafe saldýrýlarýn hasarýný %4 azaltýr.[n]
zts175e	Tatlý ama güçlü
zts176e	Büyük kulak saç bandý
zts177e	Yüksek olasýlýk ile özel efektlerden sakýn.[n]Morali 5 yükseltir[n]
zts178e	Doðayý seviyor musun?
zts179e	Çiçek saksýsý þapkasý
zts180e	Yüksek seviye yaratýklara ekstra 70 hasar verir[n]Yüksek seviye hayvanlara ekstra 100 hasar verir.[n]
zts181e	Hayvanýný okula yolla
zts182e	Özel NosMate mamasý
zts183e	Hayvan bu eþyayý yediði andan itibaren yere düþen  bütün eþyalarý toplamaya baþlar[n]Sürekli olarak beslenmesi gerekli deðildir[n]Nasýl beslerim:Hayvaný seç ve eþyanýn üzerine iki kere týkla[n][Fonksiyonu]Hayvanýn düþen eþyalarý otomatik olarak toparlar[n](sadece D durumundayken).Sadece sahibinin eþyalarýný toparlar[n]Karakterin kendisi de eþyalarý hala toparlayabilir.[n]Eþyalar sahibinin envanterine toparlanýr.[n][n][Dikkat]Eðer hayvan inci içerisine koyulursa bu özellik iptal olur.
zts184e	Tüm elementlere karþý direnç 1 artýrýldý.[n]Tüm element güçleri 10 yükseldi.[n]Bu eþyanýn ticareti yapýlamaz.[n]
zts185e	Mandranýn çýðlýðýndan korur.[n] YP maksimum 10 yükselir.[n] BP maksimum 50 yükselir[n] Bu eþya deðiþ tokuþ yapýlamaz.[n]
zts186e	Kritik isabet tutturma olasýlýðý %2 yükselir.[n]Kritik isabette hasar %10 yükselir.[n]Kritik isabet alma olasýlýðý %1 azalýr.[n]Bu eþya takas edilemez.[n]
zts187e	Özel efektlerden yüksek olasýlýk ile korur.[n]Svy. 2 kötü efektlerden %10 olasýlýk ile korur.[n]Eþya deðiþt tokuþ yapýlamaz[n]
zts188e	Maksimum YP 200 yükselir.[n]Maksimum BP 200 yükselir.[n]Bu eþya deðiþ tokuþ edilemez.[n]
zts189e	Kritik isabet alma olasýlýðý %2 azaldý.[n]Kritik isabet alýndýðýnda hasar %20 azaltýlýr.[n]Bu eþya deðiþ tokuþ edilemez.[n]
zts190e	Bütün savunma 15 yükseldi.[n]Bütun saldýrýlar 15 yükseldi[n]Bu eþya deðiþ tokuþ yapýlamaz[n]
zts191e	Büyü saldýrýlarýndan alýnan hasarý %8 olasýlýk ile %4 azaltýr.[n]Uzak mesafe saldýrýlarýn hasarýný %4 azaltýr.[n]Bu eþya deðiþ tokuþ yapýlamaz.[n]
zts192e	Büyük bir olasýlýkla özel etkileri önler[n] Ahlaký 5 puan yükseltir[n]Bu madde alýnýp satýlamaz[n]
zts193e	Yüksek seviyeli yaratýklara ekstradan 70 hasar verir[n]Yüksek seviyeli hayvanlara ekstradan 100 hasar verir.[n]Bu eþya deðiþ tokuþ edilemez[n]
zts194e	Kullanma
zts195e	Kullanma
zts196e	Kullanma
zts197e	Kullanma
zts198e	Kullanma
zts199e	Kullanma
zts200e	Kullanma
zts201e	Kullanma
zts202e	Kullanma
zts203e	Kullanma
zts204e	Yok edilemez!
zts205e	Devasa depo (sýnýrsýz)
zts206e	56 yer[n]Zaman sýnýrlamasý olmadan kullanýlabilir.[n][n]
zts207e	Senin terasýn içinde
zts208e	Kullanma
zts209e	Kullanma
zts210e	Kullanma
zts211e	Kullanma
zts212e	Kullanma
zts213e	Kullanma
zts214e	Kullanma
zts215e	Kullanma
zts216e	Kullanma
zts217e	Kullanma
zts218e	Kullanma
zts219e	Kullanma
zts220e	Kullanma
zts221e	Ateþ ruhu; Seviye 70'e kadar büyüyebilir.[n]Ateþ perisi ile ayný özelliklere sahiptir.[n]Deðiþ tokuþ yapýlamaz[n]
zts222e	Su ruhu;70'e kadar yükselebilir.[n]Su perisi ile ayný özelliklere sahiptir.[n]Deðiþ tokuþu yapýlamaz[n]
zts223e	Iþýk ruhu; 70'e kadar büyüyebilir.[n]Iþýk perisi ile ayný yeteneklere sahiptir.[n]Deðiþ tokuþ edilemez[n]
zts224e	Gölge ruhu; Seviye 70'e kadar büyüyebilir.[n]Karanlýk enerji perisi ile ayný özelliklere sahiptir[n]Deðiþ tokuþ yapýlamaz.[n]
zts225e	Ateþ ruhu; Seviye 70' kadar büyüyebilir.[n]Zaten seviye 40 þuan,yani 1'den itibaren yetiþtirilmesine gerek yok.[n]Ateþ perisi ile ayný yeteneklere sahip.[n]Deðiþ tokuþ yapýlamaz[n]
zts226e	Su ruhu; Seviye 70' kadar büyüyebilir.[n]Zaten seviye 40 þuan,yani 1'den itibaren yetiþtirilmesine gerek yok.[n]Su perisi ile ayný yeteneklere sahip.[n]Deðiþ tokuþ yapýlamaz[n]
zts227e	Iþýk ruhu; Seviye 70' kadar büyüyebilir.[n]Zaten seviye 40 þuan,yani 1'den itibaren yetiþtirilmesine gerek yok.[n]Iþýk perisi ile ayný yeteneklere sahip.[n]Deðiþ tokuþ yapýlamaz[n]
zts228e	Gölge ruhu; Seviye 70' kadar büyüyebilir.[n]Zaten seviye 40 þuan,yani 1'den itibaren yetiþtirilmesine gerek yok.[n]Karanlýk enerji perisi ile ayný yeteneklere sahip.[n]Deðiþ tokuþ yapýlamaz[n]
zts229e	Fiziksel savunma 4[n]Uzak mesafe savunma 4[n]Büyüye karþý direnç 4[n]Savuþturma 4[n]Bütün direnç elementleri 1 yükseldi.[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts230e	Fiziksel savunma 4[n]Uzak mesafe savunma 4[n]Mandra çýðlýðýna karþý direnç[n]Maksimum YP 100 yükselir[n]Maksimum BP 50 yükselir[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts231e	Fiziksel savunma 4[n]Uzak mesafe savunma 4[n]Büyüye karþý direnç 4[n]Savuþturma 2[n]Kritik  vuruþ olasýlýðý %2 yükselir[n]Kritik isabette hasar %10 yükselir[n]Kritik isabet alma oranýný %1 azalýr[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts232e	Fiziksel savunma 5[n]Uzak mesafe savunmasý 3[n]Büyüye karþý direnç 1[n]Bayýlma ihtimali olasýlýðýný belirgin þekilde düþürür[n]Svy.2 kötü efekten belirli bir olasýlýk ile korur[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts233e	Fiziksel savunma 13[n]Uzak mesafe savunma 13[n]Büyüye karþý direnç 13[n]Maksimum YP 200 yükselir[n]Maksimum BP 200 yükselir[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts234e	Fiziksel savunma 7[n]Uzak mesafe savunma 3[n]Savuþturma 2[n]Kritik vuruþ alma olasýlýðýný %2 azaltýr[n]Kritik vuruþun hasarýný %20 azaltýr[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilirler[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts235e	Fiziksel savunma 5[n]Uzak mesafe savunmasý 5[n]Büyüye karþý direnç 5[n]Savuþturma 5[n]Bütün savunmalar 15 yükseliri.[n]Bütün saldýrýlar 15 yükselir[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts236e	Fiziksel savunma 1[n]Uzak mesafe savunma 2[n]Büyüye karþý direnç 14[n]Büyü saldýrýlarýný %8 olasýlýk ile %4 azaltýr[n]Uzak mesafe saldýrýlarý %8 olasýlýk ile %4 azaltýr[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts237e	Fiziksel savunma 12[n]Kanama olasýlýðýný epey azaltýr[n]Moral 5 yükselir[n]Bütün direnç elementleri 1 yükseldi.[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts238e	Fiziksel savunma 2[n]Uzak mesafe savunma 10[n]Büyüye karþý direnç 3[n]Yüksek seviye þeytanlara ekstra 70 hasar verir[n]Sadece kýlýç savaþçýlarý,okçular ve büyücüler taþýyabilir[n]Kullanýmdayken deðiþ tokuþ yapýlamaz[n]
zts239e	Maceracý sýrtçantasý (10 gün)
zts240e	Kullanma
zts241e	Maceracý sýrtçantasý (30 gün)
zts242e	Maceracý sýrtçantasý(60 gün)
zts243e	Partner sýrtçantasý(10 gün)
zts244e	Partner sýrtçantasý(30 gün)
zts245e	Partner sýrtçantasý(60 gün)
zts246e	NosMate sepeti(10 gün)
zts247e	NosMate sepeti(30 gün)
zts248e	NosMate sepeti (60 gün)
zts249e	Sýrtçantasý (10 gün)
zts250e	Sýrtçantasý (30gün)
zts251e	Sýrtçantasý(60 gün)
zts252e	5 Erenia kutsamasý
zts253e	10 Erenia kutsamasý
zts254e	Koruyucu meleðin 10 pcs kutsamasý
zts255e	10 Zenas kutsamasý
zts256e	Kutsama seti (5 parça)
zts257e	Kutsama seti (10 tane)
zts258e	Saðlamlýk-geri getirici kupon (40 tane)
zts259e	Saðlamlýk-geri getirici kupon (99 tane)
zts260e	Ýki katý ödül için kupon (10 tane)
zts261e	Üretim puanlarý için kupon (10 tane)
zts262e	Üretim puanlarý için kupon (30 tane)
zts263e	Gizemli kutu A
zts264e	Gizemli kutu B
zts265e	Gizemli kutu C
zts266e	[n]
zts267e	Saðlamlýðý tekrar restore eder
zts268e	Üretim penceresinde 'Kupon kullan' seçeneði ile kullanýlabilir.[n]Bir kupon saðlamlýðý 300 yükseltir[n]
