zts1e	Çalıkuyruk kutsa.
zts3e	Kedi kutsaması
zts5e	Işık kutsaması
zts7e	Gölge kutsaması
zts9e	Su kutsaması
zts11e	Ateş kutsaması
zts13e	Savaşçı kutsaması
zts15e	Büyücü kutsaması
zts17e	Okçu kutsaması
zts19e	Ninja kutsaması
zts21e	Evrim kutsaması
zts23e	Gök kuşağı kutsam.
zts25e	Robot kutsaması
zts27e	Korsan kutsaması
zts29e	Korku kutsaması
zts31e	Soğuk kutsaması
zts33e	Kurt kutsaması
zts35e	Jelly kutsaması
zts37e	Gök Kulesi kutsam.
zts39e	Canavar kutsaması
zts41e	Hayalet kutsaması
zts43e	Bekçi kutsaması
zts45e	Hayalet. Kr. kuts.
zts47e	Canavar. Kr. kuts.
zts49e	Ölümsüzlerin kanı
zts51e	Patlayıcı uzmanı
zts53e	Elektroşok
zts55e	Çevik ve alımlı
