zts1e	Special Attack
zts2e	Cancel attack
zts3e	Melee attack is ineffective.
zts4e	Ranged attack is ineffective.
zts5e	Magic is not allowed.
zts6e	Targeting is ineffective.
zts7e	No attack possible
zts8e	Melee attacks are not allowed.
zts9e	Ranged attacks are not allowed.
zts10e	Magic attacks are not allowed.
zts11e	The attack fails if you miss the target. (Excluding magic attacks.)
zts12e	Special Defence
zts13e	Interrupts defence
zts14e	Melee defence is ineffective.
zts15e	Remote defence is ineffective.
zts16e	Magic defence is ineffective.
zts17e	Interrupts dodge
zts18e	All defence is nullified.
zts19e	Melee defence is nullified.
zts20e	Ranged defence is nullified.
zts21e	Magic defence is nullified.
zts22e	No defence possible
zts23e	Changes attack power.
zts24e	Changes all attacks.
zts25e	Changes melee attack.
zts26e	Changes ranged attack.
zts27e	Changes magic attacks.
zts28e	Changes attack level.
zts29e	All attacks are increased by %s.
zts30e	All attacks are decreased by %s.
zts31e	Melee attack is increased by %s.
zts32e	Melee attack is reduced by %s.
zts33e	Ranged attack is increased by %s.
zts34e	Ranged attack is reduced by %s.
zts35e	Magic attack power is increased by %s.
zts36e	Magic attack power is decreased by %s.
zts37e	Attack level is increased by %s.
zts38e	Attack level is decreased by %s.
zts39e	Changes the target.
zts40e	Changes all targets.
zts41e	Changes close target.
zts42e	Changes distant target.
zts43e	Changes concentration.
zts44e	Hit rate of all attacks is increased by %s.
zts45e	Hit rate of all attacks is decreased by %s.
zts46e	Hit rate of melee attacks is increased by %s.
zts47e	Hit rate of melee attacks is decreased by %s.
zts48e	Hit rate of ranged attacks is increased by %s.
zts49e	Hit rate of ranged attacks is decreased by %s.
zts50e	Concentration is increased by %s during the magic attack.
zts51e	Concentration is decreased by %s during the magic attack.
zts52e	Changes critical attack.
zts53e	Changes the chance of inflicting a critical hit.
zts54e	Changes critical attack damage.
zts55e	Double Damage
zts56e	Changes enemy's critical attack chance.
zts57e	Changes enemy's critical attack damage.
zts58e	Chance of inflicting critical hits is increased by %s%%.
zts59e	Probability of causing a critical hit is reduced by %s%%.
zts60e	Increases damage from critical hits by %s%%.
zts61e	When inflicting critical hits, damage is reduced by %s%%.
zts62e	Increases damage with a probability of %s%% by %s%%.
zts63e	On attack there is a %s%% chance of damage being reduced by %s%%.
zts64e	The chance of receiving a critical hit is increased by %s%%.
zts65e	Probability to receive critical hits is decreased by %s%%.
zts66e	Damage from critical hits is increased by %s%%.
zts67e	Damage from critical hits is reduced by %s%%.
zts68e	Special Critical Attack
zts69e	Can carry out a guaranteed critical attack.
zts70e	Cannot carry out any guaranteed critical attacks.
zts71e	Always receives critical hits.
zts72e	Sometimes receives critical hits.
zts73e	Regular chance of critical hits.
zts74e	Always inflicts critical hits.
zts75e	Never inflicts critical hits.
zts76e	Always receives critical hits.
zts77e	Never receives critical hits.
zts78e	Inflicts critical hits with a chance of %s%%.
zts79e	Receives a critical hit with the chance of %s%%.
zts80e	Changes the element.
zts81e	Changes the fire element.
zts82e	Changes the water element.
zts83e	Changes the light element.
zts84e	Changes the shadow element.
zts85e	Changes all elements.
zts86e	Fire element is increased by %s.
zts87e	Fire element is decreased by %s.
zts88e	Water element is increased by %s.
zts89e	Water element is decreased by %s.
zts90e	Light element is increased by %s.
zts91e	Light element is decreased by %s.
zts92e	Shadow element is increased by %s.
zts93e	Shadow element is decreased by %s.
zts94e	All element energies are increased by %s.
zts95e	All element energies are reduced by %s.
zts96e	Increases damage.
zts97e	Increases probability.
zts98e	Provides a %s%% chance to increase attack power by %s%%.
zts99e	Provides a %s%% chance to reduce damage by %s%%.
zts100e	Fire element is increased by %s.
zts101e	Fire element is decreased by %s.
zts102e	Water element is increased by %s.
zts103e	Water element is decreased by %s.
zts104e	Light element is increased by %s.
zts105e	Light element is decreased by %s.
zts106e	Shadow element is increased by %s.
zts107e	Shadow element is decreased by %s.
zts108e	Changes defence power.
zts109e	Changes all defence powers.
zts110e	Changes melee defence.
zts111e	Changes ranged defence.
