zts1e	General Effect
zts2e	Magic Effect
zts3e	Poison types
zts4e	Disease Series
zts5e	Recharge Series
zts6e	Good
zts7e	Neutral
zts8e	Bad
zts9e	Duration: %.1f seconds
zts10e	Every %d seconds:
zts11e	With a probability of %d%%
zts12e	Side effects after %.1f second(s)
zts13e	Causes %s with a probability of %d%% when released.
zts14e	(Caster Level / %d)
zts15e	(Caster Level * %d)
zts16e	Recharge
zts17e	The energy for the next attack is fully charged.
zts18e	Minor Bleeding
zts19e	Suffered a minor injury.
zts20e	Toxic Thorn
zts21e	Poisoned by a Toxic Thorn.
zts22e	Broken-Hearted
zts23e	You are deeply saddened.
zts24e	Anger
zts25e	The attack is driven by Anger.
zts26e	Fury
zts27e	Focuses on attacking and only deals critical damage to the opponent.
zts28e	Rage
zts29e	Concentrates purely on assault and executes swift attacks.
zts30e	Blackout
zts31e	Causes a Blackout. Being unconscious makes it impossible to defend against attacks.
zts32e	Demoralisation
zts33e	Demoralised by the enemy's strength.
zts34e	Glue
zts35e	Sticks to the body, interrupting the attack.
zts36e	Heavy Glue
zts37e	Sticks to the body, inhibiting movement.
zts38e	Fear
zts39e	Causes real terror and removes all fun from fighting.
zts40e	Battle Cry
zts41e	Inspired with the thirst for battle, attack power is increased.
zts42e	Shout of Morale
zts43e	Inspired with high spirits and a feeling of confidence.
zts44e	Drunken Mumbling
zts45e	Feeling dizzy because of an alcoholic drink.
zts46e	PvP Mode
zts47e	Friendly matches with other players are now possible at any time.
zts48e	Attack level is reduced.
zts49e	You get a penalty when attacking because your attack level was rejected.
zts50e	Blood Oath
zts51e	Take the blood oath and become encouraged.
zts52e	Suppressed
zts53e	Completely depressed, even losing the will to fight.
zts54e	Wounded Leg
zts55e	An injury to the legs or wings which slows movement.
zts56e	Bleeding
zts57e	A slight injury, but one which can become serious if left untreated.
zts58e	Paralysing Toxin
zts59e	Paralyses the muscles.
zts60e	Defence Neutralising Toxin
zts61e	Feels pain from even minor attacks and is easily injured.
zts62e	Dizzying Venom
zts63e	Often feels rather dizzy.
zts64e	Deadly Poison
zts65e	Receives a Shock for a few seconds and the body is slow to respond.
zts66e	Interrupt Move
zts67e	Badly injured and cannot move.
zts68e	Freeze
zts69e	The opponent is frozen and unable to move.
zts70e	Haste
zts71e	Moves swiftly.
zts72e	Reduces body weight to enable faster movements.
zts73e	Ritual of Hawk
zts74e	Provides amazing eyesight and enables efficient attacks.
zts75e	Frost Shield
zts76e	Frost Shield protects the body with an icy barrier and disrupts ranged attacks on you.
zts77e	Recovery Aura
zts78e	Wraps the character in a blanket of warm energy and fosters recovery.
zts79e	Light of Protection
zts80e	Cradles the body in a bright, protective light.
zts81e	Sleep
zts82e	Falls asleep immediately, but wakes up immediately when touched.
zts83e	Blind
zts84e	Impairs vision for a few seconds.
zts85e	Toxic Arrowhead
zts86e	Coats the arrowheads in a toxin to poison the enemy.
zts87e	Toxic Dagger
zts88e	Coats the dagger with a venom to poison the enemy.
zts89e	Heavy Bleeding
zts90e	A serious injury which reduces HP.
zts91e	Incapacitated
zts92e	Makes attacking or defending impossible.
zts93e	Resurrection Side Effects
zts94e	Increases attack power.
zts95e	Increases defence power.
zts96e	Increases melee defence.
zts97e	Increases ranged defence.
zts98e	Increases magic defence.
zts99e	Unlimited MP
zts100e	Strong Energy
zts101e	Acceleration
zts102e	Invincibility Shield
zts103e	Paralysing Toxin
zts104e	Interrupts the attack. May be stunned until the poison is neutralised.
zts105e	Shrinking Hand
zts106e	Causes hand to shrink, reducing the attack power.
zts107e	Sneezing Side Effects
zts108e	Kukukeen's moment of weakness. Maybe a good time to attack?
zts109e	Strong Toxic Thorn
zts110e	Poisoned by a Strong Toxic Thorn.
zts111e	Darkness of DOOM
zts112e	The weaker the shadow element, the less effect a critical hit will have.
zts113e	Hand of Death
zts114e	Deadly Poison
zts115e	Waiting Time for Mission
zts116e	You can challenge the mission again as soon as the waiting time is up.
zts117e	Duration of Magic Items
zts118e	Provides information on the durability of magic items. Once the duration runs out, the items will disappear.
zts119e	Stop Bleeding
zts120e	Stops Bleeding up to level 4 with a probability of 80%.
zts121e	Burn
zts122e	Weakened by the fire, HP continuously sinking.
zts123e	Fatal Burn
zts124e	Deadly Blackout
zts125e	Cannot move or use any items.
zts126e	Fire Blessing
zts127e	Adds the fire element and increases fire resistance.
zts128e	Weaken Defence Power
zts129e	The defence level drops and decreases defence power.
zts130e	Destroy Shield
zts131e	Loses all defensive power for a few seconds.
zts132e	Shock
zts133e	The unexpected shock interrupts the attack.
zts134e	Iron Skin
zts135e	Maximises defence power and reduces attack power.
zts136e	Morale Increase
zts137e	Increases morale.
zts138e	Run Away!
zts139e	Run far away.
zts140e	Hawk Eye
zts141e	Increases the chance of making a successful attack.
zts142e	Wind Walker
zts143e	Increases movement speed.
zts144e	Flashbang
zts145e	Interrupts attack for a while.
zts146e	Rapid
zts147e	Reduces skill cooldown time.
zts148e	Dismount
zts149e	Delays effect duration and slows movement speed.
zts150e	Drain attack power
zts151e	Leeches the enemy's attack power, increasing your own.
zts152e	Sharp Edge
zts153e	Sharpens the weapon's blade.
zts154e	Cut
zts155e	Decreases MP and halves defence.
zts156e	Fatal Bleeding
zts157e	Decreases HP and prevents critical hits.
zts158e	Smog
zts159e	Reduces the hit rate.
zts160e	Mental Poison
zts161e	Causes as much as damage as MP used.
zts162e	Hideout
zts163e	Hide from the enemy.
zts164e	Reinforcing Poison
zts165e	Reduces all resistances and you always receive critical hits.
zts166e	Magic Light
zts167e	Decreases the hit rate and HP of the shadow element.
zts168e	Mana Shield
zts169e	Replaces some of the damage with MP.
zts170e	Holy Weapon
zts171e	Increases the light element and shadow resistance.
zts172e	Eliminate shadows
zts173e	Deactivates the shadow element.
zts174e	Blessing
zts175e	Prevents critical hits by increasing the defence level.
zts176e	Critical hit
zts177e	Increases concentration and the chance of critical hits.
zts178e	Sprint
zts179e	Immediately enables rapid movements.
zts180e	Blessing of Darling
zts181e	Reduces mana consumption.
zts182e	Increases experience.
zts183e	Increases experience gain for a while.
zts184e	Attack power increased
zts185e	Increases attack power for a while.
zts186e	Perfect Protection
zts187e	Cannot carry out or receive any attacks for a while.
zts188e	Despair
zts189e	Fight in desperation.
zts190e	Bind
zts191e	So surprised to be caught.
zts192e	Short Blackout
zts193e	Short Blackout
zts194e	Expose Weaknesses
zts195e	Exposes weak points and always receives critical hits.
zts196e	Paralysis
zts197e	Paralyses the body.
zts198e	Oxidation
zts199e	Damages clothes and weapons with a strong acid.
zts200e	Zombie Infection
zts201e	Turns into a dumb zombie which makes strange and weird noises. Highly infectious.
zts202e	Zombie Immunity
zts203e	Provides immunity to the Zombie Infection.
zts204e	Heaven Song
zts205e	Attracted by the beautiful song, losing the will to fight.
zts206e	Fortune Pig's Blessing
zts207e	Increases experience gain by 10%.
zts208e	New Year's Blessing
zts209e	Increases attack and defence power by 10%.
zts210e	Valentine's Day Blessing
zts211e	Sobbing & Crying
zts212e	Heartbreaking sobbing.
zts213e	White Day Blessing
zts214e	Silent
zts215e	Use Protection Scroll
zts216e	Protects the equipment when upgrading and keeps the current rarity level.
zts217e	Fog Poison
zts218e	The fog prevents all movement.
zts219e	Fragrant Bag
zts220e	For seasonal event. Increases experience points by 30%.
zts221e	Rainbow Energy
zts222e	This power is earned after winning the Rainbow Battle. Specialist points will not decrease!
zts223e	Rainbow Energy
zts224e	Armour Enhancement
zts225e	Energy Enhancement
zts226e	Increases maximum HP/MP for a certain time.
zts227e	Increases experience gain by 20%.
zts228e	Altair and Vega's Blessing
zts229e	Ancelloan's Blessing
zts230e	Increases experience points earned by 100%.
zts231e	Guardian Angel's Blessing
zts232e	Increases NosMate's experience gain by 50%.
zts233e	Electric Shock
zts234e	You have been stunned by an Electric Shock and cannot move.
zts235e	Severe Electric Shock
zts236e	You have been stunned by a Severe Electric Shock and cannot move.
zts237e	Fossilisation
zts238e	You cannot move because of the Fossilisation.
zts239e	Moth Poison
zts240e	Your movement speed is reduced by the Moth Poison and you took serious damage.
zts241e	Plague
zts242e	The plants have been seriously affected by the disease. This can be prevented with Zombie Immunity.
zts243e	Blood-Sucking
zts244e	Provides a chance to absorb the enemy's HP and cause damage.
zts245e	Mind Control
zts246e	Your mind is under someone else's control, causing serious damage.
zts247e	Charm of Darling
zts248e	Production points are reduced by 20%.
zts249e	The plants have been seriously affected by the disease.
zts250e	Fairy Booster
zts251e	The fairy's element is increased by 30.
zts253e	Increases all elemental powers and movement speed for 10 minutes.
zts254e	Shivering Frost
zts255e	Movement speed is greatly reduced as your body suffers from the cold.
zts256e	Blessing of Water
zts257e	Adds the water element and increases water resistance.
zts258e	Freezing
zts259e	You have received a critical hit and cannot carry out any attacks as your body has been numbed by the cold.
zts260e	Booster On
zts261e	Moves very fast when the booster is activated.
zts262e	Poison Gas
zts263e	Your defence is ineffective and you cannot use any skills.
zts264e	Prayer of Defence
zts265e	Increases partner's defence level and maximum HP/MP.
zts266e	Prayer of Offence
zts267e	Increases attack level and boosts morale.
zts268e	The 1st Triple Charging
zts269e	Blessed. Increases attack power for a while.
zts270e	The 2nd Triple Charging
zts271e	The 3rd Triple Charging
zts272e	The 2nd Poison Gas
zts273e	You cannot use any skills.
zts274e	Frozen Shield
zts275e	Protects oneself and casts Freeze on the enemy.
zts276e	Holy Breath
zts277e	Decreases the power of all enemies which don't use the light element.
zts278e	Increases defence power for a certain time.
zts279e	Reflects damage received.
zts280e	Airwaves
zts281e	Soulstone Blessing
zts282e	When wearing a Specialist Card, the experience earned by the specialist increases by 50%.
zts283e	Use the Specialist Protection Scroll for lower levels.
zts284e	When used, the player can upgrade their specialist card from 0-9.
zts285e	Use the Specialist Protection Scroll for higher levels.
zts286e	When used, the player can upgrade their specialist card from 10-14.
zts287e	Berserker
zts288e	Increases attack and movement speed and decreases defence.
zts289e	Break Armour
zts290e	Decreases enemy's defence by destroying their armour.
zts291e	Eagle Spirit
zts292e	Wakes the Eagle Spirit in you.
zts293e	Elemental Shining
zts294e	The spirit of the forest increases your light resistance.
zts295e	Wolf Spirit
zts296e	Wakes the Wolf Spirit in you.
zts297e	Elemental Leech
zts298e	Leads to bad effects and the suffering of the forest.
zts299e	Bear Spirit
zts300e	Wakes the Bear Spirit in you.
zts301e	Ghost Guard
zts302e	An idol wraps the mage in its protection for a while.
zts303e	Dark Force
zts304e	The shadow element is increased by an idol.
zts305e	Possession
zts306e	An idol controls the enemy's spirit.
zts307e	Evil Potion
zts308e	An idol takes over the enemy's body.
zts309e	Requiem
zts310e	The idol's song leaves the enemy trembling with fear.
zts311e	Life and Death
zts312e	Increases attack and defence power by 10% for a certain time.
zts313e	New Year's Blessing
zts314e	Increases combat and job experience gain by 10% for a certain time.
zts315e	Consumes HP to increase attack power.
zts316e	Cold
zts317e	You get a bad cold which causes you to lose control of your body.
zts318e	Plague
zts319e	You cannot avoid enemy attacks because you are so dazed.
zts320e	1 Year Anniversary Buff
zts321e	Increases maximum HP and MP by 10% for one hour.
zts322e	Resurrection
zts323e	Without the weakening effects of resurrection.
zts324e	White Day Blessing
zts325e	Invincible in PvP
zts326e	Your HP will not decrease for 5 seconds while you are attacked by enemies.
zts327e	The Holy Light impairs all enemies' abilities.
zts328e	Increases attack power in PvP.
zts329e	When the player is in PvP, attack power increases by 50% for an hour. Only valid in Glacernon.
zts330e	Increases defence in PvP.
zts331e	When the player is in PvP, defence increases by 50% for an hour. Only valid in Glacernon.
zts332e	Increases resistance in PvP.
