zts1e	New Item
zts2e	[n]
zts3e	Wooden Stick
zts4e	The first weapon for newcomer adventurers in NosVille.[n][n]
zts5e	Wooden Stick
zts6e	A hard wooden cudgel which inflicts more damage.[n][n]
zts7e	Wooden Sword
zts8e	A wooden sword perfect for trainee adventurers.[n][n]
zts9e	Wooden Hammer
zts10e	A hammer made of really tough wood.[n][n]
zts11e	Heavy Wooden Hammer
zts12e	A heavy wooden hammer which deals additional damage.[n][n]
zts13e	Trainee's Wooden Sword
zts14e	A sword for inexperienced Adventurers.[n][n]
zts15e	Adventurer's Sword
zts16e	A steel sword for adventurers.[n][n]
zts17e	Wooden Catapult
zts18e	The first secondary weapon for fresh Adventurers in NosVille.[n][n]
zts19e	Heavy Wooden Catapult
zts20e	A heavy wooden catapult which deals more damage.[n][n]
zts21e	Trainee's Wooden Catapult
zts22e	A catapult for inexperienced Adventurers.[n][n]
zts23e	Adventurer's Catapult
zts24e	A catapult made of steel for adventurers.[n][n]
zts25e	Clothing
zts26e	Clothes for fresh adventurers.[n][n]
zts27e	Training Uniform
zts28e	This uniform is worn when working out.[n][n]
zts29e	Adventurer's Uniform
zts30e	Popular adventurer's clothing. It offers protection from the side-effects of resurrecting.[n][n]
zts31e	Training Uniform
zts32e	A very comfortable training uniform.[n][n]
zts33e	Adventurer's Cloak Set
zts34e	Keeps adventurers warm when they sleep outdoors.[n][n]
zts35e	Warm Cloak Set
zts36e	Covers and warms the whole body.[n]Provides protection from the side effects of resurrecting.[n][n]
zts37e	Beginner's Sword
zts38e	A gift for trainee Swordsmen.[n]Cannot be used by Adventurers.[n][n]
zts39e	Short Sword
zts40e	This one-handed sword is popular among trainee Swordsmen.[n][n]
zts41e	Sword of Pain
zts42e	This sword was forged from the molten weapons of defeated soldiers.[n]Increases chance of critical hits.[n]
zts43e	Short Sword
zts44e	Used by regular swordsmen.[n][n]
zts45e	Bronze Sword
zts46e	A sword with bronze decoration which increases the chance of critical hits.[n][n]
zts47e	Sabre
zts48e	This blade is a popular choice among swordsmen.[n][n]
zts49e	Broad Sword of Spirit
zts50e	This sword was plucked from the hands of a fallen soldier. His spirit still resides within.[n]Increases fire element attack power.[n][n]
zts51e	Falchion
zts52e	A single-edged cutting weapon with a long handle.[n]It is light enough to be used with one hand.[n][n]
zts53e	Golden Sabre
zts54e	A sword embellished with gold decorations. It increases the chance of critical hits with the fire element.[n][n]
zts55e	Broadsword
zts56e	A sword with an unusually broad blade.[n][n]
zts57e	Longsword of Power
zts58e	A dark force increases the damage.[n][n]
zts59e	Broadsword
zts60e	A normal broadsword with a comfortable handle.[n][n]
zts61e	Skyabona
zts62e	A mysterious power protects the bearer of this sword from enemy attacks.[n][n]
zts63e	Claymore
zts64e	Only the greatest of swordsmen earn the right to wield this sword.[n]Increases water element attack power.[n][n]
zts65e	Beginner's Bow
zts66e	A gift for trainee Archers.[n]Cannot be used by Adventurers.[n][n]
zts67e	Small Bow
zts68e	A small bow made from wood.[n][n]
zts69e	Bow of Speed
zts70e	A thin and lightweight bow which thanks to its speed greatly increases the hit rate.[n][n]
zts71e	Bamboo Bow
zts72e	A rough and ready bow constructed from bamboo.[n][n]
zts73e	Magic Bow
zts74e	An upgraded Bow of Speed.[n]Increases the damage and hit rate.[n][n]
zts75e	Oak Bow
zts76e	This bow was deliberately made of oak to increase its durability.[n][n]
zts77e	Wind Bow
zts78e	This bow was crafted by an ancient scholar who studied the winds.[n]Uses the force of the wind to increase your attack power.[n][n]
zts79e	Horned Bow
zts80e	A popular bow with a horn.[n][n]
zts81e	Leather Bow
zts82e	A bow decorated with ox leather.[n]Inflicts critical damage.[n][n]
zts83e	Hunting Bow
zts84e	A typical hunting bow with high durability, perfect for hunting game.[n][n]
zts85e	Bow of Courage
zts86e	A weapon for fearless archers.[n]Increases damage by adding the fire element.[n][n]
zts87e	Long Bow
zts88e	This bow differs from regular bows in its length.[n][n]
zts89e	Bronze Bow
zts90e	The Bow of Courage with additional bronze plates.[n]Increases defence power.[n][n]
zts91e	Bow of Spirit
zts92e	A bow instilled with the power of the spirits.[n]Increases all elemental power.[n][n]
zts93e	Beginner's Wand
zts94e	A gift for all trainee Sorcerers.[n]Cannot be used by Adventurers.[n][n]
zts95e	Red Bead Wand
zts96e	A magic wand with a decorative red bead at the top.[n][n]
zts97e	Wand of Spirit
zts98e	The mysterious force in the blue bead enhances this wand's powers and increases your mana.[n][n]
zts99e	Ruby Wand
zts100e	This magic wand is very popular amongst young mages because of its big ruby decoration.[n][n]
zts101e	Enchanted Magic Wand
zts102e	A mysterious powder has given this weapon special abilities, making it easier to cast magic attacks.[n][n]
zts103e	Blue Bead Wand
zts104e	A magic wand embellished with a blue pearl.[n][n]
zts105e	Magic Wand of Light
zts106e	This weapon is shrouded in a mysterious light. It increases your attack whilst also improving your regeneration.[n][n]
zts107e	Opal Wand
zts108e	This orb is decorated with opals to give it a wonderful appearance.[n][n]
zts109e	Mana Wand
zts110e	Increases your mana pool and your mana regeneration.[n][n]
zts111e	Coral Magic Wand
zts112e	This magic wand is decorated with corals from the depths of the ocean.[n][n]
zts113e	Magic Wand of Honour
zts114e	Only the most honourable of sorcerers are permitted to use this wand against the forces of evil.[n][n]
zts115e	Crystal Magic Wand
zts116e	The icy sheen of the majestic crystals decorating this weapon strike terror into the hearts of your enemies.[n][n]
zts117e	Magic Wand of Intelligence
zts118e	Purifies its owner's soul with an elemental power, increasing your HP and MP.[n][n]
zts119e	Magic Wand of Shadows
zts120e	Charged with dark energy, this magic wand can have serious consequences for your enemies.[n][n]
zts121e	Leather Gloves
zts122e	These soft leather gloves increase the wearer's ranged attack.[n][n]
zts123e	Tough Gloves
zts124e	Prevent the weapon from slipping in your hands.[n]Increases melee attack.[n][n]
zts125e	Adventurer's Shoes
zts126e	Only for Adventurers.[n][n]
zts127e	Heeled Boots
