zts1e	NosVille
zts2e	NosVille Meadows
zts3e	Mine Plains
zts4e	Sunny Meadows
zts5e	Fernon Outpost
zts6e	Western Mine 1
zts7e	Western Mine 2
zts8e	Northern Mine
zts9e	Fernon Temple 1
zts10e	Fernon Temple -1
zts11e	Fernon Temple -2
zts12e	Fernon's Hideout 1
zts13e	Fernon's Hideout 2
zts14e	Fernon's Hideout 3
zts15e	Fernon's Hideout 4
zts16e	Fernon's Hideout 5
zts17e	Western Krem
zts18e	Eastern Krem
zts19e	Peak of Mt. Krem
zts20e	Mountain Cave 1
zts21e	Mountain Cave 2
zts22e	Mountain Cave 3
zts23e	Mountain Cave 4
zts24e	Mountain Cave 5
zts25e	Mountain Cave 6
zts26e	Shanera Dungeon -1
zts27e	Shanera Dungeon -2
zts28e	Shanera Dungeon -3
zts29e	Shanera Dungeon -4
zts30e	Hidden Path
zts31e	Misty Path
zts32e	Secret Lab 1
zts33e	Secret Lab 2
zts34e	Secret Lab 3
zts35e	Enchanted Pathway
zts36e	Closed Mine
zts37e	Closed Mine 1
zts38e	Knights' Camp
zts39e	Fernon Temple 2
zts40e	Fernon Temple 3
zts41e	Fernon Temple 4
zts42e	Fernon Temple 5
zts43e	Fernon Temple 6
zts44e	Fernon Temple 7
zts45e	Fernon Temple 8
zts46e	Fernon Temple 9
zts47e	Fernon Temple 10
zts48e	Secret Room
zts49e	Northern Exit
zts50e	Eastern Exit
zts51e	Western Exit
zts52e	Mysterious Gates
zts53e	Wizard Tower 1
zts54e	Wizard Tower 2
zts55e	Wizard Tower 3
zts56e	Wizard Tower 4
zts57e	Wizard Tower 5
zts58e	Wizard Tower 6
zts59e	Wizard Tower 7
zts60e	Wizard Tower 8
zts61e	Stone Cliff 1
zts62e	Stone Cliff 2
zts63e	Stone Cliff 3
zts64e	Stone Cliff 4
zts65e	Zigzag Trail
zts66e	Spiral Maze E
zts67e	Spiral Maze W
zts68e	Spiral Maze S
zts69e	Spiral Maze N
zts70e	Secret Chick Farm
zts71e	Market Place
zts72e	Instant Combat
zts73e	Icebreaker
zts74e	Individual Arena
zts75e	Family Arena
zts76e	Gate of Mourning
zts77e	Adventure Zone
zts78e	Hall of Mourning
zts79e	Jelly Entrance
zts80e	Jelly Square
zts81e	Ginseng Entrance
zts82e	Ginseng Farm
zts83e	Spider Cavern Path
zts84e	Spider Cavern
zts85e	Path to Altar
zts86e	Altar of Pain
zts87e	Chicken Farm Path
zts88e	Chicken Farm
zts89e	Breeding Grounds
zts90e	Miniland
zts91e	Hero Mine
zts92e	Plateau of Action
zts93e	Plateau of Time
zts94e	Plain of Emptiness
zts95e	Hero Temple
zts96e	Roots of Fernon
zts97e	Mission Map
zts98e	Comet Meadow
zts99e	Full Moon Roof
zts100e	Namaju's Lair
zts101e	Cosy Garden
zts102e	Strange World
zts103e	Deep Cave
zts104e	Chief's Cave
zts105e	NosCamp Cave
zts106e	Bridge Cave
zts107e	Red Zone
zts108e	Blue Zone
zts109e	Green Zone
zts110e	Yellow Zone
zts111e	Desolate Area
zts112e	Sunset Cliff
zts113e	Misty Valley
zts114e	Cave of Ghosts
zts115e	Labyrinth of Pain
zts116e	Secret Crevice
zts117e	Seasonal Festival
zts118e	Land of Death
zts119e	Fir Forest
zts120e	Maple Woods
zts121e	Forester's House
zts122e	Watermill
zts123e	Warehouse
zts124e	Cat Room
zts125e	Fir Forest's Edge
zts126e	Stream Mine -1
zts127e	Stream Mine -2
zts128e	Stream Mine -3
zts129e	Earth Tunnel -1
zts130e	Earth Tunnel -2
zts131e	Earth Tunnel -3
zts132e	Forest Floor
zts133e	Underground Path
zts134e	Cold Tunnel
zts135e	Rock Cliff
zts136e	Rock Canyon
zts137e	Maple Woods' Edge
zts138e	Seli-Lusha
zts139e	Seli-Lusha -1
zts140e	Seli-Lusha -2
zts141e	Seli-Lusha -3
zts142e	Seli-Lusha -4
zts143e	Seli-Lusha -5
zts144e	Snow Trail
zts145e	Grasslin Meadow
