zts1e	NosVille
zts2e	NosVille Meadows
zts3e	Mine Plains
zts5e	Enchanted Pathway
zts6e	Fernon Outpost
zts8e	Western Krem
zts9e	Eastern Krem
zts10e	Peak of Mt. Krem
zts12e	Stone Cliff
zts15e	Closed Mine
zts21e	Sunny Meadows
zts22e	Fernon Temple
zts23e	Secret Lab
zts24e	Fernon's Hideout
zts25e	Fernon Temple Tower
zts26e	NosCamp Cave
zts27e	Deep Cave
zts28e	Misty Valley
zts29e	Sunset Cliff
zts30e	Cave of Ghosts
zts31e	Mountain Cave
zts32e	Shanera Dungeon
zts33e	Fir Forest
zts34e	Fir Forest's Edge
zts35e	Stream Mine
zts36e	Earth Tunnel
zts37e	Rock Cliff
zts38e	Maple Woods
zts39e	Maple Woods' Edge
zts40e	Forest Floor
zts41e	Seli-Lusha
zts42e	Underground Path
zts43e	Citadel
zts44e	Bitoren Tundra
zts45e	Shares Canyon
zts46e	Port Alveus Square
zts47e	Port Alveus Market
zts48e	Ship
zts49e	North Ice Desert
zts50e	Lorten Forest
zts51e	Radikun Beach
zts52e	Radikun Beach
zts53e	Chicken Farm Path
zts54e	Western Mine 1
zts55e	Western Mine 2
zts56e	Jelly Entrance
zts57e	Northern Mine
zts58e	Ginseng Entrance
zts59e	Enchanted Pathway
zts60e	Wizard Tower
zts61e	Fernon Temple 1
zts62e	Secret Chick Farm
zts63e	Secret Room
zts64e	Fernon Temple 2-10
zts65e	Fernon Temple -1
zts66e	Eastern Exit
zts67e	Northern Exit
zts68e	Western Exit
zts69e	Fernon Temple -2
zts70e	Mysterious Gates
zts71e	Zigzag Trail
zts72e	Gate of Mourning
zts73e	Fernon's Hideout 1
zts74e	Spiral Maze E
zts75e	Spiral Maze W
zts76e	Fernon's Hideout 2
zts77e	Fernon's Hideout 3
zts78e	Fernon's Hideout 4
zts79e	Spiral Maze N
zts80e	Spiral Maze S
zts81e	Western Krem
zts82e	Eastern Krem
zts83e	Peak of Mt. Krem
zts84e	Mountain Cave 1
zts85e	Mountain Cave 2
zts86e	Mountain Cave 3
zts87e	Red Zone
zts88e	Green Zone
zts89e	Blue Zone
zts90e	Cold Tunnel
zts91e	Mountain Cave 4
zts92e	Mountain Cave 5
zts93e	Mountain Cave 6
zts94e	Secret Crevice
zts95e	Labyrinth of Pain
zts96e	Misty Path
zts97e	Spider Cavern Path
zts98e	Desolate Area
zts99e	Yellow Zone
zts100e	Angel Citadel
zts101e	Demon Citadel
zts102e	Western Frost Land
zts103e	Eastern Frost Land
zts104e	Morcos' Throne
zts105e	Cleft of Darkness
zts106e	Calvinas' Nest
zts107e	Mortaz Desert Port
zts108e	Port Surroundings
zts109e	Neil's Camp Area
zts110e	Neil's Camp
zts111e	East Merchant Camp
zts112e	Robber Camp Area
zts113e	Desert Robber Camp
zts114e	Melki's Camp Area
zts115e	Melki's Camp
zts116e	Akamur Camp
zts117e	West Merchant Camp
zts118e	Keru's Camp Area
zts119e	Keru's Camp
zts120e	Garton's Camp Area
zts121e	Garton's Camp
zts122e	Temple Path
zts123e	Temple Site
zts124e	Lost Desert
zts125e	Desert Eagle City
zts126e	Chaos Zone
zts127e	Chaos Environment
zts128e	Robber Courtyard
zts129e	Robber Centre
zts130e	Aster Courtyard
zts131e	Aster Centre
zts132e	Rashid Courtyard
zts133e	Rashid Centre
zts134e	Path to Altar
zts135e	Secret Path
zts136e	Fernon's Hideout 3
zts137e	Fernon's Hideout 5
zts138e	Crystal Cave
zts139e	Crystal Altar
zts210e	Northern Desert
zts211e	Volcano Gate
zts212e	Kertos' Jaws
zts213e	Eastern Path
zts214e	Western Path
zts215e	Valakus' Claws
zts216e	Phoenix Wings
zts217e	Left Wing
zts218e	Right Wing
zts219e	Katol's Street
zts220e	Kertos' Cave
zts221e	Valakus' Cave
zts222e	Grenigas Square
zts16497e	Cylloan
zts16498e	Heaven's Gate 1
zts16499e	Heaven's Gate 2
zts16500e	Heaven's Gate 3
zts16501e	Heaven's Gate 4
zts16502e	Hell's Gate 1
zts16503e	Hell's Gate 2
zts16504e	Hell's Gate 3
zts16505e	Hell's Gate 4
zts16506e	Heaven's Ruins 1
zts16507e	Heaven's Ruins 2
zts16508e	Hell's Ruins 1
zts16509e	Hell's Ruins 2
zts16510e	Ancelloan's Will 1
zts16511e	Ancelloan's Will 2
zts16512e	Ancelloan's Will 3
zts16513e	Ancelloan's Will 4
zts16514e	Ancelloan's Will 5
zts16515e	Ancelloan's Will 6
zts16516e	Olorun Village
zts16517e	The Mukrash
zts16518e	North Beach
zts16519e	Port Moritius
zts16520e	South Beach
zts16521e	Woodland Path
zts16522e	Forest Cliff
zts16523e	Spirit Forest Edge
zts16524e	Spirit Forest
zts16525e	Olorun Farm
zts16526e	Beast's Lair
zts16527e	Polluted Path
zts16528e	Polluted Forest
zts16529e	The Saint Maria
zts16530e	Dragonveil
zts16531e	Eastern Skytrail
zts16532e	Lakeside Gorge
zts16533e	Dragon Ranch
zts16534e	Northern Skytrail
zts16535e	Frozen Lake
zts16536e	Ice Dungeon
zts16537e	Gorge Path 1
zts16538e	Gorge Path 2
zts16539e	Gorge Path 3
zts16540e	Gravel Gorge
zts16541e	Path of Destiny
zts16542e	A. Dragon's Lair
zts16543e	Dragon's Lair
zts16544e	A. Dragon's Nest
