zts1e	Rest
zts2e	Pick Up
zts3e	Open Shop
zts4e	Register for a Battle
zts5e	Time Circle
zts6e	Unspecified
zts7e	[Beginner] Physical Strength Course
zts8e	Increases physical strength by 3.
zts9e	Increases melee attack and defence.
zts10e	[Intermediate] Physical Strength Course
zts11e	Increases physical strength by 12.
zts12e	[Advanced] Physical Strength Course
zts13e	Masterful Attack
zts14e	[Beginner] Speed Course
zts15e	Increases agility by 3.
zts16e	Increases hit rate plus dodge and speed of ranged attacks and ranged defence.
zts17e	[Intermediate] Speed Course
zts18e	Increases agility by 12.
zts19e	Increases hit rate plus dodge and speed of ranged attacks and ranged defence.
zts20e	[Advanced] Speed Course
zts21e	[Expert] Speed Course
zts22e	[Beginner] Intelligence Course
zts23e	Increases intelligence by 4.
zts24e	Increases magic attack and magic defence.
zts25e	[Intermediate] Intelligence Course
zts26e	Increases intelligence by 15.
zts29e	[Beginner] Breeding Technique
zts30e	[Intermediate] Breeding Technique
zts31e	[Advanced] Breeding Technique
zts32e	[Expert] Breeding Technique
zts33e	[Beginner] Life Extension
zts34e	Increases HP permanently by 50.
zts35e	[Intermediate] Life Extension
zts36e	Increases HP permanently by 100.
zts37e	[Advanced] Life Extension
zts38e	[Master] Life Extension
zts39e	[Beginner] Mental Training
zts40e	Increases MP permanently by 50.
zts41e	[Intermediate] Mental Training
zts42e	Increases MP permanently by 100.
zts43e	[Advanced] Mental Training
zts44e	[Expert] Mental Training
zts45e	[Beginner] Efficient Attack
zts46e	Increases attack power by 2.
zts47e	[Intermediate] Efficient Attack
zts48e	Increases attack power by 6.
zts51e	[Beginner] Self-defence Course
zts52e	Increases defence by 3.
zts53e	[Intermediate] Self-defence Course
zts54e	Increases defence by 8.
zts57e	[Beginner] HP Recovery
zts58e	Increases HP recovery by 20.
zts59e	[Intermediate] HP Recovery
zts60e	Increases HP recovery by 50.
zts61e	[Advanced] HP Recovery
zts62e	[Expert] HP Recovery
zts63e	[Beginner] MP Recovery
zts64e	Increases MP recovery by 20.
zts65e	[Intermediate] MP Recovery
zts66e	Increases MP recovery by 50.
zts67e	[Advanced] MP Recovery
zts68e	[Expert] MP Recovery
zts70e	Slowly replenishes HP and MP.
zts71e	[Intermediate] Natural Healing
zts72e	[Advanced] Natural Healing
zts73e	[Beginner] Weapons Handling
zts74e	[Intermediate] Weapons Handling
zts75e	[Advanced] Weapons Handling
zts76e	[Beginner] Attack Course
zts77e	[Intermediate] Attack Course
zts78e	[Advanced] Attack Course
zts79e	[Beginner] Poison Resistance
zts80e	[Intermediate] Poison Resistance
zts81e	[Advanced] Poison Resistance
zts82e	[Beginner] Disease Resistance
zts83e	[Intermediate] Disease Resistance
zts84e	[Advanced] Disease Resistance
zts85e	[Beginner] Magic Resistance
zts86e	[Intermediate] Magic Resistance
zts87e	[Advanced] Magic Resistance
zts88e	[Beginner] General Resistance
zts89e	[Intermediate] General Resistance
zts90e	[Advanced] General Resistance
zts91e	[Beginner] Defensive Powers
zts92e	[Intermediate] Defensive Powers
zts93e	[Advanced] Defensive Powers
zts94e	[Beginner] Yoga
zts95e	[Intermediate] Yoga
zts96e	[Advanced] Yoga
zts97e	Swing
zts98e	Basic skill for Adventurers.
zts99e	Slingshot
zts100e	Basic skill for Adventurers.
zts101e	Strong Hit
zts102e	Inflict heavy damage with a brutal attack.
zts103e	Slingshot
zts104e	An accurate shot causes greater damage to your enemy.
zts105e	Spinning Hit
zts106e	All nearby enemies are hit by a powerful Spinning Hit.
zts107e	Beat-Up
zts108e	Attack the enemy with multiple blows.
zts109e	Battle Cry
zts110e	Increases attack and defence.
zts111e	Shout of Morale
zts112e	The shout increases morale.
zts113e	Charged Attack
zts114e	The energy is fully charged up, making the following attack stronger.
zts115e	Capture
zts116e	Energy Bolt
zts117e	Basic skill for Adventurers.
zts118e	Ultra Super Cheating Skill
zts119e	This is the super cheating skill.
zts120e	Admin Cheating Skill
zts121e	Basic Slash
zts122e	Basic skill for Swordsmen.
zts123e	Crossbow Shot
zts124e	Basic skill for crossbow users.
zts125e	Hit of Rage
zts126e	Makes a powerful strike and brings a 2% chance to enter a state of Anger.
zts127e	Counterstrike
zts128e	Attacks the enemy's weak spot.
zts129e	Sword Energy
zts130e	Sword Energy causes damage to enemies standing near you.
zts131e	Basic Skill: Light
zts132e	Star Attack
zts133e	A powerful blow from the hilt of your sword causes the enemy to have a Blackout.
zts134e	Earth Wave
zts135e	A heavy blow to the ground creates a shock wave which inflicts damage to all surrounding enemies.
zts136e	Basic Skill: Fire
zts137e	Blow Wield
zts138e	A rapid sword blow inflicts damage on all enemies in front of you.
zts139e	Double Attack
zts140e	Swing the sword to injure the enemy twice.
zts141e	Dynamic Shot
zts142e	Allows the crossbow to fire off shots more rapidly.
zts143e	Taunting Shot
zts144e	Draws the enemy's attention to you.
zts145e	Charge Power
zts146e	Channels energy to make the following attack stronger.
zts147e	Blood Oath
zts148e	Uses HP to increase your attack power for a certain time.
zts149e	Suppress
zts150e	Reduces the enemy's morale for a certain time.
zts151e	Only works on enemies whose level is lower or a maximum of 3 levels higher than yours.
zts152e	Dash Attack
zts153e	Charge at the enemy and attack them in a flash.
zts154e	Stop Bleeding
zts155e	Stops Bleeding up to level 3.
zts156e	Requires a bandage.
zts157e	New Skill
zts158e	Archery
zts159e	Basic skill for Archers.
zts160e	Dagger Stab
zts161e	Basic skill for Archers.
zts162e	Elaborate Shot
zts163e	Causes additional ranged attack damage and increases the hit rate.
zts164e	Concentrated Shot
zts165e	The enemy suffers increased damage from a powerful ranged attack.
zts166e	Piercing Shot
zts167e	Penetrates enemies and causes critical damage.
zts168e	Target Legs
zts169e	Targets the enemy's legs to slow them down.
zts170e	Jump Shot
zts171e	An attack carried out while jumping which causes damage to the enemy without penalty.
zts172e	Fast Shot
zts173e	Fires off three arrows in quick succession.
zts174e	Rain of Arrows
zts175e	Sends a Rain of Arrows to fall on the enemy.
zts176e	Short Stab
zts177e	Carry out an extra attack with the dagger.
zts178e	Poisonous Dagger
zts179e	A dagger dipped in a Paralysing Toxin which reduces your enemy's melee attack power.
zts180e	Requires Poisonous Plants to work.
zts181e	Turning Count
zts182e	A dagger blow which interrupts the enemy's movement.
zts183e	Death Charge
zts184e	Gathers energy for the next ranged attack.
zts185e	Haste
zts186e	Increases movement speed for a certain time.
zts187e	Ritual of Hawk
zts188e	Increases attack power and hit rate of adventurer and companions.
zts189e	Detoxification Ritual
zts190e	Requires Medicinal Plants to remove poison from companions or friends.
zts191e	Poisoned Arrowhead
zts192e	Arrowheads are dipped in poison for a certain time.
zts193e	Energy Bolt
zts194e	Basic skill for Mages.
zts195e	Magic Shot
zts196e	Basic skill for Mages.
zts197e	Fire Bolt
zts198e	A magical attack which inflicts damage with Fire Bolts.
zts199e	Ice Bolt
zts200e	A magical attack which inflicts damage with Ice Bolts.
zts201e	Magic Missile
zts202e	Fires off several magic missiles which inflict damage on the enemy.
zts203e	Stone Cubic
zts204e	A gigantic stone falls onto the enemy and causes a Blackout.
zts205e	Fire Column
zts206e	Creates a Fire Column which causes damage to enemies.
zts207e	Tornado
zts208e	Nearby enemies are hit by a powerful tornado.
zts209e	Magic Bullet
zts210e	The Spell Gun's penetrating power is increased with the Magic Bullet.
zts211e	Explosive Magic Bullet
zts212e	The Explosive Magic Bullet causes major damage to the enemy.
zts213e	Spell Charge
zts214e	Stores up magic energy for later attacks to cause greater damage.
zts215e	Frost Shield
zts216e	Creates a shield which reduces damage from ranged attacks.
zts217e	Recovery Aura
zts218e	Recovers HP of the party member for certain time.
zts219e	Light of Protection
zts220e	Protects all party members from attacks.
zts221e	Sleep
zts222e	Causes the enemy to fall asleep, making them unable to move or attack. They will wake up if attacked, however.
zts223e	Red Drain
zts224e	Steals HP from the enemy and converts it into MP.
zts225e	Blind
zts226e	Causes the enemy to go blind for a few seconds. Ranged attacks are not possible during this time.
zts227e	Teleport
zts228e	Teleports you to another location within a certain range.
zts229e	Devious Strike
zts230e	An attack strengthened by the fire element which causes a Blackout.
zts231e	Strengthen Swing
zts232e	Increases the attack power and hit rate of Swing.
zts233e	Strengthen Slingshot
zts234e	Increases attack power and range.
zts235e	Increased Attack Power
