zts1e	Best Service
zts2e	Medal of Erenia
zts3e	[Main Effect][n]Each volume of Equipment, major and minor inventory volume will be increase by 8 , total 24 , [n] using with the medal of  Adventure, increased by 36[n][Additional Effect] The battle experience will be increased by 15%. [n] The job experience will be increased by 15%. [n] Experience points of the pet and partner will be increased by 15%. (Will be increase by 30 % if used with the medal of Adventure.) Acquisition of Gold increases 20%. [n] Acquisition  of reputation increases 20%.
zts4e	Want easy adventure??
zts5e	Adventurer's Medal
zts6e	[Main Effect][n] Size of equipment, major and minor inventory will be increased by 4 respectively, so totally 12. [n] (If used with the medal of Erenia , will be increased by 36) [n] [Additional Effect] the Battle experience will be increased by 15%. The job experience will be increased by 15%. [n] Experience points of the pet and partner will be increased by 15%. [n] (If used with the medal of Erenia, will be increased by 30%)
zts7e	Get over the limit of Fairy`s ability!!!
zts8e	Sellaim, the element of Fire
zts9e	Fire Fairy ; Can grow up to 70.[n] Has same skills as fire fairy.[n]This item can't be traded between the users[n]
zts10e	Stronger Water Element
zts11e	Woondine, the Spirit of Water
zts12e	Water Spirit ; can grow up to 70.[n]Has same skills as water fairy.[n]This item can't be traded between the users[n]
zts13e	Stronger Light Element
zts14e	Eperial, the sprit of Light
zts15e	Light spirit ; Can grow up to 70.[n]Has same skills as light fairy.[n]This item can't be traded between the users[n]
zts16e	Will show the power of darkness
zts17e	Turik, the Spirit of Darkness
zts18e	Shadow Spirit ; Can grow up to 70.[n]Has same skills as a Shadow Fairy.[n]This item can't be traded between the users[n]
zts19e	Quick grow for use?
zts20e	Grown-up Sellaim
zts21e	Fire spirit ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Has same skills as fire fairy.[n]This item can't be traded between the users[n]
zts22e	Can be used immediately!
zts23e	Grown-up Woondine
zts24e	Water Spirit ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Has same skills as water fairy.[n]This item can't be traded between the users[n]
zts25e	Too impatient to wait?
zts26e	Grown-up Eperial
zts27e	Light Spirit ; Can grow up to 70.[n] Already 40, so don't have to raise from 1.[n]Has same skills as light fairy.[n]This item can't be traded between the users[n]
zts28e	For immediate action!
zts29e	Grown-up Turik
zts30e	Shadow Spirit: Can increase up to level 70.[n]Is already on level 40.[n] Has the same skills as a Shadow Fairy[n]Cannot be traded.[n]
zts31e	Grand Appearance of 56
zts32e	2-story warehouse of grand proportions
zts33e	Enables you to use 56 slots in your Miniland.[n]The duration starts once you set it up.[n][Note][n]The warehouse will disappear once the time expires, so prepare another warehouse ready.[n]If the new warehouse is smaller, not all items can be transferred, so be sure to sort your items.
zts34e	Give the pretty nick name to my pet!
zts35e	Name tag for NosMates
zts36e	Lets you name your pet.[n]Disappears after one use.[n]
zts37e	Name your pet
zts38e	5 Name tags for NosMates
zts39e	Lets you name your pet.[n] Buy 1 set of 5 pet name tags.[n]
zts40e	To your precious pet
zts41e	3 The best Pet Food
zts42e	Pet's loyalty becomes max.[n]Additional level upgrade by 1.[n]Only available when the pet's level is 5 levels lower than the player [n] (If player is Lv.50, it can be upgraded up to Lv.45)[n]
zts43e	Take care of health
zts44e	Medicine for Partner
zts45e	Partner's intimacy becomes max.[n]Additional level upgrade by 1.[n]Only available when the pet's level is 5 levels lower than the player [n] (If player is  Lv.50, it can be upgraded up to Lv.45)[n]
zts46e	Don't leave your pet
zts47e	Pet Bead
zts48e	You can put your pet in the bead and keep it in your inventory or warehouse.[n]Can be traded with other players.[n][Note][n]The pet's stats remain unchanged, but its name will be deleted.[n]If your NosMate's level is higher than yours, you can release it in your Miniland but it cannot accompany you on missions.[n]
zts49e	Also trade partner?
zts50e	Bead of keeping your partner
zts51e	Using this item you can place your NosMate in a bead and store it in your inventory or warehouse.[n]NosMates in beads can be traded with other players.[n][Instructions][n]Select your NosMate and double-click on the bead.[n][Note][n]The NosMate's stats remain unchanged, but its name will be deleted.[n]If your NosMate's level is higher than yours, you can release it in your Miniland but it cannot accompany you on missions.[n]
zts52e	Let`s trade Special card!
zts53e	Specialist Card Holder
zts54e	Can put 1 Special card. [n] Enables you to trade and exchange with other users in carrier.[n] Level and experience will be protected in keeping.[n]
zts55e	Enjoy being Specialist as much as you want!!
zts56e	Small Special Recharge
zts57e	Every HP recovers.[n]SP points will be increased by 30,000 in addition [n]
zts58e	Medium Special Recharge
zts59e	Every HP recovers.[n]SP points will be increased by 70,000 in addition [n]
zts60e	Be Specialist as much as you want!!
zts61e	Big Special Recharger
zts62e	Every HP/MP restored and bad effects disappears.[n] SP points will be increased by 180, 000 in addition[n]
zts63e	Makes betting safe!
zts64e	Amulet of God's blessing
zts65e	Can take 3 times[n] Increase the success probability of betting by 10%, and protects the weapon in failure [n] Can  be used for weapon & equipment [n]
zts66e	Betting? Now..I am not nervous!
zts67e	Amulet of God's protection
zts68e	Can take 3 times[n] Protects the weapon in failure of betting[n] Can  be used for weapon & equipment [n]
zts69e	Reuse your equipment
zts70e	Amulet to reinforce Fixed Lv
zts71e	Can use 3 times.[n]Can upgrade the equipments even in fixed level.[n]Can  be used for weapon & equipment [n]
zts72e	Let's drink up!!
zts73e	99 Very Big Entire Potion
zts74e	Purchase 99 Very Big Entire Potion[n]
zts78e	This potion is available in NosMall only!!
zts79e	70 Spring water of Cylloan
zts80e	Recovers HP/MP by 3,000
zts84e	I am missing you, buddy.
zts85e	10 Wings of Friendship
zts86e	Can teleport to anyone who is registered as your friend.[n]Only can be used when the friend is at normal field.[n]To teleport, press the move button on the messenger.[n]
zts87e	Decorating you and your partners!!!
zts88e	Swordsman Wax A, You look so cool!!
zts89e	Above is the example of swordsman. [n] There are another reference for Archer and Sorcerer [n] [n] Ye~~ I have to be different from others.  The same hair style? No thanks~~. I am unique, and is my hair style, also.  Let's change the hair to an art [n] Adventurer can not use it.
zts90e	Archer Wax A, I love you, Baby!!
zts91e	Here's an example for Archers.[n]There are other illustrations for Swordsmen and Mages.[n][n]I have to stand out from the others. Same hairstyle? No thanks! I'm unique... just like my hairstyle. Transform your hair into a work of art.[n]Cannot be used by Adventurers.
zts92e	Sorcerer Wax A, You're the best!!
zts93e	Above is the example of Sorcerer. [n] There are another reference for Swordsman and Archer [n] [n] Ye~~ I have to be different from others.  The same hair style? No thanks~~. I am unique, and is my hair style, also.  Let's change the hair to an art [n] Adventurer can not use it.
zts94e	You super-hyper good-looking dude!!!
zts95e	Change of Swordsman Wax B
zts96e	Above is the example of swordsman. [n] There are another reference for Archer and Sorcerer [n] [n] Ye~~ I have to be different from others.  The same hair style? No thanks~~. I am unique, and is my hair style, also.  Let's change the hair to an art [n] Adventurer can not use it.
zts97e	Rebirth of Archer, Wax B!
zts98e	Return of Sorcerer, Wax B!
zts99e	New Hair Color
zts100e	Red Hair Dye
zts101e	Dyes your hair red.[n]
zts102e	Creates a beautiful hair colour!
zts103e	Light Green Hair Dye
zts104e	Dyes hair green.[n]
zts105e	Made in what beauty parlour?!
zts106e	White Hair Dye
zts107e	Bleaches hair white.[n]
zts108e	The newest hair colour trend!
zts109e	Blue Hair Dye
zts110e	Dyes hair blue.[n]
zts111e	Looks very good on you
zts112e	Black Hair Dye
zts113e	Dyes hair black.[n]
zts114e	It`s time to PR for yourself in game
zts115e	Self-introduction
zts116e	Make the self-introduction that you can show to others.[n] (It is shown when you click the right button) [n] Insert up to 60 letters[n]
zts117e	Forward my words to everyone
zts118e	12 Speaker
zts119e	Send your words to everyone on the server.[n]Your words will be displayed in the chat window.[n][Usage][n]Double-click the speaker then enter your message.
zts120e	Important words should be long-lasting
zts121e	Words Balloon
zts122e	Once created, the message lasts for 30 minutes.[n]The text cannot be edited once created and disappears when you leave the game.[n][Usage][n]Double-click the Speech Bubble and enter the your message.[n]To close it, simply enter '$close' in the window.[n]If you enter a new message before the window closes, the previous message will disappear.
zts123e	Girls say I'm so cute!!
zts124e	Skin for Bob
zts125e	Gives Bob a good look [n] and increases speed by 2.[n] But skin can disappear when kept in the bead of the partner. [n]
zts126e	Haha...Are you falling for me?
zts127e	Skin for Tom
zts128e	Gives Tom a good look [n] and increases speed by 2.[n] But skin can disappear when kept in the bead of the partner. [n]
zts129e	It`s the dog of historic family.
zts130e	Skin for Kliff
zts131e	Gives Kliff a good look [n] and increases speed by 2.[n] But skin can disappear when kept in the bead of the partner. [n]
zts132e	Increases basic SP for 30 days
zts133e	Specialist Medal
zts134e	The good new for the people who becomes specialists for at least one hour everyday [n][n] Daily basic SP point will be 10,000 + 30,000 points [n] So, totally 40,000 points. (If not totally used, 10 % of the rest would saved). Let's enjoy 40,000 points for every 30 days.
zts135e	Gift of Secret Partner Event
zts136e	Medal of Friendship
