zts1e	Teo's Tool Shop
zts13e	See you later!
zts14e	So, what would you like to know?
zts15e	How can I improve my equipment?
zts16e	What are the main advantages of upgrading my equipment?
zts17e	How do I change my partner's equipment?
zts18e	He looks just like you. Are you twins?
zts19e	To upgrade your equipment, you will need some Cella Powder and Soul Gems.
zts20e	Only weapons and armour can be strengthened, with improvements ranging from level 1 to level 10. The amount of Cella Powder required increases with each level.
zts21e	Oh yes! I also charge a small transaction fee for that. That's about it. Understood?
zts22e	Err... so how do I get Cella Powder and Soul Gems?
zts23e	You get them by refining Gillion Stones.
zts24e	These stones can be found everywhere and can be refined using Soul Gems.
zts25e	Soul Gems can be fairly tricky to find, but Cella Powder is easy enough to come by.
zts26e	If you are lucky, you might even find a Complete Soul Gem.
zts27e	Thanks, I understand now.
zts28e	By upgrading weapons and armour you can increase your attack and defence levels.
zts29e	But I don't see any change, only an extra + symbol.
zts30e	You've been cheated! Haha! No, don't worry, I'm only pulling your leg. You won't see any changes there.
zts31e	In combat, your effective attack and defence are based on the difference between you and your opponent's levels.
zts32e	But... how? (Is that true?!)
zts33e	For example, your defence is calculated based on the difference between your opponent's weapon level and your armour level.
zts34e	The greater the difference, the stronger you will be, so it's advisable to have high level equipment.
zts35e	Ah! I get it now! Bah! (It's true!)
zts36e	What would you like to see?
zts37e	Please show me the weapons.
zts38e	Please show me the armour.
zts39e	Please show me the other equipment.
zts40e	Partner equipment is the equipment which your partner can use.
zts41e	To increase your partner's strength, you need to provide the right sort of equipment for them.
zts42e	It's really easy to make equipment for your partner. You only have to ask me and I'll exchange any weapon or armour that you use for equipment for your partner.
zts43e	If you decide to swap them, I'll convert the items into partner equipment of the same level. When converted, melee weapons stay melee weapons and vice versa.
zts44e	If your partner uses melee attacks, they will need melee weapons and appropriate armour.
zts45e	If your partner uses ranged attacks, they will need ranged weapons and equivalent armour.
zts46e	For magic attacks, your partner will need magic weapons and the equivalent armour.
zts47e	Who? That guy over there? Yeah, that's my twin brother.
zts48e	In comparison to you, he doesn't look particularly hard-working.
